;;;0
1;1;1;2.757491231738401e-12
1;1;2;2.757491231738401e-12
1;2;1;2.1434102456579555e-12
1;2;2;2.1434102456579555e-12
1;3;1;2.1695698157619083e-12
1;3;2;2.1695698157619083e-12
1;4;1;2.0693650901603482e-12
1;4;2;2.0693650901603482e-12
1;5;1;6.003096117539117e-12
1;5;2;6.003096117539117e-12
1;6;1;5.595084615282832e-12
1;6;2;5.595084615282832e-12
1;7;1;6.449807004871434e-12
1;7;2;6.449807004871434e-12
1;8;1;6.2016794261954355e-12
1;8;2;6.2016794261954355e-12
1;9;1;3.150373937445506e-12
1;9;2;3.150373937445506e-12
1;10;1;2.7541724893347387e-12
1;10;2;2.7541724893347387e-12
1;11;1;2.76644471740167e-12
1;11;2;2.76644471740167e-12
1;12;1;2.6873691340982226e-12
1;12;2;2.6873691340982226e-12
1;13;1;2.1249461418507607e-12
1;13;2;2.1249461418507607e-12
1;14;1;1.5629498058278838e-12
1;14;2;1.5629498058278838e-12
1;15;1;1.5988346058265752e-12
1;15;2;1.5988346058265752e-12
1;16;1;1.6019385477357828e-12
1;16;2;1.6019385477357828e-12
1;17;1;3.150373937445506e-12
1;17;2;3.150373937445506e-12
1;18;1;2.7541724893347387e-12
1;18;2;2.7541724893347387e-12
1;19;1;2.76644471740167e-12
1;19;2;2.76644471740167e-12
1;20;1;2.6873691340982226e-12
1;20;2;2.6873691340982226e-12
1;21;1;2.1249461418507607e-12
1;21;2;2.1249461418507607e-12
1;22;1;1.5629498058278838e-12
1;22;2;1.5629498058278838e-12
1;23;1;1.5988346058265752e-12
1;23;2;1.5988346058265752e-12
1;24;1;1.6019385477357828e-12
1;24;2;1.6019385477357828e-12
1;25;1;3.1503739374308237e-12
1;25;2;3.1503739374308237e-12
1;26;1;2.754172489348904e-12
1;26;2;2.754172489348904e-12
1;27;1;2.7664447173955695e-12
1;27;2;2.7664447173955695e-12
1;28;1;2.6873691340760955e-12
1;28;2;2.6873691340760955e-12
1;29;1;2.1249461418644092e-12
1;29;2;2.1249461418644092e-12
1;30;1;1.5629498058291246e-12
1;30;2;1.5629498058291246e-12
1;31;1;1.5988346058503567e-12
1;31;2;1.5988346058503567e-12
1;32;1;1.6019385477572895e-12
1;32;2;1.6019385477572895e-12
1;33;1;3.1503739374308237e-12
1;33;2;3.1503739374308237e-12
1;34;1;2.754172489348904e-12
1;34;2;2.754172489348904e-12
1;35;1;2.7664447173955695e-12
1;35;2;2.7664447173955695e-12
1;36;1;2.6873691340760955e-12
1;36;2;2.6873691340760955e-12
1;37;1;2.1249461418644092e-12
1;37;2;2.1249461418644092e-12
1;38;1;1.5629498058291246e-12
1;38;2;1.5629498058291246e-12
1;39;1;1.5988346058503567e-12
1;39;2;1.5988346058503567e-12
1;40;1;1.6019385477572895e-12
1;40;2;1.6019385477572895e-12
1;41;1;3.013437186928612e-12
1;41;2;3.013437186928612e-12
1;42;1;2.995383703215416e-12
1;42;2;2.995383703215416e-12
1;43;1;2.9951778968107027e-12
1;43;2;2.9951778968107027e-12
1;44;1;3.004067130741264e-12
1;44;2;3.004067130741264e-12
1;45;1;3.0141012060450878e-12
1;45;2;3.0141012060450878e-12
1;46;1;3.2596578355199883e-12
1;46;2;3.2596578355199883e-12
1;47;1;3.246964367655358e-12
1;47;2;3.246964367655358e-12
1;48;1;3.251736259242833e-12
1;48;2;3.251736259242833e-12
1;49;1;3.013437186928612e-12
1;49;2;3.013437186928612e-12
1;50;1;2.995383703215416e-12
1;50;2;2.995383703215416e-12
1;51;1;2.9951778968107027e-12
1;51;2;2.9951778968107027e-12
1;52;1;3.004067130741264e-12
1;52;2;3.004067130741264e-12
1;53;1;3.0141012060450878e-12
1;53;2;3.0141012060450878e-12
1;54;1;3.2596578355199883e-12
1;54;2;3.2596578355199883e-12
