;;;;0
1;1;1;1;2.0046321940150417e-19
1;1;1;2;2.0046321940150417e-19
1;1;2;1;2.0046321940150417e-19
1;1;2;2;2.0046321940150417e-19
1;1;3;1;2.0046321940150417e-19
1;1;3;2;2.0046321940150417e-19
1;1;4;1;2.0046321940150417e-19
1;1;4;2;2.0046321940150417e-19
1;1;5;1;2.0046321940150417e-19
1;1;5;2;2.0046321940150417e-19
1;1;6;1;2.0046321940150417e-19
1;1;6;2;2.0046321940150417e-19
1;1;7;1;2.0046321940150417e-19
1;1;7;2;2.0046321940150417e-19
1;1;8;1;2.0046321940150417e-19
1;1;8;2;2.0046321940150417e-19
1;2;1;1;2.2453780914818237e-19
1;2;1;2;2.2453780914818237e-19
1;2;2;1;2.2453780914818237e-19
1;2;2;2;2.2453780914818237e-19
1;2;3;1;2.2453780914818237e-19
1;2;3;2;2.2453780914818237e-19
1;2;4;1;2.2453780914818237e-19
1;2;4;2;2.2453780914818237e-19
1;2;5;1;2.2453780914818237e-19
1;2;5;2;2.2453780914818237e-19
1;2;6;1;2.2453780914818237e-19
1;2;6;2;2.2453780914818237e-19
1;2;7;1;2.2453780914818237e-19
1;2;7;2;2.2453780914818237e-19
1;2;8;1;2.2453780914818237e-19
1;2;8;2;2.2453780914818237e-19
1;3;1;1;2.3164302910612337e-19
1;3;1;2;2.3164302910612337e-19
1;3;2;1;2.3164302910612337e-19
1;3;2;2;2.3164302910612337e-19
1;3;3;1;2.3164302910612337e-19
1;3;3;2;2.3164302910612337e-19
1;3;4;1;2.3164302910612337e-19
1;3;4;2;2.3164302910612337e-19
1;3;5;1;2.3164302910612337e-19
1;3;5;2;2.3164302910612337e-19
1;3;6;1;2.3164302910612337e-19
1;3;6;2;2.3164302910612337e-19
1;3;7;1;2.3164302910612337e-19
1;3;7;2;2.3164302910612337e-19
1;3;8;1;2.3164302910612337e-19
1;3;8;2;2.3164302910612337e-19
1;4;1;1;2.376774835808996e-19
1;4;1;2;2.376774835808996e-19
1;4;2;1;2.376774835808996e-19
1;4;2;2;2.376774835808996e-19
1;4;3;1;2.376774835808996e-19
1;4;3;2;2.376774835808996e-19
1;4;4;1;2.376774835808996e-19
1;4;4;2;2.376774835808996e-19
1;4;5;1;2.376774835808996e-19
1;4;5;2;2.376774835808996e-19
1;4;6;1;2.376774835808996e-19
1;4;6;2;2.376774835808996e-19
1;4;7;1;2.376774835808996e-19
1;4;7;2;2.376774835808996e-19
1;4;8;1;2.376774835808996e-19
1;4;8;2;2.376774835808996e-19
1;5;1;1;2.1711827831127893e-19
1;5;1;2;2.1711827831127893e-19
1;5;2;1;2.1711827831127893e-19
1;5;2;2;2.1711827831127893e-19
1;5;3;1;2.1711827831127893e-19
1;5;3;2;2.1711827831127893e-19
1;5;4;1;2.1711827831127893e-19
1;5;4;2;2.1711827831127893e-19
1;5;5;1;2.1711827831127893e-19
1;5;5;2;2.1711827831127893e-19
1;5;6;1;2.1711827831127893e-19
1;5;6;2;2.1711827831127893e-19
1;5;7;1;2.1711827831127893e-19
1;5;7;2;2.1711827831127893e-19
1;5;8;1;2.1711827831127893e-19
1;5;8;2;2.1711827831127893e-19
1;6;1;1;2.204399506200203e-19
1;6;1;2;2.204399506200203e-19
1;6;2;1;2.204399506200203e-19
1;6;2;2;2.204399506200203e-19
1;6;3;1;2.204399506200203e-19
1;6;3;2;2.204399506200203e-19
1;6;4;1;2.204399506200203e-19
1;6;4;2;2.204399506200203e-19
1;6;5;1;2.204399506200203e-19
1;6;5;2;2.204399506200203e-19
1;6;6;1;2.204399506200203e-19
1;6;6;2;2.204399506200203e-19
1;6;7;1;2.204399506200203e-19
1;6;7;2;2.204399506200203e-19
1;6;8;1;2.204399506200203e-19
1;6;8;2;2.204399506200203e-19
1;7;1;1;2.2091111849172523e-19
1;7;1;2;2.2091111849172523e-19
1;7;2;1;2.2091111849172523e-19
1;7;2;2;2.2091111849172523e-19
1;7;3;1;2.2091111849172523e-19
1;7;3;2;2.2091111849172523e-19
1;7;4;1;2.2091111849172523e-19
1;7;4;2;2.2091111849172523e-19
1;7;5;1;2.2091111849172523e-19
1;7;5;2;2.2091111849172523e-19
1;7;6;1;2.2091111849172523e-19
1;7;6;2;2.2091111849172523e-19
1;7;7;1;2.2091111849172523e-19
1;7;7;2;2.2091111849172523e-19
1;7;8;1;2.2091111849172523e-19
1;7;8;2;2.2091111849172523e-19
1;8;1;1;2.2640986491344824e-19
1;8;1;2;2.2640986491344824e-19
1;8;2;1;2.2640986491344824e-19
1;8;2;2;2.2640986491344824e-19
1;8;3;1;2.2640986491344824e-19
1;8;3;2;2.2640986491344824e-19
1;8;4;1;2.2640986491344824e-19
1;8;4;2;2.2640986491344824e-19
1;8;5;1;2.2640986491344824e-19
1;8;5;2;2.2640986491344824e-19
1;8;6;1;2.2640986491344824e-19
1;8;6;2;2.2640986491344824e-19
1;8;7;1;2.2640986491344824e-19
1;8;7;2;2.2640986491344824e-19
1;8;8;1;2.2640986491344824e-19
1;8;8;2;2.2640986491344824e-19
1;9;1;1;7.465052503279496e-19
1;9;1;2;7.465052503279496e-19
1;9;2;1;7.465052503279496e-19
1;9;2;2;7.465052503279496e-19
1;9;3;1;7.465052503279496e-19
1;9;3;2;7.465052503279496e-19
1;9;4;1;7.465052503279496e-19
1;9;4;2;7.465052503279496e-19
1;9;5;1;7.465052503279496e-19
1;9;5;2;7.465052503279496e-19
1;9;6;1;7.465052503279496e-19
1;9;6;2;7.465052503279496e-19
1;9;7;1;7.465052503279496e-19
1;9;7;2;7.465052503279496e-19
1;9;8;1;7.465052503279496e-19
1;9;8;2;7.465052503279496e-19
1;10;1;1;8.864977731703437e-19
1;10;1;2;8.864977731703437e-19
1;10;2;1;8.864977731703437e-19
1;10;2;2;8.864977731703437e-19
1;10;3;1;8.864977731703437e-19
1;10;3;2;8.864977731703437e-19
1;10;4;1;8.864977731703437e-19
1;10;4;2;8.864977731703437e-19
1;10;5;1;8.864977731703437e-19
1;10;5;2;8.864977731703437e-19
1;10;6;1;8.864977731703437e-19
1;10;6;2;8.864977731703437e-19
1;10;7;1;8.864977731703437e-19
1;10;7;2;8.864977731703437e-19
1;10;8;1;8.864977731703437e-19
1;10;8;2;8.864977731703437e-19
1;11;1;1;8.900383392107846e-19
1;11;1;2;8.900383392107846e-19
1;11;2;1;8.900383392107846e-19
1;11;2;2;8.900383392107846e-19
1;11;3;1;8.900383392107846e-19
1;11;3;2;8.900383392107846e-19
1;11;4;1;8.900383392107846e-19
1;11;4;2;8.900383392107846e-19
1;11;5;1;8.900383392107846e-19
1;11;5;2;8.900383392107846e-19
1;11;6;1;8.900383392107846e-19
1;11;6;2;8.900383392107846e-19
1;11;7;1;8.900383392107846e-19
1;11;7;2;8.900383392107846e-19
1;11;8;1;8.900383392107846e-19
1;11;8;2;8.900383392107846e-19
1;12;1;1;9.232591861175884e-19
1;12;1;2;9.232591861175884e-19
1;12;2;1;9.232591861175884e-19
1;12;2;2;9.232591861175884e-19
1;12;3;1;9.232591861175884e-19
1;12;3;2;9.232591861175884e-19
1;12;4;1;9.232591861175884e-19
1;12;4;2;9.232591861175884e-19
1;12;5;1;9.232591861175884e-19
1;12;5;2;9.232591861175884e-19
1;12;6;1;9.232591861175884e-19
1;12;6;2;9.232591861175884e-19
1;12;7;1;9.232591861175884e-19
1;12;7;2;9.232591861175884e-19
1;12;8;1;9.232591861175884e-19
1;12;8;2;9.232591861175884e-19
1;13;1;1;8.297046544750379e-19
1;13;1;2;8.297046544750379e-19
1;13;2;1;8.297046544750379e-19
1;13;2;2;8.297046544750379e-19
1;13;3;1;8.297046544750379e-19
1;13;3;2;8.297046544750379e-19
1;13;4;1;8.297046544750379e-19
1;13;4;2;8.297046544750379e-19
1;13;5;1;8.297046544750379e-19
1;13;5;2;8.297046544750379e-19
1;13;6;1;8.297046544750379e-19
1;13;6;2;8.297046544750379e-19
1;13;7;1;8.297046544750379e-19
1;13;7;2;8.297046544750379e-19
1;13;8;1;8.297046544750379e-19
1;13;8;2;8.297046544750379e-19
1;14;1;1;8.54225641721418e-19
1;14;1;2;8.54225641721418e-19
1;14;2;1;8.54225641721418e-19
1;14;2;2;8.54225641721418e-19
1;14;3;1;8.54225641721418e-19
1;14;3;2;8.54225641721418e-19
1;14;4;1;8.54225641721418e-19
1;14;4;2;8.54225641721418e-19
1;14;5;1;8.54225641721418e-19
1;14;5;2;8.54225641721418e-19
1;14;6;1;8.54225641721418e-19
1;14;6;2;8.54225641721418e-19
1;14;7;1;8.54225641721418e-19
1;14;7;2;8.54225641721418e-19
1;14;8;1;8.54225641721418e-19
1;14;8;2;8.54225641721418e-19
1;15;1;1;8.553691895689984e-19
1;15;1;2;8.553691895689984e-19
1;15;2;1;8.553691895689984e-19
1;15;2;2;8.553691895689984e-19
1;15;3;1;8.553691895689984e-19
1;15;3;2;8.553691895689984e-19
1;15;4;1;8.553691895689984e-19
1;15;4;2;8.553691895689984e-19
1;15;5;1;8.553691895689984e-19
1;15;5;2;8.553691895689984e-19
1;15;6;1;8.553691895689984e-19
1;15;6;2;8.553691895689984e-19
1;15;7;1;8.553691895689984e-19
1;15;7;2;8.553691895689984e-19
1;15;8;1;8.553691895689984e-19
1;15;8;2;8.553691895689984e-19
1;16;1;1;8.500028222300604e-19
1;16;1;2;8.500028222300604e-19
1;16;2;1;8.500028222300604e-19
1;16;2;2;8.500028222300604e-19
1;16;3;1;8.500028222300604e-19
1;16;3;2;8.500028222300604e-19
1;16;4;1;8.500028222300604e-19
1;16;4;2;8.500028222300604e-19
1;16;5;1;8.500028222300604e-19
1;16;5;2;8.500028222300604e-19
1;16;6;1;8.500028222300604e-19
1;16;6;2;8.500028222300604e-19
1;16;7;1;8.500028222300604e-19
1;16;7;2;8.500028222300604e-19
1;16;8;1;8.500028222300604e-19
1;16;8;2;8.500028222300604e-19
1;17;1;1;7.465055460208243e-19
1;17;1;2;7.465055460208243e-19
1;17;2;1;7.465055460208243e-19
1;17;2;2;7.465055460208243e-19
1;17;3;1;7.465055460208243e-19
1;17;3;2;7.465055460208243e-19
1;17;4;1;7.465055460208243e-19
1;17;4;2;7.465055460208243e-19
1;17;5;1;7.465055460208243e-19
1;17;5;2;7.465055460208243e-19
1;17;6;1;7.465055460208243e-19
1;17;6;2;7.465055460208243e-19
1;17;7;1;7.465055460208243e-19
1;17;7;2;7.465055460208243e-19
1;17;8;1;7.465055460208243e-19
1;17;8;2;7.465055460208243e-19
1;18;1;1;8.865078256721906e-19
1;18;1;2;8.865078256721906e-19
1;18;2;1;8.865078256721906e-19
1;18;2;2;8.865078256721906e-19
1;18;3;1;8.865078256721906e-19
1;18;3;2;8.865078256721906e-19
1;18;4;1;8.865078256721906e-19
1;18;4;2;8.865078256721906e-19
1;18;5;1;8.865078256721906e-19
1;18;5;2;8.865078256721906e-19
1;18;6;1;8.865078256721906e-19
1;18;6;2;8.865078256721906e-19
1;18;7;1;8.865078256721906e-19
1;18;7;2;8.865078256721906e-19
1;18;8;1;8.865078256721906e-19
1;18;8;2;8.865078256721906e-19
1;19;1;1;8.900538468086561e-19
1;19;1;2;8.900538468086561e-19
1;19;2;1;8.900538468086561e-19
1;19;2;2;8.900538468086561e-19
1;19;3;1;8.900538468086561e-19
1;19;3;2;8.900538468086561e-19
1;19;4;1;8.900538468086561e-19
1;19;4;2;8.900538468086561e-19
1;19;5;1;8.900538468086561e-19
1;19;5;2;8.900538468086561e-19
1;19;6;1;8.900538468086561e-19
1;19;6;2;8.900538468086561e-19
1;19;7;1;8.900538468086561e-19
1;19;7;2;8.900538468086561e-19
1;19;8;1;8.900538468086561e-19
1;19;8;2;8.900538468086561e-19
1;20;1;1;9.232636442139274e-19
