;;;;0
1;1;1;1;1.0887760607928636e-11
1;1;1;2;1.330222148838972e-14
1;1;2;1;1.0887760607928636e-11
1;1;2;2;1.330222148838972e-14
1;1;3;1;1.0887760607928636e-11
1;1;3;2;1.330222148838972e-14
1;1;4;1;7.634733522895394e-11
1;1;4;2;1.330222148838972e-14
1;1;5;1;1.0887760607928636e-11
1;1;5;2;1.330222148838972e-14
1;1;6;1;1.0887760607928636e-11
1;1;6;2;1.330222148838972e-14
1;1;7;1;1.0887760607928636e-11
1;1;7;2;1.330222148838972e-14
1;1;8;1;1.0887760607928636e-11
1;1;8;2;1.330222148838972e-14
1;2;1;1;1.0887760642746323e-11
1;2;1;2;1.330222148838972e-14
1;2;2;1;1.0887760642746323e-11
1;2;2;2;1.330222148838972e-14
1;2;3;1;1.0887760642746323e-11
1;2;3;2;1.330222148838972e-14
1;2;4;1;7.634443738651634e-11
1;2;4;2;1.330222148838972e-14
1;2;5;1;1.0887760642746323e-11
1;2;5;2;1.330222148838972e-14
1;2;6;1;1.0887760642746323e-11
1;2;6;2;1.330222148838972e-14
1;2;7;1;1.0887760642746323e-11
1;2;7;2;1.330222148838972e-14
1;2;8;1;1.0887760642746323e-11
1;2;8;2;1.330222148838972e-14
1;3;1;1;1.0887755442000423e-11
1;3;1;2;1.330222148838972e-14
1;3;2;1;1.0887755442000423e-11
1;3;2;2;1.330222148838972e-14
1;3;3;1;1.0887755442000423e-11
1;3;3;2;1.330222148838972e-14
1;3;4;1;7.634347563431191e-11
1;3;4;2;1.330222148838972e-14
1;3;5;1;1.0887755442000423e-11
1;3;5;2;1.330222148838972e-14
1;3;6;1;1.0887755442000423e-11
1;3;6;2;1.330222148838972e-14
1;3;7;1;1.0887755442000423e-11
1;3;7;2;1.330222148838972e-14
1;3;8;1;1.0887755442000423e-11
1;3;8;2;1.330222148838972e-14
1;4;1;1;1.0887747409722641e-11
1;4;1;2;1.330222148838972e-14
1;4;2;1;1.0887747409722641e-11
1;4;2;2;1.330222148838972e-14
1;4;3;1;1.0887747409722641e-11
1;4;3;2;1.330222148838972e-14
1;4;4;1;7.634335940238625e-11
1;4;4;2;1.330222148838972e-14
1;4;5;1;1.0887747409722641e-11
1;4;5;2;1.330222148838972e-14
1;4;6;1;1.0887747409722641e-11
1;4;6;2;1.330222148838972e-14
1;4;7;1;1.0887747409722641e-11
1;4;7;2;1.330222148838972e-14
1;4;8;1;1.0887747409722641e-11
1;4;8;2;1.330222148838972e-14
1;5;1;1;1.0887730687541948e-11
1;5;1;2;1.330222148838972e-14
1;5;2;1;1.0887730687541948e-11
1;5;2;2;1.330222148838972e-14
1;5;3;1;1.0887730687541948e-11
1;5;3;2;1.330222148838972e-14
1;5;4;1;7.635032037756559e-11
1;5;4;2;1.330222148838972e-14
1;5;5;1;1.0887730687541948e-11
1;5;5;2;1.330222148838972e-14
1;5;6;1;1.0887730687541948e-11
1;5;6;2;1.330222148838972e-14
1;5;7;1;1.0887730687541948e-11
1;5;7;2;1.330222148838972e-14
1;5;8;1;1.0887730687541948e-11
1;5;8;2;1.330222148838972e-14
1;6;1;1;1.0887751009351278e-11
1;6;1;2;1.330222148838972e-14
1;6;2;1;1.0887751009351278e-11
1;6;2;2;1.330222148838972e-14
1;6;3;1;1.0887751009351278e-11
1;6;3;2;1.330222148838972e-14
1;6;4;1;7.634988515689657e-11
1;6;4;2;1.330222148838972e-14
1;6;5;1;1.0887751009351278e-11
1;6;5;2;1.330222148838972e-14
1;6;6;1;1.0887751009351278e-11
1;6;6;2;1.330222148838972e-14
1;6;7;1;1.0887751009351278e-11
1;6;7;2;1.330222148838972e-14
1;6;8;1;1.0887751009351278e-11
