;;;0
1;1;1;3.593792581471163e-13
1;1;2;6.721198277153311e-15
1;2;1;3.5946516902958313e-13
1;2;2;6.721198277153311e-15
1;3;1;3.5938435005920896e-13
1;3;2;6.721198277153311e-15
1;4;1;3.5916170401126054e-13
1;4;2;6.721198277153311e-15
1;5;1;3.5873930464505065e-13
1;5;2;6.721198277153311e-15
1;6;1;3.5939527413063314e-13
1;6;2;6.721198277153311e-15
1;7;1;3.593345897951597e-13
1;7;2;6.721198277153311e-15
1;8;1;3.589570729644368e-13
1;8;2;6.721198277153311e-15
1;9;1;4.744738080214453e-13
1;9;2;0.0
1;10;1;4.745853209677425e-13
1;10;2;0.0
1;11;1;4.744748820062829e-13
1;11;2;0.0
1;12;1;4.742733473115589e-13
1;12;2;0.0
1;13;1;4.737178093975667e-13
1;13;2;0.0
1;14;1;4.742447857311544e-13
1;14;2;0.0
1;15;1;4.741627912477943e-13
1;15;2;0.0
1;16;1;4.739141854631186e-13
1;16;2;0.0
1;17;1;4.743986224786062e-13
1;17;2;0.0
1;18;1;4.745512427543968e-13
1;18;2;0.0
1;19;1;4.744653621103445e-13
1;19;2;0.0
1;20;1;4.742402267086647e-13
1;20;2;0.0
1;21;1;4.736910932637262e-13
1;21;2;0.0
1;22;1;4.742383018395269e-13
1;22;2;0.0
1;23;1;4.741286574743811e-13
1;23;2;0.0
1;24;1;4.738887327715632e-13
1;24;2;0.0
1;25;1;4.742870846110115e-13
1;25;2;0.0
1;26;1;4.743884110861454e-13
1;26;2;0.0
1;27;1;4.743283162028852e-13
1;27;2;0.0
1;28;1;4.740102071429575e-13
1;28;2;0.0
1;29;1;4.734791221172404e-13
1;29;2;0.0
1;30;1;4.741892111980359e-13
1;30;2;0.0
1;31;1;4.740762949299033e-13
1;31;2;0.0
1;32;1;4.734683354305898e-13
1;32;2;0.0
1;33;1;4.742843339906293e-13
1;33;2;0.0
1;34;1;4.743799919756964e-13
1;34;2;0.0
1;35;1;4.743163852011927e-13
1;35;2;0.0
1;36;1;4.739316853623322e-13
1;36;2;0.0
1;37;1;4.734633222660915e-13
1;37;2;0.0
1;38;1;4.741300594859624e-13
1;38;2;0.0
1;39;1;4.740213127639825e-13
1;39;2;0.0
1;40;1;4.732774042119369e-13
1;40;2;0.0
1;41;1;8.838210829020087e-13
1;41;2;0.0
1;42;1;8.839941873196699e-13
1;42;2;0.0
1;43;1;8.835927719473399e-13
1;43;2;0.0
1;44;1;8.831222130637673e-13
1;44;2;0.0
1;45;1;8.824249861518061e-13
1;45;2;0.0
1;46;1;8.833974779134386e-13
1;46;2;0.0
1;47;1;8.832167378113952e-13
1;47;2;0.0
1;48;1;8.822134414731744e-13
1;48;2;0.0
1;49;1;8.838210512970919e-13
1;49;2;0.0
1;50;1;8.840001568902448e-13
1;50;2;0.0
1;51;1;8.836629168103448e-13
1;51;2;0.0
1;52;1;8.831776241062921e-13
1;52;2;0.0
1;53;1;8.824044787429993e-13
1;53;2;0.0
1;54;1;8.834743732055167e-13
1;54;2;0.0
1;55;1;8.832923434958111e-13
1;55;2;0.0
1;56;1;8.829048926262869e-13
1;56;2;0.0
1;57;1;8.838925785178667e-13
1;57;2;0.0
1;58;1;8.840759439455905e-13
1;58;2;0.0
1;59;1;8.839856433512705e-13
1;59;2;0.0
1;60;1;8.835766121468931e-13
1;60;2;0.0
1;61;1;8.823799663506595e-13
1;61;2;0.0
1;62;1;8.83571562559978e-13
1;62;2;0.0
1;63;1;8.833925883098714e-13
1;63;2;0.0
1;64;1;8.828770074016907e-13
1;64;2;0.0
1;65;1;8.838940701428868e-13
1;65;2;0.0
1;66;1;8.840832440461069e-13
1;66;2;0.0
1;67;1;8.840131462993096e-13
1;67;2;0.0
1;68;1;8.836332024710387e-13
1;68;2;0.0
1;69;1;8.8238221697014e-13
1;69;2;0.0
1;70;1;8.836162689059945e-13
1;70;2;0.0
1;71;1;8.834534255513355e-13
1;71;2;0.0
1;72;1;8.828702642253372e-13
1;72;2;0.0
1;73;1;8.837490895484151e-13
1;73;2;0.0
1;74;1;8.839586001833031e-13
1;74;2;0.0
1;75;1;8.835780729610897e-13
1;75;2;0.0
1;76;1;8.830480933927782e-13
1;76;2;0.0
1;77;1;8.823484695893346e-13
1;77;2;0.0
1;78;1;8.833814521559556e-13
1;78;2;0.0
1;79;1;8.831996896322054e-13
1;79;2;0.0
1;80;1;8.828884611400222e-13
1;80;2;0.0
1;81;1;8.837479740060235e-13
1;81;2;0.0
1;82;1;8.839734244245504e-13
1;82;2;0.0
1;83;1;8.836513759334989e-13
1;83;2;0.0
1;84;1;8.831282116981601e-13
1;84;2;0.0
1;85;1;8.82354713280947e-13
1;85;2;0.0
1;86;1;8.834775552965413e-13
1;86;2;0.0
1;87;1;8.832798446776414e-13
1;87;2;0.0
1;88;1;8.82876089323855e-13
1;88;2;0.0
1;89;1;8.837624989270031e-13
1;89;2;0.0
1;90;1;8.840135193643833e-13
1;90;2;0.0
1;91;1;8.839658048337942e-13
1;91;2;0.0
1;92;1;8.835524953189397e-13
1;92;2;0.0
1;93;1;8.823743894327953e-13
1;93;2;0.0
1;94;1;8.835609452137424e-13
1;94;2;0.0
1;95;1;8.833419807382509e-13
1;95;2;0.0
1;96;1;8.828745722878465e-13
1;96;2;0.0
1;97;1;8.837629479603442e-13
1;97;2;0.0
1;98;1;8.840216927558683e-13
1;98;2;0.0
1;99;1;8.8401040318311e-13
1;99;2;0.0
1;100;1;8.83619522465424e-13
1;100;2;0.0
1;101;1;8.823886484383689e-13
1;101;2;0.0
1;102;1;8.836140343272005e-13
1;102;2;0.0
1;103;1;8.833886321366122e-13
1;103;2;0.0
1;104;1;8.82157091918144e-13
1;104;2;0.0
1;105;1;8.836604573972429e-13
1;105;2;0.0
1;106;1;8.837976075956338e-13
1;106;2;0.0
1;107;1;8.834948456212749e-13
1;107;2;0.0
1;108;1;8.828546741604265e-13
1;108;2;0.0
1;109;1;8.821412265675255e-13
1;109;2;0.0
1;110;1;8.833786199954174e-13
1;110;2;0.0
1;111;1;8.831367515372739e-13
1;111;2;0.0
1;112;1;8.819318173648328e-13
1;112;2;0.0
1;113;1;8.83651897282278e-13
1;113;2;0.0
1;114;1;8.838005403942741e-13
1;114;2;0.0
1;115;1;8.835427600516396e-13
1;115;2;0.0
1;116;1;8.829041293437223e-13
1;116;2;0.0
1;117;1;8.821398315042613e-13
1;117;2;0.0
1;118;1;8.8346135399148e-13
1;118;2;0.0
1;119;1;8.83222973297376e-13
1;119;2;0.0
1;120;1;8.825113138439661e-13
1;120;2;0.0
1;121;1;8.835883023662355e-13
1;121;2;0.0
1;122;1;8.838133212744152e-13
1;122;2;0.0
1;123;1;8.837661426509839e-13
1;123;2;0.0
1;124;1;8.832876862439693e-13
1;124;2;0.0
1;125;1;8.821260322258198e-13
1;125;2;0.0
1;126;1;8.83484982769637e-13
1;126;2;0.0
1;127;1;8.832775597533266e-13
1;127;2;0.0
1;128;1;8.819274688565003e-13
1;128;2;0.0
1;129;1;8.835347840717709e-13
1;129;2;0.0
1;130;1;8.837160305936376e-13
1;130;2;0.0
1;131;1;8.836927147941545e-13
1;131;2;0.0
1;132;1;8.831548622663565e-13
1;132;2;0.0
1;133;1;8.819290278206397e-13
1;133;2;0.0
1;134;1;8.833924552198196e-13
1;134;2;0.0
1;135;1;8.83283400521954e-13
1;135;2;0.0
1;136;1;8.824918307626903e-13
1;136;2;0.0
1;137;1;8.83611835006153e-13
1;137;2;0.0
1;138;1;8.837352613120347e-13
1;138;2;0.0
1;139;1;8.834444216440457e-13
1;139;2;0.0
1;140;1;8.827242292866043e-13
1;140;2;0.0
1;141;1;8.820868984566237e-13
1;141;2;0.0
1;142;1;8.831957240886441e-13
1;142;2;0.0
1;143;1;8.830405585053168e-13
1;143;2;0.0
1;144;1;8.824408673313529e-13
1;144;2;0.0
1;145;1;8.836084946787859e-13
1;145;2;0.0
1;146;1;8.837441783455078e-13
1;146;2;0.0
1;147;1;8.835021999318999e-13
1;147;2;0.0
1;148;1;8.827729023408524e-13
1;148;2;0.0
1;149;1;8.820887701876789e-13
1;149;2;0.0
1;150;1;8.832916368585749e-13
1;150;2;0.0
1;151;1;8.831255502677003e-13
1;151;2;0.0
1;152;1;8.824393347840535e-13
1;152;2;0.0
1;153;1;8.836125788069598e-13
1;153;2;0.0
1;154;1;8.838135477498495e-13
1;154;2;0.0
1;155;1;8.837413062156023e-13
1;155;2;0.0
1;156;1;8.831461593734004e-13
1;156;2;0.0
1;157;1;8.820643204228377e-13
1;157;2;0.0
1;158;1;8.834731164733207e-13
1;158;2;0.0
1;159;1;8.832405436194382e-13
1;159;2;0.0
1;160;1;8.812444673334927e-13
1;160;2;0.0
1;161;1;8.835911488204547e-13
1;161;2;0.0
1;162;1;8.837952235684642e-13
1;162;2;0.0
1;163;1;8.837536272097926e-13
1;163;2;0.0
1;164;1;8.831805546285313e-13
1;164;2;0.0
1;165;1;8.820389274868098e-13
1;165;2;0.0
1;166;1;8.83488007841929e-13
1;166;2;0.0
1;167;1;8.832784093803123e-13
1;167;2;0.0
1;168;1;8.818818726494332e-13
1;168;2;0.0
2;1;1;7.150039277435084e-17
2;1;2;7.150039277435084e-17
2;2;1;7.150039277435084e-17
2;2;2;7.150039277435084e-17
