;;;0
1;1;1;23.970863013078056
1;1;2;2.27278598894998e-14
1;2;1;23.970863013077903
1;2;2;2.27278598894998e-14
1;3;1;23.970863013698963
1;3;2;2.27278598894998e-14
1;4;1;23.970863013698963
1;4;2;2.27278598894998e-14
1;5;1;23.970863013698963
1;5;2;2.27278598894998e-14
1;6;1;23.970863013698963
1;6;2;2.27278598894998e-14
1;7;1;23.970863013698963
1;7;2;2.27278598894998e-14
1;8;1;23.970863013698963
1;8;2;2.27278598894998e-14
1;9;1;2.1137581910022078e-10
1;9;2;0.0
1;10;1;2.1141863708326668e-10
1;10;2;0.0
1;11;1;2.6469779601696886e-23
1;11;2;0.0
1;12;1;2.6469779601696886e-23
1;12;2;0.0
1;13;1;2.6469779601696886e-23
1;13;2;0.0
1;14;1;2.6469779601696886e-23
1;14;2;0.0
1;15;1;2.6469779601696886e-23
1;15;2;0.0
1;16;1;2.6469779601696886e-23
1;16;2;0.0
1;17;1;2.1136782491846108e-10
1;17;2;0.0
1;18;1;2.1138957218614404e-10
1;18;2;0.0
1;19;1;2.6469779601696886e-23
1;19;2;0.0
1;20;1;2.6469779601696886e-23
1;20;2;0.0
1;21;1;2.6469779601696886e-23
1;21;2;0.0
1;22;1;2.6469779601696886e-23
1;22;2;0.0
1;23;1;2.6469779601696886e-23
1;23;2;0.0
1;24;1;2.6469779601696886e-23
1;24;2;0.0
1;25;1;2.113924231702955e-10
1;25;2;0.0
1;26;1;2.1143716611364105e-10
1;26;2;0.0
1;27;1;2.6469779601696886e-23
1;27;2;0.0
1;28;1;2.6469779601696886e-23
1;28;2;0.0
1;29;1;2.6469779601696886e-23
1;29;2;0.0
1;30;1;2.6469779601696886e-23
1;30;2;0.0
1;31;1;2.6469779601696886e-23
1;31;2;0.0
1;32;1;2.6469779601696886e-23
1;32;2;0.0
1;33;1;2.113891447309672e-10
1;33;2;0.0
1;34;1;2.1142101420669425e-10
1;34;2;0.0
1;35;1;2.6469779601696886e-23
1;35;2;0.0
1;36;1;2.6469779601696886e-23
1;36;2;0.0
1;37;1;2.6469779601696886e-23
1;37;2;0.0
1;38;1;2.6469779601696886e-23
1;38;2;0.0
1;39;1;2.6469779601696886e-23
1;39;2;0.0
1;40;1;2.6469779601696886e-23
1;40;2;0.0
1;41;1;4.256293095750152e-10
1;41;2;0.0
1;42;1;4.255831242971908e-10
1;42;2;0.0
1;43;1;0.0
1;43;2;0.0
1;44;1;0.0
1;44;2;0.0
1;45;1;0.0
1;45;2;0.0
1;46;1;0.0
1;46;2;0.0
1;47;1;0.0
1;47;2;0.0
1;48;1;0.0
1;48;2;0.0
1;49;1;4.1887915358529426e-10
1;49;2;0.0
1;50;1;4.1874415046549984e-10
1;50;2;0.0
1;51;1;0.0
1;51;2;0.0
1;52;1;0.0
1;52;2;0.0
1;53;1;0.0
1;53;2;0.0
1;54;1;0.0
1;54;2;0.0
1;55;1;0.0
1;55;2;0.0
1;56;1;0.0
1;56;2;0.0
1;57;1;4.256293095750152e-10
1;57;2;0.0
1;58;1;4.255866770108696e-10
1;58;2;0.0
1;59;1;0.0
1;59;2;0.0
1;60;1;0.0
1;60;2;0.0
1;61;1;0.0
1;61;2;0.0
1;62;1;0.0
1;62;2;0.0
1;63;1;0.0
1;63;2;0.0
1;64;1;0.0
1;64;2;0.0
1;65;1;4.1874770317917864e-10
1;65;2;0.0
1;66;1;4.184599333711958e-10
1;66;2;0.0
1;67;1;0.0
1;67;2;0.0
1;68;1;0.0
1;68;2;0.0
1;69;1;0.0
1;69;2;0.0
1;70;1;0.0
1;70;2;0.0
1;71;1;0.0
1;71;2;0.0
1;72;1;0.0
1;72;2;0.0
1;73;1;4.256435204297304e-10
1;73;2;0.0
1;74;1;4.256186514339788e-10
1;74;2;0.0
1;75;1;0.0
1;75;2;0.0
1;76;1;0.0
1;76;2;0.0
1;77;1;0.0
1;77;2;0.0
1;78;1;0.0
1;78;2;0.0
1;79;1;0.0
1;79;2;0.0
1;80;1;0.0
1;80;2;0.0
1;81;1;4.1884007373482746e-10
1;81;2;0.0
1;82;1;4.1864112176881463e-10
1;82;2;0.0
1;83;1;0.0
1;83;2;0.0
1;84;1;0.0
1;84;2;0.0
1;85;1;0.0
1;85;2;0.0
