;;;;0
1;1;1;1;3.7168899862222985e-10
1;1;1;2;4.2250627448377816e-13
1;1;2;1;3.7168899862222985e-10
1;1;2;2;4.2250627448377816e-13
1;1;3;1;3.7168899862222985e-10
1;1;3;2;4.2250627448377816e-13
1;1;4;1;2.6041241124486145e-09
1;1;4;2;4.2250627448377816e-13
1;1;5;1;3.7168899862222985e-10
1;1;5;2;4.2250627448377816e-13
1;1;6;1;3.7168899862222985e-10
1;1;6;2;4.2250627448377816e-13
1;1;7;1;3.7168899862222985e-10
1;1;7;2;4.2250627448377816e-13
1;1;8;1;3.7168899862222985e-10
1;1;8;2;4.2250627448377816e-13
1;2;1;1;3.7168862537424997e-10
1;2;1;2;4.2250627448377816e-13
1;2;2;1;3.7168862537424997e-10
1;2;2;2;4.2250627448377816e-13
1;2;3;1;3.7168862537424997e-10
1;2;3;2;4.2250627448377816e-13
1;2;4;1;2.6041219940535182e-09
1;2;4;2;4.2250627448377816e-13
1;2;5;1;3.7168862537424997e-10
1;2;5;2;4.2250627448377816e-13
1;2;6;1;3.7168862537424997e-10
1;2;6;2;4.2250627448377816e-13
1;2;7;1;3.7168862537424997e-10
1;2;7;2;4.2250627448377816e-13
1;2;8;1;3.7168862537424997e-10
1;2;8;2;4.2250627448377816e-13
1;3;1;1;3.716897692897571e-10
1;3;1;2;4.2250627448377816e-13
1;3;2;1;3.716897692897571e-10
1;3;2;2;4.2250627448377816e-13
1;3;3;1;3.716897692897571e-10
1;3;3;2;4.2250627448377816e-13
1;3;4;1;2.603895875875297e-09
1;3;4;2;4.2250627448377816e-13
1;3;5;1;3.716897692897571e-10
1;3;5;2;4.2250627448377816e-13
1;3;6;1;3.716897692897571e-10
1;3;6;2;4.2250627448377816e-13
1;3;7;1;3.716897692897571e-10
1;3;7;2;4.2250627448377816e-13
1;3;8;1;3.716897692897571e-10
1;3;8;2;4.2250627448377816e-13
1;4;1;1;3.716899570372568e-10
1;4;1;2;4.2250627448377816e-13
1;4;2;1;3.716899570372568e-10
1;4;2;2;4.2250627448377816e-13
1;4;3;1;3.716899570372568e-10
1;4;3;2;4.2250627448377816e-13
1;4;4;1;2.603901955693139e-09
1;4;4;2;4.2250627448377816e-13
1;4;5;1;3.716899570372568e-10
1;4;5;2;4.2250627448377816e-13
1;4;6;1;3.716899570372568e-10
1;4;6;2;4.2250627448377816e-13
1;4;7;1;3.716899570372568e-10
