;;0
1;37;4.3872962107414535e-16
1;3;3.614023327218883e-16
1;54;2.5309491378863884e-17
1;15;6.4201847211047e-16
1;7;3.50155700401726e-16
1;42;8.008154025532638e-16
1;1;1.7759548327841192e-16
1;55;3.615775856132531e-18
1;45;5.378259140990714e-16
1;47;2.5288387869064588e-17
1;43;4.88233917263999e-16
1;48;2.5288531066522915e-17
1;44;7.985429568530674e-16
1;2;2.7977490989907126e-14
1;52;2.5405769946379275e-17
1;56;3.615775856132531e-18
1;4;5.540269657467971e-16
1;8;4.763367926843611e-16
1;21;6.240320257597618e-16
1;49;2.5398636587336672e-17
1;40;2.652302641589885e-15
1;51;2.6471591231396415e-17
1;5;5.536162395898432e-16
1;53;2.531470947950361e-17
1;29;7.042453643469821e-16
1;61;7.042453643469821e-16
1;31;8.683143775301373e-17
1;16;6.250139546814378e-16
1;32;5.414079261766998e-15
1;33;1.178341762338357e-15
1;19;8.257170135095547e-16
1;24;6.871172627757299e-16
1;30;2.5401951285098376e-15
1;34;2.652302641589885e-15
1;58;3.615775856132531e-18
1;6;3.485867192852244e-16
1;20;1.5659434483026771e-15
1;27;3.42610107626728e-16
1;28;3.47308949543464e-16
1;9;7.5677489269709e-16
1;35;1.7759548327841192e-16
1;60;3.615775856132531e-18
1;46;7.654177012485658e-16
1;12;1.178341762338357e-15
1;59;3.615775856132531e-18
1;13;1.095866237293793e-14
1;14;6.250526423297529e-16
1;10;3.3939597530944557e-16
1;36;4.157009119721324e-16
1;17;7.24376089440308e-16
1;57;3.615775856132531e-18
1;38;1.7759548327841192e-16
1;50;3.615775856132531e-18
1;11;3.4353967077729e-16
1;25;3.0139189773294116e-16
1;41;4.610504449409567e-16
1;18;1.2688546520427585e-15
1;22;1.2767661819916595e-15
1;23;1.013802481470131e-15
1;39;2.304915104004361e-16
1;26;3.0139189773294116e-16
2;37;4.3866064391432524e-16
2;3;3.607489408225283e-16
2;54;3.594151967442985e-18
2;15;6.60799336640505e-16
2;7;3.490150673492842e-16
2;42;8.394906010026072e-16
