;;;0
1;1;1;8.49259629790428e-17
1;1;2;8.49259629790428e-17
1;2;1;5.096114304259263e-16
1;2;2;5.096114304259263e-16
1;3;1;5.351062231650149e-16
1;3;2;5.351062231650149e-16
1;4;1;5.228558134704917e-16
1;4;2;5.228558134704917e-16
1;5;1;1.9021900276708616e-16
1;5;2;1.9021900276708616e-16
1;6;1;1.870379121785139e-16
1;6;2;1.870379121785139e-16
1;7;1;1.8638411097116324e-16
1;7;2;1.8638411097116324e-16
1;8;1;1.8319127262428808e-16
1;8;2;1.8319127262428808e-16
1;9;1;1.8437503557200399e-16
1;9;2;1.8437503557200399e-16
1;10;1;1.3509298187700602e-16
1;10;2;1.3509298187700602e-16
1;11;1;1.3692476428046478e-16
1;11;2;1.3692476428046478e-16
1;12;1;1.2874731071022258e-16
1;12;2;1.2874731071022258e-16
1;13;1;2.6526538471685703e-16
1;13;2;2.6526538471685703e-16
1;14;1;2.5416652668442844e-16
1;14;2;2.5416652668442844e-16
1;15;1;2.540005212088675e-16
1;15;2;2.540005212088675e-16
1;16;1;2.7254693433154276e-16
1;16;2;2.7254693433154276e-16
1;17;1;1.8437529883162453e-16
1;17;2;1.8437529883162453e-16
1;18;1;1.3509677769736152e-16
1;18;2;1.3509677769736152e-16
1;19;1;1.3693535682076065e-16
1;19;2;1.3693535682076065e-16
1;20;1;1.2874774288907052e-16
1;20;2;1.2874774288907052e-16
1;21;1;2.652610252973143e-16
1;21;2;2.652610252973143e-16
1;22;1;2.5415572251312325e-16
1;22;2;2.5415572251312325e-16
1;23;1;2.539973652984429e-16
1;23;2;2.539973652984429e-16
1;24;1;2.7254735688936737e-16
1;24;2;2.7254735688936737e-16
1;25;1;1.843746588439435e-16
1;25;2;1.843746588439435e-16
1;26;1;1.350974549704712e-16
1;26;2;1.350974549704712e-16
1;27;1;1.369346735796721e-16
1;27;2;1.369346735796721e-16
1;28;1;1.287576020408571e-16
1;28;2;1.287576020408571e-16
1;29;1;2.6668937256162987e-16
1;29;2;2.6668937256162987e-16
1;30;1;2.5420929680591637e-16
1;30;2;2.5420929680591637e-16
1;31;1;2.540251364486271e-16
1;31;2;2.540251364486271e-16
1;32;1;2.723831510580677e-16
1;32;2;2.723831510580677e-16
1;33;1;1.8437470625930542e-16
1;33;2;1.8437470625930542e-16
