;;;0
1;1;1;0.0003719277841864749
1;2;1;0.000334665783421325
1;3;1;0.0003973885734124523
1;4;1;0.00027204994060707125
1;5;1;0.0002081185411021676
1;6;1;0.00029359766844512893
1;7;1;0.00022781930183712358
1;8;1;0.00023422894943021368
1;9;1;0.0002886368624571509
1;10;1;0.0002503034825672117
1;11;1;0.000310820819582507
1;12;1;0.0003811359279995425
1;13;1;0.0002602921360570277
1;14;1;0.00021944616260493596
1;15;1;0.00024910285418603767
1;16;1;0.00039960174148313376
1;17;1;0.00034903075795486127
1;18;1;0.00037916086371817014
1;19;1;0.00032285543641498204
1;20;1;0.00027837352498693066
1;21;1;0.00020591401925847282
1;22;1;0.0002120822375903363
1;23;1;0.00020558958621818044
1;24;1;0.0003745980502093051
1;25;1;0.00026836669300278306
1;26;1;0.00022880656794005617
1;27;1;0.0003577875236274782
1;28;1;0.0002503159863416216
1;29;1;0.0002705393782431665
1;30;1;0.00037870447595218283
1;31;1;0.0002735502605174702
1;32;1;0.00021786496721749827
1;33;1;0.0002622550956206187
1;34;1;0.00023059926334146106
1;35;1;0.0003484961550893689
1;36;1;0.00023450629378815192
1;37;1;0.00038522240091091314
1;38;1;0.00023779212608061206
1;39;1;0.00026493329768427395
1;40;1;0.00025360048844531554
1;41;1;0.00036741902143333174
1;42;1;0.0002673361506731419
1;43;1;0.0003311719096056925
1;44;1;0.0003942078260325919
1;45;1;0.00026117072573768893
1;46;1;0.000215219753835267
1;47;1;0.00023160914265343374
1;48;1;0.00035693394149563767
1;49;1;0.0002025618105465354
1;50;1;0.0003946679383271282
1;51;1;0.00025658583109529044
1;52;1;0.00020767851465801503
1;53;1;0.00023015764067078795
1;54;1;0.0003548764055107061
1;55;1;0.00022915826985007428
1;56;1;0.00031127853753726157
1;57;1;0.0002678658318401972
1;58;1;0.000316206753900446
1;59;1;0.0002877618642861606
1;60;1;0.0002671733355680504
1;61;1;0.00035439501019589667
1;62;1;0.0003723230283609542
1;63;1;0.0003856990075461601
1;64;1;0.0002330941653930107
1;65;1;0.0003323932889316324
1;66;1;0.00025865706802452327
1;67;1;0.0002532640837061189
1;68;1;0.00039743326775502696
1;69;1;0.00038914379739628843
1;70;1;0.00020246829827620818
1;71;1;0.0003831342705843379
1;72;1;0.0002856507216939157
1;73;1;0.00033218644457835036
1;74;1;0.00031546676988931525
1;75;1;0.00020661303345557812
1;76;1;0.00023681190997814461
1;77;1;0.00023927781391457233
1;78;1;0.00032692009423057193
1;79;1;0.0003229508109495821
1;80;1;0.00037254104629988005
1;81;1;0.00020543475224569079
1;82;1;0.0003682341611098032
1;83;1;0.0003675081440807259
1;84;1;0.0003733935642807068
1;85;1;0.0002587350170862743
1;86;1;0.0003888559445470908
1;87;1;0.00035376716109783137
1;88;1;0.0003525221044118369
1;89;1;0.0002657698533998964
1;90;1;0.00027294502462844514
1;91;1;0.00027682970790384804
1;92;1;0.0003782784164900839
1;93;1;0.00029753768757324363
1;94;1;0.0003492167183444998
1;95;1;0.00038249830733479384
1;96;1;0.0002087213826514118
1;97;1;0.00033519905609805074
1;98;1;0.0003376210638051645
1;99;1;0.0003535774761796445
1;100;1;0.000326855580075369
1;101;1;0.0002137768980796066
1;102;1;0.00037342136522593947
1;103;1;0.00025069176466832377
1;104;1;0.00031598062181004084
1;105;1;0.00028305295095889155
1;106;1;0.0003897985163074496
1;107;1;0.00035943695769866704
1;108;1;0.0003943920571768339
1;109;1;0.000312819827261686
1;110;1;0.00036341488720664333
1;111;1;0.0002804347855004105
1;112;1;0.00020332360965344583
1;113;1;0.00020788744222154614
1;114;1;0.0002196414343159437
1;115;1;0.0002648067967325244
1;116;1;0.0002427973603734103
1;117;1;0.00023256647950910714
1;118;1;0.00021961363337071185
1;119;1;0.00028025760435663435
1;120;1;0.00023132155584199032
1;121;1;0.0003544808952984729
1;122;1;0.0002142304924491833
1;123;1;0.00020748962785308852
1;124;1;0.0002933261769177661
1;125;1;0.0002983447130982357
1;126;1;0.00037620505125882374
1;127;1;0.0003265765064720337
1;128;1;0.0002300099897176404
1;129;1;0.0003824306886536471
1;130;1;0.0002503959306865231
1;131;1;0.00039851683952469685
1;132;1;0.00032358837042564657
1;133;1;0.0002772391400063584
1;134;1;0.00039267411838413954
1;135;1;0.0002807370043882928
1;136;1;0.00022936405005234272
1;137;1;0.00022770304333888063
1;138;1;0.0002697778451740088
1;139;1;0.0002715927547278231
1;140;1;0.0002696156951633001
1;141;1;0.00022287219679344698
1;142;1;0.00026504543259734005
1;143;1;0.00020502199467126414
1;144;1;0.0003377621968333525
1;145;1;0.0002721028821200021
1;146;1;0.00029572650254797655
1;147;1;0.0002543814422704727
1;148;1;0.00029202112871837656
1;149;1;0.0002868215538467067
1;150;1;0.000355283443273435
1;151;1;0.00032168420520556096
1;152;1;0.0003425639122447868
1;153;1;0.0002065144664679368
1;154;1;0.00038750566992961955
1;155;1;0.00029923394428903367
1;156;1;0.0002856368877307386
1;157;1;0.00035300961859497477
1;158;1;0.0003834914262683022
1;159;1;0.00036796932052627615
1;160;1;0.000384963280139084
1;161;1;0.000359689693564414
1;162;1;0.0003994590122284255
1;163;1;0.0002550112866516892
1;164;1;0.00038372088383062375
1;165;1;0.00024684738611256305
1;166;1;0.0002099334506559824
1;167;1;0.0002800931930250227
1;168;1;0.0003258872026529291
2;1;1;0.00026927317155577555
2;2;1;0.0002763592201369295
2;3;1;0.00038298701868782196
2;4;1;0.00037112535754099674
2;5;1;0.000232426676669686
2;6;1;0.0003981010936049355
2;7;1;0.0003890376483326747
2;8;1;0.00021539986139433083
2;9;1;0.00023705320622049455
2;10;1;0.0003650844071282156
2;11;1;0.00022421994405226068
2;12;1;0.00036233823241856207
2;13;1;0.0003264508036335438
2;14;1;0.0003852737461973228
2;15;1;0.00034517188034153927
2;16;1;0.00031421732358038985
2;17;1;0.0003080275561904987
