;;;0
1;9;1;-0.0002590557255980196
1;9;2;-0.0003827949394298545
1;9;3;-0.0003450883444869662
1;9;4;-0.00029488675437931396
1;9;5;-0.0003314157332066994
1;9;6;-0.00020391381440940283
1;9;7;-0.00028891314266407545
1;9;8;-0.0002799384920714099
2;9;1;-0.0003385145516000176
2;9;2;-0.00033962193374861827
2;9;3;-0.0002562692461687238
2;9;4;-0.0002300469689653659
2;9;5;-0.0002982151527123214
2;9;6;-0.000384350063117457
2;9;7;-0.0002746096228515789
2;9;8;-0.0003984572470679314
3;9;1;-0.0002526535270620254
3;9;2;-0.0002618700059725476
3;9;3;-0.00035550358951438806
3;9;4;-0.0002699909414144961
3;9;5;-0.000215383633091372
3;9;6;-0.00022570164131991972
3;9;7;-0.00029110622488437334
3;9;8;-0.0003588365104892035
4;9;1;-0.0002937909448729869
4;9;2;-0.0003851235678855187
4;9;3;-0.0003932987750291644
4;9;4;-0.00025882467180917643
4;9;5;-0.0003061308400275083
4;9;6;-0.00024287397924639489
4;9;7;-0.0002267088602543587
4;9;8;-0.000301392308582511
5;9;1;-0.00029722269887319714
5;9;2;-0.0002779876372255987
5;9;3;-0.0003173060218975675
5;9;4;-0.00023554290989434313
5;9;5;-0.00038983522951742085
5;9;6;-0.00036693230536345413
5;9;7;-0.00036183435691358967
5;9;8;-0.0002220528005129208
6;9;1;-0.0003673098129355537
6;9;2;-0.00024131114046394326
6;9;3;-0.0002974916630419023
6;9;4;-0.0003201753720870529
6;9;5;-0.0003972810941600723
6;9;6;-0.0003323895644030845
6;9;7;-0.0002772464560445773
6;9;8;-0.00036567940056373403
7;9;1;-0.00027354041712059356
7;9;2;-0.00033240752195144014
7;9;3;-0.00034682916252645415
7;9;4;-0.00038194162333576756
7;9;5;-0.00024233764713550503
7;9;6;-0.00036805804411704063
7;9;7;-0.00033962073657872787
7;9;8;-0.00021560111895479087
8;9;1;-0.0002198498748957465
8;9;2;-0.0003051113833564121
8;9;3;-0.00024959395987884643
8;9;4;-0.0002304811425789434
8;9;5;-0.00020510792486561768
8;9;6;-0.00020792885618398107
8;9;7;-0.00020901961097299318
8;9;8;-0.0002045799729439605
9;9;1;-0.00034643755495342344
9;9;2;-0.00025845248499214524
9;9;3;-0.0003466823096865676
9;9;4;-0.00038263478470229714
9;9;5;-0.00021381427638396164
9;9;6;-0.0003254050092248591
9;9;7;-0.00022139861367726697
9;9;8;-0.0003085146713170066
10;9;1;-0.0002509245477025645
10;9;2;-0.0002608023964680828
10;9;3;-0.000265280609971361
10;9;4;-0.00024115058667975573
10;9;5;-0.0002921036004219359
10;9;6;-0.00037179893398672206
10;9;7;-0.00026281763245022103
10;9;8;-0.000324719429934302
11;9;1;-0.00029107762582588096
11;9;2;-0.0002737420737376841
11;9;3;-0.00020488618239814413
11;9;4;-0.0002773980975640253
11;9;5;-0.00034615582097255427
11;9;6;-0.00030447821350327827
11;9;7;-0.00020516552203923258
11;9;8;-0.0003701775668985186
12;9;1;-0.00023666984581782
12;9;2;-0.0003944134732159841
12;9;3;-0.00020288783981334792
12;9;4;-0.00031958889185964385
12;9;5;-0.00035425480829984587
12;9;6;-0.0002707222791986411
12;9;7;-0.0003951535902459918
12;9;8;-0.00020974775630409713
13;9;1;-0.00037010214519542467
13;9;2;-0.0002023882209124297
13;9;3;-0.0003662520468279654
13;9;4;-0.00020988995348329882
13;9;5;-0.00021661658505958583
13;9;6;-0.0003372225392505451
13;9;7;-0.00024968002309207703
13;9;8;-0.00021786456816086773
14;9;1;-0.0002636000494830222
14;9;2;-0.00022243988544414338
14;9;3;-0.0002769288069669967
14;9;4;-0.00022737156029812192
14;9;5;-0.0002464031030643559
14;9;6;-0.0002848810744732785
14;9;7;-0.00033737098831695207
14;9;8;-0.00034372769439711197
15;9;1;-0.00038380907534588235
15;9;2;-0.0003732471104974507
15;9;3;-0.00038280145735481325
15;9;4;-0.0003213001797085024
15;9;5;-0.00034290856415433913
15;9;6;-0.00028978947102383304
15;9;7;-0.0003856724037708191
15;9;8;-0.0003176269964470658
16;9;1;-0.00036518563449339095
16;9;2;-0.0002679453771284683
16;9;3;-0.0002886322067964665
16;9;4;-0.00021046752144596842
16;9;5;-0.00037179374625053043
16;9;6;-0.0003525279572424123
16;9;7;-0.00021918810598412023
16;9;8;-0.0003104415827650102
17;9;1;0.0
17;9;2;-0.00031788997476631906
17;9;3;-0.0003251019922237165
17;9;4;0.0
17;9;5;-0.00029878859708981306
17;9;6;-0.0002821434129717348
17;9;7;-0.00039775823287082674
17;9;8;-0.00036928261589602187
18;9;1;0.0
18;9;2;-0.00038143468839663033
18;9;3;-0.0003912432343273834
18;9;4;0.0
18;9;5;-0.00022688258290734037
18;9;6;-0.00035693873017519917
18;9;7;-0.0003106043978701018
18;9;8;-0.00026655865533877914
19;9;1;-0.000332185114389583
19;9;2;-0.00036302407774687305
19;9;3;-0.0002264937687307206
19;9;4;-0.0003549478366474987
19;9;5;-0.00022389843742725532
19;9;6;-0.0002455001709292566
19;9;7;-0.00025789779627626957
19;9;8;-0.000358164366105194
20;9;1;-0.00031293781500532744
20;9;2;-0.0003766179418521283
20;9;3;-0.00020030607643530693
20;9;4;-0.0002249556714593368
20;9;5;-0.0002883430237585016
20;9;6;-0.00023130945112420905
20;9;7;-0.00034669454742322484
20;9;8;-0.00027808194760918525
21;9;1;-0.00028831296149236537
21;9;2;0.0
21;9;3;-0.00028216057240683026
21;9;4;0.0
21;9;5;0.0
21;9;6;-0.00039907352352372324
21;9;7;0.0
21;9;8;-0.00037076644146570847
22;9;1;-0.00020942598364133853
22;9;2;-0.0002156359699004886
22;9;3;0.0
22;9;4;0.0
22;9;5;0.0
22;9;6;-0.00031312616973474703
22;9;7;-0.0002023987294036897
22;9;8;-0.00038996971160177343
23;9;1;-0.00024049054701352673
23;9;2;-0.00024135304141010652
23;9;3;-0.00034847247772931456
23;9;4;-0.0003694520819449488
23;9;5;-0.00035747453021058224
23;9;6;-0.00020431060971862517
23;9;7;-0.00030032536417242973
23;9;8;-0.00035801791232193764
24;9;1;-0.0002948295562623292
24;9;2;-0.00031317006596406097
24;9;3;-0.0003986969470837607
24;9;4;-0.0002035319172143719
24;9;5;-0.00035392332525908753
24;9;6;-0.0003804113741781096
24;9;7;-0.0003858306962341026
24;9;8;-0.0003409531866667199
25;9;1;-0.0003289753688945999
25;9;2;-0.0003293377123147546
25;9;3;-0.0002853406546923074
25;9;4;-0.0002847362169165426
25;9;5;-0.00036666440534576265
25;9;6;-0.00037928896089644084
25;9;7;-0.0003240773478164287
25;9;8;-0.00022247580054085477
26;9;1;-0.0003187694955791176
26;9;2;-0.0003485058654673685
26;9;3;-0.0002872053133060113
26;9;4;-0.0003588331850172858
26;9;5;-0.0003622573569415236
26;9;6;-0.00031059827900177317
26;9;7;-0.0003081278524235374
26;9;8;-0.0003586337897210993
27;9;1;-0.00032295387038374615
27;9;2;-0.0002317816681365253
27;9;3;-0.0002058538947262006
27;9;4;-0.0003875579463481663
27;9;5;-0.0002899802200930334
27;9;6;-0.0002452701812914271
27;9;7;-0.0002728551038677899
27;9;8;-0.0003200686909479324
28;9;1;-0.00022730066123683611
28;9;2;-0.0002539487318645389
28;9;3;-0.00039135097961751753
28;9;4;-0.000274074221872826
28;9;5;-0.00039342461088653094
28;9;6;-0.00039749485549494325
28;9;7;-0.0002445686397356649
28;9;8;-0.0003960587837019952
