;;;;0
1;1;41;1;0.000342266949708685
1;1;42;1;0.0
1;1;43;1;0.0
1;1;44;1;0.0
1;1;45;1;0.0
1;1;46;1;0.0
1;1;47;1;0.0
1;1;48;1;0.0
1;1;49;1;0.0
1;1;50;1;0.0
1;1;51;1;0.0
1;1;52;1;0.0
1;1;53;1;0.0
1;1;54;1;0.0
1;1;55;1;0.0
1;1;56;1;0.0
1;1;57;1;0.0002311947308628037
1;1;58;1;0.0
1;1;59;1;0.0
1;1;60;1;0.0
1;1;61;1;0.0
1;1;62;1;0.0
1;1;63;1;0.0
1;1;64;1;0.0
1;1;65;1;0.00020313899019753422
1;1;66;1;0.0
1;1;67;1;0.0
1;1;68;1;0.0
1;1;69;1;0.0
1;1;70;1;0.0
1;1;71;1;0.0
1;1;72;1;0.0
1;1;73;1;0.000328291343890525
1;1;74;1;0.0
1;1;75;1;0.0
1;1;76;1;0.0
1;1;77;1;0.0
1;1;78;1;0.0
1;1;79;1;0.0
1;1;80;1;0.0
1;1;81;1;0.0
1;1;82;1;0.0
1;1;83;1;0.0
1;1;84;1;0.0
1;1;85;1;0.0
1;1;86;1;0.0
1;1;87;1;0.0
1;1;88;1;0.0
1;1;89;1;0.00028767940060164945
1;1;90;1;0.0
1;1;91;1;0.0
1;1;92;1;0.0
1;1;93;1;0.0
1;1;94;1;0.0
1;1;95;1;0.0
1;1;96;1;0.0
1;1;97;1;0.0
1;1;98;1;0.0
1;1;99;1;0.0
1;1;100;1;0.0
1;1;101;1;0.0
1;1;102;1;0.0
1;1;103;1;0.0
1;1;104;1;0.0
1;1;105;1;0.0
1;1;106;1;0.0
1;1;107;1;0.0
1;1;108;1;0.0
1;1;109;1;0.0
1;1;110;1;0.0
1;1;111;1;0.0
1;1;112;1;0.0
1;1;113;1;0.0
1;1;114;1;0.0
1;1;115;1;0.0
1;1;116;1;0.0
1;1;117;1;0.0
1;1;118;1;0.0
1;1;119;1;0.0
1;1;120;1;0.0
1;1;121;1;0.0
1;1;122;1;0.0
1;1;123;1;0.0
1;1;124;1;0.0
1;1;125;1;0.0
1;1;126;1;0.0
1;1;127;1;0.0
1;1;128;1;0.0
1;1;129;1;0.0
1;1;130;1;0.0
1;1;131;1;0.0
1;1;132;1;0.0
1;1;133;1;0.0
1;1;134;1;0.0
1;1;135;1;0.0
1;1;136;1;0.0
1;1;137;1;0.0
1;1;138;1;0.0
1;1;139;1;0.0
1;1;140;1;0.0
1;1;141;1;0.0
1;1;142;1;0.0
1;1;143;1;0.0
1;1;144;1;0.0
1;1;145;1;0.0
1;1;146;1;0.0
1;1;147;1;0.0
1;1;148;1;0.0
1;1;149;1;0.0
1;1;150;1;0.0
1;1;151;1;0.0
1;1;152;1;0.0
1;1;153;1;0.0
1;1;154;1;0.0
1;1;155;1;0.0
1;1;156;1;0.0
1;1;157;1;0.0
1;1;158;1;0.0
1;1;159;1;0.0
1;1;160;1;0.0
1;1;161;1;0.00034058055309230757
1;1;162;1;0.0005792774979349986
1;1;163;1;0.00026082227115782565
1;1;164;1;0.0002784602176118209
1;1;165;1;0.00026770752120274666
1;1;166;1;0.0
1;1;167;1;0.0
1;1;168;1;0.0
1;2;41;1;0.0002727751666201256
1;2;42;1;0.0
1;2;43;1;0.0
1;2;44;1;0.0
1;2;45;1;0.0
1;2;46;1;8.779513454258e-05
1;2;47;1;0.0004590087815933538
1;2;48;1;0.0
1;2;49;1;0.0007706490359885172
1;2;50;1;0.0
1;2;51;1;0.0
1;2;52;1;0.0
1;2;53;1;0.0
1;2;54;1;0.0
1;2;55;1;0.0
1;2;56;1;0.0
1;2;57;1;0.0006896937722186942
1;2;58;1;0.0
1;2;59;1;0.0
1;2;60;1;0.0
1;2;61;1;0.0
1;2;62;1;0.0
1;2;63;1;0.0
1;2;64;1;0.0
1;2;65;1;0.0003842961709764303
1;2;66;1;0.0
1;2;67;1;0.0
1;2;68;1;0.00013276096170861535
1;2;69;1;0.0
1;2;70;1;0.0
1;2;71;1;0.0
1;2;72;1;0.0
1;2;73;1;0.0005645672322203037
1;2;74;1;0.0
