;;;;0
1;1;1;1;0.00021418912357852704
1;1;2;1;0.00025503598307097854
1;1;3;1;0.0002049065342862806
1;1;4;1;0.00026929033099087093
1;1;5;1;0.00020796357411080209
1;1;6;1;0.00036265641357165
1;1;7;1;0.0003472585474604701
1;1;8;1;0.0003957811733063039
1;2;1;1;0.0003081145505358666
1;2;2;1;0.0003021420029716417
1;2;3;1;0.00030885692888677835
1;2;4;1;0.0003805051524861893
1;2;5;1;0.00031038837521432666
1;2;6;1;0.00029553801479968023
1;2;7;1;0.0002244307789718439
1;2;8;1;0.0003101450836888263
1;3;1;1;0.00020436288613717173
1;3;2;1;0.0002852955612931031
1;3;3;1;0.0003452731077067147
1;3;4;1;0.00030777575145688927
1;3;5;1;0.00020687880517124185
1;3;6;1;0.0002449478765531617
1;3;7;1;0.00026609747889322973
1;3;8;1;0.0003847134706886254
1;4;1;1;0.0003976672479591579
1;4;2;1;0.0002040764964956177
1;4;3;1;0.0002251525393968658
1;4;4;1;0.00023823574403443592
1;4;5;1;0.00030606393153252383
1;4;6;1;0.0002398145450820926
1;4;7;1;0.00031738543416696263
1;4;8;1;0.00025078368071212987
1;5;1;1;0.0003588846633225721
1;5;2;1;0.0003316402690705838
1;5;3;1;0.0003296008236528846
1;5;4;1;0.0002475700776697221
1;5;5;1;0.0002317340473786635
1;5;6;1;0.0003491730881529398
1;5;7;1;0.00037520208892843985
1;5;8;1;0.00034361489438966287
1;6;1;1;0.00022070731457501136
1;6;2;1;0.0003881865935594921
1;6;3;1;0.0002032895568210085
1;6;4;1;0.0003289778962532573
1;6;5;1;0.0003937231052458655
1;6;6;1;0.0002916401626554825
1;6;7;1;0.00036971319799992817
1;6;8;1;0.00026705694405093026
1;7;1;1;0.00031609142653433954
1;7;2;1;0.00028085472609418004
1;7;3;1;0.0002129269074574373
1;7;4;1;0.00023782604589417286
1;7;5;1;0.000398893682002413
1;7;6;1;0.00021239536402610894
1;7;7;1;0.0002963648601373021
1;7;8;1;0.00028737198595852736
1;8;1;1;0.00020217605580407914
1;8;2;1;0.0003202748702068311
1;8;3;1;0.0003435687368394449
1;8;4;1;0.00028186806389694763
1;8;5;1;0.00021653557656367017
1;8;6;1;0.00020496333334663524
1;8;7;1;0.0002165894492087372
1;8;8;1;0.00030757662219845617
1;9;1;1;0.0003568529329997219
1;9;2;1;0.00038750234445770207
1;9;3;1;0.00028724269161036647
1;9;4;1;0.0002203848768178693
1;9;5;1;0.00037963986469319864
1;9;6;1;0.00037598636822551483
1;9;7;1;0.00024774805692675845
1;9;8;1;0.0002869899557446198
1;10;1;1;0.00038053867324312
1;10;2;1;0.00039960373676628454
1;10;3;1;0.0002666092025119285
1;10;4;1;0.0003676604506945581
1;10;5;1;0.0002141529424440622
1;10;6;1;0.00029762122342781664
1;10;7;1;0.000303877234218308
1;10;8;1;0.00031356021032944787
1;11;1;1;0.00028140329594172713
1;11;2;1;0.00023662488543749248
1;11;3;1;0.000340832538545545
1;11;4;1;0.0002105291091858846
1;11;5;1;0.00032869935472542916
1;11;6;1;0.00039321550521234465
1;11;7;1;0.00028355061966843715
1;11;8;1;0.0003246933582344671
1;12;1;1;0.000362401549403876
1;12;2;1;0.00036485947220770104
1;12;3;1;0.00025292501858938804
1;12;4;1;0.00036116793234127853
1;12;5;1;0.00031899123804659125
1;12;6;1;0.00029275379669128844
1;12;7;1;0.00029895460464794563
1;12;8;1;0.00032542762243389966
1;13;1;1;0.0002747147077641788
1;13;2;1;0.0002495544532724639
1;13;3;1;0.0003662509826769517
1;13;4;1;0.000289269633253655
1;13;5;1;0.0002323978115734404
1;13;6;1;0.0002858647490665401
1;13;7;1;0.0002822579422245812
1;13;8;1;0.00033056281616924266
1;14;1;1;0.0003190311437096039
