;;;;0
1;1;1;1;0.00020730114010479228
1;1;2;1;0.0003262355790910288
1;1;3;1;0.0003190560182395484
1;1;4;1;23.970841913954718
1;1;5;1;0.00023497664853619376
1;1;6;1;0.00033161339925748864
1;1;7;1;0.0002973720790717411
1;1;8;1;0.0003740562643244703
1;2;1;1;0.00020408607385474073
1;2;2;1;0.0002078705939159826
1;2;3;1;0.00022347530438044465
1;2;4;1;23.97078100562803
1;2;5;1;0.00026109384082695174
1;2;6;1;0.00020903371097392434
1;2;7;1;0.0003008059613739786
1;2;8;1;0.0003801738024643077
1;3;1;1;0.0003551969810035743
1;3;2;1;0.0003118873649359581
1;3;3;1;0.0003655063430051359
1;3;4;1;23.97062062761557
1;3;5;1;0.00039082329373361376
1;3;6;1;0.000319715791868024
1;3;7;1;0.00035783075476240834
1;3;8;1;0.0002488739286992217
1;4;1;1;0.00029812629610267993
1;4;2;1;0.0003073240193515862
1;4;3;1;0.00033484655607477257
1;4;4;1;23.970828547484455
1;4;5;1;0.00029952419147801266
1;4;6;1;0.0002811322034709946
1;4;7;1;0.00023030914917135893
1;4;8;1;0.00023756093927289223
1;5;1;1;0.0002787745769002079
1;5;2;1;0.0002043809767044041
1;5;3;1;0.00036873803661477606
1;5;4;1;23.97067908892245
1;5;5;1;0.00031716103132195495
1;5;6;1;0.00035056938730175204
1;5;7;1;0.0002636102919365287
1;5;8;1;0.0003205854692839461
1;6;1;1;0.00035233907043748583
1;6;2;1;0.00024058605456700363
1;6;3;1;0.00034117333290767295
1;6;4;1;23.97089544279027
1;6;5;1;0.00034437004255273866
1;6;6;1;0.0003970851573546802
1;6;7;1;0.0002704255140847038
1;6;8;1;0.0002721349396692885
1;7;1;1;0.00033555674385752086
1;7;2;1;0.0003613548238630545
1;7;3;1;0.0002458770134069726
1;7;4;1;23.970690410539746
1;7;5;1;0.00030969082422486577
1;7;6;1;0.00029679331393918113
1;7;7;1;0.00027194671795874553
1;7;8;1;0.00037752380040251515
1;8;1;1;0.00034397377931902324
1;8;2;1;0.00038252504412901233
1;8;3;1;0.0003016451774671344
1;8;4;1;23.970868035901642
1;8;5;1;0.0003478451607067559
1;8;6;1;0.0002368675118686093
1;8;7;1;0.0003733697539017762
1;8;8;1;0.00029894635747758965
1;9;1;1;0.000344936303910888
1;9;2;1;0.00024756129842385934
1;9;3;1;0.00020836156658991478
1;9;4;1;0.00031219969325846364
1;9;5;1;0.0002748082200345051
1;9;6;1;0.00021592249256091934
1;9;7;1;0.00020948624119248766
1;9;8;1;0.00035438091019496574
1;10;1;1;0.0002043545059479391
1;10;2;1;0.0003637441089264978
1;10;3;1;0.00022687154234057356
1;10;4;1;0.0003211224664880774
1;10;5;1;0.0002934762222106939
1;10;6;1;0.0002140812452695162
1;10;7;1;0.00032611785738514157
1;10;8;1;0.0003550175385388941
1;11;1;1;0.0002311955869657463
1;11;2;1;0.00029774360079438874
1;11;3;1;0.00022872250000997643
1;11;4;1;0.000330654200137559
1;11;5;1;0.0003113313460313153
1;11;6;1;0.00039576773839975637
1;11;7;1;0.00025042612597153663
1;11;8;1;0.000337079144901453
1;12;1;1;0.0002800707128348584
1;12;2;1;0.00026778788277844514
1;12;3;1;0.00039600956671761295
1;12;4;1;0.00023663393072226313
1;12;5;1;0.0003655890807464488
1;12;6;1;0.0003569705216867326
1;12;7;1;0.0003456687058460466
1;12;8;1;0.00032159614670917953
1;13;1;1;0.0003116370234099921
1;13;2;1;0.0003581625038409201
1;13;3;1;0.00037773742871850943
1;13;4;1;0.0002941687184829789
1;13;5;1;0.0002659893345464655
1;13;6;1;0.00038500584617963136
1;13;7;1;0.0002639018693142744
1;13;8;1;0.00029132291263453197
1;14;1;1;0.00037648093240911823
1;14;2;1;0.0002460585841736801
1;14;3;1;0.00022789711787999834
1;14;4;1;0.0002592600425934677
1;14;5;1;0.0003785541646215015
1;14;6;1;0.00030743375992487094
1;14;7;1;0.0002223673901563371
1;14;8;1;0.00022762296597510153
1;15;1;1;0.00023651434675094743
1;15;2;1;0.00031986330980229404
1;15;3;1;0.000268028646945288
1;15;4;1;0.00026813067242414945
1;15;5;1;0.00034558783036900767
1;15;6;1;0.0003403818705912556
1;15;7;1;0.0003459437888830804
1;15;8;1;0.00021552809159147774
1;16;1;1;0.0003014641387759337
1;16;2;1;0.00028175020917218363
1;16;3;1;0.0003110273978980357
1;16;4;1;0.00025418710169233805
1;16;5;1;0.00037268417461121906
1;16;6;1;0.0002906213710787698
1;16;7;1;0.0003059233305798426
