;;;0
1;1;1;4.982781783454719e-10
1;1;2;9.565024817557525e-14
1;2;1;4.974515172529538e-10
1;2;2;9.565024817557525e-14
1;3;1;4.975658738866371e-10
1;3;2;9.565024817557525e-14
1;4;1;4.970236416957878e-10
1;4;2;9.565024817557525e-14
1;5;1;4.961536092692694e-10
1;5;2;9.565024817557525e-14
1;6;1;4.95535852269557e-10
1;6;2;9.565024817557525e-14
1;7;1;4.953855442287527e-10
1;7;2;9.565024817557525e-14
1;8;1;4.976679507287773e-10
1;8;2;9.565024817557525e-14
1;9;1;5.436880448143042e-10
1;9;2;1.2308447514789052e-21
1;10;1;5.427271633476794e-10
1;10;2;1.2308447514789052e-21
1;11;1;5.424853520600247e-10
1;11;2;1.2308447514789052e-21
1;12;1;5.420006277354083e-10
1;12;2;1.2308447514789052e-21
1;13;1;5.414014442297943e-10
1;13;2;1.2308447514789052e-21
1;14;1;5.408460694223722e-10
1;14;2;1.2308447514789052e-21
1;15;1;5.405456525485133e-10
1;15;2;1.2308447514789052e-21
1;16;1;5.41850028170851e-10
1;16;2;1.2308447514789052e-21
1;17;1;5.436155638966877e-10
1;17;2;1.2308447514789052e-21
1;18;1;5.427635080881019e-10
1;18;2;1.2308447514789052e-21
1;19;1;5.426002295380789e-10
1;19;2;1.2308447514789052e-21
1;20;1;5.421216733023023e-10
1;20;2;1.2308447514789052e-21
1;21;1;5.414690072300734e-10
1;21;2;1.2308447514789052e-21
1;22;1;5.408014086208938e-10
1;22;2;1.2308447514789052e-21
1;23;1;5.404253940293873e-10
1;23;2;1.2308447514789052e-21
1;24;1;5.414442453568845e-10
1;24;2;1.2308447514789052e-21
1;25;1;5.436406513591771e-10
1;25;2;1.2308447514789052e-21
1;26;1;5.427998742482936e-10
1;26;2;1.2308447514789052e-21
1;27;1;5.427020258221547e-10
1;27;2;1.2308447514789052e-21
1;28;1;5.422564816214595e-10
1;28;2;1.2308447514789052e-21
1;29;1;5.415007465879872e-10
1;29;2;1.2308447514789052e-21
1;30;1;5.408461809799995e-10
1;30;2;1.2308447514789052e-21
1;31;1;5.402974254385988e-10
1;31;2;1.2308447514789052e-21
1;32;1;5.414835606333828e-10
