;;;0
1;1;1;23.970863003581343
1;1;2;3.6841174357412197e-13
1;2;1;23.970863003606727
1;2;2;3.6841174357412197e-13
1;3;1;23.970863003622206
1;3;2;3.6841174357412197e-13
1;4;1;23.970863003641153
1;4;2;3.6841174357412197e-13
1;5;1;23.970863003620632
1;5;2;3.6841174357412197e-13
1;6;1;23.970863003680957
1;6;2;3.6841174357412197e-13
1;7;1;23.970863003679383
1;7;2;3.6841174357412197e-13
1;8;1;23.97086300367551
1;8;2;3.6841174357412197e-13
1;9;1;3.448517065521772e-09
1;9;2;-7.411538288475128e-22
1;10;1;3.448181197916885e-09
1;10;2;-7.411538288475128e-22
1;11;1;3.4320598782920392e-09
1;11;2;-7.411538288475128e-22
1;12;1;3.440152791025228e-09
1;12;2;-7.411538288475128e-22
1;13;1;3.4689845799916073e-09
1;13;2;-7.411538288475128e-22
1;14;1;3.4684800648201054e-09
1;14;2;-7.411538288475128e-22
1;15;1;3.4611008413942216e-09
1;15;2;-7.411538288475128e-22
1;16;1;3.4610827510337403e-09
1;16;2;-7.411538288475128e-22
1;17;1;3.446255067139658e-09
1;17;2;-7.411538288475128e-22
1;18;1;3.4435769151550805e-09
1;18;2;-7.411538288475128e-22
1;19;1;3.4322981874745397e-09
1;19;2;-7.411538288475128e-22
1;20;1;3.4391085377319082e-09
1;20;2;-7.411538288475128e-22
1;21;1;3.468739428327881e-09
1;21;2;-7.411538288475128e-22
1;22;1;3.4443005409720085e-09
1;22;2;-7.411538288475128e-22
1;23;1;3.4618151873485725e-09
1;23;2;-7.411538288475128e-22
1;24;1;3.4595578141187163e-09
1;24;2;-7.411538288475128e-22
1;25;1;3.446763083376158e-09
1;25;2;-7.411538288475128e-22
1;26;1;3.4410705445421822e-09
1;26;2;-7.411538288475128e-22
1;27;1;3.4333930005303994e-09
1;27;2;-7.411538288475128e-22
1;28;1;3.44075834233311e-09
1;28;2;-7.411538288475128e-22
1;29;1;3.475236857902503e-09
1;29;2;-7.411538288475128e-22
1;30;1;3.4361314511912938e-09
1;30;2;-7.411538288475128e-22
1;31;1;3.4596224127815068e-09
1;31;2;-7.411538288475128e-22
1;32;1;3.5105939563906613e-09
1;32;2;-7.411538288475128e-22
1;33;1;3.445880446517049e-09
1;33;2;-7.411538288475128e-22
1;34;1;3.441531720141302e-09
1;34;2;-7.411538288475128e-22
1;35;1;3.4346513393682587e-09
1;35;2;-7.411538288475128e-22
1;36;1;3.4376746046543795e-09
1;36;2;-7.411538288475128e-22
1;37;1;3.4675706491160132e-09
1;37;2;-7.411538288475128e-22
1;38;1;3.449878334583654e-09
1;38;2;-7.411538288475128e-22
1;39;1;3.45728810279011e-09
1;39;2;-7.411538288475128e-22
1;40;1;3.4607164943397132e-09
1;40;2;-7.411538288475128e-22
1;41;1;6.804675933835824e-09
1;41;2;0.0
1;42;1;6.772886251837917e-09
1;42;2;0.0
1;43;1;6.775671579362097e-09
1;43;2;0.0
1;44;1;6.775653815793703e-09
1;44;2;0.0
1;45;1;6.790312312432434e-09
1;45;2;0.0
1;46;1;6.745754177472918e-09
1;46;2;0.0
1;47;1;6.767319149503237e-09
1;47;2;0.0
1;48;1;6.802832075436527e-09
1;48;2;0.0
1;49;1;6.790298101577719e-09
1;49;2;0.0
1;50;1;6.759378834431118e-09
1;50;2;0.0
1;51;1;6.760959792018184e-09
1;51;2;0.0
1;52;1;6.759027115776917e-09
1;52;2;0.0
1;53;1;6.774065752779279e-09
1;53;2;0.0
1;54;1;6.729830914764534e-09
1;54;2;0.0
1;55;1;6.754028447630844e-09
1;55;2;0.0
1;56;1;6.767567839460753e-09
1;56;2;0.0
1;57;1;6.785306538859004e-09
1;57;2;0.0
1;58;1;6.751896819423564e-09
1;58;2;0.0
1;59;1;6.755438874961328e-09
1;59;2;0.0
1;60;1;6.747306713350554e-09
1;60;2;0.0
1;61;1;6.762295612361413e-09
1;61;2;0.0
1;62;1;6.71201405566535e-09
1;62;2;0.0
1;63;1;6.746024183712507e-09
1;63;2;0.0
1;64;1;6.78369005413515e-09
1;64;2;0.0
1;65;1;6.7845853379822074e-09
1;65;2;0.0
1;66;1;6.750756398332669e-09
1;66;2;0.0
1;67;1;6.755985992867863e-09
1;67;2;0.0
1;68;1;6.744450331552798e-09
1;68;2;0.0
1;69;1;6.75972700037164e-09
1;69;2;0.0
1;70;1;6.722661538560715e-09
1;70;2;0.0
1;71;1;6.742705949136507e-09
1;71;2;0.0
1;72;1;6.784070194498781e-09
1;72;2;0.0
1;73;1;6.807933772279284e-09
1;73;2;0.0
1;74;1;6.777636230026474e-09
1;74;2;0.0
1;75;1;6.774588001690063e-09
1;75;2;0.0
