;;;;0
1;1;1;1;4.659002105284238e-08
1;1;1;2;5.962580418017877e-11
1;1;2;1;4.659002105284238e-08
1;1;2;2;5.962580418017877e-11
1;1;3;1;4.659002105284238e-08
1;1;3;2;5.962580418017877e-11
1;1;4;1;3.267919708626864e-07
1;1;4;2;5.962580418017877e-11
1;1;5;1;4.659002105284238e-08
1;1;5;2;5.962580418017877e-11
1;1;6;1;4.659002105284238e-08
1;1;6;2;5.962580418017877e-11
1;1;7;1;4.659002105284238e-08
1;1;7;2;5.962580418017877e-11
1;1;8;1;4.659002105284238e-08
1;1;8;2;5.962580418017877e-11
1;2;1;1;4.659187693838659e-08
1;2;1;2;5.962580418017877e-11
1;2;2;1;4.659187693838659e-08
1;2;2;2;5.962580418017877e-11
1;2;3;1;4.659187693838659e-08
1;2;3;2;5.962580418017877e-11
1;2;4;1;3.266108176296065e-07
1;2;4;2;5.962580418017877e-11
1;2;5;1;4.659187693838659e-08
1;2;5;2;5.962580418017877e-11
1;2;6;1;4.659187693838659e-08
1;2;6;2;5.962580418017877e-11
1;2;7;1;4.659187693838659e-08
1;2;7;2;5.962580418017877e-11
1;2;8;1;4.659187693838659e-08
1;2;8;2;5.962580418017877e-11
1;3;1;1;4.659200940565025e-08
1;3;1;2;5.962580418017877e-11
1;3;2;1;4.659200940565025e-08
1;3;2;2;5.962580418017877e-11
1;3;3;1;4.659200940565025e-08
1;3;3;2;5.962580418017877e-11
1;3;4;1;3.267362675308704e-07
1;3;4;2;5.962580418017877e-11
1;3;5;1;4.659200940565025e-08
1;3;5;2;5.962580418017877e-11
1;3;6;1;4.659200940565025e-08
1;3;6;2;5.962580418017877e-11
1;3;7;1;4.659200940565025e-08
1;3;7;2;5.962580418017877e-11
1;3;8;1;4.659200940565025e-08
1;3;8;2;5.962580418017877e-11
1;4;1;1;4.659190279442729e-08
1;4;1;2;5.962580418017877e-11
1;4;2;1;4.659190279442729e-08
1;4;2;2;5.962580418017877e-11
1;4;3;1;4.659190279442729e-08
1;4;3;2;5.962580418017877e-11
1;4;4;1;3.2674263966713497e-07
1;4;4;2;5.962580418017877e-11
1;4;5;1;4.659190279442729e-08
1;4;5;2;5.962580418017877e-11
1;4;6;1;4.659190279442729e-08
1;4;6;2;5.962580418017877e-11
1;4;7;1;4.659190279442729e-08
1;4;7;2;5.962580418017877e-11
1;4;8;1;4.659190279442729e-08
1;4;8;2;5.962580418017877e-11
1;5;1;1;4.6591970604765426e-08
1;5;1;2;5.962580418017877e-11
1;5;2;1;4.6591970604765426e-08
1;5;2;2;5.962580418017877e-11
1;5;3;1;4.6591970604765426e-08
1;5;3;2;5.962580418017877e-11
1;5;4;1;3.2674860304943623e-07
1;5;4;2;5.962580418017877e-11
1;5;5;1;4.6591970604765426e-08
1;5;5;2;5.962580418017877e-11
1;5;6;1;4.6591970604765426e-08
1;5;6;2;5.962580418017877e-11
1;5;7;1;4.6591970604765426e-08
1;5;7;2;5.962580418017877e-11
1;5;8;1;4.6591970604765426e-08
1;5;8;2;5.962580418017877e-11
1;6;1;1;4.659207387945488e-08
1;6;1;2;5.962580418017877e-11
1;6;2;1;4.659207387945488e-08
1;6;2;2;5.962580418017877e-11
1;6;3;1;4.659207387945488e-08
1;6;3;2;5.962580418017877e-11
1;6;4;1;3.267552781179508e-07
1;6;4;2;5.962580418017877e-11
1;6;5;1;4.659207387945488e-08
1;6;5;2;5.962580418017877e-11
1;6;6;1;4.659207387945488e-08
1;6;6;2;5.962580418017877e-11
1;6;7;1;4.659207387945488e-08
1;6;7;2;5.962580418017877e-11
1;6;8;1;4.659207387945488e-08
1;6;8;2;5.962580418017877e-11
1;7;1;1;4.6592173964212746e-08
1;7;1;2;5.962580418017877e-11
1;7;2;1;4.6592173964212746e-08
1;7;2;2;5.962580418017877e-11
1;7;3;1;4.6592173964212746e-08
1;7;3;2;5.962580418017877e-11
1;7;4;1;3.2676516395916733e-07
1;7;4;2;5.962580418017877e-11
1;7;5;1;4.6592173964212746e-08
1;7;5;2;5.962580418017877e-11
1;7;6;1;4.6592173964212746e-08
