;;;0
1;1;1;7.478957099988319e-08
1;1;2;7.350286089815564e-08
1;1;3;7.554933012393232e-08
1;1;4;7.683733825704017e-08
1;1;5;7.59682984698752e-08
1;1;6;7.619914334314932e-08
1;1;7;7.598607732928236e-08
1;1;8;2.5365323287903425e-08
1;1;9;4.139307952540535e-08
1;1;10;4.147810076527914e-08
1;1;11;4.131088189228347e-08
1;1;12;4.119816020793835e-08
1;1;13;4.124435165708006e-08
1;1;14;4.1223506187390006e-08
1;1;15;4.127356185759296e-08
1;1;16;4.646419127757875e-08
1;1;17;4.139321317677364e-08
1;1;18;4.147822033703073e-08
1;1;19;4.131121382972028e-08
1;1;20;4.1197413492059185e-08
1;1;21;4.1245100797088326e-08
1;1;22;4.12242168017784e-08
1;1;23;4.127622738638486e-08
1;1;24;4.646422606957395e-08
1;1;25;4.139290696291683e-08
1;1;26;4.147802375726646e-08
1;1;27;4.1310876585000756e-08
1;1;28;4.119618272923697e-08
1;1;29;4.1242857980738e-08
1;1;30;4.1221604866854514e-08
1;1;31;4.126971940347725e-08
1;1;32;4.6464269377647715e-08
1;1;33;4.139193837853851e-08
1;1;34;4.147711572292784e-08
1;1;35;4.130960887157959e-08
1;1;36;4.119586506043819e-08
1;1;37;4.1244820090734254e-08
1;1;38;4.1223269348218786e-08
1;1;39;4.12716700364659e-08
1;1;40;4.646428846146053e-08
1;1;41;1.6546253806841125e-07
1;1;42;1.6583105244573473e-07
1;1;43;1.6517401644522624e-07
1;1;44;1.6473105130671187e-07
1;1;45;1.6490181318970532e-07
1;1;46;1.6481036633275373e-07
1;1;47;1.64977601848376e-07
1;1;48;1.8575547995039379e-07
1;1;49;1.6547548348674203e-07
1;1;50;1.6583861753729838e-07
1;1;51;1.651765277724913e-07
1;1;52;1.647276279790742e-07
1;1;53;1.64917058198086e-07
1;1;54;1.648388479064342e-07
1;1;55;1.6502823459544875e-07
1;1;56;1.857554230046957e-07
1;1;57;1.6548134707614798e-07
1;1;58;1.658226402667088e-07
1;1;59;1.651444321485998e-07
1;1;60;1.6470480887337393e-07
1;1;61;1.6491195329007528e-07
1;1;62;1.648295019888634e-07
1;1;63;1.650274125554351e-07
1;1;64;1.857554093639704e-07
1;1;65;1.6546719939554031e-07
1;1;66;1.6582514715605652e-07
1;1;67;1.6515967474134755e-07
1;1;68;1.6471291454398863e-07
1;1;69;1.6490425647015674e-07
1;1;70;1.6481735861345023e-07
1;1;71;1.6500302892051272e-07
1;1;72;1.8575540678296444e-07
1;1;73;1.6546694035447426e-07
1;1;74;1.6583904755102632e-07
1;1;75;1.6517229589678227e-07
1;1;76;1.647371938755263e-07
1;1;77;1.6492135579814937e-07
1;1;78;1.6482854172221394e-07
1;1;79;1.650220571356938e-07
1;1;80;1.8575550174182068e-07
1;1;81;1.6548670486769673e-07
1;1;82;1.6583292747801783e-07
1;1;83;1.6516337408020728e-07
1;1;84;1.646889454322421e-07
1;1;85;1.6489311710156965e-07
1;1;86;1.6482055736006314e-07
1;1;87;1.6503595571243962e-07
1;1;88;1.857554275951484e-07
1;1;89;1.6546699239376958e-07
1;1;90;1.6582678638340325e-07
1;1;91;1.651656803109667e-07
1;1;92;1.6472320657008196e-07
1;1;93;1.64915874377712e-07
1;1;94;1.6482611043946245e-07
1;1;95;1.6500875577796228e-07
1;1;96;1.8575545054279052e-07
1;1;97;1.6546812365780243e-07
1;1;98;1.6582101605073576e-07
1;1;99;1.651591226243e-07
1;1;100;1.64714618831687e-07
1;1;101;1.6491318968061235e-07
1;1;102;1.6482929863631558e-07
1;1;103;1.6501047152144077e-07
1;1;104;1.8575542436235568e-07
1;1;105;1.654761403766118e-07
1;1;106;1.6584393503917103e-07
1;1;107;1.6517391548118423e-07
1;1;108;1.6472060496813418e-07
1;1;109;1.6490657962600154e-07
1;1;110;1.6483111976532096e-07
1;1;111;1.6500742101557845e-07
1;1;112;1.8575550670438682e-07
1;1;113;1.654706431828641e-07
1;1;114;1.6582916345318145e-07
1;1;115;1.6516545918918723e-07
1;1;116;1.6471825118991889e-07
1;1;117;1.6491372199794967e-07
1;1;118;1.6482900604463363e-07
1;1;119;1.6500955356351274e-07
1;1;120;1.8575545307034022e-07
1;1;121;1.6546305733132083e-07
1;1;122;1.6581804911556484e-07
1;1;123;1.651475487850111e-07
1;1;124;1.6469585033741586e-07
1;1;125;1.6488855401796354e-07
1;1;126;1.647963627158909e-07
1;1;127;1.6497263566682336e-07
1;1;128;1.8575541422700338e-07
1;1;129;1.6547437096541208e-07
1;1;130;1.6582581981918242e-07
1;1;131;1.651685613604086e-07
1;1;132;1.6471091770792217e-07
1;1;133;1.6490137121449659e-07
1;1;134;1.6480838926992604e-07
1;1;135;1.6498690654085833e-07
1;1;136;1.8575540989465347e-07
1;1;137;1.6547502589689256e-07
1;1;138;1.6581936712256293e-07
1;1;139;1.651529195244444e-07
1;1;140;1.6471048195336406e-07
1;1;141;1.6490086491014417e-07
1;1;142;1.648127877358925e-07
1;1;143;1.649960399673089e-07
1;1;144;1.8575551306089475e-07
1;1;145;1.6547194394425954e-07
1;1;146;1.6583090697110745e-07
1;1;147;1.651679097070168e-07
1;1;148;1.6472238305838415e-07
1;1;149;1.649179191987692e-07
1;1;150;1.6483700478300369e-07
1;1;151;1.6501554201311033e-07
1;1;152;1.8575546425984366e-07
1;1;153;1.6546454982460054e-07
1;1;154;1.6581944324593398e-07
1;1;155;1.6514813682431937e-07
1;1;156;1.6469500812398782e-07
1;1;157;1.6488411646623773e-07
1;1;158;1.6479342269602704e-07
1;1;159;1.6497286751699e-07
1;1;160;1.8575542633577473e-07
1;1;161;1.6545726071373359e-07
1;1;162;1.6583299988308873e-07
1;1;163;1.651667856842144e-07
1;1;164;1.6471259823810313e-07
1;1;165;1.6493646264069934e-07
1;1;166;1.6484705781496133e-07
1;1;167;1.6502190344538565e-07
1;1;168;1.857553987009047e-07
1;2;1;1.8709954193469768e-07
1;2;2;6.029243584282186e-07
1;2;3;6.159290783450331e-07
1;2;4;6.563650783584287e-07
1;2;5;1.0750838747730792e-06
1;2;6;1.4045766630500501e-06
1;2;7;3.0275517843031006e-06
1;2;8;1.7698749690948608e-07
1;2;9;1.1610490849228544e-07
1;2;10;6.061700044800647e-07
1;2;11;6.046814345661734e-07
1;2;12;6.015457220908923e-07
1;2;13;6.627904759087775e-07
1;2;14;6.437026996392812e-07
1;2;15;7.607923369490688e-07
1;2;16;6.501628696242159e-07
1;2;17;1.1588481471695261e-07
1;2;18;6.061789027421357e-07
