;;;;0
1;1;1;1;8.663762885419277e-09
1;1;1;2;1.1137028095269018e-11
1;1;2;1;8.663762885419277e-09
1;1;2;2;1.1137028095269018e-11
1;1;3;1;8.663762885419277e-09
1;1;3;2;1.1137028095269018e-11
1;1;4;1;6.052504420829842e-08
1;1;4;2;1.1137028095269018e-11
1;1;5;1;8.663762885419277e-09
1;1;5;2;1.1137028095269018e-11
1;1;6;1;8.663762885419277e-09
1;1;6;2;1.1137028095269018e-11
1;1;7;1;8.663762885419277e-09
1;1;7;2;1.1137028095269018e-11
1;1;8;1;8.663762885419277e-09
1;1;8;2;1.1137028095269018e-11
1;2;1;1;8.663797674694018e-09
1;2;1;2;1.1137028095269018e-11
1;2;2;1;8.663797674694018e-09
1;2;2;2;1.1137028095269018e-11
1;2;3;1;8.663797674694018e-09
1;2;3;2;1.1137028095269018e-11
1;2;4;1;6.055793698198032e-08
1;2;4;2;1.1137028095269018e-11
1;2;5;1;8.663797674694018e-09
1;2;5;2;1.1137028095269018e-11
1;2;6;1;8.663797674694018e-09
1;2;6;2;1.1137028095269018e-11
1;2;7;1;8.663797674694018e-09
1;2;7;2;1.1137028095269018e-11
1;2;8;1;8.663797674694018e-09
1;2;8;2;1.1137028095269018e-11
1;3;1;1;8.663793974639276e-09
1;3;1;2;1.1137028095269018e-11
1;3;2;1;8.663793974639276e-09
1;3;2;2;1.1137028095269018e-11
1;3;3;1;8.663793974639276e-09
1;3;3;2;1.1137028095269018e-11
1;3;4;1;6.055981635710467e-08
1;3;4;2;1.1137028095269018e-11
1;3;5;1;8.663793974639276e-09
1;3;5;2;1.1137028095269018e-11
1;3;6;1;8.663793974639276e-09
1;3;6;2;1.1137028095269018e-11
1;3;7;1;8.663793974639276e-09
1;3;7;2;1.1137028095269018e-11
1;3;8;1;8.663793974639276e-09
1;3;8;2;1.1137028095269018e-11
1;4;1;1;8.66379712558204e-09
1;4;1;2;1.1137028095269018e-11
1;4;2;1;8.66379712558204e-09
1;4;2;2;1.1137028095269018e-11
1;4;3;1;8.66379712558204e-09
1;4;3;2;1.1137028095269018e-11
1;4;4;1;6.055843691485434e-08
1;4;4;2;1.1137028095269018e-11
1;4;5;1;8.66379712558204e-09
1;4;5;2;1.1137028095269018e-11
1;4;6;1;8.66379712558204e-09
1;4;6;2;1.1137028095269018e-11
1;4;7;1;8.66379712558204e-09
1;4;7;2;1.1137028095269018e-11
1;4;8;1;8.66379712558204e-09
1;4;8;2;1.1137028095269018e-11
1;5;1;1;8.663797357964259e-09
1;5;1;2;1.1137028095269018e-11
1;5;2;1;8.663797357964259e-09
1;5;2;2;1.1137028095269018e-11
1;5;3;1;8.663797357964259e-09
1;5;3;2;1.1137028095269018e-11
1;5;4;1;6.05595387104983e-08
1;5;4;2;1.1137028095269018e-11
1;5;5;1;8.663797357964259e-09
1;5;5;2;1.1137028095269018e-11
