;;;0
1;1;1;3.108317708813842e-10
1;1;2;3.108317708813842e-10
1;1;3;3.108317708813842e-10
1;1;4;3.108317708813842e-10
1;1;5;3.108317708813842e-10
1;1;6;3.108317708813842e-10
1;1;7;3.108317708813842e-10
1;1;8;3.108317708813842e-10
1;1;9;1.266086371178573e-09
1;1;10;1.266086371178573e-09
1;1;11;1.266086371178573e-09
1;1;12;1.266086371178573e-09
1;1;13;1.266086371178573e-09
1;1;14;1.266086371178573e-09
1;1;15;1.266086371178573e-09
1;1;16;1.266086371178573e-09
1;1;17;1.2651075055243998e-09
1;1;18;1.2651075055243998e-09
1;1;19;1.2651075055243998e-09
1;1;20;1.2651075055243998e-09
1;1;21;1.2651075055243998e-09
1;1;22;1.2651075055243998e-09
1;1;23;1.2651075055243998e-09
1;1;24;1.2651075055243998e-09
1;1;25;1.2673105079664197e-09
1;1;26;1.2673105079664197e-09
1;1;27;1.2673105079664197e-09
1;1;28;1.2673105079664197e-09
1;1;29;1.2673105079664197e-09
1;1;30;1.2673105079664197e-09
1;1;31;1.2673105079664197e-09
1;1;32;1.2673105079664197e-09
1;1;33;1.266834597445836e-09
1;1;34;1.266834597445836e-09
1;1;35;1.266834597445836e-09
1;1;36;1.266834597445836e-09
1;1;37;1.266834597445836e-09
1;1;38;1.266834597445836e-09
1;1;39;1.266834597445836e-09
1;1;40;1.266834597445836e-09
1;1;41;5.073394350069196e-09
1;1;42;5.073394350069196e-09
1;1;43;5.073394350069196e-09
1;1;44;5.073394350069196e-09
1;1;45;5.073394350069196e-09
1;1;46;5.073394350069196e-09
1;1;47;5.073394350069196e-09
1;1;48;5.073394350069196e-09
1;1;49;5.070362713599762e-09
1;1;50;5.070362713599762e-09
1;1;51;5.070362713599762e-09
1;1;52;5.070362713599762e-09
1;1;53;5.070362713599762e-09
1;1;54;5.070362713599762e-09
1;1;55;5.070362713599762e-09
1;1;56;5.070362713599762e-09
1;1;57;5.078044455217994e-09
1;1;58;5.078044455217994e-09
1;1;59;5.078044455217994e-09
1;1;60;5.078044455217994e-09
1;1;61;5.078044455217994e-09
1;1;62;5.078044455217994e-09
1;1;63;5.078044455217994e-09
1;1;64;5.078044455217994e-09
1;1;65;5.0734719193384025e-09
1;1;66;5.0734719193384025e-09
1;1;67;5.0734719193384025e-09
1;1;68;5.0734719193384025e-09
1;1;69;5.0734719193384025e-09
1;1;70;5.0734719193384025e-09
1;1;71;5.0734719193384025e-09
1;1;72;5.0734719193384025e-09
1;1;73;5.072281610410794e-09
1;1;74;5.072281610410794e-09
1;1;75;5.072281610410794e-09
1;1;76;5.072281610410794e-09
1;1;77;5.072281610410794e-09
1;1;78;5.072281610410794e-09
1;1;79;5.072281610410794e-09
1;1;80;5.072281610410794e-09
1;1;81;5.06335707038126e-09
1;1;82;5.06335707038126e-09
1;1;83;5.06335707038126e-09
1;1;84;5.06335707038126e-09
1;1;85;5.06335707038126e-09
1;1;86;5.06335707038126e-09
1;1;87;5.06335707038126e-09
1;1;88;5.06335707038126e-09
1;1;89;5.074471970748671e-09
1;1;90;5.074471970748671e-09
1;1;91;5.074471970748671e-09
1;1;92;5.074471970748671e-09
1;1;93;5.074471970748671e-09
1;1;94;5.074471970748671e-09
1;1;95;5.074471970748671e-09
1;1;96;5.074471970748671e-09
1;1;97;5.069300313246211e-09
1;1;98;5.069300313246211e-09
1;1;99;5.069300313246211e-09
1;1;100;5.069300313246211e-09
1;1;101;5.069300313246211e-09
1;1;102;5.069300313246211e-09
1;1;103;5.069300313246211e-09
1;1;104;5.069300313246211e-09
1;1;105;5.078048767800906e-09
1;1;106;5.078048767800906e-09
1;1;107;5.078048767800906e-09
1;1;108;5.078048767800906e-09
1;1;109;5.078048767800906e-09
1;1;110;5.078048767800906e-09
1;1;111;5.078048767800906e-09
1;1;112;5.078048767800906e-09
1;1;113;5.083152483311536e-09
1;1;114;5.083152483311536e-09
1;1;115;5.083152483311536e-09
1;1;116;5.083152483311536e-09
1;1;117;5.083152483311536e-09
1;1;118;5.083152483311536e-09
1;1;119;5.083152483311536e-09
1;1;120;5.083152483311536e-09
1;1;121;5.077748306734162e-09
