;;;0
1;1;1;1.3913751767518998e-10
1;1;2;2.478334391067169e-14
1;2;1;1.4030939995403783e-10
1;2;2;2.478334391067169e-14
1;3;1;1.4100776330649326e-10
1;3;2;2.478334391067169e-14
1;4;1;1.4123799264710965e-10
1;4;2;2.478334391067169e-14
1;5;1;1.3842606332403205e-10
1;5;2;2.478334391067169e-14
1;6;1;1.405902197823613e-10
1;6;2;2.478334391067169e-14
1;7;1;1.408244672478032e-10
1;7;2;2.478334391067169e-14
1;8;1;1.3935182522547672e-10
1;8;2;2.478334391067169e-14
1;9;1;1.5199948507507943e-10
1;9;2;0.0
1;10;1;1.5300384994875138e-10
1;10;2;0.0
1;11;1;1.5382656973555604e-10
1;11;2;0.0
1;12;1;1.5408115897346488e-10
1;12;2;0.0
1;13;1;1.5150571154639238e-10
1;13;2;0.0
1;14;1;1.5335840126578143e-10
1;14;2;0.0
1;15;1;1.5355916563962644e-10
1;15;2;0.0
1;16;1;1.5179557093468116e-10
1;16;2;0.0
1;17;1;1.519935243521872e-10
1;17;2;0.0
1;18;1;1.530091968048439e-10
1;18;2;0.0
1;19;1;1.5373915038945118e-10
1;19;2;0.0
1;20;1;1.5396899950809485e-10
1;20;2;0.0
1;21;1;1.5148299895379944e-10
1;21;2;0.0
1;22;1;1.5307592804714436e-10
1;22;2;0.0
1;23;1;1.5320822303404685e-10
1;23;2;0.0
1;24;1;1.519552850599478e-10
1;24;2;0.0
1;25;1;1.5200439042625962e-10
1;25;2;0.0
1;26;1;1.5303853353093293e-10
1;26;2;0.0
1;27;1;1.5363951845624423e-10
1;27;2;0.0
1;28;1;1.5385819387115453e-10
1;28;2;0.0
1;29;1;1.5148566448771038e-10
1;29;2;0.0
1;30;1;1.526710722489052e-10
1;30;2;0.0
1;31;1;1.5283817000695987e-10
1;31;2;0.0
1;32;1;1.5172875934622344e-10
1;32;2;0.0
1;33;1;1.5194850811535527e-10
1;33;2;0.0
1;34;1;1.5294789981930708e-10
1;34;2;0.0
1;35;1;1.534627811803408e-10
1;35;2;0.0
1;36;1;1.5356503114203937e-10
1;36;2;0.0
1;37;1;1.5138489195264216e-10
1;37;2;0.0
1;38;1;1.5237858608693316e-10
1;38;2;0.0
1;39;1;1.525879258663819e-10
1;39;2;0.0
1;40;1;1.5161220699307665e-10
1;40;2;0.0
1;41;1;2.7240751184611303e-10
1;41;2;0.0
1;42;1;2.739095843738872e-10
1;42;2;0.0
1;43;1;2.7508883533549743e-10
1;43;2;0.0
1;44;1;2.7542284595109064e-10
1;44;2;0.0
1;45;1;2.720862475652692e-10
1;45;2;0.0
1;46;1;2.749298847680811e-10
1;46;2;0.0
1;47;1;2.7529111761313623e-10
1;47;2;0.0
1;48;1;2.729914729279146e-10
1;48;2;0.0
1;49;1;2.729385103412735e-10
1;49;2;0.0
1;50;1;2.745741300052743e-10
1;50;2;0.0
1;51;1;2.7579320553041266e-10
1;51;2;0.0
1;52;1;2.761253191242409e-10
1;52;2;0.0
1;53;1;2.7212634619308367e-10
1;53;2;0.0
1;54;1;2.753610641522704e-10
1;54;2;0.0
1;55;1;2.756393672540664e-10
1;55;2;0.0
1;56;1;2.7301466867784153e-10
