;;;0
1;41;1;0.41543941828304326
2;41;1;0.0
3;41;1;0.0
4;41;1;0.0
5;41;1;0.0
6;41;1;0.37502899265237766
7;41;1;0.0
8;41;1;0.19009842219827994
9;41;1;0.0
10;41;1;0.0
11;41;1;0.0
12;41;1;0.0
13;41;1;0.0
14;41;1;0.0
15;41;1;0.0
16;41;1;0.0
17;41;1;0.0
18;41;1;0.0
19;41;1;0.0
20;41;1;0.6520168157691627
21;41;1;0.0
22;41;1;0.0
23;41;1;0.0
24;41;1;0.0
25;41;1;0.0
26;41;1;0.37502899264813433
27;41;1;0.0
28;41;1;0.0
29;41;1;1.2843332205067506
30;41;1;0.0
31;41;1;0.6620463272293534
32;41;1;0.0
33;41;1;0.0
34;41;1;0.00012287200882098805
35;41;1;0.0
36;41;1;0.0
37;41;1;0.0
38;41;1;0.4153990169264096
39;41;1;0.6876539931040164
40;41;1;0.0
41;41;1;0.662039734620038
42;41;1;0.0
43;41;1;0.0
44;41;1;0.0
45;41;1;0.41542051706371286
46;41;1;0.37515399308123953
47;41;1;0.0
48;41;1;0.0
49;41;1;0.6620925844329851
50;41;1;0.41550132263144324
51;41;1;0.7282785029810119
52;41;1;0.0
53;41;1;0.0
54;41;1;0.6621785081286771
55;41;1;0.0
56;41;1;0.0
57;41;1;0.41547547106932137
58;41;1;0.0
59;41;1;0.0
1;42;1;0.4158603630140842
2;42;1;0.0
3;42;1;0.0
4;42;1;0.0
5;42;1;0.0
6;42;1;0.3751640907644205
7;42;1;0.0
8;42;1;0.17040978227193873
9;42;1;0.0
10;42;1;0.0
11;42;1;0.0
12;42;1;0.0
13;42;1;0.0
14;42;1;0.0
15;42;1;0.0
16;42;1;0.0
17;42;1;0.0
18;42;1;0.0
19;42;1;0.0
20;42;1;0.6503210020378993
21;42;1;0.0
22;42;1;0.0
23;42;1;0.0
24;42;1;0.0
25;42;1;0.0
26;42;1;0.3751612347251732
27;42;1;0.0
28;42;1;0.0
29;42;1;1.285075098425912
30;42;1;0.0
31;42;1;0.662109644038977
32;42;1;0.0
33;42;1;0.0
34;42;1;0.00012478531130744717
35;42;1;0.0
36;42;1;0.0
37;42;1;0.0
38;42;1;0.4157967578036254
39;42;1;0.6877890913778084
40;42;1;0.0
41;42;1;0.662110941775112
42;42;1;0.0
43;42;1;0.0
44;42;1;0.0
45;42;1;0.415821553149766
46;42;1;0.3752890897821898
47;42;1;0.0
48;42;1;0.0
49;42;1;0.6620862010968991
50;42;1;0.41592728715965976
51;42;1;0.7287127469612569
52;42;1;0.0
53;42;1;0.0
54;42;1;0.6622002169120501
55;42;1;0.0
56;42;1;0.0
57;42;1;0.4158710299965541
58;42;1;0.0
59;42;1;0.0
1;43;1;0.41539710749777653
2;43;1;0.0
3;43;1;0.0
4;43;1;0.0
5;43;1;0.0
6;43;1;0.3752378775661879
7;43;1;0.0
8;43;1;0.16137652239881858
9;43;1;0.0
10;43;1;0.0
11;43;1;0.0
12;43;1;0.0
13;43;1;0.0
14;43;1;0.0
15;43;1;0.0
16;43;1;0.0
17;43;1;0.0
18;43;1;0.0
19;43;1;0.0
20;43;1;0.6485831177710746
21;43;1;0.0
22;43;1;0.0
23;43;1;0.0
24;43;1;0.0
25;43;1;0.0
26;43;1;0.3752347857883296
27;43;1;0.0
28;43;1;0.0
29;43;1;1.2845134426648674
30;43;1;0.0
31;43;1;0.6621045149707919
32;43;1;0.0
33;43;1;0.0
34;43;1;0.00011943058075950425
35;43;1;0.0
36;43;1;0.0
37;43;1;0.0
38;43;1;0.41532568660380925
39;43;1;0.68786287846196
40;43;1;0.0
41;43;1;0.662105135314309
42;43;1;0.0
43;43;1;0.0
44;43;1;0.0
45;43;1;0.41536605535525617
46;43;1;0.37536287843918315
47;43;1;0.0
48;43;1;0.0
49;43;1;0.662104297618348
50;43;1;0.41547072613787617
51;43;1;0.7282606427140097
52;43;1;0.0
53;43;1;0.0
54;43;1;0.6622059937274003
55;43;1;0.0
56;43;1;0.0
57;43;1;0.4153165041356867
58;43;1;0.0
59;43;1;0.0
1;44;1;0.41415475772920896
2;44;1;0.0
3;44;1;0.0
4;44;1;0.0
5;44;1;0.0
6;44;1;0.37522344892149173
7;44;1;0.0
8;44;1;0.15598098493546275
9;44;1;0.0
10;44;1;0.0
11;44;1;0.0
12;44;1;0.0
13;44;1;0.0
14;44;1;0.0
15;44;1;0.0
16;44;1;0.0
17;44;1;0.0
18;44;1;0.0
19;44;1;0.0
20;44;1;0.6465340479220829
21;44;1;0.0
22;44;1;0.0
23;44;1;0.0
24;44;1;0.0
25;44;1;0.0
26;44;1;0.3752250836014301
27;44;1;0.0
28;44;1;0.0
29;44;1;1.2827987678554174
30;44;1;0.0
31;44;1;0.6620966889845047
32;44;1;0.0
33;44;1;0.0
34;44;1;0.00012138674716062286
35;44;1;0.0
36;44;1;0.0
37;44;1;0.0
38;44;1;0.41409312755963495
39;44;1;0.6878537474867437
40;44;1;0.0
41;44;1;0.6621065771457605
42;44;1;0.0
43;44;1;0.0
44;44;1;0.0
45;44;1;0.41414588314733874
46;44;1;0.37535718626045117
47;44;1;0.0
48;44;1;0.0
49;44;1;0.6621099400037237
50;44;1;0.41425113621629867
51;44;1;0.7270164412884765
52;44;1;0.0
53;44;1;0.0
54;44;1;0.6622101913427935
55;44;1;0.0
56;44;1;0.0
57;44;1;0.4140508460990799
58;44;1;0.0
59;44;1;0.0
1;45;1;0.5009538264679555
2;45;1;0.0
3;45;1;0.0
4;45;1;0.0
5;45;1;0.0
6;45;1;0.5009705285079313
7;45;1;0.0
8;45;1;0.4999375000000586
9;45;1;0.0
10;45;1;0.0
11;45;1;0.0
12;45;1;0.0
13;45;1;0.0
14;45;1;0.0
15;45;1;0.0
16;45;1;0.0
17;45;1;0.0
18;45;1;0.0
19;45;1;0.0
20;45;1;0.8004232997506979
21;45;1;0.0
22;45;1;0.0
23;45;1;0.0
24;45;1;0.0
25;45;1;0.0
26;45;1;0.500968469560197
27;45;1;0.0
28;45;1;0.0
29;45;1;1.4030710952163767
30;45;1;0.0
31;45;1;0.7727524366369216
32;45;1;0.0
33;45;1;0.0
34;45;1;0.0
35;45;1;0.0
36;45;1;0.0
37;45;1;0.0
38;45;1;0.5009549024253664
39;45;1;1.3968908805835265
40;45;1;0.0
41;45;1;0.7725511519348309
42;45;1;0.0
43;45;1;0.0
44;45;1;0.0
45;45;1;0.5008972852864024
46;45;1;0.501089093361548
47;45;1;0.0
48;45;1;0.0
49;45;1;0.7725876332851974
50;45;1;0.5011185794693763
51;45;1;0.8135826600284428
52;45;1;0.0
53;45;1;0.0
54;45;1;0.7728311778850412
55;45;1;0.0
56;45;1;0.0
57;45;1;0.5009560977441221
58;45;1;0.0
59;45;1;0.0
1;46;1;0.4454708876911805
2;46;1;0.0
3;46;1;0.0
4;46;1;0.0
5;46;1;0.0
6;46;1;0.43832689300521827
7;46;1;0.0
8;46;1;0.43743750000006987
9;46;1;0.0
10;46;1;0.0
11;46;1;0.0
12;46;1;0.0
13;46;1;0.0
14;46;1;0.0
15;46;1;0.0
16;46;1;0.0
17;46;1;0.0
18;46;1;0.0
19;46;1;0.0
20;46;1;0.6998705065412455
21;46;1;0.0
22;46;1;0.0
23;46;1;0.0
24;46;1;0.0
25;46;1;0.0
26;46;1;0.43832609487438123
27;46;1;0.0
28;46;1;0.0
29;46;1;1.3315359900913655
30;46;1;0.0
31;46;1;0.724550705553257
32;46;1;0.0
33;46;1;0.0
34;46;1;0.0001205337246894934
35;46;1;0.0
36;46;1;0.0
37;46;1;0.0
38;46;1;0.44548582144656246
39;46;1;1.3134174216677121
40;46;1;0.0
41;46;1;0.724493379537636
42;46;1;0.0
43;46;1;0.0
44;46;1;0.0
45;46;1;0.4454645968512988
46;46;1;0.43844978206445584
47;46;1;0.0
48;46;1;0.0
49;46;1;0.7245458004771905
50;46;1;0.44560764512950995
51;46;1;0.7581519925698292
52;46;1;0.0
53;46;1;0.0
54;46;1;0.7245948842867925
55;46;1;0.0
56;46;1;0.0
57;46;1;0.4454825964703042
58;46;1;0.0
59;46;1;0.0
1;47;1;0.44675981776352286
2;47;1;0.0
3;47;1;0.0
4;47;1;0.0
5;47;1;0.0
6;47;1;0.4380582896943294
7;47;1;0.0
8;47;1;0.4374375000000728
9;47;1;0.0
10;47;1;0.0
11;47;1;0.0
12;47;1;0.0
13;47;1;0.0
14;47;1;0.0
15;47;1;0.0
16;47;1;0.0
17;47;1;0.0
18;47;1;0.0
19;47;1;0.0
20;47;1;0.7003152980299727
21;47;1;0.0
22;47;1;0.0
23;47;1;0.0
24;47;1;0.0
25;47;1;0.0
26;47;1;0.43805896437283215
27;47;1;0.0
28;47;1;0.0
29;47;1;1.3612714559881969
30;47;1;0.0
31;47;1;0.7245692453181253
32;47;1;0.0
33;47;1;0.0
34;47;1;0.0001141315951741439
35;47;1;0.0
36;47;1;0.0
37;47;1;0.0
38;47;1;0.44675077311560707
39;47;1;1.3548168700488006
40;47;1;0.0
41;47;1;0.7244730276112917
42;47;1;0.0
43;47;1;0.0
44;47;1;0.0
45;47;1;0.44678767373848666
46;47;1;0.4381853524906492
47;47;1;0.0
48;47;1;0.0
49;47;1;0.7245141365218206
50;47;1;0.44685207293348883
51;47;1;0.7594658476565186
52;47;1;0.0
53;47;1;0.0
54;47;1;0.7245872463214118
55;47;1;0.0
56;47;1;0.0
57;47;1;0.4467746033074827
58;47;1;0.0
59;47;1;0.0
1;48;1;0.5646697026020236
2;48;1;0.0
