;;;;0
1;1;1;1;1.2601988154469804e-08
1;1;1;2;1.558994459637206e-11
1;1;2;1;1.2601988154469804e-08
1;1;2;2;1.558994459637206e-11
1;1;3;1;1.2601988154469804e-08
1;1;3;2;1.558994459637206e-11
1;1;4;1;8.811611842935197e-08
1;1;4;2;1.558994459637206e-11
1;1;5;1;1.2601988154469804e-08
1;1;5;2;1.558994459637206e-11
1;1;6;1;1.2601988154469804e-08
1;1;6;2;1.558994459637206e-11
1;1;7;1;1.2601988154469804e-08
1;1;7;2;1.558994459637206e-11
1;1;8;1;1.2601988154469804e-08
1;1;8;2;1.558994459637206e-11
1;2;1;1;1.2602046164820016e-08
1;2;1;2;1.558994459637206e-11
1;2;2;1;1.2602046164820016e-08
1;2;2;2;1.558994459637206e-11
1;2;3;1;1.2602046164820016e-08
1;2;3;2;1.558994459637206e-11
1;2;4;1;8.810044345242917e-08
1;2;4;2;1.558994459637206e-11
1;2;5;1;1.2602046164820016e-08
1;2;5;2;1.558994459637206e-11
1;2;6;1;1.2602046164820016e-08
1;2;6;2;1.558994459637206e-11
1;2;7;1;1.2602046164820016e-08
1;2;7;2;1.558994459637206e-11
1;2;8;1;1.2602046164820016e-08
1;2;8;2;1.558994459637206e-11
1;3;1;1;1.2602111983479819e-08
1;3;1;2;1.558994459637206e-11
1;3;2;1;1.2602111983479819e-08
1;3;2;2;1.558994459637206e-11
1;3;3;1;1.2602111983479819e-08
1;3;3;2;1.558994459637206e-11
1;3;4;1;8.809542215540489e-08
1;3;4;2;1.558994459637206e-11
1;3;5;1;1.2602111983479819e-08
1;3;5;2;1.558994459637206e-11
1;3;6;1;1.2602111983479819e-08
1;3;6;2;1.558994459637206e-11
1;3;7;1;1.2602111983479819e-08
1;3;7;2;1.558994459637206e-11
1;3;8;1;1.2602111983479819e-08
1;3;8;2;1.558994459637206e-11
1;4;1;1;1.2602131910218741e-08
1;4;1;2;1.558994459637206e-11
1;4;2;1;1.2602131910218741e-08
1;4;2;2;1.558994459637206e-11
1;4;3;1;1.2602131910218741e-08
1;4;3;2;1.558994459637206e-11
1;4;4;1;8.809499785802279e-08
1;4;4;2;1.558994459637206e-11
1;4;5;1;1.2602131910218741e-08
1;4;5;2;1.558994459637206e-11
1;4;6;1;1.2602131910218741e-08
1;4;6;2;1.558994459637206e-11
1;4;7;1;1.2602131910218741e-08
1;4;7;2;1.558994459637206e-11
1;4;8;1;1.2602131910218741e-08
1;4;8;2;1.558994459637206e-11
1;5;1;1;1.2602016108356161e-08
1;5;1;2;1.558994459637206e-11
1;5;2;1;1.2602016108356161e-08
1;5;2;2;1.558994459637206e-11
1;5;3;1;1.2602016108356161e-08
1;5;3;2;1.558994459637206e-11
1;5;4;1;8.812310648963821e-08
1;5;4;2;1.558994459637206e-11
1;5;5;1;1.2602016108356161e-08
1;5;5;2;1.558994459637206e-11
1;5;6;1;1.2602016108356161e-08
1;5;6;2;1.558994459637206e-11
1;5;7;1;1.2602016108356161e-08
1;5;7;2;1.558994459637206e-11
1;5;8;1;1.2602016108356161e-08
1;5;8;2;1.558994459637206e-11
1;6;1;1;1.2601995358881432e-08
1;6;1;2;1.558994459637206e-11
1;6;2;1;1.2601995358881432e-08
1;6;2;2;1.558994459637206e-11
1;6;3;1;1.2601995358881432e-08
1;6;3;2;1.558994459637206e-11
1;6;4;1;8.812661271503687e-08
1;6;4;2;1.558994459637206e-11
1;6;5;1;1.2601995358881432e-08
1;6;5;2;1.558994459637206e-11
1;6;6;1;1.2601995358881432e-08
1;6;6;2;1.558994459637206e-11
1;6;7;1;1.2601995358881432e-08
1;6;7;2;1.558994459637206e-11
1;6;8;1;1.2601995358881432e-08
1;6;8;2;1.558994459637206e-11
1;7;1;1;1.2602010450043937e-08
1;7;1;2;1.558994459637206e-11
1;7;2;1;1.2602010450043937e-08
1;7;2;2;1.558994459637206e-11
1;7;3;1;1.2602010450043937e-08
1;7;3;2;1.558994459637206e-11
