;;;;0
1;1;1;1;1.2591656913890747e-08
1;1;1;2;1.5586846678383225e-11
1;1;2;1;1.2591656913890747e-08
1;1;2;2;1.5586846678383225e-11
1;1;3;1;1.2591656913890747e-08
1;1;3;2;1.5586846678383225e-11
1;1;4;1;8.804929959573018e-08
1;1;4;2;1.5586846678383225e-11
1;1;5;1;1.2591656913890747e-08
1;1;5;2;1.5586846678383225e-11
1;1;6;1;1.2591656913890747e-08
1;1;6;2;1.5586846678383225e-11
1;1;7;1;1.2591656913890747e-08
1;1;7;2;1.5586846678383225e-11
1;1;8;1;1.2591656913890747e-08
1;1;8;2;1.5586846678383225e-11
1;2;1;1;1.2591596929784891e-08
1;2;1;2;1.5586846678383225e-11
1;2;2;1;1.2591596929784891e-08
1;2;2;2;1.5586846678383225e-11
1;2;3;1;1.2591596929784891e-08
1;2;3;2;1.5586846678383225e-11
1;2;4;1;8.8033278697721e-08
1;2;4;2;1.5586846678383225e-11
1;2;5;1;1.2591596929784891e-08
1;2;5;2;1.5586846678383225e-11
1;2;6;1;1.2591596929784891e-08
1;2;6;2;1.5586846678383225e-11
1;2;7;1;1.2591596929784891e-08
1;2;7;2;1.5586846678383225e-11
1;2;8;1;1.2591596929784891e-08
1;2;8;2;1.5586846678383225e-11
1;3;1;1;1.2591581922269749e-08
1;3;1;2;1.5586846678383225e-11
1;3;2;1;1.2591581922269749e-08
1;3;2;2;1.5586846678383225e-11
1;3;3;1;1.2591581922269749e-08
1;3;3;2;1.5586846678383225e-11
1;3;4;1;8.802812482056888e-08
1;3;4;2;1.5586846678383225e-11
1;3;5;1;1.2591581922269749e-08
1;3;5;2;1.5586846678383225e-11
1;3;6;1;1.2591581922269749e-08
1;3;6;2;1.5586846678383225e-11
1;3;7;1;1.2591581922269749e-08
1;3;7;2;1.5586846678383225e-11
1;3;8;1;1.2591581922269749e-08
1;3;8;2;1.5586846678383225e-11
1;4;1;1;1.2591576168488758e-08
1;4;1;2;1.5586846678383225e-11
1;4;2;1;1.2591576168488758e-08
1;4;2;2;1.5586846678383225e-11
1;4;3;1;1.2591576168488758e-08
1;4;3;2;1.5586846678383225e-11
1;4;4;1;8.802765005748556e-08
1;4;4;2;1.5586846678383225e-11
1;4;5;1;1.2591576168488758e-08
1;4;5;2;1.5586846678383225e-11
1;4;6;1;1.2591576168488758e-08
1;4;6;2;1.5586846678383225e-11
1;4;7;1;1.2591576168488758e-08
1;4;7;2;1.5586846678383225e-11
1;4;8;1;1.2591576168488758e-08
1;4;8;2;1.5586846678383225e-11
1;5;1;1;1.2591723423662731e-08
1;5;1;2;1.5586846678383225e-11
1;5;2;1;1.2591723423662731e-08
1;5;2;2;1.5586846678383225e-11
1;5;3;1;1.2591723423662731e-08
1;5;3;2;1.5586846678383225e-11
1;5;4;1;8.805672921916819e-08
1;5;4;2;1.5586846678383225e-11
1;5;5;1;1.2591723423662731e-08
1;5;5;2;1.5586846678383225e-11
1;5;6;1;1.2591723423662731e-08
1;5;6;2;1.5586846678383225e-11
1;5;7;1;1.2591723423662731e-08
1;5;7;2;1.5586846678383225e-11
1;5;8;1;1.2591723423662731e-08
1;5;8;2;1.5586846678383225e-11
1;6;1;1;1.259153916094516e-08
1;6;1;2;1.5586846678383225e-11
1;6;2;1;1.259153916094516e-08
1;6;2;2;1.5586846678383225e-11
1;6;3;1;1.259153916094516e-08
1;6;3;2;1.5586846678383225e-11
1;6;4;1;8.80592158808084e-08
1;6;4;2;1.5586846678383225e-11
1;6;5;1;1.259153916094516e-08
1;6;5;2;1.5586846678383225e-11
1;6;6;1;1.259153916094516e-08
1;6;6;2;1.5586846678383225e-11
1;6;7;1;1.259153916094516e-08
1;6;7;2;1.5586846678383225e-11
1;6;8;1;1.259153916094516e-08
1;6;8;2;1.5586846678383225e-11
1;7;1;1;1.2591529964803214e-08
1;7;1;2;1.5586846678383225e-11
1;7;2;1;1.2591529964803214e-08
1;7;2;2;1.5586846678383225e-11
1;7;3;1;1.2591529964803214e-08
1;7;3;2;1.5586846678383225e-11
1;7;4;1;8.806113091018717e-08
1;7;4;2;1.5586846678383225e-11
1;7;5;1;1.2591529964803214e-08
1;7;5;2;1.5586846678383225e-11
1;7;6;1;1.2591529964803214e-08
1;7;6;2;1.5586846678383225e-11
1;7;7;1;1.2591529964803214e-08
1;7;7;2;1.5586846678383225e-11
1;7;8;1;1.2591529964803214e-08
1;7;8;2;1.5586846678383225e-11
1;8;1;1;1.2591612222868933e-08
1;8;1;2;1.5586846678383225e-11
1;8;2;1;1.2591612222868933e-08
1;8;2;2;1.5586846678383225e-11
1;8;3;1;1.2591612222868933e-08
1;8;3;2;1.5586846678383225e-11
1;8;4;1;8.80693825490537e-08
1;8;4;2;1.5586846678383225e-11
1;8;5;1;1.2591612222868933e-08
1;8;5;2;1.5586846678383225e-11
1;8;6;1;1.2591612222868933e-08
1;8;6;2;1.5586846678383225e-11
1;8;7;1;1.2591612222868933e-08
1;8;7;2;1.5586846678383225e-11
1;8;8;1;1.2591612222868933e-08
1;8;8;2;1.5586846678383225e-11
1;9;1;1;4.967293713736768e-08
1;9;1;2;1.5616091694237068e-11
1;9;2;1;4.967293713736768e-08
1;9;2;2;1.5616091694237068e-11
1;9;3;1;4.967293713736768e-08
1;9;3;2;1.5616091694237068e-11
1;9;4;1;3.4567415162807056e-07
1;9;4;2;1.5616091694237068e-11
1;9;5;1;4.967293713736768e-08
1;9;5;2;1.5616091694237068e-11
1;9;6;1;4.967293713736768e-08
1;9;6;2;1.5616091694237068e-11
1;9;7;1;4.967293713736768e-08
1;9;7;2;1.5616091694237068e-11
1;9;8;1;4.967293713736768e-08
1;9;8;2;1.5616091694237068e-11
1;10;1;1;4.967260550624636e-08
1;10;1;2;1.5616091694237068e-11
1;10;2;1;4.967260550624636e-08
1;10;2;2;1.5616091694237068e-11
1;10;3;1;4.967260550624636e-08
1;10;3;2;1.5616091694237068e-11
1;10;4;1;3.4567637495205655e-07
1;10;4;2;1.5616091694237068e-11
1;10;5;1;4.967260550624636e-08
1;10;5;2;1.5616091694237068e-11
1;10;6;1;4.967260550624636e-08
1;10;6;2;1.5616091694237068e-11
1;10;7;1;4.967260550624636e-08
1;10;7;2;1.5616091694237068e-11
1;10;8;1;4.967260550624636e-08
1;10;8;2;1.5616091694237068e-11
1;11;1;1;4.9672159648305086e-08
1;11;1;2;1.5616091694237068e-11
1;11;2;1;4.9672159648305086e-08
1;11;2;2;1.5616091694237068e-11
1;11;3;1;4.9672159648305086e-08
1;11;3;2;1.5616091694237068e-11
1;11;4;1;3.4568756895064513e-07
1;11;4;2;1.5616091694237068e-11
1;11;5;1;4.9672159648305086e-08
1;11;5;2;1.5616091694237068e-11
1;11;6;1;4.9672159648305086e-08
1;11;6;2;1.5616091694237068e-11
1;11;7;1;4.9672159648305086e-08
1;11;7;2;1.5616091694237068e-11
1;11;8;1;4.9672159648305086e-08
1;11;8;2;1.5616091694237068e-11
1;12;1;1;4.9672041445797926e-08
1;12;1;2;1.5616091694237068e-11
1;12;2;1;4.9672041445797926e-08
1;12;2;2;1.5616091694237068e-11
1;12;3;1;4.9672041445797926e-08
1;12;3;2;1.5616091694237068e-11
1;12;4;1;3.456895776202565e-07
1;12;4;2;1.5616091694237068e-11
1;12;5;1;4.9672041445797926e-08
1;12;5;2;1.5616091694237068e-11
1;12;6;1;4.9672041445797926e-08
1;12;6;2;1.5616091694237068e-11
1;12;7;1;4.9672041445797926e-08
1;12;7;2;1.5616091694237068e-11
1;12;8;1;4.9672041445797926e-08
1;12;8;2;1.5616091694237068e-11
1;13;1;1;4.967397660788989e-08
1;13;1;2;1.5616091694237068e-11
1;13;2;1;4.967397660788989e-08
1;13;2;2;1.5616091694237068e-11
1;13;3;1;4.967397660788989e-08
1;13;3;2;1.5616091694237068e-11
1;13;4;1;3.457024916441683e-07
1;13;4;2;1.5616091694237068e-11
1;13;5;1;4.967397660788989e-08
1;13;5;2;1.5616091694237068e-11
1;13;6;1;4.967397660788989e-08
1;13;6;2;1.5616091694237068e-11
1;13;7;1;4.967397660788989e-08
1;13;7;2;1.5616091694237068e-11
1;13;8;1;4.967397660788989e-08
1;13;8;2;1.5616091694237068e-11
1;14;1;1;4.967155435379176e-08
1;14;1;2;1.5616091694237068e-11
1;14;2;1;4.967155435379176e-08
1;14;2;2;1.5616091694237068e-11
1;14;3;1;4.967155435379176e-08
1;14;3;2;1.5616091694237068e-11
1;14;4;1;3.45634372110666e-07
1;14;4;2;1.5616091694237068e-11
1;14;5;1;4.967155435379176e-08
1;14;5;2;1.5616091694237068e-11
1;14;6;1;4.967155435379176e-08
1;14;6;2;1.5616091694237068e-11
1;14;7;1;4.967155435379176e-08
1;14;7;2;1.5616091694237068e-11
1;14;8;1;4.967155435379176e-08
1;14;8;2;1.5616091694237068e-11
1;15;1;1;4.967153362973691e-08
1;15;1;2;1.5616091694237068e-11
1;15;2;1;4.967153362973691e-08
1;15;2;2;1.5616091694237068e-11
1;15;3;1;4.967153362973691e-08
1;15;3;2;1.5616091694237068e-11
1;15;4;1;3.456347351503831e-07
1;15;4;2;1.5616091694237068e-11
1;15;5;1;4.967153362973691e-08
1;15;5;2;1.5616091694237068e-11
1;15;6;1;4.967153362973691e-08
1;15;6;2;1.5616091694237068e-11
1;15;7;1;4.967153362973691e-08
1;15;7;2;1.5616091694237068e-11
1;15;8;1;4.967153362973691e-08
1;15;8;2;1.5616091694237068e-11
1;16;1;1;4.967152786014192e-08
1;16;1;2;1.5616091694237068e-11
1;16;2;1;4.967152786014192e-08
1;16;2;2;1.5616091694237068e-11
1;16;3;1;4.967152786014192e-08
1;16;3;2;1.5616091694237068e-11
1;16;4;1;3.456370839287984e-07
1;16;4;2;1.5616091694237068e-11
1;16;5;1;4.967152786014192e-08
1;16;5;2;1.5616091694237068e-11
1;16;6;1;4.967152786014192e-08
1;16;6;2;1.5616091694237068e-11
1;16;7;1;4.967152786014192e-08
1;16;7;2;1.5616091694237068e-11
1;16;8;1;4.967152786014192e-08
1;16;8;2;1.5616091694237068e-11
1;17;1;1;4.967293626172874e-08
1;17;1;2;1.5616091694237068e-11
1;17;2;1;4.967293626172874e-08
1;17;2;2;1.5616091694237068e-11
1;17;3;1;4.967293626172874e-08
1;17;3;2;1.5616091694237068e-11
1;17;4;1;3.4567416608716014e-07
1;17;4;2;1.5616091694237068e-11
1;17;5;1;4.967293626172874e-08
1;17;5;2;1.5616091694237068e-11
1;17;6;1;4.967293626172874e-08
1;17;6;2;1.5616091694237068e-11
1;17;7;1;4.967293626172874e-08
1;17;7;2;1.5616091694237068e-11
1;17;8;1;4.967293626172874e-08
1;17;8;2;1.5616091694237068e-11
1;18;1;1;4.967260195336412e-08
1;18;1;2;1.5616091694237068e-11
1;18;2;1;4.967260195336412e-08
1;18;2;2;1.5616091694237068e-11
1;18;3;1;4.967260195336412e-08
1;18;3;2;1.5616091694237068e-11
1;18;4;1;3.45676425053991e-07
1;18;4;2;1.5616091694237068e-11
1;18;5;1;4.967260195336412e-08
1;18;5;2;1.5616091694237068e-11
1;18;6;1;4.967260195336412e-08
1;18;6;2;1.5616091694237068e-11
1;18;7;1;4.967260195336412e-08
1;18;7;2;1.5616091694237068e-11
1;18;8;1;4.967260195336412e-08
1;18;8;2;1.5616091694237068e-11
1;19;1;1;4.967215957590664e-08
1;19;1;2;1.5616091694237068e-11
1;19;2;1;4.967215957590664e-08
1;19;2;2;1.5616091694237068e-11
1;19;3;1;4.967215957590664e-08
1;19;3;2;1.5616091694237068e-11
1;19;4;1;3.45687609373053e-07
1;19;4;2;1.5616091694237068e-11
1;19;5;1;4.967215957590664e-08
1;19;5;2;1.5616091694237068e-11
1;19;6;1;4.967215957590664e-08
1;19;6;2;1.5616091694237068e-11
1;19;7;1;4.967215957590664e-08
1;19;7;2;1.5616091694237068e-11
1;19;8;1;4.967215957590664e-08
1;19;8;2;1.5616091694237068e-11
1;20;1;1;4.967203966638203e-08
1;20;1;2;1.5616091694237068e-11
1;20;2;1;4.967203966638203e-08
1;20;2;2;1.5616091694237068e-11
1;20;3;1;4.967203966638203e-08
1;20;3;2;1.5616091694237068e-11
1;20;4;1;3.45689714691309e-07
1;20;4;2;1.5616091694237068e-11
1;20;5;1;4.967203966638203e-08
1;20;5;2;1.5616091694237068e-11
1;20;6;1;4.967203966638203e-08
1;20;6;2;1.5616091694237068e-11
1;20;7;1;4.967203966638203e-08
1;20;7;2;1.5616091694237068e-11
1;20;8;1;4.967203966638203e-08
1;20;8;2;1.5616091694237068e-11
1;21;1;1;4.96739733204178e-08
1;21;1;2;1.5616091694237068e-11
1;21;2;1;4.96739733204178e-08
1;21;2;2;1.5616091694237068e-11
1;21;3;1;4.96739733204178e-08
1;21;3;2;1.5616091694237068e-11
1;21;4;1;3.45702575192537e-07
1;21;4;2;1.5616091694237068e-11
1;21;5;1;4.96739733204178e-08
1;21;5;2;1.5616091694237068e-11
1;21;6;1;4.96739733204178e-08
1;21;6;2;1.5616091694237068e-11
1;21;7;1;4.96739733204178e-08
