;;;0
1;1;1;3.2093322743541825e-09
1;1;2;5.689083872120795e-13
1;2;1;3.2045747732573282e-09
1;2;2;5.689083872120795e-13
1;3;1;3.1787499148168855e-09
1;3;2;5.689083872120795e-13
1;4;1;3.146671360551028e-09
1;4;2;5.689083872120795e-13
1;5;1;3.103726764815467e-09
1;5;2;5.689083872120795e-13
1;6;1;3.1198846193972303e-09
1;6;2;5.689083872120795e-13
1;7;1;3.1098858539644155e-09
1;7;2;5.689083872120795e-13
1;8;1;3.089162176424139e-09
1;8;2;5.689083872120795e-13
1;9;1;3.5183354336192107e-09
1;9;2;0.0
1;10;1;3.514009160026911e-09
1;10;2;0.0
1;11;1;3.4920394169448462e-09
1;11;2;0.0
1;12;1;3.4712956428215654e-09
1;12;2;0.0
1;13;1;3.440980059146449e-09
1;13;2;0.0
1;14;1;3.429325014859722e-09
1;14;2;0.0
1;15;1;3.4249003173467704e-09
1;15;2;0.0
1;16;1;3.4153945184616484e-09
1;16;2;0.0
1;17;1;3.5144954723384037e-09
1;17;2;0.0
1;18;1;3.508401961625844e-09
1;18;2;0.0
1;19;1;3.4848718328323502e-09
1;19;2;0.0
1;20;1;3.4630915802566335e-09
1;20;2;0.0
1;21;1;3.4274159806429365e-09
1;21;2;0.0
1;22;1;3.4214370571505686e-09
1;22;2;0.0
1;23;1;3.414614721004302e-09
1;23;2;0.0
1;24;1;3.3969039003300928e-09
1;24;2;0.0
1;25;1;3.5053508171040734e-09
1;25;2;0.0
1;26;1;3.4980343241657692e-09
1;26;2;0.0
1;27;1;3.4737063960117926e-09
1;27;2;0.0
1;28;1;3.442114597891681e-09
1;28;2;0.0
1;29;1;3.4061998926642845e-09
1;29;2;0.0
1;30;1;3.418906605441802e-09
1;30;2;0.0
1;31;1;3.408530324149414e-09
1;31;2;0.0
1;32;1;3.3941491359501595e-09
1;32;2;0.0
1;33;1;3.501630029062794e-09
1;33;2;0.0
1;34;1;3.4934007542165976e-09
1;34;2;0.0
1;35;1;3.4686571019566835e-09
1;35;2;0.0
1;36;1;3.429446556010347e-09
1;36;2;0.0
1;37;1;3.3958433851866436e-09
1;37;2;0.0
1;38;1;3.4125718115327486e-09
1;38;2;0.0
1;39;1;3.4016211248218402e-09
1;39;2;0.0
1;40;1;3.3875399499428435e-09
1;40;2;0.0
1;41;1;6.304108163347256e-09
1;41;2;0.0
1;42;1;6.3037433367972096e-09
1;42;2;0.0
1;43;1;6.272975905063341e-09
1;43;2;0.0
1;44;1;6.237731297754749e-09
1;44;2;0.0
