;;;0
1;1;1;23.970862934200195
1;1;2;2.3047240873126305e-12
1;2;1;23.970862932380665
1;2;2;2.3047240873126305e-12
1;3;1;23.97086293194481
1;3;2;2.3047240873126305e-12
1;4;1;23.970862932316944
1;4;2;2.3047240873126305e-12
1;5;1;23.97086294568342
1;5;2;2.3047240873126305e-12
1;6;1;23.97086292567064
1;6;2;2.3047240873126305e-12
1;7;1;23.97086292381273
1;7;2;2.3047240873126305e-12
1;8;1;23.970862919902864
1;8;2;2.3047240873126305e-12
1;9;1;2.426226157271384e-08
1;9;2;-3.970466940254533e-23
1;10;1;2.5007647949169104e-08
1;10;2;-3.970466940254533e-23
1;11;1;2.5810029738110112e-08
1;11;2;-3.970466940254533e-23
1;12;1;2.6570663481343283e-08
1;12;2;-3.970466940254533e-23
1;13;1;2.2517627004634846e-08
1;13;2;-3.970466940254533e-23
1;14;1;3.002051412609463e-08
1;14;2;-3.970466940254533e-23
1;15;1;3.1623264362023095e-08
1;15;2;-3.970466940254533e-23
1;16;1;3.445521357045838e-08
1;16;2;-3.970466940254533e-23
1;17;1;2.4247904538041935e-08
1;17;2;-3.970466940254533e-23
1;18;1;2.4995459384436402e-08
1;18;2;-3.970466940254533e-23
1;19;1;2.581249522236133e-08
1;19;2;-3.970466940254533e-23
1;20;1;2.6599215937749433e-08
1;20;2;-3.970466940254533e-23
1;21;1;2.2537396213514896e-08
1;21;2;-3.970466940254533e-23
1;22;1;3.0079701199400757e-08
1;22;2;-3.970466940254533e-23
1;23;1;3.166521609722676e-08
1;23;2;-3.970466940254533e-23
1;24;1;3.419192062932509e-08
1;24;2;-3.970466940254533e-23
1;25;1;2.4275910525666943e-08
1;25;2;-3.970466940254533e-23
1;26;1;2.5040081254207075e-08
1;26;2;-3.970466940254533e-23
1;27;1;2.5919949686389215e-08
1;27;2;-3.970466940254533e-23
1;28;1;2.671029064718394e-08
1;28;2;-3.970466940254533e-23
1;29;1;2.2560087226361253e-08
1;29;2;-3.970466940254533e-23
1;30;1;3.0120443720804365e-08
1;30;2;-3.970466940254533e-23
1;31;1;3.1728139776460444e-08
1;31;2;-3.970466940254533e-23
1;32;1;3.446116921897613e-08
1;32;2;-3.970466940254533e-23
1;33;1;2.4289199416623552e-08
1;33;2;-3.970466940254533e-23
1;34;1;2.5034850127301188e-08
1;34;2;-3.970466940254533e-23
1;35;1;2.597629948109263e-08
1;35;2;-3.970466940254533e-23
1;36;1;2.6760089831233944e-08
1;36;2;-3.970466940254533e-23
1;37;1;2.2591206499941795e-08
1;37;2;-3.970466940254533e-23
1;38;1;3.0213231110921054e-08
1;38;2;-3.970466940254533e-23
1;39;1;3.178611050926169e-08
1;39;2;-3.970466940254533e-23
1;40;1;3.452641290102869e-08
1;40;2;-3.970466940254533e-23
1;41;1;5.049331974760207e-08
1;41;2;0.0
1;42;1;5.089708210448407e-08
1;42;2;0.0
1;43;1;5.085466980858655e-08
1;43;2;0.0
1;44;1;5.121598078972056e-08
1;44;2;0.0
1;45;1;4.590628321921031e-08
1;45;2;0.0
1;46;1;5.5267957321802896e-08
1;46;2;0.0
1;47;1;5.691563842447067e-08
1;47;2;0.0
1;48;1;5.908153610789668e-08
1;48;2;0.0
1;49;1;4.924047658505515e-08
1;49;2;0.0
1;50;1;4.9636540211395186e-08
1;50;2;0.0
1;51;1;5.039064632228474e-08
1;51;2;0.0
1;52;1;5.111276735192405e-08
1;52;2;0.0
1;53;1;4.5916337398921314e-08
1;53;2;0.0
1;54;1;5.499827437915883e-08
1;54;2;0.0
1;55;1;5.679852321804901e-08
1;55;2;0.0
1;56;1;5.954287374265732e-08
1;56;2;0.0
1;57;1;4.7409333348014115e-08
1;57;2;0.0
1;58;1;4.861910340991926e-08
1;58;2;0.0
1;59;1;4.987622048702178e-08
1;59;2;0.0
1;60;1;5.081064813339253e-08
1;60;2;0.0
1;61;1;4.588996915799726e-08
1;61;2;0.0
1;62;1;5.469451380690771e-08
1;62;2;0.0
1;63;1;5.646490208732757e-08
1;63;2;0.0
1;64;1;5.9501868321376605e-08
1;64;2;0.0
1;65;1;4.7481783838065894e-08
1;65;2;0.0
1;66;1;4.860385516280985e-08
1;66;2;0.0
1;67;1;4.9794198986319316e-08
1;67;2;0.0
1;68;1;5.072596920285832e-08
1;68;2;0.0
1;69;1;4.58859226171171e-08
1;69;2;0.0
1;70;1;5.461347996060795e-08
1;70;2;0.0
1;71;1;5.63661401997706e-08
1;71;2;0.0
1;72;1;5.9479532410477987e-08
1;72;2;0.0
1;73;1;5.0503764725817746e-08
1;73;2;0.0
1;74;1;5.0943391727287235e-08
1;74;2;0.0
1;75;1;5.0968065323786504e-08
1;75;2;0.0
1;76;1;5.1293184810674575e-08
1;76;2;0.0
1;77;1;4.5939433590547196e-08
1;77;2;0.0
1;78;1;5.5376805363493986e-08
1;78;2;0.0
1;79;1;5.6994526431708437e-08
1;79;2;0.0
1;80;1;5.965685545561428e-08
1;80;2;0.0
1;81;1;4.92571423649224e-08
1;81;2;0.0
1;82;1;4.967456135318571e-08
1;82;2;0.0
1;83;1;5.048276108254868e-08
1;83;2;0.0
1;84;1;5.1187065253088804e-08
1;84;2;0.0
1;85;1;4.59379911887936e-08
1;85;2;0.0
1;86;1;5.51046959174073e-08
1;86;2;0.0
1;87;1;5.687453707992063e-08
1;87;2;0.0
1;88;1;5.965068794466788e-08
1;88;2;0.0
1;89;1;4.7411376158379426e-08
1;89;2;0.0
1;90;1;4.861967184410787e-08
1;90;2;0.0
1;91;1;4.984290669085567e-08
1;91;2;0.0
1;92;1;5.0828298014948814e-08
1;92;2;0.0
1;93;1;4.5898502776253736e-08
1;93;2;0.0
1;94;1;5.4768364066148933e-08
1;94;2;0.0
1;95;1;5.654387535969363e-08
1;95;2;0.0
1;96;1;5.958776938541632e-08
1;96;2;0.0
1;97;1;4.747300508256558e-08
1;97;2;0.0
1;98;1;4.861066571493211e-08
1;98;2;0.0
1;99;1;4.975947121010904e-08
1;99;2;0.0
1;100;1;5.076450548813227e-08
1;100;2;0.0
1;101;1;4.589180235825552e-08
1;101;2;0.0
1;102;1;5.468111652362495e-08
1;102;2;0.0
1;103;1;5.645833667244915e-08
1;103;2;0.0
1;104;1;5.9109719785510606e-08
1;104;2;0.0
1;105;1;5.048014628528108e-08
1;105;2;0.0
1;106;1;5.092788768479295e-08
1;106;2;0.0
1;107;1;5.1097586606374534e-08
1;107;2;0.0
1;108;1;5.145399839534548e-08
1;108;2;0.0
1;109;1;4.596735792006257e-08
1;109;2;0.0
1;110;1;5.5503253548749854e-08
1;110;2;0.0
1;111;1;5.723056517581426e-08
1;111;2;0.0
1;112;1;5.974704109235063e-08
1;112;2;0.0
1;113;1;4.925521324139481e-08
1;113;2;0.0
1;114;1;4.968725519916006e-08
1;114;2;0.0
1;115;1;5.064012142952379e-08
1;115;2;0.0
1;116;1;5.136188363508154e-08
1;116;2;0.0
1;117;1;4.597280067741849e-08
1;117;2;0.0
1;118;1;5.527061119892096e-08
1;118;2;0.0
1;119;1;5.712822215286906e-08
1;119;2;0.0
1;120;1;6.014919762264981e-08
1;120;2;0.0
1;121;1;4.754588189825881e-08
1;121;2;0.0
1;122;1;4.8778652228520514e-08
1;122;2;0.0
1;123;1;5.0041602861483625e-08
1;123;2;0.0
1;124;1;5.1017263302810534e-08
1;124;2;0.0
1;125;1;4.595586133859797e-08
1;125;2;0.0
1;126;1;5.489709664630027e-08
1;126;2;0.0
1;127;1;5.6688193694753863e-08
1;127;2;0.0
1;128;1;5.95156954830145e-08
1;128;2;0.0
1;129;1;4.7604071795603886e-08
1;129;2;0.0
1;130;1;4.8763812543484164e-08
1;130;2;0.0
1;131;1;4.9935525936462e-08
1;131;2;0.0
1;132;1;5.092904586945224e-08
1;132;2;0.0
1;133;1;4.596180858129628e-08
1;133;2;0.0
1;134;1;5.479228093463462e-08
1;134;2;0.0
1;135;1;5.6608570275784587e-08
1;135;2;0.0
1;136;1;6.001807761890632e-08
1;136;2;0.0
1;137;1;5.049405871204726e-08
1;137;2;0.0
1;138;1;5.099764166516252e-08
1;138;2;0.0
1;139;1;5.120728374663486e-08
1;139;2;0.0
1;140;1;5.153695070703179e-08
1;140;2;0.0
1;141;1;4.601310621410448e-08
1;141;2;0.0
1;142;1;5.5642335183847536e-08
1;142;2;0.0
1;143;1;5.728990615239127e-08
1;143;2;0.0
1;144;1;5.999088514840878e-08
1;144;2;0.0
1;145;1;4.927488106432065e-08
1;145;2;0.0
1;146;1;4.974590694928338e-08
1;146;2;0.0
1;147;1;5.073258080301457e-08
1;147;2;0.0
1;148;1;5.1437311299196153e-08
1;148;2;0.0
1;149;1;4.6011731313910786e-08
1;149;2;0.0
1;150;1;5.541340541981299e-08
1;150;2;0.0
1;151;1;5.718914053431945e-08
1;151;2;0.0
1;152;1;5.99795519917734e-08
1;152;2;0.0
1;153;1;4.753886528874318e-08
1;153;2;0.0
1;154;1;4.879592552242684e-08
1;154;2;0.0
1;155;1;5.010822690110217e-08
1;155;2;0.0
1;156;1;5.108204348402978e-08
1;156;2;0.0
1;157;1;4.5976257467827963e-08
1;157;2;0.0
1;158;1;5.5019018674329345e-08
1;158;2;0.0
1;159;1;5.6776755741339e-08
1;159;2;0.0
1;160;1;5.942766634348118e-08
1;160;2;0.0
1;161;1;4.7596937946536855e-08
1;161;2;0.0
1;162;1;4.87798281767482e-08
1;162;2;0.0
1;163;1;4.9988766903652504e-08
1;163;2;0.0
1;164;1;5.100439537386592e-08
1;164;2;0.0
1;165;1;4.597614378099024e-08
1;165;2;0.0
1;166;1;5.490065646540643e-08
1;166;2;0.0
1;167;1;5.669691560683532e-08
1;167;2;0.0
1;168;1;5.9394086093789156e-08
1;168;2;0.0
