;;;;0
1;1;1;1;2.913939773216264e-07
1;1;1;2;3.5561304527331453e-10
1;1;2;1;2.913939773216264e-07
1;1;2;2;3.5561304527331453e-10
1;1;3;1;2.913939773216264e-07
1;1;3;2;3.5561304527331453e-10
1;1;4;1;2.0418024556073504e-06
1;1;4;2;3.5561304527331453e-10
1;1;5;1;2.913939773216264e-07
1;1;5;2;3.5561304527331453e-10
1;1;6;1;2.913939773216264e-07
1;1;6;2;3.5561304527331453e-10
1;1;7;1;2.913939773216264e-07
1;1;7;2;3.5561304527331453e-10
1;1;8;1;2.913939773216264e-07
1;1;8;2;3.5561304527331453e-10
1;2;1;1;2.913939705752e-07
1;2;1;2;3.5561304527331453e-10
1;2;2;1;2.913939705752e-07
1;2;2;2;3.5561304527331453e-10
1;2;3;1;2.913939705752e-07
1;2;3;2;3.5561304527331453e-10
1;2;4;1;2.0416684146321994e-06
1;2;4;2;3.5561304527331453e-10
1;2;5;1;2.913939705752e-07
1;2;5;2;3.5561304527331453e-10
1;2;6;1;2.913939705752e-07
1;2;6;2;3.5561304527331453e-10
1;2;7;1;2.913939705752e-07
1;2;7;2;3.5561304527331453e-10
1;2;8;1;2.913939705752e-07
1;2;8;2;3.5561304527331453e-10
1;3;1;1;2.9139327066679685e-07
1;3;1;2;3.5561304527331453e-10
1;3;2;1;2.9139327066679685e-07
1;3;2;2;3.5561304527331453e-10
1;3;3;1;2.9139327066679685e-07
1;3;3;2;3.5561304527331453e-10
1;3;4;1;2.041614599943173e-06
1;3;4;2;3.5561304527331453e-10
1;3;5;1;2.9139327066679685e-07
1;3;5;2;3.5561304527331453e-10
1;3;6;1;2.9139327066679685e-07
1;3;6;2;3.5561304527331453e-10
1;3;7;1;2.9139327066679685e-07
1;3;7;2;3.5561304527331453e-10
1;3;8;1;2.9139327066679685e-07
1;3;8;2;3.5561304527331453e-10
1;4;1;1;2.913920307617456e-07
1;4;1;2;3.5561304527331453e-10
1;4;2;1;2.913920307617456e-07
1;4;2;2;3.5561304527331453e-10
1;4;3;1;2.913920307617456e-07
1;4;3;2;3.5561304527331453e-10
1;4;4;1;2.0416051480223732e-06
1;4;4;2;3.5561304527331453e-10
1;4;5;1;2.913920307617456e-07
1;4;5;2;3.5561304527331453e-10
1;4;6;1;2.913920307617456e-07
1;4;6;2;3.5561304527331453e-10
1;4;7;1;2.913920307617456e-07
1;4;7;2;3.5561304527331453e-10
1;4;8;1;2.913920307617456e-07
1;4;8;2;3.5561304527331453e-10
1;5;1;1;2.9139020129848277e-07
1;5;1;2;3.5561304527331453e-10
1;5;2;1;2.9139020129848277e-07
