;;;;0
1;1;1;1;2.9116074936875673e-07
1;1;1;2;3.55541931724913e-10
1;1;2;1;2.9116074936875673e-07
1;1;2;2;3.55541931724913e-10
1;1;3;1;2.9116074936875673e-07
1;1;3;2;3.55541931724913e-10
1;1;4;1;2.0402257190030834e-06
1;1;4;2;3.55541931724913e-10
1;1;5;1;2.9116074936875673e-07
1;1;5;2;3.55541931724913e-10
1;1;6;1;2.9116074936875673e-07
1;1;6;2;3.55541931724913e-10
1;1;7;1;2.9116074936875673e-07
1;1;7;2;3.55541931724913e-10
1;1;8;1;2.9116074936875673e-07
1;1;8;2;3.55541931724913e-10
1;2;1;1;2.9116089336405156e-07
1;2;1;2;3.55541931724913e-10
1;2;2;1;2.9116089336405156e-07
1;2;2;2;3.55541931724913e-10
1;2;3;1;2.9116089336405156e-07
1;2;3;2;3.55541931724913e-10
1;2;4;1;2.040095380336981e-06
1;2;4;2;3.55541931724913e-10
1;2;5;1;2.9116089336405156e-07
1;2;5;2;3.55541931724913e-10
1;2;6;1;2.9116089336405156e-07
1;2;6;2;3.55541931724913e-10
1;2;7;1;2.9116089336405156e-07
1;2;7;2;3.55541931724913e-10
1;2;8;1;2.9116089336405156e-07
1;2;8;2;3.55541931724913e-10
1;3;1;1;2.9116200574313333e-07
1;3;1;2;3.55541931724913e-10
1;3;2;1;2.9116200574313333e-07
1;3;2;2;3.55541931724913e-10
1;3;3;1;2.9116200574313333e-07
1;3;3;2;3.55541931724913e-10
1;3;4;1;2.040054704494001e-06
1;3;4;2;3.55541931724913e-10
1;3;5;1;2.9116200574313333e-07
1;3;5;2;3.55541931724913e-10
1;3;6;1;2.9116200574313333e-07
1;3;6;2;3.55541931724913e-10
1;3;7;1;2.9116200574313333e-07
1;3;7;2;3.55541931724913e-10
1;3;8;1;2.9116200574313333e-07
1;3;8;2;3.55541931724913e-10
1;4;1;1;2.911632974710164e-07
1;4;1;2;3.55541931724913e-10
1;4;2;1;2.911632974710164e-07
1;4;2;2;3.55541931724913e-10
1;4;3;1;2.911632974710164e-07
1;4;3;2;3.55541931724913e-10
1;4;4;1;2.0400596096969265e-06
1;4;4;2;3.55541931724913e-10
1;4;5;1;2.911632974710164e-07
1;4;5;2;3.55541931724913e-10
1;4;6;1;2.911632974710164e-07
1;4;6;2;3.55541931724913e-10
1;4;7;1;2.911632974710164e-07
1;4;7;2;3.55541931724913e-10
1;4;8;1;2.911632974710164e-07
1;4;8;2;3.55541931724913e-10
1;5;1;1;2.9116520895484273e-07
1;5;1;2;3.55541931724913e-10
1;5;2;1;2.9116520895484273e-07
1;5;2;2;3.55541931724913e-10
1;5;3;1;2.9116520895484273e-07
1;5;3;2;3.55541931724913e-10
1;5;4;1;2.040389745402646e-06
1;5;4;2;3.55541931724913e-10
1;5;5;1;2.9116520895484273e-07
1;5;5;2;3.55541931724913e-10
1;5;6;1;2.9116520895484273e-07
1;5;6;2;3.55541931724913e-10
1;5;7;1;2.9116520895484273e-07
1;5;7;2;3.55541931724913e-10
1;5;8;1;2.9116520895484273e-07
1;5;8;2;3.55541931724913e-10
1;6;1;1;2.911647182569978e-07
1;6;1;2;3.55541931724913e-10
1;6;2;1;2.911647182569978e-07
1;6;2;2;3.55541931724913e-10
1;6;3;1;2.911647182569978e-07
1;6;3;2;3.55541931724913e-10
1;6;4;1;2.040362887597661e-06
1;6;4;2;3.55541931724913e-10
1;6;5;1;2.911647182569978e-07
1;6;5;2;3.55541931724913e-10
1;6;6;1;2.911647182569978e-07
1;6;6;2;3.55541931724913e-10
1;6;7;1;2.911647182569978e-07
1;6;7;2;3.55541931724913e-10
1;6;8;1;2.911647182569978e-07
1;6;8;2;3.55541931724913e-10
1;7;1;1;2.9116522974088514e-07
1;7;1;2;3.55541931724913e-10
1;7;2;1;2.9116522974088514e-07
1;7;2;2;3.55541931724913e-10
1;7;3;1;2.9116522974088514e-07
1;7;3;2;3.55541931724913e-10
1;7;4;1;2.040378498683209e-06
1;7;4;2;3.55541931724913e-10
1;7;5;1;2.9116522974088514e-07
1;7;5;2;3.55541931724913e-10
1;7;6;1;2.9116522974088514e-07
1;7;6;2;3.55541931724913e-10
1;7;7;1;2.9116522974088514e-07
1;7;7;2;3.55541931724913e-10
1;7;8;1;2.9116522974088514e-07
1;7;8;2;3.55541931724913e-10
1;8;1;1;2.911662517116965e-07
1;8;1;2;3.55541931724913e-10
1;8;2;1;2.911662517116965e-07
1;8;2;2;3.55541931724913e-10
1;8;3;1;2.911662517116965e-07
1;8;3;2;3.55541931724913e-10
1;8;4;1;2.040452289798683e-06
1;8;4;2;3.55541931724913e-10
1;8;5;1;2.911662517116965e-07
1;8;5;2;3.55541931724913e-10
1;8;6;1;2.911662517116965e-07
1;8;6;2;3.55541931724913e-10
1;8;7;1;2.911662517116965e-07
1;8;7;2;3.55541931724913e-10
1;8;8;1;2.911662517116965e-07
1;8;8;2;3.55541931724913e-10
1;9;1;1;1.168748615730849e-06
1;9;1;2;3.555894920509621e-10
1;9;2;1;1.168748615730849e-06
1;9;2;2;3.555894920509621e-10
1;9;3;1;1.168748615730849e-06
1;9;3;2;3.555894920509621e-10
1;9;4;1;8.249694784522011e-06
1;9;4;2;3.555894920509621e-10
1;9;5;1;1.168748615730849e-06
1;9;5;2;3.555894920509621e-10
1;9;6;1;1.168748615730849e-06
1;9;6;2;3.555894920509621e-10
1;9;7;1;1.168748615730849e-06
1;9;7;2;3.555894920509621e-10
1;9;8;1;1.168748615730849e-06
1;9;8;2;3.555894920509621e-10
1;10;1;1;1.1687490356272766e-06
1;10;1;2;3.555894920509621e-10
1;10;2;1;1.1687490356272766e-06
1;10;2;2;3.555894920509621e-10
1;10;3;1;1.1687490356272766e-06
1;10;3;2;3.555894920509621e-10
1;10;4;1;8.249635537559762e-06
1;10;4;2;3.555894920509621e-10
1;10;5;1;1.1687490356272766e-06
1;10;5;2;3.555894920509621e-10
1;10;6;1;1.1687490356272766e-06
1;10;6;2;3.555894920509621e-10
1;10;7;1;1.1687490356272766e-06
1;10;7;2;3.555894920509621e-10
1;10;8;1;1.1687490356272766e-06
1;10;8;2;3.555894920509621e-10
1;11;1;1;1.168748484114621e-06
1;11;1;2;3.555894920509621e-10
1;11;2;1;1.168748484114621e-06
1;11;2;2;3.555894920509621e-10
1;11;3;1;1.168748484114621e-06
1;11;3;2;3.555894920509621e-10
1;11;4;1;8.249870596344387e-06
1;11;4;2;3.555894920509621e-10
