;;;;0
1;1;41;1;0.0002522460445032779
1;1;41;2;0.0002564414712556732
1;1;42;1;0.00029152194696587663
1;1;42;2;0.00027315869789040173
1;1;43;1;0.00020991579467137333
1;1;43;2;0.0003233436029164566
1;1;44;1;0.00023815031938140868
1;1;44;2;0.00029020029626828037
1;1;45;1;0.0002232355227769373
1;1;45;2;0.00021299903345100017
1;1;46;1;0.00033561431017818124
1;1;46;2;0.0002453528166498571
1;1;47;1;0.00026825057257522274
1;1;47;2;0.0002140797035216003
1;1;48;1;0.00023863346255673223
1;1;48;2;0.0002861421037149101
1;1;49;1;0.0003450590435367289
1;1;49;2;0.0
1;1;50;1;0.00032539620629517564
1;1;50;2;0.0
1;1;51;1;0.0003191837651285931
1;1;51;2;0.000377359771600269
1;1;52;1;0.00036072173369473864
1;1;52;2;0.0
1;1;53;1;0.0003107373613212305
1;1;53;2;0.0003385734472180199
1;1;54;1;0.000263866826357371
1;1;54;2;0.0003382607633635905
1;1;55;1;0.0002961138426626324
1;1;55;2;0.00030004215519415027
1;1;56;1;0.00035074106467473525
1;1;56;2;0.0002841969238527484
1;1;57;1;0.0003920208490922844
1;1;57;2;0.00021495196146411162
1;1;58;1;0.00039767739325937134
1;1;58;2;0.00036264918473693055
1;1;59;1;0.000356056821524626
1;1;59;2;0.00026085082576903683
1;1;60;1;0.0003593899710035301
1;1;60;2;0.00028903807362581945
1;1;61;1;0.0003576055324424273
1;1;61;2;0.00035229831169104057
1;1;62;1;0.00038109635022692893
1;1;62;2;0.00024853113443435874
1;1;63;1;0.0003854574797312737
1;1;63;2;0.00023446863443435872
1;1;64;1;0.0003865744242729871
1;1;64;2;0.00028706111321230457
1;1;65;1;0.00038231110270633723
1;1;65;2;0.0002785386724659607
1;1;66;1;0.00039193338691376705
1;1;66;2;0.00039431469574718447
1;1;67;1;0.0002865338449739452
1;1;67;2;0.00022946043977979493
1;1;68;1;0.0003366593912842494
1;1;68;2;0.00027956392355858126
1;1;69;1;0.00037525711552065965
1;1;69;2;0.00021347022608841822
1;1;70;1;0.0002394639592788704
1;1;70;2;0.00034889280236174145
1;1;71;1;0.00022316945590781321
1;1;71;2;0.0002461617761388469
1;1;72;1;0.00021150495356362414
1;1;72;2;0.0002561760642544966
1;1;73;1;0.00030989454169488053
1;1;73;2;0.0003094700790048748
1;1;74;1;0.00035039147860985045
1;1;74;2;0.0003993339216675072
1;1;75;1;0.0003791153187510506
1;1;75;2;0.00022032510716086737
1;1;76;1;0.0002529639960497563
1;1;76;2;0.00034128083501428814
1;1;77;1;0.00038663575285762317
1;1;77;2;0.0003588240933350143
1;1;78;1;0.00036087288830055473
1;1;78;2;0.0002138315000420239
1;1;79;1;0.00031921633362750045
1;1;79;2;0.00036891888342578585
1;1;80;1;0.00024086847579425115
1;1;80;2;0.0002488078353504791
1;1;81;1;0.00033174496238863675
1;1;81;2;0.00031421470520255504
1;1;82;1;0.0003883304967221382
1;1;82;2;0.00029981864073793914
1;1;83;1;0.00026652312888720794
1;1;83;2;0.00035431099239367964
1;1;84;1;0.0003640192455295534
1;1;84;2;0.0002810601046394352
1;1;85;1;0.0003040044827153838
1;1;85;2;0.00026198481362413854
1;1;86;1;0.00020849604450327787
1;1;86;2;0.00022409451693561946
1;1;87;1;0.0003579124380147924
1;1;87;2;0.00038964571251470835
1;1;88;1;0.000394513783829215
1;1;88;2;0.00023040558287107079
1;1;89;1;0.0003524637806774248
1;1;89;2;0.00029176227096991094
1;1;90;1;0.0003723166446041352
1;1;90;2;0.00024557501786014456
1;1;91;1;0.0002849172392418894
1;1;91;2;0.0002730948741385107
1;1;92;1;0.00032777790910237017
1;1;92;2;0.0002481066933518238
1;1;93;1;0.0002041078332492856
1;1;93;2;0.0002927925123970415
1;1;94;1;0.00026244812678601445
1;1;94;2;0.00027498949403261056
1;1;95;1;0.00030293681185913603
1;1;95;2;0.00022544085665658094
1;1;96;1;0.0003977075979156161
1;1;96;2;0.0002556034890317701
