;;;0
1;1;1;5.0002258635905195
1;1;2;0.0006072919293158515
1;2;1;5.00035138035279
1;2;2;0.0005284270465624478
1;3;1;5.000229042770444
1;3;2;0.0005297484346108588
1;4;1;5.000272761834973
1;4;2;0.00044231921856614553
1;5;1;5.000239633732684
1;5;2;0.0005170785005883346
1;6;1;5.000300164156296
1;6;2;0.00047178070894267945
1;7;1;5.000202174852544
1;7;2;0.0006294123749789886
1;8;1;4.9999996527197625
1;8;2;0.0005705537432761805
1;9;1;8.593408555995319e-05
1;9;2;0.0
1;10;1;3.856714876264737e-05
1;10;2;0.0
1;11;1;0.0
1;11;2;0.0
1;12;1;0.0
1;12;2;0.00014734698058497305
1;13;1;0.00013921882358989342
1;13;2;0.0
1;14;1;0.0
1;14;2;0.00010321705853925055
1;15;1;3.1781757903271974e-05
1;15;2;0.0
1;16;1;0.00022005877419349574
1;16;2;0.0
1;17;1;0.00014334405407649513
1;17;2;0.00042235105164733534
1;18;1;2.3529558539740335e-05
1;18;2;0.000347776149352832
1;19;1;7.292197678193148e-05
1;19;2;0.00015077809820978296
1;20;1;2.9730837115591464e-05
1;20;2;0.0
1;21;1;0.00014270231307631843
1;21;2;0.0001486506398134139
1;22;1;6.150522269776897e-05
1;22;2;0.00025185036350647115
1;23;1;1.0339215761074856e-05
1;23;2;0.00019259421226256433
1;24;1;0.0
1;24;2;0.000159741001638931
1;25;1;0.00017189850710108278
1;25;2;0.00017344275298369422
1;26;1;0.0
1;26;2;0.00018179315851403526
1;27;1;0.00010976306594145057
1;27;2;0.00016881750084047874
1;28;1;9.021369381410384e-05
1;28;2;0.000156139424693225
1;29;1;3.3677322152950986e-05
1;29;2;0.0001501649436880158
1;30;1;2.5833634479978818e-05
1;30;2;0.0003472207776517056
1;31;1;0.0
1;31;2;0.00030758005547150717
1;32;1;0.0002976012472062008
1;32;2;0.00019875228504790722
1;33;1;0.0
1;33;2;0.00015931354009077154
1;34;1;3.244934122791391e-05
1;34;2;0.000184220956253151
1;35;1;7.301470898656915e-05
1;35;2;0.00024708196755757336
1;36;1;4.584095016034483e-05
1;36;2;0.0003012898701462431
1;37;1;0.0
1;37;2;0.00021018422213817432
1;38;1;3.109024705110386e-05
1;38;2;0.0
1;39;1;1.35716227043953e-05
1;39;2;0.0002218794650361398
1;40;1;0.00038227024718365775
1;40;2;0.00011112227370146298
1;41;1;0.0
1;41;2;0.0
1;42;1;0.00021407168759761158
1;42;2;0.0
1;43;1;0.000262634664838779
1;43;2;0.0
1;44;1;0.0002569774069173886
1;44;2;0.0
1;45;1;0.00021408352586667361
1;45;2;0.0
1;46;1;0.0002879658545407674
1;46;2;0.0
1;47;1;0.00031667177772696885
1;47;2;0.0
1;48;1;0.00027736812100486526
1;48;2;0.0
1;49;1;0.00023184218277841866
1;49;2;0.00031550378740124335
1;50;1;0.000314906178456361
1;50;2;0.00028827074403261013
1;51;1;0.0002074401205874817
1;51;2;0.0003023836726760797
1;52;1;0.00027787180618735153
1;52;2;0.0003035705843419058
1;53;1;0.000302980787566459
1;53;2;0.00020075682362581822
1;54;1;0.0002900329424524922
1;54;2;0.00039809303559421727
1;55;1;0.00023282312669213904
1;55;2;0.000399832955118507
