;;;0
1;9;1;-0.00023817986741469154
1;9;2;-0.0003158995997226425
1;9;3;-0.00022876087367624813
1;9;4;-0.0003168415910237015
1;9;5;-0.00031627860249621787
1;9;6;-0.00022921722663472855
1;9;7;-0.00028344167612203737
1;9;8;-0.0002625801080013448
2;9;1;-0.00024554546982686167
2;9;2;-0.00023713557425617752
2;9;3;-0.000314276690410153
2;9;4;-0.0002844111142629013
2;9;5;-0.0002623274394856278
2;9;6;-0.00021656567805513534
2;9;7;-0.00025166375126071613
2;9;8;-0.00021792606950748027
3;9;1;-0.0002587168011430493
3;9;2;-0.000316394824760464
3;9;3;-0.00026056742729870566
3;9;4;-0.0002177579740292486
3;9;5;-0.00027373849596570854
3;9;6;-0.00036170141515380735
3;9;7;-0.00022913186564968904
3;9;8;-0.0002150345646327114
4;9;1;-0.0003889214573877963
4;9;2;-0.00035018240985879983
4;9;3;-0.00034652593923348464
4;9;4;-0.00021534107623129937
4;9;5;-0.0003392003908219869
4;9;6;-0.00023029999789880655
4;9;7;-0.00032373547550008404
4;9;8;-0.0003417474312909733
5;9;1;-0.0002402902536140528
5;9;2;-0.0003480866006891915
5;9;3;-0.00024515412254160363
5;9;4;-0.0002042581999075475
5;9;5;-0.0002465536487224744
5;9;6;-0.00020386120566481762
5;9;7;-0.00031559019898302237
5;9;8;-0.00022011301794419233
6;9;1;-0.00035341548999831904
6;9;2;-0.00032352653807362584
6;9;3;-0.00031115563014792405
6;9;4;-0.00026836915868213147
6;9;5;-0.00021803598819129265
6;9;6;-0.0002068468702723147
6;9;7;-0.000387238401412002
6;9;8;-0.00023442752983694742
7;9;1;-0.00021849890737939153
7;9;2;-0.000275353919776433
7;9;3;-0.00034641536392671036
7;9;4;-0.0002697914040174819
7;9;5;-0.00022369594679778115
7;9;6;-0.0003714953406034628
7;9;7;-0.0003087751092620609
7;9;8;-0.00022325548411497733
8;9;1;-0.0002895711201462431
8;9;2;-0.000328494941376702
8;9;3;-0.00031111990985879985
8;9;4;-0.0002937779721381745
8;9;5;-0.00032800076693561945
8;9;6;-0.0002734216097243234
8;9;7;-0.0003314255809799967
8;9;8;-0.00028934878761136326
9;9;1;-0.00028638518553538415
9;9;2;-0.00027567973609009917
9;9;3;-0.0003949768343419062
9;9;4;-0.00036495773974617584
9;9;5;-0.00029472377185241216
9;9;6;-0.00030862500525298374
9;9;7;-0.00024158550806858294
9;9;8;-0.00034564619578920827
10;9;1;-0.00030191497520591697
10;9;2;-0.0003958288682971928
10;9;3;-0.00037825724386451507
10;9;4;-0.00024532143007228107
10;9;5;-0.00032623944150277355
10;9;6;-0.0003571662516809548
10;9;7;-0.00037961973651033784
10;9;8;-0.00022134471129601612
11;9;1;-0.0003558013951924693
11;9;2;-0.00020834462724827704
11;9;3;-0.00038320962556732225
11;9;4;-0.00023053572554210792
11;9;5;-0.0003937569602033955
11;9;6;-0.00030706473777105395
11;9;7;-0.00021949789355353843
11;9;8;-0.0002381647650865692
12;9;1;-0.0002967283104303244
12;9;2;-0.0003834189569675576
12;9;3;-0.00039476303790553035
12;9;4;-0.0003350275518994789
12;9;5;-0.0003951227359640276
12;9;6;-0.00023508034438561104
12;9;7;-0.0002529838260632039
12;9;8;-0.00033450435472348296
13;9;1;-0.00023207905215162213
13;9;2;-0.0003736884612960162
13;9;3;-0.0003734880599680619
13;9;4;-0.00027530664292318036
13;9;5;-0.00036028744326777615
13;9;6;-0.00021013248024878134
13;9;7;-0.0003308199119599933
13;9;8;-0.00028649182110438733
14;9;1;-0.000282724118549336
14;9;2;-0.000204838260632039
14;9;3;-0.0002761657684064549
14;9;4;-0.00025025411308623297
14;9;5;-0.0003012529679357875
14;9;6;-0.00032345811796100185
14;9;7;-0.0003411908776685157
14;9;8;-0.000262670721970079
15;9;1;-0.0002876342137334006
15;9;2;-0.0002467040153807363
15;9;3;-0.0003040571419566314
15;9;4;-0.0003937916298957808
15;9;5;-0.0002922203311480921
15;9;6;-0.0003460632826945706
15;9;7;-0.0002057191859976467
15;9;8;-0.0002746580307614725
16;9;1;-0.00021940517839132628
16;9;2;-0.00031907345247100355
16;9;3;-0.0002698768963271138
16;9;4;-0.00030266286875945536
16;9;5;-0.00021760760737098674
16;9;6;-0.00026917680492519755
16;9;7;-0.0003563990534123382
16;9;8;-0.0003263280856026223
17;9;1;-0.0002708689222978652
17;9;2;-0.00025972826315347116
17;9;3;-0.00035869999159522604
17;9;4;-0.00037720612182719785
17;9;5;-0.0002948461663724996
17;9;6;-0.00022499592893763658
17;9;7;-0.00030006080328626666
17;9;8;-0.00022950036245587496
18;9;1;-0.0002785110943015633
18;9;2;-0.0003680629097327282
18;9;3;-0.00039401580097495384
18;9;4;-0.00021549104891578418
18;9;5;-0.00038813153996469996
18;9;6;-0.00038887575642965205
18;9;7;-0.0003815219732307951
18;9;8;-0.0002259820453017314
19;9;1;-0.00034848792864346955
19;9;2;-0.00032618572974449486
19;9;3;-0.00037096295070600103
19;9;4;-0.00021605587598756094
19;9;5;-0.00021632036371659104
19;9;6;-0.00039280905929568
19;9;7;-0.00038966816902000337
19;9;8;-0.00038268117540763157
20;9;1;-0.0003867900592536561
20;9;2;-0.0003344221455286603
20;9;3;-0.0002468644940326105
20;9;4;-0.0002544484892418894
20;9;5;-0.00033223506576735587
20;9;6;-0.00022117438329971424
20;9;7;-0.0002835666971339721
20;9;8;-0.00037177493066061526
21;9;1;-0.00022114680513531684
21;9;2;-0.0003694609913430829
21;9;3;-0.00037624298726676757
21;9;4;-0.00022708753572028915
21;9;5;-0.0002240384413346781
21;9;6;-0.00022489625357202894
21;9;7;-0.0003629379675155488
21;9;8;-0.0003250699960077324
22;9;1;-0.0002517873277021348
22;9;2;-0.00020324306080853925
22;9;3;-0.00022027901222894603
22;9;4;-0.0002742756135484956
22;9;5;-0.0002443083921667507
22;9;6;-0.0002095191944024206
22;9;7;-0.00037178123424104893
22;9;8;-0.00036513016893595563
23;9;1;-0.00035255006093461085
23;9;2;-0.0002858847075138679
23;9;3;-0.00029936937930744663
23;9;4;-0.0003145935766515381
23;9;5;-0.0003228461453605648
23;9;6;-0.0003041342294923517
23;9;7;-0.00039332962997982855
23;9;8;-0.0003445770822827366
24;9;1;-0.0003153372678181207
24;9;2;-0.00032079327933266094
24;9;3;-0.00039918237308791396
24;9;4;-0.00038035909396537236
24;9;5;-0.00031824689548663645
24;9;6;-0.00032918084972264244
24;9;7;-0.0003506123665742142
24;9;8;-0.00035013526433013954
25;9;1;-0.00027941644604135153
25;9;2;-0.000342557441376702
25;9;3;-0.0003722184138090435
25;9;4;-0.0002602640674903345
25;9;5;-0.00039273472957639945
25;9;6;-0.0003421230196251471
25;9;7;-0.00021618995839636914
25;9;8;-0.00022442847537401247
26;9;1;-0.00020494831064044378
26;9;2;-0.00022812237350815264
26;9;3;-0.00024718216822154984
26;9;4;-0.00032887762123886367
26;9;5;-0.0002690010926206085
26;9;6;-0.00038684482160867374
26;9;7;-0.0003701529406202723
26;9;8;-0.00027683263468650194
27;9;1;-0.00033729749747856785
27;9;2;-0.0003585689296520424
27;9;3;-0.00031614149962178517
27;9;4;-0.00034569124012439066
27;9;5;-0.00021355821356530512
27;9;6;-0.00024567705706841485
27;9;7;-0.00033952594448646834
27;9;8;-0.00020497483820810223
28;9;1;-0.0002701950958144226
28;9;2;-0.00028169505904353676
28;9;3;-0.0002632347610943016
28;9;4;-0.0002393062384434359
28;9;5;-0.00030072438645150447
28;9;6;-0.0003672829729786519
28;9;7;-0.0003138114073793915
28;9;8;-0.00023763224386451505
29;9;1;-0.0003969099323415701
29;9;2;-0.00023225817889561273
29;9;3;-0.0003689170448814927
29;9;4;-0.00039018007228105566
29;9;5;-0.00032301831190115985
29;9;6;-0.00036947872016305263
29;9;7;-0.0003363192605900152
29;9;8;-0.00035242293872919824
30;9;1;-0.0003716776191376702
30;9;2;-0.00032086944759623465
30;9;3;-0.00026899019267944194
30;9;4;-0.0002868721371238864
30;9;5;-0.00022933962115481596
30;9;6;-0.0003594707356278366
30;9;7;-0.00030520702008740965
