;;;;0
1;1;41;1;0.0003873879801227097
1;1;41;2;0.0
1;1;42;1;0.0002039824182635737
1;1;42;2;0.00016859426368207308
1;1;43;1;0.00028787493171121206
1;1;43;2;0.0
1;1;44;1;0.0
1;1;44;2;0.00032833144225920323
1;1;45;1;0.00020626234451168266
1;1;45;2;0.0
1;1;46;1;0.00026116442889561275
1;1;46;2;0.0003964295469826861
1;1;47;1;0.00026275266851571706
1;1;47;2;0.0
1;1;48;1;0.0
1;1;48;2;0.0
1;1;49;1;0.00030377111699445285
1;1;49;2;0.0
1;1;50;1;0.0002598355553454362
1;1;50;2;0.0002886619599932762
1;1;51;1;0.00036209735879979833
1;1;51;2;0.0
1;1;52;1;0.0
1;1;52;2;0.0003023275970751387
1;1;53;1;0.00033124934337703827
1;1;53;2;0.0
1;1;54;1;0.0003632573226174185
1;1;54;2;0.00022687886094301563
1;1;55;1;0.00030856850937149475
1;1;55;2;0.0
1;1;56;1;0.0
1;1;56;2;0.0
1;1;57;1;0.00020237671247268446
1;1;57;2;0.0
1;1;58;1;0.0003011484335602622
1;1;58;2;0.0003817051710371491
1;1;59;1;0.0003254232591612035
1;1;59;2;0.0
1;1;60;1;0.0
1;1;60;2;0.00020272721780971594
1;1;61;1;0.0002841304736090099
1;1;61;2;0.0
1;1;62;1;0.0003340625787947554
1;1;62;2;0.00028952463124054463
1;1;63;1;0.00031049070485314294
1;1;63;2;0.0
1;1;64;1;0.0
1;1;64;2;0.0
1;1;65;1;0.0002764107311537979
1;1;65;2;0.0
1;1;66;1;0.000400868623236501
1;1;66;2;0.0003763014267103715
1;1;67;1;0.0002988689436685063
1;1;67;2;0.0
1;1;68;1;0.00037350399262631433
1;1;68;2;0.0003915268059757943
1;1;69;1;0.00024821021951318607
1;1;69;2;0.0
1;1;70;1;0.0003448950615034366
1;1;70;2;0.0003346279311649017
1;1;71;1;0.0002188177952730752
1;1;71;2;0.0
1;1;72;1;0.0
1;1;72;2;0.0
1;1;73;1;0.00028305295532862664
1;1;73;2;0.0
1;1;74;1;0.00039684256282568504
1;1;74;2;-2.914591214908538e-07
1;1;75;1;0.00034511039145234497
1;1;75;2;0.0
1;1;76;1;0.0
1;1;76;2;0.0003007337104975626
1;1;77;1;0.00024790025109262055
1;1;77;2;0.0
1;1;78;1;0.0002377333638006388
1;1;78;2;0.0003254564842830728
1;1;79;1;0.0002188759402840814
1;1;79;2;0.0
1;1;80;1;0.0
1;1;80;2;0.0
1;1;81;1;0.00025450602341550206
1;1;81;2;0.0
1;1;82;1;0.00032678537183540454
1;1;82;2;0.0
1;1;83;1;0.00023914721836423288
1;1;83;2;0.0
1;1;84;1;0.0002909638314504659
1;1;84;2;0.00033784669692385277
1;1;85;1;0.00023503492007880688
1;1;85;2;0.0
1;1;86;1;0.00022078727967107158
1;1;86;2;0.00022228630862329804
1;1;87;1;0.00024256006786854944
1;1;87;2;0.0
1;1;88;1;0.0
1;1;88;2;0.0
1;1;89;1;0.00021122674241469167
1;1;89;2;0.0
1;1;90;1;0.0002552204151958313
1;1;90;2;0.00031750753803160193
1;1;91;1;0.00021903720688350994
1;1;91;2;0.0
1;1;92;1;0.0
1;1;92;2;0.00022932622604639438
1;1;93;1;0.0002927662474785679
1;1;93;2;0.0
1;1;94;1;0.00034343626554883175
1;1;94;2;0.0003558294986552362
1;1;95;1;0.00036410005883341754
1;1;95;2;0.0
1;1;96;1;0.0
1;1;96;2;0.0
1;1;97;1;0.00030732160867372665
1;1;97;2;0.0
1;1;98;1;0.000266500015758951
1;1;98;2;0.0
1;1;99;1;0.0002750969175491679
1;1;99;2;3.863199719535181e-05
1;1;100;1;0.0
1;1;100;2;0.00035666393511514543
1;1;101;1;0.00020251276475037822
1;1;101;2;0.0
1;1;102;1;0.0003619766714994117
1;1;102;2;0.00032269827386955795
1;1;103;1;0.00028395029626828046
1;1;103;2;0.0
1;1;104;1;0.0
1;1;104;2;0.0
1;1;105;1;0.00022124700579929398
1;1;105;2;0.0
1;1;106;1;0.00038088977664313335
1;1;106;2;0.00027662238401412006
1;1;107;1;0.0002465725594637754
1;1;107;2;0.0
1;1;108;1;0.00022074337598756093
1;1;108;2;0.00020501975121869223
1;1;109;1;0.00026519609388132463
1;1;109;2;0.0
1;1;110;1;0.00029555663241721293
1;1;110;2;0.0003145406528408136
1;1;111;1;0.00020664410510169788
1;1;111;2;0.0
1;1;112;1;0.0
1;1;112;2;0.0
1;1;113;1;0.0004932829879597786
1;1;113;2;0.0
1;1;114;1;0.0005099851340561438
1;1;114;2;3.0190998487140768e-05
1;1;115;1;0.0005584741132963523
1;1;115;2;0.0
1;1;116;1;0.0
1;1;116;2;0.00037136440998487147
1;1;117;1;0.0002616576840645487
1;1;117;2;4.166233295511875e-05
1;1;118;1;0.00037624535110943025
1;1;118;2;0.00027077935892587
1;1;119;1;0.00033313946622656645
1;1;119;2;0.0
1;1;120;1;0.0
1;1;120;2;0.0
1;1;121;1;0.00031107499684820977
1;1;121;2;0.0
1;1;122;1;0.0002376909459573037
1;1;122;2;0.000330187190073962
1;1;123;1;0.000277235407211296
1;1;123;2;0.0
1;1;124;1;0.0
