;;;;0
1;37;1;1;0.0
1;37;1;2;0.0
1;37;2;1;0.0
1;37;2;2;0.0
1;37;3;1;0.0
1;37;3;2;0.0
1;37;4;1;0.0
1;37;4;2;0.0
1;37;5;1;0.0
1;37;5;2;0.0
1;37;6;1;0.0
1;37;6;2;0.0
1;37;7;1;0.0
1;37;7;2;0.0
1;37;8;1;0.0
1;37;8;2;0.0
1;37;9;1;0.0
1;37;9;2;0.0
1;37;10;1;0.0
1;37;10;2;0.0
1;37;11;1;0.0
1;37;11;2;0.0
1;37;12;1;0.0
1;37;12;2;0.0
1;37;13;1;0.0
1;37;13;2;0.0
1;37;14;1;0.0
1;37;14;2;0.0
1;37;15;1;0.0
1;37;15;2;0.0
1;37;16;1;0.0
1;37;16;2;0.0
1;37;17;1;0.0
1;37;17;2;0.0
1;37;18;1;0.0
1;37;18;2;0.0
1;37;19;1;0.0
1;37;19;2;0.0
1;37;20;1;0.0
1;37;20;2;0.0
1;37;21;1;0.0
1;37;21;2;0.0
1;37;22;1;0.0
1;37;22;2;0.0
1;37;23;1;0.0
1;37;23;2;0.0
1;37;24;1;0.0
1;37;24;2;0.0
1;37;25;1;0.0
1;37;25;2;0.0
1;37;26;1;0.0
1;37;26;2;0.0
1;37;27;1;0.0
1;37;27;2;0.0
1;37;28;1;0.0
1;37;28;2;0.0
1;37;29;1;0.0
1;37;29;2;0.0
1;37;30;1;0.0
1;37;30;2;0.0
1;37;31;1;0.0
1;37;31;2;0.0
1;37;32;1;0.0
1;37;32;2;0.0
1;37;33;1;0.0
1;37;33;2;0.0
1;37;34;1;0.0
1;37;34;2;0.0
1;37;35;1;0.0
1;37;35;2;0.0
1;37;36;1;0.0
1;37;36;2;0.0
1;37;37;1;0.0
1;37;37;2;0.0
1;37;38;1;0.0
1;37;38;2;0.0
1;37;39;1;0.0
1;37;39;2;0.0
1;37;40;1;0.0
1;37;40;2;0.0
1;37;41;1;0.00024477490962746717
1;37;41;2;0.0
1;37;42;1;0.0
1;37;42;2;0.00035778505316019505
1;37;43;1;0.0
1;37;43;2;0.00020614979933602292
1;37;44;1;0.0
1;37;44;2;0.00022530900676584302
1;37;45;1;0.0001393164165730642
1;37;45;2;0.0003848983285005884
1;37;46;1;0.0
1;37;46;2;0.00027490570894267945
1;37;47;1;0.0
1;37;47;2;0.0003479384665489997
1;37;48;1;0.0
1;37;48;2;0.0
1;37;49;1;0.00013801433276601111
1;37;49;2;0.00023192159396537233
1;37;50;1;0.0
1;37;50;2;0.00030249713712388634
1;37;51;1;0.0
1;37;51;2;0.0002071778082450832
1;37;52;1;0.0
1;37;52;2;0.0003784433990765558
1;37;53;1;0.00018585916488065223
1;37;53;2;0.0003010632038998151
1;37;54;1;0.00010156190903933434
1;37;54;2;0.0002069748434852193
1;37;55;1;0.0
1;37;55;2;0.00025543329236006043
1;37;56;1;0.00012847701556984375
1;37;56;2;0.0
1;37;57;1;0.0003721461852832409
1;37;57;2;0.0
1;37;58;1;0.00017690689874348632
1;37;58;2;0.00014286084195683368
1;37;59;1;5.8067598020675716e-05
1;37;59;2;0.00022269275823667847
1;37;60;1;0.0
1;37;60;2;0.0003169238002185241
1;37;61;1;0.00015258065799460502
1;37;61;2;0.00029075461737266775
1;37;62;1;0.0001294026624617363
1;37;62;2;0.0
1;37;63;1;0.0
1;37;63;2;0.0
1;37;64;1;0.0
1;37;64;2;0.00033933499852916463
1;37;65;1;8.971759037912236e-05
1;37;65;2;0.0
1;37;66;1;0.0001786844842112014
1;37;66;2;3.5897577323920995e-06
1;37;67;1;0.00019999094195539358
1;37;67;2;0.00025175423390485797
1;37;68;1;0.00015849768606068248
1;37;68;2;0.0005030011609093966
1;37;69;1;0.0001500206508853607
1;37;69;2;0.00021169852653202189
1;37;70;1;0.0001473161193057657
1;37;70;2;4.502896968582975e-05
1;37;71;1;0.0
1;37;71;2;0.0
1;37;72;1;0.0
1;37;72;2;0.00039841149773071113
1;37;73;1;0.00026238349229888686
1;37;73;2;0.00048457014834425954
1;37;74;1;0.00014895212786406395
1;37;74;2;0.00031566229618423266
1;37;75;1;0.0001742371201613886
1;37;75;2;0.0003702648291729703
1;37;76;1;5.465821256978056e-06
1;37;76;2;0.0002825256870902672
1;37;77;1;0.00010171295160067469
