;;;;0
1;1;41;1;0.0002841960045806018
1;1;41;2;0.000343722553160195
1;1;42;1;0.0
1;1;42;2;0.0003546046341822155
1;1;43;1;0.0
1;1;43;2;0.0002495089773491343
1;1;44;1;4.8350221654698566e-05
1;1;44;2;0.0003938905173138343
1;1;45;1;0.0003162573940482701
1;1;45;2;0.00028043289838628344
1;1;46;1;0.0002025441513279543
1;1;46;2;0.00020240823037485293
1;1;47;1;0.000286621438477055
1;1;47;2;0.0003654880284501597
1;1;48;1;0.00023217111069087225
1;1;48;2;0.00021960085203395527
1;1;49;1;0.0
1;1;49;2;0.00021034483211464114
1;1;50;1;0.000317269446545638
1;1;50;2;0.00038808084867204574
1;1;51;1;0.0
1;1;51;2;0.00027075296268280383
1;1;52;1;0.0
1;1;52;2;0.0003992108705244579
1;1;53;1;0.0
1;1;53;2;0.0002748391273743487
1;1;54;1;0.0
1;1;54;2;0.0003542605637502101
1;1;55;1;0.0
1;1;55;2;0.00022688884161203566
1;1;56;1;0.0
1;1;56;2;0.00030034065599260384
1;1;57;1;0.0
1;1;57;2;0.0
1;1;58;1;0.0
1;1;58;2;0.00036689937384434357
1;1;59;1;0.0
1;1;59;2;0.00022300294692385278
1;1;60;1;0.0
1;1;60;2;0.00023260238065221048
1;1;61;1;0.0
1;1;61;2;0.00036513384602454194
1;1;62;1;0.0
1;1;62;2;0.00039006017292822324
1;1;63;1;0.0
1;1;63;2;0.00025201675176500255
1;1;64;1;0.0
1;1;64;2;0.0003713779364178854
1;1;65;1;1.698455387899139e-06
1;1;65;2;0.0
1;1;66;1;0.0
1;1;66;2;0.00026920320116826356
1;1;67;1;0.0
1;1;67;2;0.0002840871364935283
1;1;68;1;0.0
1;1;68;2;0.00025039344847873593
1;1;69;1;0.0002685879454530173
1;1;69;2;0.0003537402557152463
1;1;70;1;0.0
1;1;70;2;0.00021620125231131283
1;1;71;1;0.0002170491886699174
1;1;71;2;0.00039333816607833253
1;1;72;1;0.00023606527882837452
1;1;72;2;0.0002723182204992436
1;1;73;1;0.0002767857518070264
1;1;73;2;0.0
1;1;74;1;0.00033683392166750716
1;1;74;2;0.0
1;1;75;1;0.0
1;1;75;2;0.00022891347285258027
1;1;76;1;0.0
1;1;76;2;0.00038916650907715584
1;1;77;1;0.0
1;1;77;2;0.00025200782169272146
1;1;78;1;0.0
1;1;78;2;0.00028584071377542444
1;1;79;1;0.0
1;1;79;2;0.0003260805387460078
1;1;80;1;0.0
1;1;80;2;0.00023741240649689026
1;1;81;1;0.0003632784003828883
1;1;81;2;0.0003683394793242562
1;1;82;1;0.0002415426232738821
1;1;82;2;0.00020188713439233487
1;1;83;1;0.0
1;1;83;2;0.00031031383951084213
1;1;84;1;3.095475970110667e-05
1;1;84;2;0.00022570586968398052
1;1;85;1;0.00034300850214242834
1;1;85;2;0.00026854500231131284
1;1;86;1;0.0
1;1;86;2;0.00027371052382753406
1;1;87;1;0.0002688965582450832
1;1;87;2;0.00035350886178349303
1;1;88;1;0.00022666765367611988
1;1;88;2;0.00038848572239031775
1;1;89;1;0.0001812361906157165
1;1;89;2;0.00024756668662800473
1;1;90;1;0.0
1;1;90;2;0.0002736375073541772
1;1;91;1;0.0
1;1;91;2;0.00025412976445621113
1;1;92;1;0.0
1;1;92;2;0.0003423569087241553
1;1;93;1;0.0
1;1;93;2;0.00038931149142713064
1;1;94;1;0.0
1;1;94;2;0.00036069166036308627
1;1;95;1;0.0
1;1;95;2;0.00026348296457387796
1;1;96;1;0.0
1;1;96;2;0.00028195652630694235
1;1;97;1;0.00024696430072281055
1;1;97;2;0.00034928717011262396
1;1;98;1;0.0
1;1;98;2;0.0003101148827534039
1;1;99;1;0.0
1;1;99;2;0.00025481186438897297
1;1;100;1;0.0
1;1;100;2;0.00029033713649352833
1;1;101;1;0.0
1;1;101;2;0.00023076317973609012
1;1;102;1;0.0
1;1;102;2;0.00039279973524962176
1;1;103;1;0.0003184004139351152
1;1;103;2;0.0003929850342494537
1;1;104;1;0.00038060440830391665
1;1;104;2;0.00034978003130778287
1;1;105;1;0.0
1;1;105;2;0.0
1;1;106;1;0.0
1;1;106;2;0.0003409362392839133
1;1;107;1;0.0
1;1;107;2;0.0003807910205496722
1;1;108;1;0.0
1;1;108;2;0.00032187867708858637
1;1;109;1;0.0003899576084215835
1;1;109;2;0.00026034614536056484
1;1;110;1;0.0003461406328794756
1;1;110;2;0.00033337955958984703
1;1;111;1;0.0003282617089006556
1;1;111;2;0.00031076533345940496
1;1;112;1;0.00035243332954910597
1;1;112;2;0.0003503561522945033
1;1;113;1;0.0002598346909875113
1;1;113;2;0.0
1;1;114;1;0.00039560915790756555
1;1;114;2;0.0003336118727937469
1;1;115;1;0.0
1;1;115;2;0.0003851624222558414
1;1;116;1;0.0
1;1;116;2;0.00039895662611363257
1;1;117;1;0.0
1;1;117;2;0.0003827080969490671
1;1;118;1;0.0
1;1;118;2;0.00034284609283072786
1;1;119;1;0.0
1;1;119;2;0.00021709596675911918
1;1;120;1;0.0
1;1;120;2;0.0002398304862161708
1;1;121;1;0.0
1;1;121;2;0.0
1;1;122;1;0.0
1;1;122;2;0.00022276025907715582
1;1;123;1;0.0
1;1;123;2;0.00026839883804000673
1;1;124;1;0.0
1;1;124;2;0.00039633381135484953
1;1;125;1;0.0
1;1;125;2;0.00021401115208438394
1;1;126;1;0.0
1;1;126;2;0.00035373789187258367
1;1;127;1;0.0
1;1;127;2;0.00025732607370986725
1;1;128;1;0.0
1;1;128;2;0.00023257414586485124
1;1;129;1;0.0
1;1;129;2;0.00038175087199529334
1;1;130;1;0.0
1;1;130;2;0.000364872247436544
1;1;131;1;0.0
1;1;131;2;0.00035853412863506476
1;1;132;1;0.0
1;1;132;2;0.00021869812678601447
1;1;133;1;0.0
1;1;133;2;0.0002756861709951252
1;1;134;1;0.0
1;1;134;2;0.00031604090498403093
1;1;135;1;0.0
1;1;135;2;0.00023043644415027736
1;1;136;1;0.0
1;1;136;2;0.00039774581337199527
1;1;137;1;0.0
1;1;137;2;0.0
1;1;138;1;0.0
1;1;138;2;0.00023951517586989413
1;1;139;1;0.0
1;1;139;2;0.0003485554294839469
1;1;140;1;0.0
1;1;140;2;0.0003867099512523113
1;1;141;1;0.0
1;1;141;2;0.000345870629517566
1;1;142;1;0.0
1;1;142;2;0.0002756945757690368
1;1;143;1;0.0
1;1;143;2;0.0003325976529668852
1;1;144;1;0.0
1;1;144;2;0.0002691726025382417
1;1;145;1;0.0002211092463018995
1;1;145;2;0.0
1;1;146;1;0.0
1;1;146;2;0.0
1;1;147;1;0.0
1;1;147;2;0.00036345709362918137
1;1;148;1;0.00022870403346811303
1;1;148;2;0.000287207014834426
1;1;149;1;0.0
1;1;149;2;0.0002696881828878803
1;1;150;1;0.0
1;1;150;2;0.00021805555555555556
1;1;151;1;0.00020296951168263574
1;1;151;2;0.0003825048064800807
1;1;152;1;0.0002254036684565801
1;1;152;2;0.00023194943477895447
1;1;153;1;0.00029162214364648865
1;1;153;2;3.244745180202147e-08
1;1;154;1;0.0
1;1;154;2;0.000298023696209447
1;1;155;1;0.00016227009838109315
1;1;155;2;0.00032898320621112796
1;1;156;1;0.0
1;1;156;2;0.0003758719952933266
1;1;157;1;0.00018620577274917161
1;1;157;2;0.00022378262102874433
1;1;158;1;0.0
1;1;158;2;0.00020321994768028243
1;1;159;1;0.0002562938624138511
1;1;159;2;0.0002830525613548496
1;1;160;1;0.0003973510254998328
1;1;160;2;0.00021318144330979998
1;1;161;1;0.00032178070894267944
1;1;161;2;0.0
1;1;162;1;0.0
1;1;162;2;0.0
1;1;163;1;0.0
1;1;163;2;0.00033724523029080516
1;1;164;1;0.0
1;1;164;2;0.0003463843713229114
1;1;165;1;0.0
1;1;165;2;0.00031899281917128927
1;1;166;1;0.0
1;1;166;2;0.00023439141557404607
1;1;167;1;0.0
1;1;167;2;0.00023950322533198857
1;1;168;1;0.0
1;1;168;2;0.0003238301605311817
1;2;41;1;0.0002981653954446125
1;2;41;2;0.0
1;2;42;1;0.00023234380252983697
1;2;42;2;0.00020659144394015802
1;2;43;1;0.00025198116280047067
1;2;43;2;0.00022316237497898808
1;2;44;1;0.0002558381660783325
1;2;44;2;0.0003057023764498235
1;2;45;1;0.00029434490040342916
1;2;45;2;0.00034376313245923685
1;2;46;1;0.00034570345331148096
1;2;46;2;0.00024401383110606828
1;2;47;1;0.00021926269120860648
1;2;47;2;0.0002066886241385107
1;2;48;1;0.00035890630252983694
1;2;48;2;0.00029343626554883173
1;2;49;1;0.0002969920102118003
1;2;49;2;0.00027830609661287615
1;2;50;1;0.00029633289208270296
1;2;50;2;0.00023040032988737603
1;2;51;1;0.00034222807929904186
1;2;51;2;0.0002842180671121197
1;2;52;1;0.0002423049041855774
1;2;52;2;0.00024374277714741977
1;2;53;1;0.0002837711695242898
1;2;53;2;0.00021289594364599094
1;2;54;1;0.0003502735491259035
1;2;54;2;0.0002492974134308287
1;2;55;1;0.0003313089647419734
1;2;55;2;0.00033782253319885697
1;2;56;1;0.00033732730816103543
1;2;56;2;0.0003518426153555219
1;2;57;1;0.000358110081526307
1;2;57;2;0.0
1;2;58;1;0.00022925373487140695
1;2;58;2;0.0002522579950411834
1;2;59;1;0.0002821216013195495
1;2;59;2;0.00027393535152966887
1;2;60;1;0.00027081665511010256
1;2;60;2;0.00028955877563456047
1;2;61;1;0.00027721111216170785
1;2;61;2;0.0002464015748445117
1;2;62;1;0.00027471305576567495
1;2;62;2;0.00027990838796436375
1;2;63;1;0.00037603759560430325
1;2;63;2;0.0003846346287191125
1;2;64;1;0.00029344585224407466
1;2;64;2;0.00032847222222222224
1;2;65;1;0.00035129656770045383
1;2;65;2;0.0003365213691376702
1;2;66;1;0.0003540835381996975
1;2;66;2;0.0003313000346696924
1;2;67;1;0.00021604287485291646
1;2;67;2;0.00026976185598419903
1;2;68;1;0.0003947384802067575
1;2;68;2;0.00034110722390317703
1;2;69;1;0.0002711617761388469
1;2;69;2;0.00032819657190284084
1;2;70;1;0.00025218904963019
1;2;70;2;0.00033762607160867374
1;2;71;1;0.0002386798201378383
1;2;71;2;0.0003254910226508657
1;2;72;1;0.00034031573058497224
1;2;72;2;0.0002786123455622794
1;2;73;1;0.00031337908682131454
1;2;73;2;0.0003543383079088923
1;2;74;1;0.00022012759497394522
1;2;74;2;0.00022282460812741636
1;2;75;1;0.0002535880505126912
1;2;75;2;0.00021355676899478904
1;2;76;1;0.00038131986468314
1;2;76;2;0.00038767636892755083
1;2;77;1;0.0003421666193898134
1;2;77;2;0.00020628519499075475
1;2;78;1;0.00021308478840981678
1;2;78;2;0.00033080520360564806
1;2;79;1;0.0003258716013195495
1;2;79;2;0.0003487043515716928
1;2;80;1;0.00020019921940662297
1;2;80;2;0.00024227194171289295
1;2;81;1;0.0003551643395948899
1;2;81;2;0.0003027911728861994
1;2;82;1;0.00021238719217515548
1;2;82;2;0.00029409801016977644
1;2;83;1;0.00033112156454866365
1;2;83;2;0.0002710270371070768
1;2;84;1;0.0003634442238191293
1;2;84;2;0.00027303879853756937
1;2;85;1;0.00031864428370314337
1;2;85;2;0.0002580553191712893
1;2;86;1;0.00030401485543788873
1;2;86;2;0.00028481060367288623
1;2;87;1;0.0003295364767187763
1;2;87;2;0.00035336440473188776
1;2;88;1;0.00036695807593713236
1;2;88;2;0.00027068651243906543
1;2;89;1;0.00036809560955622795
1;2;89;2;9.088025775774349e-07
