;;;0
1;1;1;0.00028150818414859636
1;1;2;0.0003090218681711212
1;2;1;0.00022847419209110793
1;2;2;0.0003248340057152464
1;3;1;0.00020384203227433132
1;3;2;0.00039613341002689537
1;4;1;0.0003039533955286607
1;4;2;0.00020537485291645624
1;5;1;0.00031270801815431196
1;5;2;0.00027706888762817257
1;6;1;0.0003288313949823502
1;6;2;0.00032644299462094445
1;7;1;0.00027088875231131285
1;7;2;0.0003811909039334347
1;8;1;0.00022978494284753742
1;8;2;0.000254110459741133
1;9;1;0.0
1;9;2;0.0
1;10;1;0.0
1;10;2;0.0
1;11;1;0.0
1;11;2;0.0
1;12;1;0.0
1;12;2;0.0
1;13;1;0.0
1;13;2;0.0
1;14;1;0.0
1;14;2;0.0
1;15;1;0.0003669143448478731
1;15;2;0.0003132850584131785
1;16;1;0.00021990211064884828
1;16;2;0.0003351819896201041
1;17;1;0.0002063604439821817
1;17;2;0.0003275863065221046
1;18;1;0.0002809662075558921
1;18;2;0.000333406612455875
1;19;1;0.0002168866353588847
1;19;2;0.000360012712220541
1;20;1;0.0003130678475374012
1;20;2;0.0003283120062195331
1;21;1;0.0002296016137165903
1;21;2;0.00035681495839636965
1;22;1;0.0002550200138678774
1;22;2;0.0003138430566061527
1;23;1;0.000237180749915952
1;23;2;0.00026672983379559545
1;24;1;0.000234103683392167
1;24;2;0.0003107256734325093
1;25;1;0.0003364814464615898
1;25;2;0.00022600384518406505
1;26;1;0.0003545479019583119
1;26;2;0.00022719784837787853
1;27;1;0.000243370997226425
1;27;2;0.0002734163567406282
1;28;1;0.00025472886724659606
1;28;2;0.00021191232244915145
1;29;1;0.00033906223735081565
1;29;2;0.00025288546394351983
1;30;1;0.00038763368843503047
1;30;2;0.00037978638741805376
1;31;1;0.0003531481131282572
1;31;2;0.0003798766074130103
1;32;1;0.00035943645990922836
1;32;2;0.0003773264151538072
1;33;1;0.00035467554946209473
1;33;2;0.00020691568435871613
1;34;1;0.00029391783282904703
1;34;2;0.0002240884760043702
1;35;1;0.0002930887806774251
1;35;2;0.00037007611573373705
1;36;1;0.000378073126786014
1;36;2;0.0002976131755337037
1;37;1;0.00024666474932761787
1;37;2;0.00026596381744831095
1;38;1;0.00032996406959152745
1;38;2;0.00036707062111279276
1;39;1;0.0
1;39;2;0.0
1;40;1;0.0
1;40;2;0.0
1;41;1;0.0
1;41;2;0.0
1;42;1;0.0
1;42;2;0.0
1;43;1;0.0
1;43;2;0.0
1;44;1;0.0
1;44;2;0.0
1;45;1;0.0
1;45;2;0.0
1;46;1;0.0
1;46;2;0.0
1;47;1;0.0
1;47;2;0.0
1;48;1;0.0
1;48;2;0.0
1;49;1;0.00033949127479408287
1;49;2;0.0002611000798453529
1;50;1;0.00029156948646831397
1;50;2;0.0002524981877206256
1;51;1;0.0003461700495881668
1;51;2;0.00025695403113968766
1;52;1;0.00035759056143889697
1;52;2;0.00038044891998655306
1;53;1;0.00026403676037989565
1;53;2;0.0003633316786434697
1;54;1;0.00021695636871743205
1;54;2;0.000239234403891411
1;55;1;0.0003698658650613558
1;55;2;0.000223664034921835
1;56;1;0.0003065418032442427
1;56;2;0.0002839752479408305
