;;;0
1;1;1;0.0005806561501933107
1;1;2;0.00047169022629853805
1;2;1;0.000533651926794419
1;2;2;0.0006176777347033113
1;3;1;0.0006202321293494706
1;3;2;0.00044832587409648737
1;4;1;0.00043005875462262544
1;4;2;0.0004762158030761477
1;5;1;0.0005781758226172457
1;5;2;0.0005745506072449149
1;6;1;0.0005969321261976802
1;6;2;0.0005825331725920323
1;7;1;0.0005367333270297522
1;7;2;0.0005745864588586315
1;8;1;0.0005966219375105062
1;8;2;0.0005983735449235171
1;9;1;8.625898260211773e-05
1;9;2;0.0
1;10;1;0.00014421436375861517
1;10;2;2.4861058581273883e-05
1;11;1;0.00012927829257017976
1;11;2;0.00014887953857791142
1;12;1;9.063839510842144e-05
1;12;2;5.6195762943351657e-05
1;13;1;0.0
1;13;2;9.014317007060061e-05
1;14;1;0.00015120634770549713
1;14;2;0.0
1;15;1;9.30856288872079e-05
1;15;2;3.0038530635400934e-05
1;16;1;0.0
1;16;2;9.195361090099188e-05
1;17;1;0.0
1;17;2;4.493034543620757e-05
1;18;1;0.00010240074487308866
1;18;2;0.0
1;19;1;0.00011212309841990205
1;19;2;0.0
1;20;1;4.796735795932087e-05
1;20;2;0.00015978630862329804
1;21;1;0.000152960187636578
1;21;2;9.76924955874937e-05
1;22;1;-3.234524710030379e-07
1;22;2;0.00012255224092284342
1;23;1;0.0
1;23;2;8.084381303580484e-05
1;24;1;9.923831736426218e-05
1;24;2;8.88293988485463e-05
1;25;1;9.591225941334646e-05
1;25;2;3.34956505294989e-06
1;26;1;2.0889014960497694e-05
1;26;2;6.9323757144058e-05
1;27;1;0.0
1;27;2;1.2842757186080922e-05
1;28;1;0.0
1;28;2;0.0
1;29;1;0.00011817965729534396
1;29;2;0.0
1;30;1;0.0
1;30;2;1.2820694654563881e-05
1;31;1;9.144761724659686e-05
1;31;2;0.00010422694465456346
1;32;1;4.4485155068079015e-05
1;32;2;0.0
1;33;1;2.2001071608673616e-05
1;33;2;0.0001315295900571523
1;34;1;0.0
1;34;2;2.9124511472516305e-05
1;35;1;1.9556858295511758e-05
1;35;2;3.507522272650773e-05
1;36;1;0.00012737736909564687
1;36;2;0.00015993391746512044
1;37;1;9.646828773743495e-05
1;37;2;7.68458984703306e-05
1;38;1;0.00016264695221886055
1;38;2;5.539192511346469e-05
1;39;1;0.00012785223882165074
1;39;2;0.0
1;40;1;0.00018504396747352525
1;40;2;6.695085308455244e-05
1;41;1;0.0
1;41;2;0.0
1;42;1;0.0
1;42;2;0.0
1;43;1;0.0
1;43;2;0.0
1;44;1;0.0
1;44;2;0.0
1;45;1;0.0
1;45;2;0.0
1;46;1;0.0
1;46;2;0.0
1;47;1;0.0
1;47;2;0.0
1;48;1;0.0
1;48;2;0.0
1;49;1;0.00023004312699613424
1;49;2;0.000292478909270466
1;50;1;0.00023688842137333953
1;50;2;0.00037588368318204846
1;51;1;0.0002321135905194152
1;51;2;0.00021358408451000154
1;52;1;0.0002905731267860148
1;52;2;0.0003721544587325604
1;53;1;0.0002510794881492684
1;53;2;0.00023858749894940361
1;54;1;0.0003253361909564633
1;54;2;0.00020733132669356136
1;55;1;0.00024193036644814262
1;55;2;0.0002278081137586148
1;56;1;0.0002467942353756935
1;56;2;0.00035603489031770056
1;57;1;0.000256920674693226
1;57;2;0.00021688111972600367
1;58;1;0.00023753742750882523
1;58;2;0.0002470184064548665
1;59;1;0.00035336729387292
1;59;2;0.00038274368591359904
1;60;1;0.0003216290290384939
1;60;2;0.00026598299083879567
1;61;1;0.0003637331379223406
1;61;2;0.00023464277084383984
