;;;0
1;9;1;-0.0002829452691628845
1;9;2;-0.00031518637586148935
1;9;3;-0.00036853672886199364
1;9;4;-0.0003309064548663641
1;9;5;-0.0002443311113212305
1;9;6;-0.0002898143332913095
1;9;7;-0.0003983030236174147
1;9;8;-0.00025896960098335857
2;9;1;-0.0003211917181459069
2;9;2;-0.0003963973724575559
2;9;3;-0.00021794484892418895
2;9;4;-0.00034499495713565307
2;9;5;-0.0003656567805513532
2;9;6;-0.00021658051773407297
2;9;7;-0.00033313424525130273
2;9;8;-0.00022740639183055976
3;9;1;-0.0002624503593040847
3;9;2;-0.00020778268931753236
3;9;3;-0.00030464547613044213
3;9;4;-0.00022885056837283578
3;9;5;-0.0002436442837031434
3;9;6;-0.000373405062825685
3;9;7;-0.00030829918893931753
3;9;8;-0.00035440869789040173
4;9;1;-0.00037764921100184905
4;9;2;-0.00021025093503109768
4;9;3;-0.0003433054662548328
4;9;4;-0.00024209058245083207
4;9;5;-0.0002815896053958649
4;9;6;-0.00032850137628172803
4;9;7;-0.00022190192154143554
4;9;8;-0.00024350337241553204
5;9;1;-0.0003829050838376198
5;9;2;-0.00026272640359724326
5;9;3;-0.00022307635737098673
5;9;4;-0.0003968711915868213
5;9;5;-0.00026685354156160703
5;9;6;-0.00020169434989073792
5;9;7;-0.00021657579004874772
5;9;8;-0.0002566043137502101
6;9;1;-0.0003835240166414523
6;9;2;-0.00038129491301059005
6;9;3;-0.0002124196293494705
6;9;4;-0.00028945529185577407
6;9;5;-0.00027157124621785174
6;9;6;-0.00025527189443603967
6;9;7;-0.0003147031013615734
6;9;8;-0.00037996078647671875
7;9;1;-0.0003317859356614557
7;9;2;-0.0003897573384182216
7;9;3;-0.00035930395339552865
7;9;4;-0.00020023927340729537
7;9;5;-0.0003656540227349135
7;9;6;-0.0003829570883761977
7;9;7;-0.0003219815042444108
7;9;8;-0.00020129919419230124
8;9;1;-0.00038496202092788706
8;9;2;-0.00036255935871575055
8;9;3;-0.0002946289554967222
8;9;4;-0.00035473254433518236
8;9;5;-0.0003281454866364095
8;9;6;-0.00020308954236006053
8;9;7;-0.00031576262817280216
8;9;8;-0.0003695730112203732
9;9;1;-0.00039103552067574387
9;9;2;-0.0002606303317784502
9;9;3;-0.0002700637712220541
9;9;4;-0.0003012356330895949
9;9;5;-0.0003661244274247773
9;9;6;-0.000301720746133804
9;9;7;-0.0002525412621869222
9;9;8;-0.0003273428307278534
10;9;1;-0.00039754357349974784
10;9;2;-0.0003252577901748193
10;9;3;-0.0002373983547655068
10;9;4;-0.00021255069129265424
10;9;5;-0.0002299345215582451
10;9;6;-0.00038006545217683646
10;9;7;-0.00021215080790889225
10;9;8;-0.0003966949539838629
11;9;1;-0.00032600673432509666
11;9;2;-0.0003160281664985712
11;9;3;-0.00032160250147083544
11;9;4;-0.00033405483064380566
11;9;5;-0.00039107413010590016
11;9;6;-0.0003767787916036309
11;9;7;-0.0002849115922844176
11;9;8;-0.0002005951630526139
12;9;1;-0.00033864134203227434
12;9;2;-0.0003179817511346445
12;9;3;-0.0002466489903765339
12;9;4;-0.00028260106740628677
12;9;5;-0.0002491433696839805
12;9;6;-0.00023609114977307113
12;9;7;-0.00035362258888048414
12;9;8;-0.00039182215498403093
13;9;1;-0.000250725305723651
13;9;2;-0.00024901165111783493
13;9;3;-0.000273208338586317
13;9;4;-0.00027430608085392505
13;9;5;-0.0003866802718944361
13;9;6;-0.00026310212325600943
13;9;7;-0.00023651545953101363
13;9;8;-0.0002881826252311313
14;9;1;-0.0002003780835014288
14;9;2;-0.00020546599218356027
14;9;3;-0.00025576462430660615
14;9;4;-0.00033175638762817283
14;9;5;-0.00039494085140359724
14;9;6;-0.00020346841380904356
14;9;7;-0.0002904248613212305
14;9;8;-0.00036944299987392844
15;9;1;-0.0003439819192301228
15;9;2;-0.00023226172465960667
15;9;3;-0.0003483323090015128
15;9;4;-0.0003612310104639435
15;9;5;-0.00020443969049420072
15;9;6;-0.0003486750661875946
15;9;7;-0.00023450803181206925
15;9;8;-0.0002171188172381913
16;9;1;-0.00029975416036308626
16;9;2;-0.00024127400613548495
16;9;3;-0.00036272758551857457
16;9;4;-0.00022735215477391157
16;9;5;-0.0002050432583207262
16;9;6;-0.0002383249810892587
16;9;7;-0.00036874842410489163
16;9;8;-0.00020615518364430999
17;9;1;-0.00021926150928727517
17;9;2;-0.00034159942847537404
17;9;3;-0.000345164234535216
17;9;4;-0.0002954926773407295
17;9;5;-0.00023292189338544296
17;9;6;-0.00037206292549167927
17;9;7;-0.00022446629685661456
17;9;8;-0.00035722101403597243
18;9;1;-0.00021440473188771224
18;9;2;-0.00028308512985375696
18;9;3;-0.00036897193856110275
18;9;4;-0.00024747331484283074
18;9;5;-0.000201685813792234
18;9;6;-0.0003895417034375526
18;9;7;-0.0003301442469322575
18;9;8;-0.0003604860060514372
19;9;1;-0.00020852546121196842
19;9;2;-0.00025261926899478905
19;9;3;-0.0003464757732391999
19;9;4;-0.00035810351529668854
19;9;5;-0.00021234372373508153
19;9;6;-0.000313969128214826
19;9;7;-0.00020235149815094974
19;9;8;-0.000384216753866196
20;9;1;-0.0003806912138594722
20;9;2;-0.0002210279563792234
20;9;3;-0.0002287726928895613
20;9;4;-0.00024659449067070095
20;9;5;-0.00034260077849218357
20;9;6;-0.00029669955034459573
20;9;7;-0.00033336826567490337
20;9;8;-0.0003884054830643806
21;9;1;-0.00039555636976802824
21;9;2;-0.0003793253067742478
21;9;3;-0.00027803451735585816
21;9;4;0.0
21;9;5;-0.0002773709341906203
21;9;6;-0.00022553133930072283
21;9;7;-0.00031397503782148263
21;9;8;-0.0003651052172634056
22;9;1;-0.00025391977643301393
22;9;2;-0.0003876566702386956
22;9;3;-0.0003074964017061691
22;9;4;-0.0003034319055723651
22;9;5;-0.0003331310934610859
22;9;6;-0.0002264842305429484
22;9;7;-0.00038049278240040343
22;9;8;-0.00036406565179021686
23;9;1;-0.00024668576126239705
23;9;2;-0.00038289720436207765
23;9;3;-0.0003360032936207766
23;9;4;-0.00021252232518070266
23;9;5;-0.0002412792591191797
23;9;6;-0.0002832449518826694
23;9;7;-0.0003042835455538746
23;9;8;-0.00033562166435535386
24;9;1;-0.0002370206652378551
24;9;2;-0.00024280905929567996
24;9;3;-0.00022084922360900993
24;9;4;-0.00037094732307950916
24;9;5;-0.0003896753918725836
24;9;6;-0.00035766961884350316
24;9;7;-0.0003858521390149605
24;9;8;-0.0002752902273491343
25;9;1;-0.0003484078206421247
25;9;2;-0.0003247389267103715
25;9;3;-0.00025492572281055645
25;9;4;-0.0002929420911077492
25;9;5;-0.0002222231414943688
25;9;6;-0.0003921683266095142
25;9;7;-0.00023789239788199698
25;9;8;-0.00027235367813918307
26;9;1;-0.00031926347915616074
26;9;2;-0.0003861536602790385
26;9;3;-0.00022062387060850565
26;9;4;-0.0003011236132123046
26;9;5;-0.00028955352265086574
26;9;6;-0.0003716784070852244
26;9;7;-0.00038184056669188097
26;9;8;-0.00028978819969742816
27;9;1;-0.00035816930891746515
27;9;2;-0.00036756282568498907
27;9;3;-0.0003066867855942175
27;9;4;-0.0003017824686922172
27;9;5;-0.0003710701115733737
27;9;6;-0.0003836650592536561
27;9;7;-0.00023498657862665995
27;9;8;-0.000369719438140864
28;9;1;-0.0002247496953269457
28;9;2;-0.00020715009875609347
28;9;3;-0.00039818010379895786
28;9;4;-0.0003228759560430325
28;9;5;-0.0003346934621364935
28;9;6;-0.0002898675197512187
28;9;7;-0.0003434461148932594
28;9;8;-0.0002713561365355522
29;9;1;-0.00024386385842158347
29;9;2;-0.00032953411287611365
29;9;3;-0.0003907559306185914
29;9;4;-0.00029189412086064886
29;9;5;-0.0003648379717179358
29;9;6;-0.00021235541162380235
29;9;7;-0.00025152021348125733
29;9;8;-0.0002228795018070264
30;9;1;-0.000244978541561607
30;9;2;-0.00027819801647335687
30;9;3;-0.0002491947175995966
30;9;4;-0.00020588701882669354
30;9;5;-0.00022635947218019835
30;9;6;-0.0002846243854009077
30;9;7;-0.00025483497751722977
30;9;8;-0.00024415093398050096
31;9;1;-0.0003546222316775929
31;9;2;-0.0003848706190115986
31;9;3;-0.00035702126933098
31;9;4;-0.00039126520738779624
31;9;5;-0.00023165553034123384
31;9;6;-0.00029682102559253656
31;9;7;-0.00030667299651201887
31;9;8;-0.00039667105290805177
32;9;1;-0.00020066161329635235
32;9;2;-0.0002994862581946546
32;9;3;-0.00034945841738107244
32;9;4;-0.00037682908892250794
32;9;5;-0.0002783514035972433
32;9;6;-0.00033499340750546314
32;9;7;-0.000208378115019331
32;9;8;-0.00038297941355690035
33;9;1;-0.00022052682173474535
33;9;2;-0.0003470487424357035
33;9;3;-0.00023911227202050766
33;9;4;-0.0003578571503614053
33;9;5;-0.00023409659186417886
33;9;6;-0.0002577146631786855
33;9;7;-0.0003637444318372836
33;9;8;-0.0003584204015380736
34;9;1;-0.00024191500147083543
34;9;2;-0.00033765364977307116
34;9;3;-0.00026271379643637586
34;9;4;-0.000307242945242898
34;9;5;-0.00038099982665153805
34;9;6;-0.0002495340603462767
34;9;7;-0.00020150314128424948
34;9;8;-0.00035850261073289635
35;9;1;-0.00039187468482097836
35;9;2;-0.0002983684232644142
35;9;3;-0.0003177914618003026
35;9;4;-0.0003340288283745167
