;;;;0
1;1;41;1;0.00017872273703583764
1;1;41;2;0.0
1;1;42;1;0.000207038551668549
1;1;42;2;0.0
1;1;43;1;0.00019016399817216312
1;1;43;2;0.0
1;1;44;1;0.0
1;1;44;2;0.0003222759339805009
1;1;45;1;0.000220757690368129
1;1;45;2;0.0
1;1;46;1;0.0003469385611027065
1;1;46;2;0.0
1;1;47;1;0.0002344649573457724
1;1;47;2;0.0
1;1;48;1;0.0
1;1;48;2;0.0
1;1;49;1;0.00027907565872415535
1;1;49;2;0.0
1;1;50;1;0.00021269646159018327
1;1;50;2;0.00032674215204236
1;1;51;1;0.0002849465246259876
1;1;51;2;0.0
1;1;52;1;0.0
1;1;52;2;0.00036647276330367614
1;1;53;1;0.00024531053013111446
1;1;53;2;0.0
1;1;54;1;0.0003170171720036981
1;1;54;2;0.0
1;1;55;1;0.00031790282505463107
1;1;55;2;0.0
1;1;56;1;0.0
1;1;56;2;0.0
1;1;57;1;0.00011213202849218358
1;1;57;2;0.0
1;1;58;1;0.00018998610585812745
1;1;58;2;0.0003529783104303244
1;1;59;1;0.000125912049293999
1;1;59;2;0.0
1;1;60;1;0.0
1;1;60;2;0.0002504128845184065
1;1;61;1;0.00028862545725918113
1;1;61;2;0.0
1;1;62;1;0.0002116809285173979
1;1;62;2;0.00028763066796940666
1;1;63;1;0.00028327200474869725
1;1;63;2;0.0
1;1;64;1;0.0
1;1;64;2;0.0
1;1;65;1;0.00025950605909183213
1;1;65;2;0.0
1;1;66;1;0.00029703416255459896
1;1;66;2;0.00030809996953269457
1;1;67;1;0.0004039992216077783
1;1;67;2;0.00026795942595394184
1;1;68;1;1.7589317925895066e-05
1;1;68;2;0.0002011115313498067
1;1;69;1;0.0002910494676168536
1;1;69;2;4.5028969685829696e-05
1;1;70;1;0.0002977499109686775
1;1;70;2;0.0002952073090015129
1;1;71;1;0.00030191641977643296
1;1;71;2;0.0
1;1;72;1;0.0
1;1;72;2;0.0
1;1;73;1;0.00011655755871809049
1;1;73;2;0.0
1;1;74;1;0.00023341494190630424
1;1;74;2;0.00032523310115145404
1;1;75;1;0.00021547588971134658
1;1;75;2;0.0
1;1;76;1;0.0
1;1;76;2;0.0002375853609850395
1;1;77;1;0.000339947614447093
1;1;77;2;0.0
1;1;78;1;0.0003910240954362077
1;1;78;2;0.0
1;1;79;1;0.0002833989956295175
1;1;79;2;0.0
1;1;80;1;0.0
1;1;80;2;0.0
1;1;81;1;0.000395620093196242
1;1;81;2;0.0
1;1;82;1;0.00027945067978328597
1;1;82;2;0.0
1;1;83;1;0.00036409748629545526
1;1;83;2;2.681873209924758e-07
1;1;84;1;0.0
1;1;84;2;0.00021120962705876363
1;1;85;1;0.00034597984066094635
1;1;85;2;1.4033771094702514e-07
1;1;86;1;0.0005186743943571629
1;1;86;2;0.0
1;1;87;1;0.0003775449765978759
1;1;87;2;0.0
1;1;88;1;0.0
1;1;88;2;0.0
