;;;;0
1;1;41;1;0.00021159052468922474
1;1;41;2;0.0002251427498319045
1;1;42;1;0.0003706568330811901
1;1;42;2;0.0
1;1;43;1;0.00025441303160194994
1;1;43;2;0.0
1;1;44;1;0.0002774950884390321
1;1;44;2;0.0
1;1;45;1;0.0
1;1;45;2;0.0
1;1;46;1;0.0
1;1;46;2;0.0
1;1;47;1;0.0
1;1;47;2;0.0
1;1;48;1;0.0
1;1;48;2;0.0
1;1;49;1;0.0
1;1;49;2;0.0
1;1;50;1;0.0002102081232139856
1;1;50;2;0.0
1;1;51;1;0.0002661590971171626
1;1;51;2;0.0
1;1;52;1;0.0002033894877290301
1;1;52;2;0.0
1;1;53;1;0.0
1;1;53;2;0.0
1;1;54;1;0.0
1;1;54;2;0.0
1;1;55;1;0.0
1;1;55;2;0.0
1;1;56;1;0.0
1;1;56;2;0.0
1;1;57;1;0.0
1;1;57;2;0.0003352107497058329
1;1;58;1;0.0
1;1;58;2;0.0
1;1;59;1;0.00010430403219028411
1;1;59;2;0.0
1;1;60;1;0.00010522435493360228
1;1;60;2;0.0
1;1;61;1;0.0
1;1;61;2;0.0
1;1;62;1;0.0
1;1;62;2;0.00029163816923012274
1;1;63;1;0.0
1;1;63;2;0.0
1;1;64;1;0.0
1;1;64;2;0.0
1;1;65;1;0.0
1;1;65;2;0.00028471972705496724
1;1;66;1;0.0
1;1;66;2;0.0
1;1;67;1;0.0
1;1;67;2;0.0
1;1;68;1;0.0
1;1;68;2;0.0
1;1;69;1;0.0
1;1;69;2;0.0
1;1;70;1;0.0
1;1;70;2;0.00031222487549823483
1;1;71;1;0.0
1;1;71;2;0.0
1;1;72;1;0.0
1;1;72;2;0.0
1;1;73;1;0.0001562196868068449
1;1;73;2;0.0
1;1;74;1;0.0
1;1;74;2;0.0
1;1;75;1;0.0
1;1;75;2;0.0
1;1;76;1;0.00014589373983448805
1;1;76;2;0.0
1;1;77;1;0.0
1;1;77;2;0.0
1;1;78;1;0.0
1;1;78;2;0.0
1;1;79;1;0.0
1;1;79;2;0.0
1;1;80;1;0.0
1;1;80;2;0.0
1;1;81;1;0.0
1;1;81;2;0.00036813802739956293
1;1;82;1;0.0
1;1;82;2;0.0
1;1;83;1;0.0
1;1;83;2;0.0
1;1;84;1;0.0
1;1;84;2;0.0
1;1;85;1;0.0
1;1;85;2;0.0
1;1;86;1;0.0
1;1;86;2;0.0
1;1;87;1;0.0
1;1;87;2;0.0
1;1;88;1;0.0
1;1;88;2;0.0
1;1;89;1;5.9170101570826136e-05
1;1;89;2;0.0003251273848545974
1;1;90;1;0.00011112660741301059
1;1;90;2;0.0
1;1;91;1;0.00017022556311985213
1;1;91;2;0.0
