;;;;0
1;1;1;1;0.0
1;1;1;2;0.0
1;1;2;1;0.0
1;1;2;2;0.0
1;1;3;1;0.0
1;1;3;2;0.0
1;1;4;1;0.00036777688477054963
1;1;4;2;0.00030054145129433516
1;1;5;1;0.0
1;1;5;2;0.0
1;1;6;1;0.0
1;1;6;2;0.0
1;1;7;1;0.0
1;1;7;2;0.0
1;1;8;1;0.0
1;1;8;2;0.0
1;2;1;1;0.0
1;2;1;2;0.0
1;2;2;1;0.0
1;2;2;2;0.0
1;2;3;1;0.0
1;2;3;2;0.0
1;2;4;1;0.00032232649394856294
1;2;4;2;0.00028286568645990935
1;2;5;1;0.0
1;2;5;2;0.0
1;2;6;1;0.0
1;2;6;2;0.0
1;2;7;1;0.0
1;2;7;2;0.0
1;2;8;1;0.0
1;2;8;2;0.0
1;3;1;1;0.0
1;3;1;2;0.0
1;3;2;1;0.0
1;3;2;2;0.0
1;3;3;1;0.0
1;3;3;2;0.0
1;3;4;1;0.0002760295848041683
1;3;4;2;0.0003248769488569509
1;3;5;1;0.0
1;3;5;2;0.0
1;3;6;1;0.0
1;3;6;2;0.0
1;3;7;1;0.0
1;3;7;2;0.0
1;3;8;1;0.0
1;3;8;2;0.0
1;4;1;1;0.0
1;4;1;2;0.0
1;4;2;1;0.0
1;4;2;2;0.0
1;4;3;1;0.0
1;4;3;2;0.0
1;4;4;1;0.00023599790931248994
1;4;4;2;0.0003532107549588163
1;4;5;1;0.0
1;4;5;2;0.0
1;4;6;1;0.0
1;4;6;2;0.0
1;4;7;1;0.0
1;4;7;2;0.0
1;4;8;1;0.0
1;4;8;2;0.0
1;5;1;1;0.0
1;5;1;2;0.0
1;5;2;1;0.0
1;5;2;2;0.0
1;5;3;1;0.0
1;5;3;2;0.0
1;5;4;1;0.0002532724775172301
1;5;4;2;0.00032064895360564777
1;5;5;1;0.0
1;5;5;2;0.0
1;5;6;1;0.0
1;5;6;2;0.0
1;5;7;1;0.0
1;5;7;2;0.0
1;5;8;1;0.0
1;5;8;2;0.0
1;6;1;1;0.0
1;6;1;2;0.0
1;6;2;1;0.0
1;6;2;2;0.0
1;6;3;1;0.0
1;6;3;2;0.0
1;6;4;1;0.00028110462367624835
1;6;4;2;0.00026784162779458704
1;6;5;1;0.0
1;6;5;2;0.0
1;6;6;1;0.0
1;6;6;2;0.0
1;6;7;1;0.0
1;6;7;2;0.0
1;6;8;1;0.0
1;6;8;2;0.0
1;7;1;1;0.0
1;7;1;2;0.0
1;7;2;1;0.0
1;7;2;2;0.0
1;7;3;1;0.0
1;7;3;2;0.0
1;7;4;1;0.0003954061344343588
1;7;4;2;0.00025210447659270514
1;7;5;1;0.0
1;7;5;2;0.0
1;7;6;1;0.0
1;7;6;2;0.0
1;7;7;1;0.0
1;7;7;2;0.0
1;7;8;1;0.0
1;7;8;2;0.0
1;8;1;1;0.0
1;8;1;2;0.0
1;8;2;1;0.0
1;8;2;2;0.0
1;8;3;1;0.0
1;8;3;2;0.0
1;8;4;1;0.0003653577544545302
1;8;4;2;0.0002723027241973441
1;8;5;1;0.0
1;8;5;2;0.0
1;8;6;1;0.0
1;8;6;2;0.0
1;8;7;1;0.0
1;8;7;2;0.0
1;8;8;1;0.0
1;8;8;2;0.0
1;9;1;1;0.0
1;9;1;2;0.0
1;9;2;1;0.0
1;9;2;2;0.0
1;9;3;1;0.0
1;9;3;2;0.0
1;9;4;1;0.0
1;9;4;2;0.0
1;9;5;1;0.0
1;9;5;2;0.0
1;9;6;1;0.0
1;9;6;2;0.0
1;9;7;1;0.0
1;9;7;2;0.0
1;9;8;1;0.0
1;9;8;2;0.0
1;10;1;1;0.0
1;10;1;2;0.0
1;10;2;1;0.0
1;10;2;2;0.0
1;10;3;1;0.0
1;10;3;2;0.0
1;10;4;1;0.0
1;10;4;2;0.0
1;10;5;1;0.0
1;10;5;2;0.0
1;10;6;1;0.0
1;10;6;2;0.0
1;10;7;1;0.0
1;10;7;2;0.0
1;10;8;1;0.0
1;10;8;2;0.0
1;11;1;1;0.0
1;11;1;2;0.0
1;11;2;1;0.0
1;11;2;2;0.0
1;11;3;1;0.0
1;11;3;2;0.0
1;11;4;1;0.0
1;11;4;2;0.0
1;11;5;1;0.0
1;11;5;2;0.0
1;11;6;1;0.0
1;11;6;2;0.0
1;11;7;1;0.0
1;11;7;2;0.0
1;11;8;1;0.0
1;11;8;2;0.0
1;12;1;1;0.0
1;12;1;2;0.0
1;12;2;1;0.0
1;12;2;2;0.0
1;12;3;1;0.0
1;12;3;2;0.0
1;12;4;1;0.0
1;12;4;2;0.0
1;12;5;1;0.0
1;12;5;2;0.0
1;12;6;1;0.0
1;12;6;2;0.0
1;12;7;1;0.0
1;12;7;2;0.0
1;12;8;1;0.0
1;12;8;2;0.0
1;13;1;1;0.0
1;13;1;2;0.0
1;13;2;1;0.0
1;13;2;2;0.0
1;13;3;1;0.0
1;13;3;2;0.0
1;13;4;1;0.0
1;13;4;2;0.0
1;13;5;1;0.0
1;13;5;2;0.0
1;13;6;1;0.0
1;13;6;2;0.0
1;13;7;1;0.0
1;13;7;2;0.0
1;13;8;1;0.0
1;13;8;2;0.0
1;14;1;1;0.0
1;14;1;2;0.0
1;14;2;1;0.0
1;14;2;2;0.0
1;14;3;1;0.0
1;14;3;2;0.0
1;14;4;1;0.0
1;14;4;2;0.0
1;14;5;1;0.0
1;14;5;2;0.0
1;14;6;1;0.0
1;14;6;2;0.0
1;14;7;1;0.0
1;14;7;2;0.0
1;14;8;1;0.0
1;14;8;2;0.0
1;15;1;1;0.0
1;15;1;2;0.0
1;15;2;1;0.0
1;15;2;2;0.0
1;15;3;1;0.0
1;15;3;2;0.0
1;15;4;1;0.0
1;15;4;2;0.0
1;15;5;1;0.0
1;15;5;2;0.0
1;15;6;1;0.0
1;15;6;2;0.0
1;15;7;1;0.0
1;15;7;2;0.0
1;15;8;1;0.0
1;15;8;2;0.0
1;16;1;1;0.0
1;16;1;2;0.0
1;16;2;1;0.0
1;16;2;2;0.0
1;16;3;1;0.0
1;16;3;2;0.0
1;16;4;1;0.0
1;16;4;2;0.0
1;16;5;1;0.0
1;16;5;2;0.0
1;16;6;1;0.0
1;16;6;2;0.0
1;16;7;1;0.0
1;16;7;2;0.0
1;16;8;1;0.0
1;16;8;2;0.0
1;17;1;1;0.0
1;17;1;2;0.0
1;17;2;1;0.0
1;17;2;2;0.0
1;17;3;1;0.0
1;17;3;2;0.0
1;17;4;1;0.0
1;17;4;2;0.0
1;17;5;1;0.0
1;17;5;2;0.0
1;17;6;1;0.0
1;17;6;2;0.0
1;17;7;1;0.0
1;17;7;2;0.0
1;17;8;1;0.0
1;17;8;2;0.0
1;18;1;1;0.0
1;18;1;2;0.0
1;18;2;1;0.0
1;18;2;2;0.0
1;18;3;1;0.0
1;18;3;2;0.0
1;18;4;1;0.0
1;18;4;2;0.0
1;18;5;1;0.0
1;18;5;2;0.0
1;18;6;1;0.0
1;18;6;2;0.0
1;18;7;1;0.0
1;18;7;2;0.0
1;18;8;1;0.0
1;18;8;2;0.0
1;19;1;1;0.0
1;19;1;2;0.0
1;19;2;1;0.0
1;19;2;2;0.0
1;19;3;1;0.0
1;19;3;2;0.0
1;19;4;1;0.0
1;19;4;2;0.0
1;19;5;1;0.0
1;19;5;2;0.0
1;19;6;1;0.0
1;19;6;2;0.0
1;19;7;1;0.0
1;19;7;2;0.0
1;19;8;1;0.0
1;19;8;2;0.0
1;20;1;1;0.0
1;20;1;2;0.0
1;20;2;1;0.0
1;20;2;2;0.0
1;20;3;1;0.0
1;20;3;2;0.0
1;20;4;1;0.0
1;20;4;2;0.0
1;20;5;1;0.0
1;20;5;2;0.0
1;20;6;1;0.0
1;20;6;2;0.0
1;20;7;1;0.0
1;20;7;2;0.0
1;20;8;1;0.0
1;20;8;2;0.0
1;21;1;1;0.0
1;21;1;2;0.0
1;21;2;1;0.0
1;21;2;2;0.0
1;21;3;1;0.0
1;21;3;2;0.0
1;21;4;1;0.0
1;21;4;2;0.0
1;21;5;1;0.0
1;21;5;2;0.0
1;21;6;1;0.0
1;21;6;2;0.0
1;21;7;1;0.0
1;21;7;2;0.0
1;21;8;1;0.0
1;21;8;2;0.0
1;22;1;1;0.0
1;22;1;2;0.0
1;22;2;1;0.0
1;22;2;2;0.0
1;22;3;1;0.0
1;22;3;2;0.0
1;22;4;1;0.0
1;22;4;2;0.0
1;22;5;1;0.0
1;22;5;2;0.0
1;22;6;1;0.0
1;22;6;2;0.0
1;22;7;1;0.0
1;22;7;2;0.0
1;22;8;1;0.0
1;22;8;2;0.0
1;23;1;1;0.0
1;23;1;2;0.0
1;23;2;1;0.0
1;23;2;2;0.0
1;23;3;1;0.0
1;23;3;2;0.0
1;23;4;1;0.0
1;23;4;2;0.0
1;23;5;1;0.0
1;23;5;2;0.0
1;23;6;1;0.0
1;23;6;2;0.0
1;23;7;1;0.0
1;23;7;2;0.0
1;23;8;1;0.0
1;23;8;2;0.0
1;24;1;1;0.0
1;24;1;2;0.0
1;24;2;1;0.0
1;24;2;2;0.0
1;24;3;1;0.0
1;24;3;2;0.0
1;24;4;1;0.0
1;24;4;2;0.0
1;24;5;1;0.0
1;24;5;2;0.0
1;24;6;1;0.0
1;24;6;2;0.0
1;24;7;1;0.0
1;24;7;2;0.0
1;24;8;1;0.0
1;24;8;2;0.0
1;25;1;1;0.0
1;25;1;2;0.0
1;25;2;1;0.0
1;25;2;2;0.0
1;25;3;1;0.0
1;25;3;2;0.0
1;25;4;1;0.0
1;25;4;2;0.0
1;25;5;1;0.0
1;25;5;2;0.0
1;25;6;1;0.0
1;25;6;2;0.0
1;25;7;1;0.0
1;25;7;2;0.0
1;25;8;1;0.0
1;25;8;2;0.0
1;26;1;1;0.0
1;26;1;2;0.0
1;26;2;1;0.0
1;26;2;2;0.0
1;26;3;1;0.0
1;26;3;2;0.0
1;26;4;1;0.0
1;26;4;2;0.0
1;26;5;1;0.0
1;26;5;2;0.0
1;26;6;1;0.0
1;26;6;2;0.0
1;26;7;1;0.0
1;26;7;2;0.0
1;26;8;1;0.0
1;26;8;2;0.0
1;27;1;1;0.0
1;27;1;2;0.0
1;27;2;1;0.0
1;27;2;2;0.0
1;27;3;1;0.0
1;27;3;2;0.0
1;27;4;1;0.0
1;27;4;2;0.0
1;27;5;1;0.0
1;27;5;2;0.0
1;27;6;1;0.0
1;27;6;2;0.0
1;27;7;1;0.0
1;27;7;2;0.0
1;27;8;1;0.0
1;27;8;2;0.0
1;28;1;1;0.0
1;28;1;2;0.0
1;28;2;1;0.0
1;28;2;2;0.0
1;28;3;1;0.0
1;28;3;2;0.0
1;28;4;1;0.0
1;28;4;2;0.0
1;28;5;1;0.0
1;28;5;2;0.0
1;28;6;1;0.0
1;28;6;2;0.0
1;28;7;1;0.0
1;28;7;2;0.0
1;28;8;1;0.0
1;28;8;2;0.0
1;29;1;1;0.0
1;29;1;2;0.0
1;29;2;1;0.0
1;29;2;2;0.0
1;29;3;1;0.0
1;29;3;2;0.0
1;29;4;1;0.0
1;29;4;2;0.0
1;29;5;1;0.0
1;29;5;2;0.0
1;29;6;1;0.0
1;29;6;2;0.0
1;29;7;1;0.0
1;29;7;2;0.0
1;29;8;1;0.0
1;29;8;2;0.0
1;30;1;1;0.0
1;30;1;2;0.0
1;30;2;1;0.0
1;30;2;2;0.0
1;30;3;1;0.0
1;30;3;2;0.0
1;30;4;1;0.0
1;30;4;2;0.0
1;30;5;1;0.0
1;30;5;2;0.0
1;30;6;1;0.0
1;30;6;2;0.0
1;30;7;1;0.0
1;30;7;2;0.0
1;30;8;1;0.0
1;30;8;2;0.0
1;31;1;1;0.0
1;31;1;2;0.0
1;31;2;1;0.0
1;31;2;2;0.0
1;31;3;1;0.0
1;31;3;2;0.0
1;31;4;1;0.0
1;31;4;2;0.0
1;31;5;1;0.0
1;31;5;2;0.0
1;31;6;1;0.0
1;31;6;2;0.0
1;31;7;1;0.0
1;31;7;2;0.0
1;31;8;1;0.0
1;31;8;2;0.0
1;32;1;1;0.0
1;32;1;2;0.0
1;32;2;1;0.0
1;32;2;2;0.0
1;32;3;1;0.0
1;32;3;2;0.0
1;32;4;1;0.0
1;32;4;2;0.0
1;32;5;1;0.0
1;32;5;2;0.0
1;32;6;1;0.0
1;32;6;2;0.0
1;32;7;1;0.0
1;32;7;2;0.0
1;32;8;1;0.0
1;32;8;2;0.0
1;33;1;1;0.0
1;33;1;2;0.0
