;;;;0
1;1;1;1;0.0002911555513531686
1;1;1;2;0.0002780246680114305
1;1;2;1;0.00031084202702134813
1;1;2;2;0.00033247998613212306
1;1;3;1;0.00035590422234829384
1;1;3;2;0.00022393469490670703
1;1;4;1;0.0006100255820305938
1;1;4;2;0.0006074806427550854
1;1;5;1;0.00022009095541267442
1;1;5;2;0.0003551330843419062
1;1;6;1;0.0003196374915952261
1;1;6;2;0.0003256571482602118
1;1;7;1;0.0002972052813498067
1;1;7;2;0.00037926909984871404
1;1;8;1;0.0002004317952597075
1;1;8;2;0.0003341839227181039
1;2;1;1;0.0003722172318877122
1;2;1;2;0.00034051140422760125
1;2;2;1;0.00021793683812405446
1;2;2;2;0.0003352697144478064
1;2;3;1;0.00037249261955790887
1;2;3;2;0.0002968359965960666
1;2;4;1;0.0004995609818877118
1;2;4;2;0.0005677712378130779
1;2;5;1;0.00037738393532526474
1;2;5;2;0.00023194641431332997
1;2;6;1;0.00029625672381912926
1;2;6;2;0.0003646815641284249
1;2;7;1;0.0002481575159690704
1;2;7;2;0.00034368565094973946
1;2;8;1;0.00032271271957471845
1;2;8;2;0.0003137232885779123
1;3;1;1;0.00037782058959488996
1;3;1;2;0.00033550137102874433
1;3;2;1;0.00032507130925365607
1;3;2;2;0.00036287269919314173
1;3;3;1;0.0003228791078332493
1;3;3;2;0.0002578588575811061
1;3;4;1;0.0004973007543284584
1;3;4;2;0.0005366310251722983
1;3;5;1;0.0002862806511598588
1;3;5;2;0.00023602443688014793
1;3;6;1;0.0002863234629769709
1;3;6;2;0.00020930854975626155
1;3;7;1;0.00034630623319045214
1;3;7;2;0.0003349097537401244
1;3;8;1;0.0002150782957219701
1;3;8;2;0.000265091822154984
1;4;1;1;0.00032281843587157505
1;4;1;2;0.00023261708900655575
1;4;2;1;0.00039771429546982685
1;4;2;2;0.0003092952859724323
1;4;3;1;0.00026203143385442935
1;4;3;2;0.0003262202681122878
1;4;4;1;0.000494204251765003
1;4;4;2;0.00047301988779626834
1;4;5;1;0.0003376946230458901
1;4;5;2;0.00022003868822491175
1;4;6;1;0.00035916159753740127
1;4;6;2;0.00033097723882165075
1;4;7;1;0.0002191552676920491
1;4;7;2;0.000381647388216507
1;4;8;1;0.000282819985501765
1;4;8;2;0.0003863469700790049
1;5;1;1;0.00035819097747520596
1;5;1;2;0.000289484839889057
1;5;2;1;0.00032402412695410994
1;5;2;2;0.00025740526243906537
1;5;3;1;0.00031751147776937303
1;5;3;2;0.00037260962976970924
1;5;4;1;0.0006378641630946375
1;5;4;2;0.0005307294293158513
1;5;5;1;0.0003311394246932258
1;5;5;2;0.0002954587955958985
1;5;6;1;0.00035426397818961173
1;5;6;2;0.00027041151874264587
1;5;7;1;0.00033078287842494536
1;5;7;2;0.0003703265517313835
1;5;8;1;0.00027688135611027065
1;5;8;2;0.00032172358274499917
1;6;1;1;0.00022379627878635065
1;6;1;2;0.00039223188771222056
1;6;2;1;0.0003368846129601614
1;6;2;2;0.0003295274153219029
1;6;3;1;0.00028533813456043034
1;6;3;2;0.00031210550092452513
1;6;4;1;0.0005486771673810725
1;6;4;2;0.0005697814233484619
1;6;5;1;0.0002027289250294167
1;6;5;2;0.0003511543431669188
1;6;6;1;0.0003144744652462599
1;6;6;2;0.000373007674609178
1;6;7;1;0.0003909969112455875
1;6;7;2;0.0003592708595982518
1;6;8;1;0.0003538654080517734
1;6;8;2;0.00027692600647167594
1;7;1;1;0.0002965750546310304
1;7;1;2;0.0003133429725584132
1;7;2;1;0.0002834821240964868
1;7;2;2;0.00024374198919986553
1;7;3;1;0.00026415744768028244
1;7;3;2;0.000341313928811565
1;7;4;1;0.0005644069644057822
1;7;4;2;0.0006460385936712052
1;7;5;1;0.0002936194633551857
1;7;5;2;0.0003814229544881493
1;7;6;1;0.00033661447827365945
1;7;6;2;0.0003660715036140528
1;7;7;1;0.00039393227853420747
1;7;7;2;0.0002554191093040847
1;7;8;1;0.0003886838912002017
1;7;8;2;0.0003056917391578417
1;8;1;1;0.00021682491280047066
1;8;1;2;0.00021691880988401413
1;8;2;1;0.000318097054126744
1;8;2;2;0.00033813626765002525
1;8;3;1;0.00037598874285594224
1;8;3;2;0.0002890391242225584
1;8;4;1;0.0005070458270297528
1;8;4;2;0.0004784010442931585
1;8;5;1;0.0003219646946965877
1;8;5;2;0.00027637654437720623
1;8;6;1;0.00027496020864851235
1;8;6;2;0.00028948589048579597
1;8;7;1;0.00022711826567490333
1;8;7;2;0.00034547915090771557
1;8;8;1;0.0003171546688519079
1;8;8;2;0.0002579237319297361
1;9;1;1;0.00030641481236342243
1;9;1;2;0.0003733678979660448
1;9;2;1;0.00022089965225247942
1;9;2;2;0.00028939173075306777
1;9;3;1;0.000390881608253488
1;9;3;2;0.00022594973945200877
1;9;4;1;0.0
1;9;4;2;0.0
1;9;5;1;0.00038479628929231804
1;9;5;2;0.00038408004496554043
1;9;6;1;0.00031520476130442095
1;9;6;2;0.0002388360964027568
1;9;7;1;0.00019604489725163864
1;9;7;2;0.0003386919020003362
1;9;8;1;0.00011818346570852245
1;9;8;2;0.00012712535720289098
1;10;1;1;0.0003779612382333166
1;10;1;2;0.00034770181963355185
1;10;2;1;0.0002765694602033956
1;10;2;2;0.0003253859629769709
1;10;3;1;0.00027284404416708693
1;10;3;2;0.0002759928139183056
1;10;4;1;0.0
1;10;4;2;0.0
1;10;5;1;0.00033141349911749876
1;10;5;2;0.0003867253162296184
1;10;6;1;0.00024114543935955626
1;10;6;2;0.00030337990103378724
1;10;7;1;0.0002541492004958817
1;10;7;2;0.0002645048012270966
1;10;8;1;2.101955160531226e-05
1;10;8;2;9.107846381744834e-05
1;11;1;1;0.0002681388153471172
1;11;1;2;0.0003059627931164902
1;11;2;1;0.00024019320474029252
1;11;2;2;0.00035944565263069424
1;11;3;1;0.00032331549945368974
1;11;3;2;0.0003877274541939822
1;11;4;1;0.0
1;11;4;2;0.0
1;11;5;1;0.00036403334594049423
1;11;5;2;0.00037240660194990755
1;11;6;1;0.0002619980774079677
1;11;6;2;0.000264665542528156
1;11;7;1;0.0001762701714573878
1;11;7;2;0.00032387467956799463
1;11;8;1;0.0
1;11;8;2;0.0001896462378130772
1;12;1;1;0.00034329285909396543
1;12;1;2;0.00022150427067574386
1;12;2;1;0.00020560690347117165
1;12;2;2;0.00020532166645654732
1;12;3;1;0.00024855424756261554
1;12;3;2;0.00038620789733568667
1;12;4;1;0.0
1;12;4;2;0.0
1;12;5;1;0.0003977963733400571
1;12;5;2;0.0003135366763321567
1;12;6;1;0.00023415489998319047
1;12;6;2;0.00035554124117498744
1;12;7;1;0.00034956137586148893
1;12;7;2;0.00020248610585812743
1;12;8;1;0.00019609703311480924
1;12;8;2;5.9706331946545853e-05
1;13;1;1;0.00020400172297865187
1;13;1;2;0.0003094413189191461
1;13;2;1;0.0003749349943267776
1;13;2;2;0.00026810348903177005
1;13;3;1;0.0002550590172718104
1;13;3;2;0.00037913186564968903
1;13;4;1;0.0
1;13;4;2;0.0
1;13;5;1;0.00037279676731383427
1;13;5;2;0.0002641563970835435
1;13;6;1;0.00029230726802824
1;13;6;2;0.0002321578469070432
