;;;0
1;41;1;0.9756875000000008
2;41;1;0.0
3;41;1;0.0
4;41;1;0.0
5;41;1;0.0
6;41;1;5.811500000000001
7;41;1;0.0
8;41;1;0.8495624999999996
9;41;1;0.0
10;41;1;0.0
11;41;1;0.0
12;41;1;0.0
13;41;1;0.0
14;41;1;0.0
15;41;1;0.0
16;41;1;0.0
17;41;1;0.0
18;41;1;0.0
19;41;1;8.910624999999998
20;41;1;1.1621249999999992
21;41;1;0.0
22;41;1;0.0
23;41;1;0.0
24;41;1;0.0
25;41;1;0.0
26;41;1;0.9748750000000004
27;41;1;0.0
28;41;1;0.0
29;41;1;1.1628750000000005
30;41;1;0.0
31;41;1;1.2869374999999976
32;41;1;0.0
33;41;1;0.0
34;41;1;0.0
35;41;1;1.1618125
36;41;1;0.0
37;41;1;0.0
38;41;1;1.349625000000002
39;41;1;1.037250000000001
40;41;1;0.0
41;41;1;1.5365624999999992
42;41;1;0.0
43;41;1;0.0
44;41;1;0.0
45;41;1;1.1628749999999999
46;41;1;5.811625000000002
47;41;1;0.0
48;41;1;0.0
49;41;1;1.349062499999999
50;41;1;0.9757500000000008
51;41;1;0.9758125000000009
52;41;1;0.0
53;41;1;0.0
54;41;1;0.6373124999999997
55;41;1;0.0
56;41;1;0.0
57;41;1;1.0369999999999993
58;41;1;0.0
59;41;1;0.0
1;42;1;1.1629375000000006
2;42;1;0.0
3;42;1;0.0
4;42;1;0.0
5;42;1;0.0
6;42;1;5.811562500000001
7;42;1;0.0
8;42;1;0.8496249999999996
9;42;1;0.0
10;42;1;0.0
11;42;1;0.0
12;42;1;0.0
13;42;1;0.0
14;42;1;0.0
15;42;1;0.0
16;42;1;0.0
17;42;1;0.0
18;42;1;0.0
19;42;1;9.098187499999998
20;42;1;1.1621874999999997
21;42;1;0.0
22;42;1;0.0
23;42;1;0.0
24;42;1;0.0
25;42;1;0.0
26;42;1;0.9749375000000011
27;42;1;0.0
28;42;1;0.0
29;42;1;1.1629375000000002
30;42;1;0.0
31;42;1;1.4744999999999973
32;42;1;0.0
33;42;1;0.0
34;42;1;0.0
35;42;1;1.1618750000000007
36;42;1;0.0
37;42;1;0.0
38;42;1;1.3496875000000017
39;42;1;1.2248125000000007
40;42;1;0.0
41;42;1;1.536625
42;42;1;0.0
43;42;1;0.0
44;42;1;0.0
45;42;1;1.1621875000000015
46;42;1;0.6624375000000002
47;42;1;0.0
48;42;1;0.0
49;42;1;1.5366249999999981
50;42;1;1.1620624999999993
51;42;1;1.1621249999999994
52;42;1;0.0
53;42;1;0.0
54;42;1;0.6373124999999997
55;42;1;0.0
56;42;1;0.0
57;42;1;1.2245624999999996
58;42;1;0.0
59;42;1;0.0
1;43;1;1.1630000000000007
2;43;1;0.0
3;43;1;0.0
4;43;1;0.0
5;43;1;0.0
6;43;1;5.811624999999999
7;43;1;0.0
8;43;1;0.8496874999999997
9;43;1;0.0
10;43;1;0.0
11;43;1;0.0
12;43;1;0.0
13;43;1;0.0
14;43;1;0.0
15;43;1;0.0
16;43;1;0.0
17;43;1;0.0
18;43;1;0.0
19;43;1;8.972687500000001
20;43;1;0.9747499999999998
21;43;1;0.0
22;43;1;0.0
23;43;1;0.0
24;43;1;0.0
25;43;1;0.0
26;43;1;0.9750000000000012
27;43;1;0.0
28;43;1;0.0
29;43;1;1.1630000000000007
30;43;1;0.0
31;43;1;1.4745624999999976
32;43;1;0.0
33;43;1;0.0
34;43;1;0.0
35;43;1;1.162
36;43;1;0.0
37;43;1;0.0
38;43;1;1.3497500000000016
39;43;1;1.2248750000000008
40;43;1;0.0
41;43;1;1.536687499999999
42;43;1;0.0
43;43;1;0.0
44;43;1;0.0
45;43;1;1.1622500000000016
46;43;1;0.6623749999999995
47;43;1;0.0
48;43;1;0.0
49;43;1;1.5366874999999984
50;43;1;1.1621249999999992
51;43;1;1.1621874999999993
52;43;1;0.0
53;43;1;0.0
54;43;1;0.6373124999999997
55;43;1;0.0
56;43;1;0.0
57;43;1;1.2246249999999996
58;43;1;0.0
59;43;1;0.0
1;44;1;1.1630625
2;44;1;0.0
3;44;1;0.0
4;44;1;0.0
5;44;1;0.0
6;44;1;5.811687500000001
7;44;1;0.0
8;44;1;0.8497499999999998
9;44;1;0.0
10;44;1;0.0
11;44;1;0.0
12;44;1;0.0
13;44;1;0.0
14;44;1;0.0
15;44;1;0.0
16;44;1;0.0
17;44;1;0.0
18;44;1;0.0
19;44;1;8.97275
20;44;1;0.9747499999999998
21;44;1;0.0
22;44;1;0.0
23;44;1;0.0
24;44;1;0.0
25;44;1;0.0
26;44;1;0.975062500000001
27;44;1;0.0
28;44;1;0.0
29;44;1;1.1630625000000006
30;44;1;0.0
31;44;1;1.4746249999999974
32;44;1;0.0
33;44;1;0.0
34;44;1;0.0
35;44;1;1.1000625000000004
36;44;1;0.0
37;44;1;0.0
38;44;1;1.3498125000000019
39;44;1;1.224937500000001
40;44;1;0.0
41;44;1;1.536749999999999
42;44;1;0.0
43;44;1;0.0
44;44;1;0.0
45;44;1;1.1623125000000016
46;44;1;0.6624374999999996
47;44;1;0.0
48;44;1;0.0
49;44;1;1.5367499999999987
50;44;1;0.9756250000000006
51;44;1;0.9756875000000007
52;44;1;0.0
53;44;1;0.0
54;44;1;0.6873125
55;44;1;0.0
56;44;1;0.0
57;44;1;1.2246874999999993
58;44;1;0.0
59;44;1;0.0
1;45;1;1.162375
2;45;1;0.0
3;45;1;0.0
4;45;1;0.0
5;45;1;0.0
6;45;1;5.81175
7;45;1;0.0
8;45;1;0.8498124999999999
9;45;1;0.0
10;45;1;0.0
11;45;1;0.0
12;45;1;0.0
13;45;1;0.0
14;45;1;0.0
15;45;1;0.0
16;45;1;0.0
17;45;1;0.0
18;45;1;0.0
19;45;1;8.972812500000002
20;45;1;1.0371874999999997
21;45;1;0.0
22;45;1;0.0
23;45;1;0.0
24;45;1;0.0
25;45;1;0.0
26;45;1;0.9751250000000011
27;45;1;0.0
28;45;1;0.0
29;45;1;1.1631250000000006
30;45;1;0.0
31;45;1;1.2247500000000018
32;45;1;0.0
33;45;1;0.0
34;45;1;0.0
35;45;1;1.037500000000001
36;45;1;0.0
37;45;1;0.0
38;45;1;1.3498750000000017
39;45;1;1.225000000000001
40;45;1;0.0
41;45;1;1.536812499999999
42;45;1;0.0
43;45;1;0.0
44;45;1;0.0
45;45;1;1.1623750000000017
46;45;1;0.8499999999999999
47;45;1;0.0
48;45;1;0.0
49;45;1;1.5368124999999986
50;45;1;1.0373750000000015
51;45;1;1.0374375000000016
52;45;1;0.0
53;45;1;0.0
54;45;1;0.7498750000000016
55;45;1;0.0
