;;;;0
1;1;41;1;0.0
1;1;41;2;0.0
1;1;169;1;0.0
1;1;169;2;0.0
1;1;42;1;0.0
1;1;42;2;0.0
1;1;170;1;0.0
1;1;170;2;0.0
1;1;43;1;0.0
1;1;43;2;0.0
1;1;171;1;0.0
1;1;171;2;0.0
1;1;44;1;0.0
1;1;44;2;0.0
1;1;172;1;0.0
1;1;172;2;0.0
1;1;45;1;0.0
1;1;45;2;0.0
1;1;173;1;0.0
1;1;173;2;0.0
1;1;46;1;0.0
1;1;46;2;0.0
1;1;174;1;0.0
1;1;174;2;0.0
1;1;47;1;0.0
1;1;47;2;0.0
1;1;175;1;0.0
1;1;175;2;0.0
1;1;48;1;0.0
1;1;48;2;0.0
1;1;176;1;0.0
1;1;176;2;0.0
1;1;49;1;0.0
1;1;49;2;0.0
1;1;177;1;0.0
1;1;177;2;0.0
1;1;50;1;0.0
1;1;50;2;0.0
1;1;178;1;0.0
1;1;178;2;0.0
1;1;51;1;0.0
1;1;51;2;0.0
1;1;179;1;0.0
1;1;179;2;0.0
1;1;52;1;0.0
1;1;52;2;0.0
1;1;180;1;0.0
1;1;180;2;0.0
1;1;53;1;0.0
1;1;53;2;0.0
1;1;181;1;0.0
1;1;181;2;0.0
1;1;54;1;0.0
1;1;54;2;0.0
1;1;182;1;0.0
1;1;182;2;0.0
1;1;55;1;0.0
1;1;55;2;0.0
1;1;183;1;0.0
1;1;183;2;0.0
1;1;56;1;0.0
1;1;56;2;0.0
1;1;184;1;0.0
1;1;184;2;0.0
1;1;57;1;0.0
1;1;57;2;0.0
1;1;185;1;0.0
1;1;185;2;0.0
1;1;58;1;0.0
1;1;58;2;0.0
1;1;186;1;0.0
1;1;186;2;0.0
1;1;59;1;0.0
1;1;59;2;0.0
1;1;187;1;0.0
1;1;187;2;0.0
1;1;60;1;0.0
1;1;60;2;0.0
1;1;188;1;0.0
1;1;188;2;0.0
1;1;61;1;0.0
1;1;61;2;0.0
1;1;189;1;0.0
1;1;189;2;0.0
1;1;62;1;0.0
1;1;62;2;0.0
1;1;190;1;0.0
1;1;190;2;0.0
1;1;63;1;0.0
1;1;63;2;0.0
1;1;191;1;0.0
1;1;191;2;0.0
1;1;64;1;0.0
1;1;64;2;0.0
1;1;192;1;0.0
1;1;192;2;0.0
1;1;65;1;0.0
1;1;65;2;0.0
1;1;193;1;0.0
1;1;193;2;0.0
1;1;66;1;0.0
1;1;66;2;0.0
1;1;194;1;0.0
1;1;194;2;0.0
1;1;67;1;0.0
1;1;67;2;0.0
1;1;195;1;0.0
1;1;195;2;0.0
1;1;68;1;0.0
1;1;68;2;0.0
1;1;196;1;0.0
1;1;196;2;0.0
1;1;69;1;0.0
1;1;69;2;0.0
1;1;197;1;0.0
1;1;197;2;0.0
1;1;70;1;0.0
1;1;70;2;0.0
1;1;198;1;0.0
1;1;198;2;0.0
1;1;71;1;0.0
1;1;71;2;0.0
1;1;199;1;0.0
1;1;199;2;0.0
1;1;72;1;0.0
1;1;72;2;0.0
1;1;200;1;0.0
1;1;200;2;0.0
1;1;73;1;0.0
1;1;73;2;0.0
1;1;201;1;0.0
1;1;201;2;0.0
1;1;74;1;0.0
1;1;74;2;0.0
1;1;202;1;0.0
1;1;202;2;0.0
1;1;75;1;0.0
1;1;75;2;0.0
1;1;203;1;0.0
1;1;203;2;0.0
1;1;76;1;0.0
1;1;76;2;0.0
1;1;204;1;0.0
1;1;204;2;0.0
1;1;77;1;0.0
1;1;77;2;0.0
1;1;205;1;0.0
1;1;205;2;0.0
1;1;78;1;0.0
1;1;78;2;0.0
1;1;206;1;0.0
1;1;206;2;0.0
1;1;79;1;0.0
1;1;79;2;0.0
1;1;207;1;0.0
1;1;207;2;0.0
1;1;80;1;0.0
1;1;80;2;0.0
1;1;208;1;0.0
1;1;208;2;0.0
1;1;81;1;0.0
1;1;81;2;0.0
1;1;209;1;0.0
1;1;209;2;0.0
1;1;82;1;0.0
1;1;82;2;0.0
1;1;210;1;0.0
1;1;210;2;0.0
1;1;83;1;0.0
1;1;83;2;0.0
1;1;211;1;0.0
1;1;211;2;0.0
1;1;84;1;0.0
1;1;84;2;0.0
1;1;212;1;0.0
1;1;212;2;0.0
1;1;85;1;0.0
1;1;85;2;0.0
1;1;213;1;0.0
1;1;213;2;0.0
1;1;86;1;0.0
1;1;86;2;0.0
1;1;214;1;0.0
1;1;214;2;0.0
1;1;87;1;0.0
1;1;87;2;0.0
1;1;215;1;0.0
1;1;215;2;0.0
1;1;88;1;0.0
