;;;;0
1;1;41;1;0.0
1;1;41;2;0.0
1;1;42;1;0.0
1;1;42;2;0.00016844531229708314
1;1;43;1;0.0
1;1;43;2;0.00040364742387706385
1;1;44;1;0.0
1;1;44;2;0.0
1;1;45;1;0.0002050804231803664
1;1;45;2;0.00033463410342074305
1;1;46;1;0.0
1;1;46;2;0.0
1;1;47;1;0.000265182698772903
1;1;47;2;0.00034033490397545804
1;1;48;1;0.0003238750735417718
1;1;48;2;0.00029880704740292496
1;1;49;1;0.0
1;1;49;2;0.0
1;1;50;1;0.0
1;1;50;2;2.163625189107414e-05
1;1;51;1;0.0
1;1;51;2;0.00018697286308623295
1;1;52;1;0.0
1;1;52;2;0.0
1;1;53;1;0.0
1;1;53;2;0.0
1;1;54;1;0.0
1;1;54;2;0.0003013384602454195
1;1;55;1;0.00036374416918809885
1;1;55;2;0.00022689974155320228
1;1;56;1;0.0003775240323585514
1;1;56;2;0.00021467631114472995
1;1;57;1;0.0
1;1;57;2;0.0
1;1;58;1;0.0
1;1;58;2;0.0
1;1;59;1;0.0
1;1;59;2;0.0002160130641704488
1;1;60;1;0.0
1;1;60;2;0.0
1;1;61;1;0.0
1;1;61;2;0.0
1;1;62;1;0.0
1;1;62;2;0.0002530959772650866
1;1;63;1;0.00027296042663954497
1;1;63;2;0.0003140715613968734
1;1;64;1;0.0002632150335218267
1;1;64;2;0.00037063687174315003
1;1;65;1;0.00020138661398824275
1;1;65;2;0.0
1;1;66;1;0.0
1;1;66;2;0.0
1;1;67;1;0.0
1;1;67;2;0.00024245645276517062
1;1;68;1;0.0
1;1;68;2;0.0
1;1;69;1;0.0
1;1;69;2;0.00035844758572869403
1;1;70;1;0.0
1;1;70;2;0.0
1;1;71;1;0.00021799738936029912
1;1;71;2;0.0003060263542191966
1;1;72;1;0.00032471991642789115
1;1;72;2;0.0002525786896957469
1;1;73;1;0.0
1;1;73;2;0.00023366826089489816
1;1;74;1;0.0
1;1;74;2;0.0
1;1;75;1;0.0
1;1;75;2;0.0003082462152775678
1;1;76;1;0.0
1;1;76;2;0.0
1;1;77;1;0.0
1;1;77;2;0.0002952580002941671
1;1;78;1;0.0
1;1;78;2;0.0
1;1;79;1;0.00022062071881828884
1;1;79;2;0.00021705643805681627
1;1;80;1;0.00026390779963018983
1;1;80;2;0.00030218602916456537
1;1;81;1;0.00031875274381428447
1;1;81;2;0.0
1;1;82;1;0.0
1;1;82;2;0.00032046995818624984
1;1;83;1;0.0
1;1;83;2;0.00020401787590351326
1;1;84;1;0.0
1;1;84;2;0.0
1;1;85;1;0.0
1;1;85;2;0.00027098435661455705
1;1;86;1;0.0
1;1;86;2;0.0
1;1;87;1;0.0002801458640970254
1;1;87;2;0.00023003761136325429
1;1;88;1;0.00022566883614893264
1;1;88;2;0.00021764968428545392
1;1;89;1;0.0
1;1;89;2;0.0
1;1;90;1;0.0
1;1;90;2;0.0
1;1;91;1;0.0
1;1;91;2;0.00039844800596738954
1;1;92;1;0.0
1;1;92;2;0.0
1;1;93;1;0.0
1;1;93;2;0.0
1;1;94;1;0.0
1;1;94;2;0.00023330168410657244
1;1;95;1;0.00021616513804841145
1;1;95;2;0.00024498038010590015
1;1;96;1;0.00021089810262228973
1;1;96;2;0.00038004233904857977
1;1;97;1;0.0
1;1;97;2;0.0
1;1;98;1;0.0
1;1;98;2;0.000353106483232476
1;1;99;1;0.0
1;1;99;2;0.0003115970328937388
1;1;100;1;0.0
1;1;100;2;3.863199719535192e-05
1;1;101;1;0.0
1;1;101;2;0.00038211109535216006
1;1;102;1;0.0
1;1;102;2;0.0
1;1;103;1;0.00037131949697428144
1;1;103;2;0.00028089332240712725
1;1;104;1;0.0002931638983442596
1;1;104;2;0.0002551215277777776
1;1;105;1;0.0003457030593377038
1;1;105;2;0.0
1;1;106;1;0.0
1;1;106;2;0.0
1;1;107;1;0.0
1;1;107;2;0.000380046410110943
1;1;108;1;0.0
1;1;108;2;0.0
1;1;109;1;0.0
1;1;109;2;0.0003117874327618086
1;1;110;1;0.0
1;1;110;2;0.0
1;1;111;1;0.00033193393847705493
1;1;111;2;0.00036637486342242393
1;1;112;1;0.00023442897440746347
1;1;112;2;0.00036729255967389503
1;1;113;1;0.0
1;1;113;2;0.0
1;1;114;1;0.0
1;1;114;2;0.0003206997762228946
1;1;115;1;0.0
1;1;115;2;0.0
1;1;116;1;0.0
1;1;116;2;0.0
1;1;117;1;0.0
1;1;117;2;0.0003462952019246931
1;1;118;1;0.0
1;1;118;2;0.0
