;;;;0
1;1;1;1;0.0
1;1;1;2;0.0
1;1;2;1;0.0
1;1;2;2;0.0
1;1;3;1;0.0
1;1;3;2;0.0
1;1;4;1;0.00030839137880315994
1;1;4;2;0.0002311064622205412
1;1;5;1;0.0
1;1;5;2;0.0
1;1;6;1;0.0
1;1;6;2;0.0
1;1;7;1;0.0
1;1;7;2;0.0
1;1;8;1;0.0
1;1;8;2;0.0
1;2;1;1;0.0
1;2;1;2;0.0
1;2;2;1;0.0
1;2;2;2;0.0
1;2;3;1;0.0
1;2;3;2;0.0
1;2;4;1;0.0
1;2;4;2;0.00020119268994789032
1;2;5;1;0.0
1;2;5;2;0.0
1;2;6;1;0.0
1;2;6;2;0.0
1;2;7;1;0.0
1;2;7;2;0.0
1;2;8;1;0.0
1;2;8;2;0.0
1;3;1;1;0.0
1;3;1;2;0.0
1;3;2;1;0.0
1;3;2;2;0.0
1;3;3;1;0.0
1;3;3;2;0.0
1;3;4;1;0.0
1;3;4;2;0.0002593710602622287
1;3;5;1;0.0
1;3;5;2;0.0
1;3;6;1;0.0
1;3;6;2;0.0
1;3;7;1;0.0
1;3;7;2;0.0
1;3;8;1;0.0
1;3;8;2;0.0
1;4;1;1;0.0
1;4;1;2;0.0
1;4;2;1;0.0
1;4;2;2;0.0
1;4;3;1;0.0
1;4;3;2;0.0
1;4;4;1;0.0
1;4;4;2;0.00033030026054799155
1;4;5;1;0.0
1;4;5;2;0.0
1;4;6;1;0.0
1;4;6;2;0.0
1;4;7;1;0.0
1;4;7;2;0.0
1;4;8;1;0.0
1;4;8;2;0.0
1;5;1;1;0.0
1;5;1;2;0.0
1;5;2;1;0.0
1;5;2;2;0.0
1;5;3;1;0.0
1;5;3;2;0.0
1;5;4;1;0.0
1;5;4;2;0.00036057714531854084
1;5;5;1;0.0
1;5;5;2;0.0
1;5;6;1;0.0
1;5;6;2;0.0
1;5;7;1;0.0
1;5;7;2;0.0
1;5;8;1;0.0
1;5;8;2;0.0
1;6;1;1;0.0
1;6;1;2;0.0
1;6;2;1;0.0
1;6;2;2;0.0
1;6;3;1;0.0
1;6;3;2;0.0
1;6;4;1;0.0
1;6;4;2;0.00026679956715414317
1;6;5;1;0.0
1;6;5;2;0.0
1;6;6;1;0.0
1;6;6;2;0.0
1;6;7;1;0.0
1;6;7;2;0.0
1;6;8;1;0.0
1;6;8;2;0.0
1;7;1;1;0.0
1;7;1;2;0.0
1;7;2;1;0.0
1;7;2;2;0.0
1;7;3;1;0.0
1;7;3;2;0.0
1;7;4;1;0.0
1;7;4;2;0.0003975829708774583
1;7;5;1;0.0
1;7;5;2;0.0
1;7;6;1;0.0
1;7;6;2;0.0
1;7;7;1;0.0
1;7;7;2;0.0
1;7;8;1;0.0
1;7;8;2;0.0
1;8;1;1;0.00028341462325600936
1;8;1;2;0.0
1;8;2;1;0.0002247535037401244
1;8;2;2;0.0
1;8;3;1;0.00029934600353000504
1;8;3;2;0.0
1;8;4;1;0.0002819399794083039
1;8;4;2;0.00020883814506639773
1;8;5;1;0.0003182860302151622
1;8;5;2;0.0
1;8;6;1;0.00021966401916288453
1;8;6;2;0.0
1;8;7;1;0.0003030406896116995
1;8;7;2;0.0
1;8;8;1;0.0003273953605648008
1;8;8;2;0.0
1;9;1;1;0.0
1;9;1;2;0.0
1;9;2;1;0.0
1;9;2;2;0.0
1;9;3;1;0.0
1;9;3;2;0.0
1;9;4;1;0.0
1;9;4;2;0.0
1;9;5;1;0.0
1;9;5;2;0.0
1;9;6;1;0.0
1;9;6;2;0.0
1;9;7;1;0.0
1;9;7;2;0.0
1;9;8;1;0.0
1;9;8;2;0.0
1;10;1;1;0.00024383391641452342
1;10;1;2;0.0
1;10;2;1;0.00047996656475878305
1;10;2;2;0.0
1;10;3;1;0.0003532718208942679
1;10;3;2;0.0
1;10;4;1;0.0003715407789124223
1;10;4;2;0.0
1;10;5;1;0.0003093055292906371
1;10;5;2;0.0
1;10;6;1;0.00033791800617750885
1;10;6;2;0.0
1;10;7;1;0.0003368248602706342
1;10;7;2;0.0
1;10;8;1;0.00032902470478231636
1;10;8;2;0.0
1;11;1;1;0.0
1;11;1;2;0.0
1;11;2;1;0.0
1;11;2;2;0.0
1;11;3;1;0.0
1;11;3;2;0.0
1;11;4;1;0.0002038743381240545
1;11;4;2;0.0
1;11;5;1;0.0
1;11;5;2;0.0
1;11;6;1;0.0
1;11;6;2;0.0
1;11;7;1;0.0
1;11;7;2;0.0
1;11;8;1;0.0
1;11;8;2;0.0
1;12;1;1;0.0
1;12;1;2;0.0
1;12;2;1;0.0
1;12;2;2;0.0
1;12;3;1;0.0
1;12;3;2;0.0
1;12;4;1;0.0003067538924609178
1;12;4;2;0.0
1;12;5;1;0.0
1;12;5;2;0.0
1;12;6;1;0.0
1;12;6;2;0.0
1;12;7;1;0.0
1;12;7;2;0.0
1;12;8;1;0.0
1;12;8;2;0.0
1;13;1;1;0.0
1;13;1;2;0.0
1;13;2;1;0.0
1;13;2;2;0.0
1;13;3;1;0.0
1;13;3;2;0.0
1;13;4;1;0.0002573185882081022
1;13;4;2;0.0
1;13;5;1;0.0
1;13;5;2;0.0
1;13;6;1;0.0
1;13;6;2;0.0
1;13;7;1;0.0
1;13;7;2;0.0
1;13;8;1;0.0
1;13;8;2;0.0
1;14;1;1;0.0
1;14;1;2;0.0
1;14;2;1;0.0
1;14;2;2;0.0
1;14;3;1;0.0
1;14;3;2;0.0
1;14;4;1;0.0003304493139603295
1;14;4;2;0.0
1;14;5;1;0.0
1;14;5;2;0.0
1;14;6;1;0.0
1;14;6;2;0.0
1;14;7;1;0.0
1;14;7;2;0.0
1;14;8;1;0.0
1;14;8;2;0.0
1;15;1;1;0.0
1;15;1;2;0.0
1;15;2;1;0.0
1;15;2;2;0.0
1;15;3;1;0.0
1;15;3;2;0.0
1;15;4;1;0.00026990119137670194
1;15;4;2;0.0
1;15;5;1;0.0
1;15;5;2;0.0
1;15;6;1;0.0
1;15;6;2;0.0
1;15;7;1;0.0
1;15;7;2;0.0
1;15;8;1;0.0
1;15;8;2;0.0
1;16;1;1;0.0
1;16;1;2;0.0
1;16;2;1;0.0
1;16;2;2;0.0
1;16;3;1;0.0
1;16;3;2;0.0
1;16;4;1;0.0
1;16;4;2;0.0
1;16;5;1;0.0
1;16;5;2;0.0
1;16;6;1;0.0
1;16;6;2;0.0
1;16;7;1;0.0
1;16;7;2;0.0
1;16;8;1;0.0
1;16;8;2;0.0
1;17;1;1;0.0
1;17;1;2;0.0
1;17;2;1;0.0
1;17;2;2;0.0
1;17;3;1;0.0
1;17;3;2;0.0
1;17;4;1;0.0
1;17;4;2;0.0
1;17;5;1;0.0
1;17;5;2;0.0
1;17;6;1;0.0
1;17;6;2;0.0
1;17;7;1;0.0
1;17;7;2;0.0
1;17;8;1;0.0
1;17;8;2;0.0
1;18;1;1;0.0
1;18;1;2;0.0
1;18;2;1;0.0
1;18;2;2;0.0
1;18;3;1;0.0
1;18;3;2;0.0
1;18;4;1;0.0
1;18;4;2;0.0
1;18;5;1;0.0
1;18;5;2;0.0
1;18;6;1;0.0
1;18;6;2;0.0
1;18;7;1;0.0
1;18;7;2;0.0
1;18;8;1;0.0
1;18;8;2;0.0
1;19;1;1;0.00028972884098167764
1;19;1;2;0.0
1;19;2;1;0.00021976067406286772
1;19;2;2;0.0
1;19;3;1;0.0003627312626071609
1;19;3;2;0.0
1;19;4;1;0.0
1;19;4;2;0.0
1;19;5;1;0.00030902029227601276
1;19;5;2;0.0
1;19;6;1;0.0003473628708606489
1;19;6;2;0.0
1;19;7;1;0.0005647822900907715
1;19;7;2;0.0
1;19;8;1;0.00039105653261052283
1;19;8;2;0.0
1;20;1;1;0.00020430271894436038
1;20;1;2;0.0
1;20;2;1;0.00036976829088922506
1;20;2;2;0.0
1;20;3;1;0.0005041682425617756
1;20;3;2;0.0
1;20;4;1;0.0
1;20;4;2;0.0
1;20;5;1;0.0003235380946377543
1;20;5;2;0.0
1;20;6;1;0.00045040789418389603
1;20;6;2;0.0
1;20;7;1;0.0002040134108673727
1;20;7;2;0.0
1;20;8;1;0.0002007209720121027
1;20;8;2;0.0
1;21;1;1;0.0003976864546562448
1;21;1;2;0.0
1;21;2;1;0.0002716925901412002
1;21;2;2;0.0
1;21;3;1;0.00036779829067910575
1;21;3;2;0.0
1;21;4;1;0.0
1;21;4;2;0.0
1;21;5;1;0.0002895301468734241
1;21;5;2;0.0
1;21;6;1;0.0004067133131618759
1;21;6;2;0.0
1;21;7;1;0.0003845412569339385
1;21;7;2;0.0
1;21;8;1;0.0006204031139687342
1;21;8;2;0.0
1;22;1;1;0.0002876139897461758
1;22;1;2;0.0
1;22;2;1;0.0002715740040342917
1;22;2;2;0.0
1;22;3;1;0.0003588409028828374
1;22;3;2;0.0
1;22;4;1;0.0
1;22;4;2;0.0
1;22;5;1;0.00035614861741469156
1;22;5;2;0.0
1;22;6;1;0.00036574266683476217
1;22;6;2;0.0
1;22;7;1;0.0003672526369978148
1;22;7;2;0.0
1;22;8;1;0.0005107251481341402
1;22;8;2;0.0
1;23;1;1;0.00038955470457219694
1;23;1;2;0.0
1;23;2;1;0.0003695284921835603
1;23;2;2;0.0
1;23;3;1;0.0003714646106488486
1;23;3;2;0.0
1;23;4;1;0.0
1;23;4;2;0.0
1;23;5;1;0.000327530493570348
1;23;5;2;0.0
1;23;6;1;0.00031498347936628003
1;23;6;2;0.0
1;23;7;1;0.00022662973819129265
1;23;7;2;0.0
1;23;8;1;0.0004858643522020507
1;23;8;2;0.0
1;24;1;1;0.0
1;24;1;2;0.0
1;24;2;1;0.0
1;24;2;2;0.0
1;24;3;1;0.0
1;24;3;2;0.0
1;24;4;1;0.0
1;24;4;2;0.0
1;24;5;1;0.0
1;24;5;2;0.0
1;24;6;1;0.0
1;24;6;2;0.0
1;24;7;1;0.0
1;24;7;2;0.0
1;24;8;1;0.0
1;24;8;2;0.0
1;25;1;1;0.0
1;25;1;2;0.0
1;25;2;1;0.0
1;25;2;2;0.0
1;25;3;1;0.0
1;25;3;2;0.0
1;25;4;1;0.0
1;25;4;2;0.0
1;25;5;1;0.0
1;25;5;2;0.0
1;25;6;1;0.0
1;25;6;2;0.0
1;25;7;1;0.0
1;25;7;2;0.0
1;25;8;1;0.0
1;25;8;2;0.0
1;26;1;1;0.00045393921247268446
1;26;1;2;0.0
1;26;2;1;0.00012124030824508326
1;26;2;2;0.0
1;26;3;1;0.0
1;26;3;2;0.0
1;26;4;1;0.0002026440893427467
1;26;4;2;0.0
1;26;5;1;0.0
1;26;5;2;0.0
1;26;6;1;0.0
1;26;6;2;0.0
1;26;7;1;0.00012359548348461974
1;26;7;2;0.0
1;26;8;1;0.0
1;26;8;2;0.0
1;27;1;1;0.0004593458459404941
1;27;1;2;0.0
1;27;2;1;0.0
1;27;2;2;0.0
1;27;3;1;0.0
1;27;3;2;0.0
1;27;4;1;0.0003237596392250799
1;27;4;2;0.0
1;27;5;1;0.0
1;27;5;2;0.0
1;27;6;1;0.0
1;27;6;2;0.0
1;27;7;1;0.00020810614178853588
1;27;7;2;0.0
1;27;8;1;0.0
1;27;8;2;0.0
1;28;1;1;0.000569405047066734
1;28;1;2;0.0
1;28;2;1;0.0
1;28;2;2;0.0
1;28;3;1;0.0002423531003109772
1;28;3;2;0.0
1;28;4;1;0.00026273638426626325
1;28;4;2;0.0
1;28;5;1;0.0
1;28;5;2;0.0
1;28;6;1;6.406263132459193e-05
1;28;6;2;0.0
1;28;7;1;0.0
1;28;7;2;0.0
1;28;8;1;0.0
1;28;8;2;0.0
1;29;1;1;0.0
1;29;1;2;0.0
1;29;2;1;0.0
1;29;2;2;0.0
1;29;3;1;0.0
1;29;3;2;0.0
1;29;4;1;0.00020534399163724996
1;29;4;2;0.0
1;29;5;1;0.0
1;29;5;2;0.0
1;29;6;1;5.022469637754241e-05
1;29;6;2;0.0
1;29;7;1;0.0
1;29;7;2;0.0
1;29;8;1;0.0002240237329803328
1;29;8;2;0.0
1;30;1;1;0.00045148409921835634
1;30;1;2;0.0
1;30;2;1;4.480650634560454e-05
1;30;2;2;0.0
1;30;3;1;0.0
1;30;3;2;0.0
1;30;4;1;0.00030980705790889225
1;30;4;2;0.0
1;30;5;1;0.0
1;30;5;2;0.0
1;30;6;1;0.0
1;30;6;2;0.0
1;30;7;1;0.0
1;30;7;2;0.0
1;30;8;1;0.00021268083396369132
1;30;8;2;0.0
