;;;;0
1;1;1;1;0.0
1;1;1;2;0.0
1;1;2;1;0.0
1;1;2;2;0.0
1;1;3;1;0.0
1;1;3;2;0.0
1;1;4;1;0.0
1;1;4;2;0.0
1;1;5;1;0.0
1;1;5;2;0.0
1;1;6;1;0.0
1;1;6;2;0.0
1;1;7;1;0.0
1;1;7;2;0.0
1;1;8;1;0.0
1;1;8;2;0.0
1;2;1;1;0.0
1;2;1;2;0.0
1;2;2;1;0.0
1;2;2;2;0.0
1;2;3;1;0.0
1;2;3;2;0.0
1;2;4;1;0.0
1;2;4;2;0.0
1;2;5;1;0.0
1;2;5;2;0.0
1;2;6;1;0.0
1;2;6;2;0.0
1;2;7;1;0.0
1;2;7;2;0.0
1;2;8;1;0.0
1;2;8;2;0.0
1;3;1;1;0.0
1;3;1;2;0.0
1;3;2;1;0.0
1;3;2;2;0.0
1;3;3;1;0.0
1;3;3;2;0.0
1;3;4;1;0.0
1;3;4;2;0.0
1;3;5;1;0.0
1;3;5;2;0.0
1;3;6;1;0.0
1;3;6;2;0.0
1;3;7;1;0.0
1;3;7;2;0.0
1;3;8;1;0.0
1;3;8;2;0.0
1;4;1;1;0.0
1;4;1;2;0.0
1;4;2;1;0.0
1;4;2;2;0.0
1;4;3;1;0.0
1;4;3;2;0.0
1;4;4;1;0.0
1;4;4;2;0.0
1;4;5;1;0.0
1;4;5;2;0.0
1;4;6;1;0.0
1;4;6;2;0.0
1;4;7;1;0.0
1;4;7;2;0.0
1;4;8;1;0.0
1;4;8;2;0.0
1;5;1;1;0.0
1;5;1;2;0.0
1;5;2;1;0.0
1;5;2;2;0.0
1;5;3;1;0.0
1;5;3;2;0.0
1;5;4;1;0.0
1;5;4;2;0.0
1;5;5;1;0.0
1;5;5;2;0.0
1;5;6;1;0.0
1;5;6;2;0.0
1;5;7;1;0.0
1;5;7;2;0.0
1;5;8;1;0.0
1;5;8;2;0.0
1;6;1;1;0.0
1;6;1;2;0.0
1;6;2;1;0.0
1;6;2;2;0.0
1;6;3;1;0.0
1;6;3;2;0.0
1;6;4;1;0.0
1;6;4;2;0.0
1;6;5;1;0.0
1;6;5;2;0.0
1;6;6;1;0.0
1;6;6;2;0.0
1;6;7;1;0.0
1;6;7;2;0.0
1;6;8;1;0.0
1;6;8;2;0.0
1;7;1;1;0.0
1;7;1;2;0.0
1;7;2;1;0.0
1;7;2;2;0.0
1;7;3;1;0.0
1;7;3;2;0.0
1;7;4;1;0.0
1;7;4;2;0.0
1;7;5;1;0.0
1;7;5;2;0.0
1;7;6;1;0.0
1;7;6;2;0.0
1;7;7;1;0.0
1;7;7;2;0.0
1;7;8;1;0.0
1;7;8;2;0.0
1;8;1;1;0.0
1;8;1;2;0.0
1;8;2;1;0.0
1;8;2;2;0.0
1;8;3;1;0.0
1;8;3;2;0.0
1;8;4;1;0.0
1;8;4;2;0.0
1;8;5;1;0.0
1;8;5;2;0.0
1;8;6;1;0.0
1;8;6;2;0.0
1;8;7;1;0.0
1;8;7;2;0.0
1;8;8;1;0.0
1;8;8;2;0.0
1;9;1;1;7.773619152687909e-05
1;9;1;2;0.0
1;9;2;1;0.0003243058182047403
1;9;2;2;0.0
1;9;3;1;0.00030738123003866196
1;9;3;2;0.0
1;9;4;1;0.0007912692852609859
1;9;4;2;0.0
1;9;5;1;0.0003385823772903009
1;9;5;2;0.0
1;9;6;1;0.00039992737750042025
1;9;6;2;0.0
1;9;7;1;0.00029485483379559593
1;9;7;2;0.0
1;9;8;1;0.00023180991760679662
1;9;8;2;0.0
1;10;1;1;0.0
1;10;1;2;0.0
1;10;2;1;0.0
1;10;2;2;0.0
1;10;3;1;0.0
1;10;3;2;0.0
1;10;4;1;6.23007754683158e-05
1;10;4;2;0.0
1;10;5;1;0.0
1;10;5;2;0.0
1;10;6;1;0.0
1;10;6;2;0.0
1;10;7;1;0.0
1;10;7;2;0.0
1;10;8;1;0.0005625727538241723
1;10;8;2;0.0
1;11;1;1;2.7062058749369525e-05
1;11;1;2;0.0
1;11;2;1;0.0
1;11;2;2;0.0
1;11;3;1;0.0
1;11;3;2;0.0
1;11;4;1;0.0
1;11;4;2;0.0
1;11;5;1;0.0
1;11;5;2;0.0
1;11;6;1;0.0
1;11;6;2;0.0
1;11;7;1;0.0
1;11;7;2;0.0
1;11;8;1;0.0005699643585056313
1;11;8;2;0.0
1;12;1;1;0.0
1;12;1;2;0.0
1;12;2;1;0.0
1;12;2;2;0.0
1;12;3;1;0.0
1;12;3;2;0.0
1;12;4;1;9.347290511010225e-05
1;12;4;2;0.0
1;12;5;1;0.0
1;12;5;2;0.0
1;12;6;1;0.0
1;12;6;2;0.0
1;12;7;1;0.0
1;12;7;2;0.0
1;12;8;1;0.0004615953048831739
1;12;8;2;0.0
1;13;1;1;0.0
1;13;1;2;0.0
1;13;2;1;0.0
1;13;2;2;0.0
1;13;3;1;0.0
1;13;3;2;0.0
1;13;4;1;2.9324865475495693e-05
1;13;4;2;0.0
1;13;5;1;0.0
1;13;5;2;0.0
1;13;6;1;0.0
1;13;6;2;0.0
1;13;7;1;0.0
1;13;7;2;0.0
1;13;8;1;0.0005961181763741805
1;13;8;2;0.0
1;14;1;1;0.0
1;14;1;2;0.0
1;14;2;1;0.0
1;14;2;2;0.0
1;14;3;1;0.0
1;14;3;2;0.0
1;14;4;1;0.00014493336645676844
1;14;4;2;0.0
1;14;5;1;0.0
1;14;5;2;0.0
1;14;6;1;0.0
1;14;6;2;0.0
1;14;7;1;0.0
1;14;7;2;0.0
1;14;8;1;0.00046445686719594637
1;14;8;2;0.0
1;15;1;1;0.0
1;15;1;2;0.0
1;15;2;1;0.0
1;15;2;2;0.0
1;15;3;1;0.0
1;15;3;2;0.0
1;15;4;1;0.0
1;15;4;2;0.0
1;15;5;1;0.0
1;15;5;2;0.0
1;15;6;1;0.0
1;15;6;2;0.0
1;15;7;1;0.0
1;15;7;2;0.0
1;15;8;1;0.0005220759019975517
1;15;8;2;0.0
1;16;1;1;0.0
1;16;1;2;0.0
1;16;2;1;0.0
1;16;2;2;0.0
1;16;3;1;0.0
1;16;3;2;0.0
1;16;4;1;0.0005571028285968893
1;16;4;2;0.0
1;16;5;1;0.0
1;16;5;2;0.0
1;16;6;1;0.0
1;16;6;2;0.0
1;16;7;1;0.0
1;16;7;2;0.0
1;16;8;1;0.0
1;16;8;2;0.0
1;17;1;1;0.0
1;17;1;2;0.0
1;17;2;1;0.0
1;17;2;2;0.0
1;17;3;1;0.0
1;17;3;2;0.0
1;17;4;1;0.00010675882353439192
1;17;4;2;0.0
1;17;5;1;0.0
1;17;5;2;0.0
1;17;6;1;0.0
1;17;6;2;0.0
1;17;7;1;0.0
1;17;7;2;0.0
1;17;8;1;0.00034730477493575944
1;17;8;2;0.0
1;18;1;1;0.00033194680828710707
1;18;1;2;0.0
1;18;2;1;0.0002905418715330308
1;18;2;2;0.0
1;18;3;1;0.0003533127941670869
1;18;3;2;0.0
1;18;4;1;0.0003537325568387928
1;18;4;2;0.0
1;18;5;1;0.00027437292507144056
1;18;5;2;0.0
1;18;6;1;0.0004568842977811398
1;18;6;2;0.0
1;18;7;1;0.0002514093262503119
1;18;7;2;0.0
1;18;8;1;0.00048975392397882
1;18;8;2;0.0
1;19;1;1;0.00046000562069255344
1;19;1;2;0.0
1;19;2;1;0.00021194554757102035
1;19;2;2;0.0
1;19;3;1;0.00020933862308791397
1;19;3;2;0.0
1;19;4;1;0.00044781759079270955
1;19;4;2;0.0
1;19;5;1;0.00040947808980475
1;19;5;2;0.0
1;19;6;1;0.00035703781622961844
1;19;6;2;0.0
1;19;7;1;6.379105206757435e-05
1;19;7;2;0.0
1;19;8;1;0.0002472192017565978
1;19;8;2;0.0
1;20;1;1;0.0005985296898638427
1;20;1;2;0.0
1;20;2;1;0.00038641906728021513
1;20;2;2;0.0
1;20;3;1;0.00031996467286731205
1;20;3;2;0.0
1;20;4;1;0.00038403823203256125
1;20;4;2;0.0
1;20;5;1;0.00030241348335854765
1;20;5;2;0.0
1;20;6;1;0.00037040639708354345
1;20;6;2;0.0
1;20;7;1;0.00010489748802319717
1;20;7;2;0.0
1;20;8;1;0.00037634712766851575
1;20;8;2;0.0
1;21;1;1;0.00039536017082702975
1;21;1;2;0.0
1;21;2;1;0.00021977485711884354
1;21;2;2;0.0
1;21;3;1;0.00047096505189947924
1;21;3;2;0.0
1;21;4;1;0.0002936561809860905
1;21;4;2;0.0
1;21;5;1;0.0003688571608673727
1;21;5;2;0.0
1;21;6;1;0.0004954166404017482
1;21;6;2;0.0
1;21;7;1;0.0002362605910779507
1;21;7;2;0.0
1;21;8;1;0.0002103074046058161
1;21;8;2;0.0
1;22;1;1;0.0002527755452597075
1;22;1;2;0.0
1;22;2;1;0.000290140280929568
1;22;2;2;0.0
1;22;3;1;0.0003464793190031938
1;22;3;2;0.0
1;22;4;1;0.000463049593975029
1;22;4;2;0.0
1;22;5;1;0.00036192506093461085
1;22;5;2;0.0
1;22;6;1;0.00019802553475374
1;22;6;2;0.0
1;22;7;1;0.0006175394499075475
1;22;7;2;0.0
1;22;8;1;0.00037535942836838495
1;22;8;2;0.0
1;23;1;1;0.00022379032626546036
1;23;1;2;0.0
1;23;2;1;0.0003932786760379896
1;23;2;2;0.0
1;23;3;1;0.00023196755757270133
1;23;3;2;0.0
1;23;4;1;0.0007355000700931488
1;23;4;2;0.0
1;23;5;1;0.00034725124495713566
1;23;5;2;0.0
1;23;6;1;0.0003524040279878971
1;23;6;2;0.0
1;23;7;1;0.0002483941628845184
1;23;7;2;0.0
1;23;8;1;0.0002885582135653051
1;23;8;2;0.0
1;24;1;1;5.293182152462601e-05
1;24;1;2;0.0
1;24;2;1;0.0003133165763153471
1;24;2;2;0.0
1;24;3;1;0.0003931453815767356
1;24;3;2;0.0
1;24;4;1;0.0008685272863336762
1;24;4;2;0.0
1;24;5;1;0.00032879619999159524
1;24;5;2;0.0
1;24;6;1;0.0002897119001092621
1;24;6;2;0.0
1;24;7;1;0.00020045016786030603
1;24;7;2;0.0
1;24;8;1;0.00015518246238863676
1;24;8;2;0.0
1;25;1;1;7.490417669245311e-05
1;25;1;2;0.0
1;25;2;1;0.00020375627731551523
1;25;2;2;0.0
1;25;3;1;0.00022164150487476885
1;25;3;2;0.0
1;25;4;1;0.0004928235119088242
1;25;4;2;0.0
1;25;5;1;0.0002387586148932594
1;25;5;2;0.0
1;25;6;1;0.00038860299525130275
1;25;6;2;0.0
1;25;7;1;0.000548250493683615
1;25;7;2;0.0
1;25;8;1;0.00046643889936843726
1;25;8;2;0.0
1;26;1;1;0.0003617029910489158
1;26;1;2;0.0
1;26;2;1;0.0003818182415111783
1;26;2;2;0.0
1;26;3;1;0.00030864444129265423
1;26;3;2;0.0
1;26;4;1;0.0006475088217577568
1;26;4;2;0.0
1;26;5;1;0.0003853288105143722
1;26;5;2;0.0
1;26;6;1;0.0003050827870230291
1;26;6;2;0.0
1;26;7;1;0.0001229716423958826
1;26;7;2;0.0
1;26;8;1;0.00022141247478567826
1;26;8;2;0.0
1;27;1;1;0.0003902544020003362
1;27;1;2;0.0
1;27;2;1;0.0003963402462598756
1;27;2;2;0.0
1;27;3;1;0.00020227033955286602
1;27;3;2;0.0
1;27;4;1;0.0007948988257630374
1;27;4;2;0.0
1;27;5;1;0.00028425365607665155
1;27;5;2;0.0
1;27;6;1;0.0002819292107917297
1;27;6;2;0.0
1;27;7;1;7.35835329467137e-05
1;27;7;2;0.0
1;27;8;1;0.0003974207850058833
1;27;8;2;0.0
1;28;1;1;0.0002197566030005043
1;28;1;2;0.0
1;28;2;1;0.0002678676300638763
1;28;2;2;0.0
1;28;3;1;0.00037550021537233153
1;28;3;2;0.0
1;28;4;1;0.0006257429007816267
1;28;4;2;0.0
1;28;5;1;0.00033618386493528327
1;28;5;2;0.0
1;28;6;1;0.00031456836232980336
1;28;6;2;0.0
1;28;7;1;0.00026217759812573546
1;28;7;2;0.0
1;28;8;1;0.00020204840099176334
1;28;8;2;0.0
1;29;1;1;0.00022426129916792737
1;29;1;2;0.0
1;29;2;1;0.00028812799420070603
1;29;2;2;0.0
1;29;3;1;0.00021576052697932425
1;29;3;2;0.0
1;29;4;1;0.0006806552799528268
1;29;4;2;0.0
1;29;5;1;0.00028417630589174653
1;29;5;2;0.0
1;29;6;1;0.00032377382228105566
1;29;6;2;0.0
1;29;7;1;0.00023107405762695052
1;29;7;2;0.0
