;;;0
1;1;1;23.970863012696626
1;1;2;2.9399228622763723e-14
1;2;1;23.970863012692163
1;2;2;2.9399228622763723e-14
1;3;1;23.97086301269279
1;3;2;2.9399228622763723e-14
1;4;1;23.9708630126895
1;4;2;2.9399228622763723e-14
1;5;1;23.97086301269055
1;5;2;2.9399228622763723e-14
1;6;1;23.97086301268945
1;6;2;2.9399228622763723e-14
1;7;1;23.970863012691456
1;7;2;2.9399228622763723e-14
1;8;1;23.97086301269196
1;8;2;2.9399228622763723e-14
1;9;1;3.8038053749493047e-10
1;9;2;0.0
1;10;1;3.8117990441079637e-10
1;10;2;0.0
1;11;1;3.811658541514633e-10
1;11;2;0.0
1;12;1;3.8248970478162206e-10
1;12;2;0.0
1;13;1;3.832196955267294e-10
1;13;2;0.0
1;14;1;3.826267237067409e-10
1;14;2;0.0
1;15;1;3.8298705326848924e-10
1;15;2;0.0
1;16;1;3.82890961046648e-10
1;16;2;0.0
1;17;1;3.8096295376293974e-10
1;17;2;0.0
1;18;1;3.8120379717262125e-10
1;18;2;0.0
1;19;1;3.811322755281025e-10
1;19;2;0.0
1;20;1;3.825523936842647e-10
1;20;2;0.0
1;21;1;3.8316648084113977e-10
1;21;2;0.0
1;22;1;3.826237473119236e-10
1;22;2;0.0
1;23;1;3.82975910138516e-10
1;23;2;0.0
1;24;1;3.828131354269702e-10
1;24;2;0.0
1;25;1;3.81035407412779e-10
1;25;2;0.0
1;26;1;3.813288397378567e-10
1;26;2;0.0
1;27;1;3.812263025567884e-10
1;27;2;0.0
1;28;1;3.8257792750852684e-10
1;28;2;0.0
1;29;1;3.8322369904662904e-10
1;29;2;0.0
1;30;1;3.827264399555e-10
1;30;2;0.0
1;31;1;3.8294684016787774e-10
1;31;2;0.0
1;32;1;3.8293027552403683e-10
1;32;2;0.0
1;33;1;3.815600805969866e-10
1;33;2;0.0
1;34;1;3.8126237002302705e-10
1;34;2;0.0
1;35;1;3.8129983763777155e-10
1;35;2;0.0
1;36;1;3.826685286864907e-10
1;36;2;0.0
1;37;1;3.833502729318396e-10
1;37;2;0.0
1;38;1;3.8272236009928387e-10
1;38;2;0.0
1;39;1;3.8300330441396173e-10
1;39;2;0.0
1;40;1;3.829365312538536e-10
1;40;2;0.0
1;41;1;6.389448969912337e-10
1;41;2;0.0
1;42;1;6.419647036182141e-10
1;42;2;0.0
1;43;1;6.414744291305396e-10
1;43;2;0.0
1;44;1;6.445191047532717e-10
1;44;2;0.0
1;45;1;6.434994759274559e-10
1;45;2;0.0
1;46;1;6.451621459291346e-10
1;46;2;0.0
1;47;1;6.434888177864195e-10
1;47;2;0.0
1;48;1;6.437694821670448e-10
1;48;2;0.0
1;49;1;6.391545070982829e-10
1;49;2;0.0
1;50;1;6.419504927634989e-10
1;50;2;0.0
1;51;1;6.415987741092977e-10
1;51;2;0.0
1;52;1;6.445368683216657e-10
1;52;2;0.0
1;53;1;6.433573673803039e-10
1;53;2;0.0
1;54;1;6.4422778223161e-10
1;54;2;0.0
1;55;1;6.434426325085951e-10
1;55;2;0.0
1;56;1;6.43748165884972e-10
1;56;2;0.0
1;57;1;6.393356954959017e-10
