;;;;0
1;1;1;1;4.554340212115638e-09
1;1;1;2;4.766131176475598e-12
1;1;2;1;4.554340212115638e-09
1;1;2;2;4.766131176475598e-12
1;1;3;1;4.554340212115638e-09
1;1;3;2;4.766131176475598e-12
1;1;4;1;3.260174107510463e-08
1;1;4;2;4.766131176475598e-12
1;1;5;1;4.554340212115638e-09
1;1;5;2;4.766131176475598e-12
1;1;6;1;4.554340212115638e-09
1;1;6;2;4.766131176475598e-12
1;1;7;1;4.554340212115638e-09
1;1;7;2;4.766131176475598e-12
1;1;8;1;4.554340212115638e-09
1;1;8;2;4.766131176475598e-12
1;2;1;1;4.554334344634396e-09
1;2;1;2;4.766131176475598e-12
1;2;2;1;4.554334344634396e-09
1;2;2;2;4.766131176475598e-12
1;2;3;1;4.554334344634396e-09
1;2;3;2;4.766131176475598e-12
1;2;4;1;3.257311880744332e-08
1;2;4;2;4.766131176475598e-12
1;2;5;1;4.554334344634396e-09
1;2;5;2;4.766131176475598e-12
1;2;6;1;4.554334344634396e-09
1;2;6;2;4.766131176475598e-12
1;2;7;1;4.554334344634396e-09
1;2;7;2;4.766131176475598e-12
1;2;8;1;4.554334344634396e-09
1;2;8;2;4.766131176475598e-12
1;3;1;1;4.553432522760953e-09
1;3;1;2;4.766131176475598e-12
1;3;2;1;4.553432522760953e-09
1;3;2;2;4.766131176475598e-12
1;3;3;1;4.553432522760953e-09
1;3;3;2;4.766131176475598e-12
1;3;4;1;3.2248293203486764e-08
1;3;4;2;4.766131176475598e-12
1;3;5;1;4.553432522760953e-09
1;3;5;2;4.766131176475598e-12
1;3;6;1;4.553432522760953e-09
1;3;6;2;4.766131176475598e-12
1;3;7;1;4.553432522760953e-09
1;3;7;2;4.766131176475598e-12
1;3;8;1;4.553432522760953e-09
1;3;8;2;4.766131176475598e-12
1;4;1;1;4.553459059991934e-09
1;4;1;2;4.766131176475598e-12
1;4;2;1;4.553459059991934e-09
1;4;2;2;4.766131176475598e-12
1;4;3;1;4.553459059991934e-09
1;4;3;2;4.766131176475598e-12
1;4;4;1;3.225080399133728e-08
1;4;4;2;4.766131176475598e-12
1;4;5;1;4.553459059991934e-09
1;4;5;2;4.766131176475598e-12
1;4;6;1;4.553459059991934e-09
