;;;0
1;1;1;8.490468297115516e-11
1;1;2;5.111066031036906e-15
1;2;1;8.491775065709228e-11
1;2;2;5.111066031036906e-15
1;3;1;8.486605708041615e-11
1;3;2;5.111066031036906e-15
1;4;1;8.479203037327168e-11
1;4;2;5.111066031036906e-15
1;5;1;8.47234412919942e-11
1;5;2;5.111066031036906e-15
1;6;1;8.478818084759153e-11
1;6;2;5.111066031036906e-15
1;7;1;8.471975472289981e-11
1;7;2;5.111066031036906e-15
1;8;1;8.4660946943929e-11
1;8;2;5.111066031036906e-15
1;9;1;9.433466769199274e-11
1;9;2;-1.2070697712165412e-22
1;10;1;9.43397747922861e-11
1;10;2;-1.2070697712165412e-22
1;11;1;9.429270523329352e-11
1;11;2;-1.2070697712165412e-22
1;12;1;9.421971662334545e-11
1;12;2;-1.2070697712165412e-22
1;13;1;9.415842434397663e-11
1;13;2;-1.2070697712165412e-22
1;14;1;9.421313503848482e-11
1;14;2;-1.2070697712165412e-22
1;15;1;9.414839586886319e-11
1;15;2;-1.2070697712165412e-22
1;16;1;9.409120143802703e-11
1;16;2;-1.2070697712165412e-22
1;17;1;9.433513631364579e-11
1;17;2;-1.2070697712165412e-22
1;18;1;9.434001395742535e-11
1;18;2;-1.2070697712165412e-22
1;19;1;9.429301458814882e-11
1;19;2;-1.2070697712165412e-22
1;20;1;9.422121642433785e-11
1;20;2;-1.2070697712165412e-22
1;21;1;9.415526489439418e-11
1;21;2;-1.2070697712165412e-22
1;22;1;9.421712134572205e-11
1;22;2;-1.2070697712165412e-22
1;23;1;9.415216224805877e-11
1;23;2;-1.2070697712165412e-22
1;24;1;9.409428409990382e-11
1;24;2;-1.2070697712165412e-22
1;25;1;9.433478111791001e-11
1;25;2;-1.2070697712165412e-22
1;26;1;9.434081915110077e-11
1;26;2;-1.2070697712165412e-22
1;27;1;9.429872668729664e-11
1;27;2;-1.2070697712165412e-22
1;28;1;9.422765120261274e-11
1;28;2;-1.2070697712165412e-22
1;29;1;9.416387221880662e-11
1;29;2;-1.2070697712165412e-22
1;30;1;9.421556647029007e-11
1;30;2;-1.2070697712165412e-22
1;31;1;9.415351991583737e-11
1;31;2;-1.2070697712165412e-22
1;32;1;9.409341088990626e-11
1;32;2;-1.2070697712165412e-22
1;33;1;9.433464518144366e-11
1;33;2;-1.2070697712165412e-22
1;34;1;9.434283130358236e-11
1;34;2;-1.2070697712165412e-22
1;35;1;9.429975490600439e-11
1;35;2;-1.2070697712165412e-22
1;36;1;9.423060212095538e-11
1;36;2;-1.2070697712165412e-22
1;37;1;9.416003214401238e-11
1;37;2;-1.2070697712165412e-22
1;38;1;9.422490545208765e-11
1;38;2;-1.2070697712165412e-22
1;39;1;9.415463695946245e-11
1;39;2;-1.2070697712165412e-22
1;40;1;9.409612081721102e-11
1;40;2;-1.2070697712165412e-22
1;41;1;1.7042201920904268e-10
1;41;2;0.0
1;42;1;1.7044768929943904e-10
1;42;2;0.0
1;43;1;1.7035717107625568e-10
1;43;2;0.0
1;44;1;1.7021902289263492e-10
1;44;2;0.0
1;45;1;1.7016233294746207e-10
1;45;2;0.0
1;46;1;1.7013788398412582e-10
1;46;2;0.0
1;47;1;1.7008590945654726e-10
1;47;2;0.0
1;48;1;1.700445617048515e-10
1;48;2;0.0
1;49;1;1.70422322908259e-10
1;49;2;0.0
1;50;1;1.704510774315457e-10
1;50;2;0.0
1;51;1;1.7035710154543862e-10
1;51;2;0.0
1;52;1;1.7022628977024268e-10
1;52;2;0.0
1;53;1;1.7017030883860407e-10
1;53;2;0.0
1;54;1;1.703647280812826e-10
1;54;2;0.0
1;55;1;1.7011374710970841e-10
1;55;2;0.0
1;56;1;1.7004346534622099e-10
1;56;2;0.0
1;57;1;1.7035565789260593e-10
1;57;2;0.0
1;58;1;1.703529970721157e-10
1;58;2;0.0
1;59;1;1.7044135517832444e-10
1;59;2;0.0
1;60;1;1.7030520911541674e-10
1;60;2;0.0
1;61;1;1.7013817209894176e-10
1;61;2;0.0
1;62;1;1.7025613309546135e-10
1;62;2;0.0
1;63;1;1.7017855697317628e-10
1;63;2;0.0
1;64;1;1.7003445630172935e-10
1;64;2;0.0
1;65;1;1.7038317866634754e-10
1;65;2;0.0
1;66;1;1.704122959309645e-10
1;66;2;0.0
1;67;1;1.703704552903203e-10
1;67;2;0.0
1;68;1;1.7028803130217538e-10
1;68;2;0.0
1;69;1;1.701510979668242e-10
1;69;2;0.0
1;70;1;1.702524304190991e-10
1;70;2;0.0
1;71;1;1.7018266405011966e-10
1;71;2;0.0
1;72;1;1.700458710587046e-10
1;72;2;0.0
1;73;1;1.7042026680931258e-10
1;73;2;0.0
1;74;1;1.704473816028625e-10
1;74;2;0.0
1;75;1;1.7035717577448274e-10
1;75;2;0.0
1;76;1;1.7022093134029198e-10
1;76;2;0.0
1;77;1;1.7015219642307887e-10
1;77;2;0.0
1;78;1;1.702292337948224e-10
1;78;2;0.0
1;79;1;1.7010910586160124e-10
1;79;2;0.0
1;80;1;1.700533160214955e-10
1;80;2;0.0
1;81;1;1.7042192712539107e-10
1;81;2;0.0
1;82;1;1.7045015376689243e-10
1;82;2;0.0
1;83;1;1.7035665337225942e-10
1;83;2;0.0
1;84;1;1.702257000554757e-10
1;84;2;0.0
1;85;1;1.7015608203812306e-10
1;85;2;0.0
1;86;1;1.7028725332560085e-10
1;86;2;0.0
1;87;1;1.7011312786017312e-10
1;87;2;0.0
1;88;1;1.7005328689256184e-10
1;88;2;0.0
1;89;1;1.703589734411888e-10
1;89;2;0.0
1;90;1;1.7035701118041686e-10
1;90;2;0.0
1;91;1;1.7043970908504088e-10
1;91;2;0.0
1;92;1;1.7030566874413422e-10
1;92;2;0.0
1;93;1;1.7014212774561123e-10
1;93;2;0.0
1;94;1;1.702565285749856e-10
1;94;2;0.0
1;95;1;1.7018004914087982e-10
1;95;2;0.0
1;96;1;1.7004068098777534e-10
1;96;2;0.0
1;97;1;1.7038403043802062e-10
1;97;2;0.0
1;98;1;1.7041115845904878e-10
1;98;2;0.0
1;99;1;1.7037385230314389e-10
1;99;2;0.0
1;100;1;1.702936938990634e-10
1;100;2;0.0
1;101;1;1.7015370758999611e-10
1;101;2;0.0
1;102;1;1.702574403900185e-10
1;102;2;0.0
1;103;1;1.7017846816320113e-10
1;103;2;0.0
1;104;1;1.7003752105513265e-10
1;104;2;0.0
1;105;1;1.7042080769596534e-10
1;105;2;0.0
1;106;1;1.7044893479966045e-10
1;106;2;0.0
1;107;1;1.7035553182355726e-10
1;107;2;0.0
1;108;1;1.7022415458038891e-10
1;108;2;0.0
1;109;1;1.701666100513936e-10
1;109;2;0.0
1;110;1;1.7013320341690806e-10
1;110;2;0.0
1;111;1;1.7009472851223704e-10
1;111;2;0.0
1;112;1;1.7004492792558137e-10
1;112;2;0.0
1;113;1;1.7042207047592357e-10
1;113;2;0.0
1;114;1;1.7045120035344346e-10
1;114;2;0.0
1;115;1;1.7035908436301197e-10
1;115;2;0.0
1;116;1;1.7022601231565402e-10
1;116;2;0.0
1;117;1;1.7016762146124866e-10
1;117;2;0.0
1;118;1;1.7036899500101937e-10
1;118;2;0.0
1;119;1;1.7012364405161657e-10
1;119;2;0.0
1;120;1;1.7004690889445236e-10
