;;;;0
1;1;1;1;5.5214287512632126e-11
1;1;1;2;3.2828276648962556e-14
1;1;2;1;5.5214287512632126e-11
1;1;2;2;3.2828276648962556e-14
1;1;3;1;5.5214287512632126e-11
1;1;3;2;3.2828276648962556e-14
1;1;4;1;3.9277401257217127e-10
1;1;4;2;3.2828276648962556e-14
1;1;5;1;5.5214287512632126e-11
1;1;5;2;3.2828276648962556e-14
1;1;6;1;5.5214287512632126e-11
1;1;6;2;3.2828276648962556e-14
1;1;7;1;5.5214287512632126e-11
1;1;7;2;3.2828276648962556e-14
1;1;8;1;5.5214287512632126e-11
1;1;8;2;3.2828276648962556e-14
1;2;1;1;5.5216184786223894e-11
1;2;1;2;3.2828276648962556e-14
1;2;2;1;5.5216184786223894e-11
1;2;2;2;3.2828276648962556e-14
1;2;3;1;5.5216184786223894e-11
1;2;3;2;3.2828276648962556e-14
1;2;4;1;3.91770642579799e-10
1;2;4;2;3.2828276648962556e-14
1;2;5;1;5.5216184786223894e-11
1;2;5;2;3.2828276648962556e-14
1;2;6;1;5.5216184786223894e-11
1;2;6;2;3.2828276648962556e-14
1;2;7;1;5.5216184786223894e-11
1;2;7;2;3.2828276648962556e-14
1;2;8;1;5.5216184786223894e-11
1;2;8;2;3.2828276648962556e-14
1;3;1;1;5.52273839976879e-11
1;3;1;2;3.2828276648962556e-14
1;3;2;1;5.52273839976879e-11
1;3;2;2;3.2828276648962556e-14
1;3;3;1;5.52273839976879e-11
1;3;3;2;3.2828276648962556e-14
1;3;4;1;3.652842388349845e-10
1;3;4;2;3.2828276648962556e-14
1;3;5;1;5.52273839976879e-11
1;3;5;2;3.2828276648962556e-14
1;3;6;1;5.52273839976879e-11
1;3;6;2;3.2828276648962556e-14
1;3;7;1;5.52273839976879e-11
1;3;7;2;3.2828276648962556e-14
1;3;8;1;5.52273839976879e-11
1;3;8;2;3.2828276648962556e-14
1;4;1;1;5.522740396178909e-11
1;4;1;2;3.2828276648962556e-14
1;4;2;1;5.522740396178909e-11
1;4;2;2;3.2828276648962556e-14
1;4;3;1;5.522740396178909e-11
1;4;3;2;3.2828276648962556e-14
1;4;4;1;3.6545866594278256e-10
1;4;4;2;3.2828276648962556e-14
1;4;5;1;5.522740396178909e-11
1;4;5;2;3.2828276648962556e-14
1;4;6;1;5.522740396178909e-11
1;4;6;2;3.2828276648962556e-14
1;4;7;1;5.522740396178909e-11
1;4;7;2;3.2828276648962556e-14
1;4;8;1;5.522740396178909e-11
1;4;8;2;3.2828276648962556e-14
1;5;1;1;5.5226045067014604e-11
1;5;1;2;3.2828276648962556e-14
1;5;2;1;5.5226045067014604e-11
1;5;2;2;3.2828276648962556e-14
1;5;3;1;5.5226045067014604e-11
1;5;3;2;3.2828276648962556e-14
1;5;4;1;3.6549895264108415e-10
1;5;4;2;3.2828276648962556e-14
1;5;5;1;5.5226045067014604e-11
1;5;5;2;3.2828276648962556e-14
1;5;6;1;5.5226045067014604e-11
1;5;6;2;3.2828276648962556e-14
1;5;7;1;5.5226045067014604e-11
1;5;7;2;3.2828276648962556e-14
1;5;8;1;5.5226045067014604e-11
1;5;8;2;3.2828276648962556e-14
1;6;1;1;5.5224524585039617e-11
1;6;1;2;3.2828276648962556e-14
1;6;2;1;5.5224524585039617e-11
1;6;2;2;3.2828276648962556e-14
1;6;3;1;5.5224524585039617e-11
1;6;3;2;3.2828276648962556e-14
1;6;4;1;3.656686736210127e-10
1;6;4;2;3.2828276648962556e-14
1;6;5;1;5.5224524585039617e-11
1;6;5;2;3.2828276648962556e-14
1;6;6;1;5.5224524585039617e-11
1;6;6;2;3.2828276648962556e-14
1;6;7;1;5.5224524585039617e-11
1;6;7;2;3.2828276648962556e-14
1;6;8;1;5.5224524585039617e-11
1;6;8;2;3.2828276648962556e-14
1;7;1;1;5.5224170497366966e-11
1;7;1;2;3.2828276648962556e-14
1;7;2;1;5.5224170497366966e-11
1;7;2;2;3.2828276648962556e-14
1;7;3;1;5.5224170497366966e-11
