;;;0
1;9;1;-0.00023239445785020577
1;9;2;-0.0002044851678568061
1;9;3;-0.0002841832526995603
1;9;4;-0.00027266734219308814
1;9;5;-0.00022799893226099047
1;9;6;-0.00033926530525516175
1;9;7;-0.0003419266845774131
1;9;8;-0.00024220982133964063
2;9;1;-0.00024383692809893322
2;9;2;-0.00027168247247982385
2;9;3;-0.00022391522895963179
2;9;4;-0.00034516788336677763
2;9;5;-0.00029367231833496465
2;9;6;-0.00028007458236663555
2;9;7;-0.00032816772533077995
2;9;8;-0.00029645136143363886
3;9;1;-0.0002358505324750695
3;9;2;-0.0002218867904482512
3;9;3;-0.00023201981957335593
3;9;4;-0.00026520804310265834
3;9;5;-0.0002058964691570838
3;9;6;-0.00035148706561681183
3;9;7;-0.0003149170045405469
3;9;8;-0.0002720164729286992
4;9;1;-0.0003876629663223961
4;9;2;-0.0003201575579055848
4;9;3;-0.0003215136130083547
4;9;4;-0.00034354104221420386
4;9;5;-0.0003545423397030251
4;9;6;-0.00026185582070484053
4;9;7;-0.00035902312504897127
4;9;8;-0.00038685924039134494
5;9;1;-0.00036366938338072203
5;9;2;-0.0002758782618165109
5;9;3;-0.00035785684594677507
5;9;4;-0.00025835273369075143
5;9;5;-0.00034510798905169107
5;9;6;-0.00033885720053174466
5;9;7;-0.00037349709758258045
5;9;8;-0.00036400909437405126
6;9;1;-0.00031475378921185193
6;9;2;-0.00026528201457384065
6;9;3;-0.00037713896410723606
6;9;4;-0.00026076656755109277
6;9;5;-0.0003217205206422902
6;9;6;-0.00028931663375356744
6;9;7;-0.0002639810728652192
6;9;8;-0.00032844581556535057
7;9;1;-0.00031910150559168545
7;9;2;-0.0003347983314585926
7;9;3;-0.0003536832347711068
7;9;4;-0.000309628243556049
7;9;5;-0.00034049891566057054
7;9;6;-0.00023859517950366074
7;9;7;-0.0003377765795963575
7;9;8;-0.00024072375174802424
8;9;1;-0.00028864650800206645
8;9;2;-0.00026427695874994855
8;9;3;-0.0003426703833900183
8;9;4;-0.00036645440263056897
8;9;5;-0.00023216829372915817
8;9;6;-0.00024889514245152346
8;9;7;-0.000358401472523649
8;9;8;-0.0003860079708576309
9;9;1;-0.00024179547485833202
9;9;2;-0.00023181503679317074
9;9;3;-0.00031019518109730104
9;9;4;-0.0003185586054584837
9;9;5;-0.00033592835524367425
9;9;6;-0.00021500890446524737
9;9;7;-0.0003645021932474804
9;9;8;-0.0003517837483216976
10;9;1;-0.0003577502048491819
10;9;2;-0.00026338890268568237
10;9;3;-0.00037382578589708005
10;9;4;-0.00035408390250639784
10;9;5;-0.00021140714455512868
10;9;6;-0.0002797644865224511
10;9;7;-0.0003890670962412666
10;9;8;-0.00035032437220531936
11;9;1;-0.00022267697043664418
11;9;2;-0.00022234894613894153
11;9;3;-0.0003264748809085875
11;9;4;-0.000249345213036509
11;9;5;-0.00020782410991868451
11;9;6;-0.0003003657404517705
11;9;7;-0.00026066855867186016
11;9;8;-0.00021710281503280906
12;9;1;-0.0003847026466381494
12;9;2;-0.0002086951671529483
12;9;3;-0.000299258027631067
12;9;4;-0.00030274212376476276
12;9;5;-0.00020176349580939
12;9;6;-0.00038567343919531787
12;9;7;-0.0003571015932419027
12;9;8;-0.00021709285478085455
13;9;1;-0.00031213570378476295
13;9;2;-0.00037958095227976884
13;9;3;-0.0003150410428782207
13;9;4;-0.0002887175577993421
13;9;5;-0.0002690577468847652
13;9;6;-0.000315209437537932
13;9;7;-0.00025032012249781875
13;9;8;-0.00025336623315223383
14;9;1;-0.000382306342821248
14;9;2;-0.00020780392380805667
14;9;3;-0.00035657688716893786
14;9;4;-0.0003316006921711092
14;9;5;-0.0002670605171628422
14;9;6;-0.0003941166783754962
14;9;7;-0.00020454267171142362
14;9;8;-0.0002012022688125919
15;9;1;-0.0003404018364048537
15;9;2;-0.00028125533703500565
15;9;3;-0.00027917669885377423
15;9;4;-0.00033490603498306093
15;9;5;-0.00032178625830519013
15;9;6;-0.00022998686574775599
15;9;7;-0.00020263163136974717
15;9;8;-0.0002308310967034222
16;9;1;-0.00023008540584042614
16;9;2;-0.0002027284450187452
16;9;3;-0.00030856634789433636
16;9;4;-0.0002924217090995534
16;9;5;-0.00021678753985760827
16;9;6;-0.00030236496222408444
16;9;7;-0.00026946864047872954
16;9;8;-0.00032669905297924416
17;9;1;0.0
17;9;2;-0.0002833335768061589
17;9;3;-0.00036000719794207915
17;9;4;0.0
17;9;5;-0.0002064473374918492
17;9;6;-0.00038721847347850515
17;9;7;-0.00030062523821602595
17;9;8;-0.00032948115055518443
18;9;1;0.0
18;9;2;-0.0003768355084310213
18;9;3;-0.00034121618660465635
18;9;4;0.0
18;9;5;-0.00030420707762223554
18;9;6;-0.00039723702610781246
18;9;7;-0.0003660632967371543
18;9;8;-0.00022154522020789038
19;9;1;-0.00029207867802223924
19;9;2;-0.00021031390730059908
19;9;3;-0.00027544638529176235
19;9;4;-0.00038786509303539345
19;9;5;-0.0003083818840281384
19;9;6;-0.0003645773599488973
19;9;7;-0.00023262048916789402
19;9;8;-0.00030744455791753707
20;9;1;-0.0002663251849618788
20;9;2;-0.00024835503118886894
20;9;3;-0.00037093014144885805
20;9;4;-0.0003856965469798524
20;9;5;-0.00034249720780936876
20;9;6;-0.0002059327244741983
20;9;7;-0.00021893178289838022
20;9;8;-0.00025564327955239957
21;9;1;-0.00031361035228747147
21;9;2;0.0
21;9;3;-0.0002513210614175696
21;9;4;0.0
21;9;5;0.0
21;9;6;-0.0003450058632683173
21;9;7;0.0
21;9;8;-0.0002926307415872392
22;9;1;-0.00036052752150418405
22;9;2;-0.0003896154413122034
22;9;3;0.0
22;9;4;0.0
22;9;5;0.0
22;9;6;-0.0002896361586362689
22;9;7;-0.00021396002353275527
22;9;8;-0.0002305203368424408
23;9;1;-0.00032414391634450786
23;9;2;-0.00024178086648879871
23;9;3;-0.00020629209036471786
23;9;4;-0.0002830241449787714
23;9;5;-0.0003302091785713812
23;9;6;-0.0003542694287994709
23;9;7;-0.0003784794812169569
23;9;8;-0.0002418731648235774
24;9;1;-0.00028326013654841415
24;9;2;-0.0003650267665170858
24;9;3;-0.000298821635792099
24;9;4;-0.0002919886373445703
24;9;5;-0.00033322912696399573
24;9;6;-0.0002978503120214929
24;9;7;-0.0002223095035412016
24;9;8;-0.00024354569033178264
25;9;1;-0.0003855540489752229
25;9;2;-0.0003986960038141125
25;9;3;-0.0003312731990868441
