;;;;0
1;1;1;1;0.00037625595457062684
1;1;2;1;0.00037827934655435046
1;1;3;1;0.0003447097117768691
1;1;4;1;0.00020718678659695374
1;1;5;1;0.00038713440895200884
1;1;6;1;0.00023293536593301667
1;1;7;1;0.00020797789620886252
1;1;8;1;0.0003954031445179438
1;2;1;1;0.000275646918364447
1;2;2;1;0.00025502959522864094
1;2;3;1;0.00028280342579545893
1;2;4;1;0.00032089713981404874
1;2;5;1;0.0002289511323478439
1;2;6;1;0.00021968132505879867
1;2;7;1;0.0003658299612346994
1;2;8;1;0.0002451782420288104
1;3;1;1;0.0003964376826876213
1;3;2;1;0.00021793389845589534
1;3;3;1;0.0003370355368509402
1;3;4;1;0.0002740811667571943
1;3;5;1;0.00027652249091293017
1;3;6;1;0.0002692778020512807
1;3;7;1;0.00030865824781903684
1;3;8;1;0.0003002355931595646
1;4;1;1;0.00021180993714417
1;4;2;1;0.0003202258188323132
1;4;3;1;0.00032387591916525123
1;4;4;1;0.0003664285059754872
1;4;5;1;0.00021276333246125797
1;4;6;1;0.00031992555043672385
1;4;7;1;0.00023588240528132402
1;4;8;1;0.00035847345194444036
1;5;1;1;0.00024169308346823942
1;5;2;1;0.0003009286938922407
1;5;3;1;0.00037219615587395896
1;5;4;1;0.00038007338713640104
1;5;5;1;0.0002373919810675531
1;5;6;1;0.00023434587041313798
1;5;7;1;0.00039280245633093537
1;5;8;1;0.00025047085431073064
1;6;1;1;0.00027833445994849887
1;6;2;1;0.0002794820137770205
1;6;3;1;0.00030375660862717185
1;6;4;1;0.00023689117959927914
1;6;5;1;0.0003575428988051682
1;6;6;1;0.00031111989088875995
1;6;7;1;0.0003794650149470181
1;6;8;1;0.000352623995176582
1;7;1;1;0.00033620193016402545
1;7;2;1;0.0003710212445534022
1;7;3;1;0.00035661274407597414
1;7;4;1;0.00034831359654073814
1;7;5;1;0.00023340124011777004
1;7;6;1;0.0002527201448087831
1;7;7;1;0.00038162811606482405
1;7;8;1;0.0002124337145232426
1;8;1;1;0.0002807245220075087
1;8;2;1;0.0003637231687412765
1;8;3;1;0.0003430533882785099
1;8;4;1;0.0003897745397367572
1;8;5;1;0.00021693043627231596
1;8;6;1;0.00024930125512454964
1;8;7;1;0.0003190513059218346
1;8;8;1;0.00030892013604376134
1;9;1;1;0.00023075632841208343
1;9;2;1;0.00031727280333283304
1;9;3;1;0.000244613562144668
1;9;4;1;0.0002973754072083007
1;9;5;1;0.0003204649976825815
1;9;6;1;0.0002977747469099979
1;9;7;1;0.0003300039973811178
1;9;8;1;0.0002530585277685184
1;10;1;1;0.00022189489145317418
1;10;2;1;0.0002935377885318987
1;10;3;1;0.00030058845168547387
1;10;4;1;0.00031481355072357904
1;10;5;1;0.00021507437652142848
1;10;6;1;0.0003654396521614411
1;10;7;1;0.0002917446775733639
1;10;8;1;0.0003580827444611039
1;11;1;1;0.0003547629260829782
1;11;2;1;0.0003688349028477025
1;11;3;1;0.0003060985958700811
1;11;4;1;0.00032459478374964975
1;11;5;1;0.00020425289478122642
1;11;6;1;0.00024745130432819425
1;11;7;1;0.0003299737182151759
1;11;8;1;0.0003068450835532335
1;12;1;1;0.00021486388319678936
1;12;2;1;0.00029423288131496573
1;12;3;1;0.0002908847758212892
1;12;4;1;0.0003187831759392186
1;12;5;1;0.00039268532376795
1;12;6;1;0.00022127841825886829
1;12;7;1;0.0002545072796161452
1;12;8;1;0.00030085618325801175
1;13;1;1;0.00028802883957752595
1;13;2;1;0.0003256164399934661
1;13;3;1;0.0002723694642579679
1;13;4;1;0.00037226574483428137
1;13;5;1;0.00033961856219114924
1;13;6;1;0.0003757854322682946
1;13;7;1;0.0002210333960607868
1;13;8;1;0.0003621280675915978
1;14;1;1;0.00025225612987106124
1;14;2;1;0.0002520595808991584
1;14;3;1;0.0003041118576135502
1;14;4;1;0.0003164061286094293
1;14;5;1;0.0002965196223603672
1;14;6;1;0.00030742649666065956
1;14;7;1;0.00036411480584812875
1;14;8;1;0.0003315929895762644
1;15;1;1;0.00030258116609317747
1;15;2;1;0.0002185757370918455
1;15;3;1;0.00036929453527456436
1;15;4;1;0.0002211146717167358
1;15;5;1;0.00037395407394225446
1;15;6;1;0.00025586293630883687
1;15;7;1;0.000247098445802285
1;15;8;1;0.0003142185916734949
1;16;1;1;0.00039485865074442926
1;16;2;1;0.000361987163227281
1;16;3;1;0.00023818720758360303
1;16;4;1;0.00038624064234328863
1;16;5;1;0.0003865124908199678
1;16;6;1;0.00027828120580138197
1;16;7;1;0.0002686225502760318
1;16;8;1;0.0003856900396152421
1;17;1;1;0.00029997675941210604
1;17;2;1;0.00020079323446565902
1;17;3;1;0.0002680872199343155
1;17;4;1;0.00030866409116685016
1;17;5;1;0.0002887790457547415
1;17;6;1;0.00036723993450138323
1;17;7;1;0.00039562691817852225
1;17;8;1;0.00033917406934725816
1;18;1;1;0.00025682828392827023
1;18;2;1;0.0003280221728488844
1;18;3;1;0.00026869147521955717
1;18;4;1;0.00039418825938620947
1;18;5;1;0.0003967456536780555
1;18;6;1;0.0003221442961621158
1;18;7;1;0.00028762976548254765
1;18;8;1;0.0002716577710549766
1;19;1;1;0.00028224379243897355
1;19;2;1;0.0002719552505800187
1;19;3;1;0.00023208462761274012
1;19;4;1;0.0002410469951247887
1;19;5;1;0.0002855454167568623
1;19;6;1;0.00036729332145185947
1;19;7;1;0.00020355275547050242
1;19;8;1;0.00020590709342583528
1;20;1;1;0.0003471956578613613
1;20;2;1;0.00027122908181085356
1;20;3;1;0.000338214830682357
1;20;4;1;0.00032410434094340846
1;20;5;1;0.0002786626170495609
1;20;6;1;0.000204636563686515
1;20;7;1;0.0002093356777553045
1;20;8;1;0.00034105283847260206
1;21;1;1;0.0002888228708633414
1;21;2;1;0.00023116363631534427
1;21;3;1;0.00024239348838568225
1;21;4;1;0.0003864564478023037
1;21;5;1;0.0002618932712521896
1;21;6;1;0.0002817946514775038
1;21;7;1;0.00038054337822529565
1;21;8;1;0.00032368122944037987
1;22;1;1;0.00033896636489316636
1;22;2;1;0.00023695718286889786
1;22;3;1;0.0002544667745915301
1;22;4;1;0.0002975805883985641
1;22;5;1;0.0003836659836147215
1;22;6;1;0.00027416177839634633
1;22;7;1;0.00021532497646060462
1;22;8;1;0.00027601265881621747
1;23;1;1;0.0003106630473324453
1;23;2;1;0.00038183303164836854
1;23;3;1;0.0002925955486969999
1;23;4;1;0.00032301588460981705
1;23;5;1;0.0002249180271264142
1;23;6;1;0.0003290923023188794
1;23;7;1;0.00020129124706338574
1;23;8;1;0.00025392506968856287
1;24;1;1;0.0003374482896919361
1;24;2;1;0.00026506913078873243
1;24;3;1;0.00031668302361376535
1;24;4;1;0.00035691540293203254
1;24;5;1;0.0002425029183538227
1;24;6;1;0.00038118282640077673
1;24;7;1;0.00021398671700799345
1;24;8;1;0.00032050762756094677
1;25;1;1;0.00020729302928446878
1;25;2;1;0.0002999622838459322
1;25;3;1;0.00032839017095776457
1;25;4;1;0.00036071065733678795
1;25;5;1;0.000315358177300453
1;25;6;1;0.0003168461061391009
1;25;7;1;0.00021549137906992497
1;25;8;1;0.00027116400816475057
1;26;1;1;0.00020122909509118946
1;26;2;1;0.00022443502130829903
1;26;3;1;0.00026783542476490485
1;26;4;1;0.00022386038117220213
1;26;5;1;0.0002952921209094906
1;26;6;1;0.00025654448314924575
1;26;7;1;0.0003886952468349639
1;26;8;1;0.0002916298026674883
1;27;1;1;0.0003956400657111022
1;27;2;1;0.0003691485843825905
1;27;3;1;0.00021592179475772024
1;27;4;1;0.00034892608563426227
1;27;5;1;0.0003753671016862042
1;27;6;1;0.000355330793247746
1;27;7;1;0.0003239575932312784
1;27;8;1;0.00022757648477475891
1;28;1;1;0.00035815791116252077
1;28;2;1;0.00038517502818751306
1;28;3;1;0.0002026033442541962
1;28;4;1;0.0003979136592239238
1;28;5;1;0.00030119018370688706
1;28;6;1;0.0003519010136880423
1;28;7;1;0.0003571703853820687
1;28;8;1;0.0003819505626214322
1;29;1;1;0.0003630527773830567
1;29;2;1;0.0003565112823093974
1;29;3;1;0.00032133326604629793
1;29;4;1;0.00030391212136102197
1;29;5;1;0.0002919442810225327
1;29;6;1;0.000215243169591218
1;29;7;1;0.00028904518368696655
1;29;8;1;0.0002701694438062505
1;30;1;1;0.0003849699798006091
1;30;2;1;0.0003424043782611526
