;;;;0
1;1;1;1;0.0003146842002515296
1;1;2;1;0.00038437302870013404
1;1;3;1;0.0003366538599960425
1;1;4;1;23.97110490227479
1;1;5;1;0.0003444213956836252
1;1;6;1;0.0002446057267464638
1;1;7;1;0.00030943753793195953
1;1;8;1;0.00031901598022823584
1;2;1;1;0.0003495365826773954
1;2;2;1;0.0002402504405751448
1;2;3;1;0.00034698556294680035
1;2;4;1;23.970656122191254
1;2;5;1;0.00039385306370709954
1;2;6;1;0.00031758077432326727
1;2;7;1;0.00031824983764789315
1;2;8;1;0.0003710678585325494
1;3;1;1;0.0003061846524469683
1;3;2;1;0.00023194199680475118
1;3;3;1;0.0002490474679047481
1;3;4;1;23.970849836268354
1;3;5;1;0.0002644703204412259
1;3;6;1;0.00021888012239157603
1;3;7;1;0.0002017811586561894
1;3;8;1;0.00024976686370258423
1;4;1;1;0.0003515551937401809
1;4;2;1;0.0003968827067449498
1;4;3;1;0.0003596803688746111
1;4;4;1;23.970546462026714
1;4;5;1;0.00038432309463700196
1;4;6;1;0.00039797541278604185
1;4;7;1;0.0003066275516505466
1;4;8;1;0.0003974399496409661
1;5;1;1;0.00022935790903766702
1;5;2;1;0.00033280043771987257
1;5;3;1;0.00039805562601511575
1;5;4;1;23.970971151161677
1;5;5;1;0.00034717507334065524
1;5;6;1;0.00020626499847940154
1;5;7;1;0.00020579089048636576
1;5;8;1;0.0003200267465965819
1;6;1;1;0.0003372652866626914
1;6;2;1;0.00024152362638165295
1;6;3;1;0.00029345027111805824
1;6;4;1;23.970855655659612
1;6;5;1;0.00036337349749599265
1;6;6;1;0.0003780654003423671
1;6;7;1;0.0003629570261609338
1;6;8;1;0.00023673035473105328
1;7;1;1;0.00022994463427946876
1;7;2;1;0.0003296988152612309
1;7;3;1;0.0002002503343324573
1;7;4;1;23.971109801520278
1;7;5;1;0.00035765950015471595
1;7;6;1;0.000229871194021724
1;7;7;1;0.0003621809233286365
1;7;8;1;0.00038664250530881435
1;8;1;1;0.00028599681537544176
1;8;2;1;0.00039993984007819465
1;8;3;1;0.00038291179333672427
1;8;4;1;23.970624968424808
1;8;5;1;0.0002121963949200059
1;8;6;1;0.0002279240311662924
1;8;7;1;0.0003338599429211161
1;8;8;1;0.0003230493510563843
1;9;1;1;0.00029728217925000634
1;9;2;1;0.000250745491657957
1;9;3;1;0.0003961270556299993
1;9;4;1;0.00021825023605970273
1;9;5;1;0.0002795635550396883
1;9;6;1;0.00020261821823044836
1;9;7;1;0.0002439114307835531
1;9;8;1;0.00036284932263646544
1;10;1;1;0.0003505656759093378
1;10;2;1;0.00029117163107757974
1;10;3;1;0.0002479629956719385
1;10;4;1;0.0003389485692437688
1;10;5;1;0.0003363486778761556
1;10;6;1;0.0002481817228048601
1;10;7;1;0.0003926243670259883
1;10;8;1;0.00037410839144587
1;11;1;1;0.00024141632126726281
1;11;2;1;0.0002453202088200023
1;11;3;1;0.0003718002690596062
1;11;4;1;0.00026348505231865715
1;11;5;1;0.00023529302397233442
1;11;6;1;0.00022140139416966693
1;11;7;1;0.000219974156466262
1;11;8;1;0.0002291209878445085
1;12;1;1;0.0003898690957286456
1;12;2;1;0.000297289483434773
1;12;3;1;0.0003532294456920583
1;12;4;1;0.0003697404889564382
1;12;5;1;0.0003944547957285128
1;12;6;1;0.00039932708537795177
1;12;7;1;0.00037151726510073805
1;12;8;1;0.00034049360352619477
1;13;1;1;0.0003590237890657682
1;13;2;1;0.0003511158802273063
1;13;3;1;0.0002465657715277566
1;13;4;1;0.00028084019373508795
1;13;5;1;0.00032650914417531107
1;13;6;1;0.00037706512543941314
1;13;7;1;0.0003345616758721529
1;13;8;1;0.0003703030439858007
1;14;1;1;0.0002589972283938894
1;14;2;1;0.00033919890357546486
1;14;3;1;0.0003027872769069566
1;14;4;1;0.0002712875152894867
1;14;5;1;0.00034342311283106224
1;14;6;1;0.00037621611356280864
1;14;7;1;0.0002366913105433915
1;14;8;1;0.0002421987986608109
