;;;;0
1;37;1;1;0.00021113474183104706
1;37;2;1;0.00030083054637695673
1;37;3;1;0.00026633944127365573
1;37;4;1;0.0003717524782216882
1;37;5;1;0.00027732906111277997
1;37;6;1;0.0
1;37;7;1;0.0
1;37;8;1;0.0002953795934715128
1;37;9;1;0.0003058740362471213
1;37;10;1;0.0002591594406061213
1;37;11;1;0.00026725770167884916
1;37;12;1;0.000357858415940723
1;37;13;1;0.00036273328660592103
1;37;14;1;0.00024635546210073097
1;37;15;1;0.00039150241981242284
1;37;16;1;0.00023036373952805298
1;37;17;1;0.00039046680684890357
1;37;18;1;0.0003534059610827409
1;37;19;1;0.00033396669003037284
1;37;20;1;0.00020266159340475952
1;37;21;1;0.0002499311771970228
1;37;22;1;0.00036695891325389673
1;37;23;1;0.0003152898768398919
1;37;24;1;0.000343502553319315
1;37;25;1;0.00020331230599779715
1;37;26;1;0.0003369190614465472
1;37;27;1;0.00034174640365808886
1;37;28;1;0.0002549300757651614
1;37;29;1;0.000283365041220253
1;37;30;1;0.0002381828376889957
1;37;31;1;0.0002999152231233938
1;37;32;1;0.00025285404359000016
1;37;33;1;0.0002989900203598011
1;37;34;1;0.0003954847969026401
1;37;35;1;0.00037650105136677683
1;37;36;1;0.00022324728814125032
1;37;37;1;0.00025981362437835855
1;37;38;1;0.0003788829478321818
1;37;39;1;0.00021126264143386404
1;37;40;1;0.0002894243850338772
1;37;41;1;0.0002363663429124529
1;37;42;1;0.0003132482894429425
1;37;43;1;0.0002652146457060846
1;37;44;1;0.0003832661126130636
1;37;45;1;0.00033019592136444045
1;37;46;1;0.0002754081639464637
1;37;47;1;0.00022508501051366777
1;37;48;1;0.00034386368946296835
1;37;49;1;0.0002476168352191182
1;37;50;1;0.00037973739194285903
1;37;51;1;0.00039795280531357437
1;37;52;1;0.0003326011815359968
1;37;53;1;0.00034789225993791926
1;37;54;1;0.00039837014785888323
1;37;55;1;0.0003862271619772371
1;37;56;1;0.0003499062114081638
1;37;57;1;0.0002028737358566136
1;37;58;1;0.0002196220419879176
1;37;59;1;0.00021883662094055608
1;37;60;1;0.00038653315977437336
1;37;61;1;0.0002483734187777444
1;37;62;1;0.0002313387403624712
1;37;63;1;0.0003902873735856614
1;37;64;1;0.0002475614298588163
1;37;65;1;0.00036316985414372015
1;37;66;1;0.00024889329461633456
1;37;67;1;0.000242965855612296
1;37;68;1;0.00029880324421748276
1;37;69;1;0.0002693305296885952
1;37;70;1;0.0003855538867194019
1;37;71;1;0.000301602616735089
1;37;72;1;0.00026251046360268335
1;37;73;1;0.0002845899669570442
1;37;74;1;0.0003590203264243517
1;37;75;1;0.00025762557992056343
1;37;76;1;0.00029616755114982815
1;37;77;1;0.0002041536664330296
1;37;78;1;0.00030311217916624946
1;37;79;1;0.00035929428256733755
1;37;80;1;0.00022655759153566288
1;37;81;1;0.00035625339608157276
1;37;82;1;0.00025080698241046695
1;37;83;1;0.00028167444344314276
1;37;84;1;0.00036353486198725007
1;37;85;1;0.00025392917459363844
1;37;86;1;0.0003585235472781283
1;37;87;1;0.00020889529721971898
1;37;88;1;0.00036786649310770653
1;37;89;1;0.0003355827909615834
1;37;90;1;0.00038951637128266744
1;37;91;1;0.0003558444644704783
1;37;92;1;0.00030274863989853475
1;37;93;1;0.000301144287573846
1;37;94;1;0.0003012384099329128
1;37;95;1;0.0002227598544774874
1;37;96;1;0.00030660498648242703
1;37;97;1;0.0002579080805046561
1;37;98;1;0.000212699576115617
1;37;99;1;0.00022037822502586697
1;37;100;1;0.0003049709956276493
1;37;101;1;0.0003166459063449151
1;37;102;1;0.00032029518373886056
1;37;103;1;0.0003911284670071093
1;37;104;1;0.0003523156102933813
1;37;105;1;0.0003207177330529689
1;37;106;1;0.0002286119955942726
1;37;107;1;0.00034681205567237415
1;37;108;1;0.0003327552484897033
1;37;109;1;0.0002955548880210941
1;37;110;1;0.00035802182837688996
1;37;111;1;0.00023261439871833384
1;37;112;1;0.0002949522379092819
1;37;113;1;0.000248023230199259
1;37;114;1;0.00028582330362804983
1;37;115;1;0.00039830272687827514
1;37;116;1;0.00030487126597910616
1;37;117;1;0.0003326675344614666
1;37;118;1;0.0003892772604385701
1;37;119;1;0.00020920663529254698
1;37;120;1;0.0003781730916858581
1;37;121;1;0.0003816657654951437
1;37;122;1;0.00028471599746336906
1;37;123;1;0.00032491639130870133
1;37;124;1;0.0002592930810053069
1;37;125;1;0.0003589350155201763
1;37;126;1;0.0003207970361469911
1;37;127;1;0.0002677042822335703
1;37;128;1;0.0002844361670171221
1;37;129;1;0.0002863594673074998
1;37;130;1;0.00024023256900637495
1;37;131;1;0.00030151877440672876
1;37;132;1;0.0003489879510029706
1;37;133;1;0.00034568138580154205
1;37;134;1;0.00023418403925102636
1;37;135;1;0.00022541650812723206
1;37;136;1;0.0002677439337805813
1;37;137;1;0.00032539047428323486
1;37;138;1;0.000284805180067421
1;37;139;1;0.0002924648709989653
1;37;140;1;0.00023334561596742432
1;37;141;1;0.0002866243449818097
1;37;142;1;0.00039342318347184677
1;37;143;1;0.00024365942391775975
1;37;144;1;0.00037652241246954356
1;37;145;1;0.000305713694469477
1;37;146;1;0.00033080471279329794
1;37;147;1;0.0003927184005874304
1;37;148;1;0.00029179973966156006
1;37;149;1;0.0002525830245986449
1;37;150;1;0.0003278041453890057
1;37;151;1;0.00021559186943025934
1;37;152;1;0.00034897646941023315
1;37;153;1;0.00025424385033877376
1;37;154;1;0.00021522993224525218
1;37;155;1;0.0002917404626013818
1;37;156;1;0.000303556223090017
1;37;157;1;0.0003911677180334435
1;37;158;1;0.00033850779346483766
1;37;159;1;0.0002725174727145289
1;37;160;1;0.0003773753880044056
1;37;161;1;0.0
1;37;162;1;0.0
1;37;163;1;0.0
1;37;164;1;0.0
1;37;165;1;0.0
1;37;166;1;0.0003701570708587831
1;37;167;1;0.00027127225393010917
1;37;168;1;0.000369344147391609
1;3;1;1;0.00012812609956077195
1;3;2;1;0.0
1;3;3;1;6.330990287373584e-05
1;3;4;1;1.2880584727598076e-05
1;3;5;1;0.00010655932418136072
1;3;6;1;9.145048563132075e-05
1;3;7;1;4.305589484579836e-05
1;3;8;1;0.004743971875540457
1;3;9;1;0.0002905089242046808
1;3;10;1;0.00028866593237875907
1;3;11;1;2.167137278462003e-05
1;3;12;1;9.88458637441801e-06
1;3;13;1;6.170594812582182e-05
1;3;14;1;0.00012480598110877473
1;3;15;1;0.0001628962206026156
1;3;16;1;0.004845399598246641
1;3;17;1;0.00031451950142329
1;3;18;1;0.00023833904075297888
1;3;19;1;5.4871733253229196e-05
1;3;20;1;6.922116080983833e-05
1;3;21;1;9.181776309201962e-05
1;3;22;1;0.00012140876472747905
1;3;23;1;0.0001915661581881434
1;3;24;1;0.00475017847745628
1;3;25;1;0.00023233810850573373
1;3;26;1;0.00035549881512633095
1;3;27;1;8.313220520009344e-05
1;3;28;1;2.7471285972549835e-05
1;3;29;1;0.00011529694976128125
1;3;30;1;0.0002620895539658962
1;3;31;1;0.00021545628201578604
1;3;32;1;0.004701269162012871
1;3;33;1;0.00017288815690198219
1;3;34;1;0.00027473675778512066
1;3;35;1;4.6849838122893094e-05
1;3;36;1;0.00013057836240307083
