;;;0
1;1;1;0.00031623684122692846
1;2;1;0.00036923427121925205
1;3;1;0.0003050122492573677
1;4;1;0.00035832569006374946
1;5;1;0.0003809509695938049
1;6;1;0.00023797817162310957
1;7;1;0.00036290243983845625
1;8;1;0.00029659784386368944
1;9;1;0.0003847380261005977
1;10;1;0.00036921157504756196
1;11;1;0.00036243836988084554
1;12;1;0.0003882496578885881
1;13;1;0.00039429605153365975
1;14;1;0.00020633143086011817
1;15;1;0.0003455720436567534
1;16;1;0.0002760750308734686
1;17;1;0.0003266688027769434
1;18;1;0.00038764941090083826
1;19;1;0.0003917901271653152
1;20;1;0.00023955061580054093
1;21;1;0.0003089269383531921
1;22;1;0.00036270912185841557
1;23;1;0.0003227671973565642
1;24;1;0.0003683269583792261
1;25;1;0.00032870278028103184
1;26;1;0.00020704075297887237
1;27;1;0.00021246420346450424
1;28;1;0.00025971870097793773
1;29;1;0.00027449470978939286
1;30;1;0.00026058983345015224
1;31;1;0.00037498134241180185
1;32;1;0.0002490823403758224
1;33;1;0.0003513753212509596
1;34;1;0.00035414665732118414
1;35;1;0.0003833267247421654
1;36;1;0.00035841740929875546
1;37;1;0.0003324989152564997
1;38;1;0.0003045063916424689
1;39;1;0.00026758773071659814
1;40;1;0.00025825306231434185
1;41;1;0.0002121249624511869
1;42;1;0.0002188627882914457
1;43;1;0.00035931951536998126
1;44;1;0.0002533966156002808
1;45;1;0.0003963174793898736
1;46;1;0.0002639271052368081
1;47;1;0.0002597721037348558
1;48;1;0.00028025606621941813
1;49;1;0.00031159787724041246
1;50;1;0.00023276966723407064
1;51;1;0.00024733700477287186
1;52;1;0.00020734074296585657
1;53;1;0.00023137238409932952
1;54;1;0.00021794025566569827
1;55;1;0.00030396235105637344
1;56;1;0.00029317899936584215
1;57;1;0.00020784846967724665
1;58;1;0.0002739070124495178
1;59;1;0.00038537699008711336
1;60;1;0.00034181475918694363
1;61;1;0.0003896219752344716
1;62;1;0.00033483074663729533
1;63;1;0.0003461786989753343
1;64;1;0.00037675404692767255
1;65;1;0.00021839364507192615
1;66;1;0.000275010847434999
1;67;1;0.0003434386035179066
1;68;1;0.0002150913520910521
1;69;1;0.0002896059544073965
1;70;1;0.0003237594205800872
1;71;1;0.0003665451753946803
1;72;1;0.0002514929408230699
1;73;1;0.00034113107039150865
1;74;1;0.0002919432595707747
1;75;1;0.00024323567304162077
1;76;1;0.0002667165982443839
1;77;1;0.0003706665331597751
1;78;1;0.0003599974633690467
1;79;1;0.00027360475284536585
1;80;1;0.000244578485364307
1;81;1;0.00037794773205166723
1;82;1;0.00035979613497546826
1;83;1;0.0003045656687026465
1;84;1;0.0003247184005874302
1;85;1;0.0002187449017055505
1;86;1;0.0003002276292513595
1;87;1;0.00023557077534127696
1;88;1;0.0002072934815259839
1;89;1;0.00037728593838656934
1;90;1;0.0002929535062247592
1;91;1;0.00022459597476719672
1;92;1;0.00028437982710857414
1;93;1;0.0003085724775541541
1;94;1;0.00030940823069990986
1;95;1;0.0003153693134408071
1;96;1;0.0003276520810386837
1;97;1;0.0003393356697039493
1;98;1;0.00026878408597843845
1;99;1;0.00021049711291345335
1;100;1;0.0002836746437034807
1;101;1;0.00029847695337271833
1;102;1;0.00021042208203998487
1;103;1;0.0002013964820933885
1;104;1;0.00024183144754847985
1;105;1;0.00021719448616534814
1;106;1;0.0003686017155635665
1;107;1;0.0003399638196321889
1;108;1;0.00024304409065118007
1;109;1;0.0003473552952171163
1;110;1;0.00033179613497546763
1;111;1;0.00037007242748906914
1;112;1;0.0003879182937819167
1;113;1;0.0002790075097626918
1;114;1;0.00025281065385000524
1;115;1;0.0002172967524448451
1;116;1;0.00020531290677881293
1;117;1;0.00030756970728613845
1;118;1;0.0002665247488401591
1;119;1;0.0002178688294783214
1;120;1;0.0003959915890657853
1;121;1;0.0003737731050365481
1;122;1;0.0003633404759520709
1;123;1;0.00032698481359100186
1;124;1;0.00021671239277727743
1;125;1;0.00022535509495677747
1;126;1;0.00024581716231100454
1;127;1;0.00030369573779246307
1;128;1;0.00036476392643770253
1;129;1;0.0002603332332031637
1;130;1;0.000303877707686659
1;131;1;0.00022994225826908295
1;132;1;0.00029844371015653646
1;133;1;0.0003878845165381667
1;134;1;0.0002177287807483059
1;135;1;0.00028597977370581736
1;136;1;0.00037689209305430415
1;137;1;0.00035237502086045235
1;138;1;0.00037054437435332557
1;139;1;0.0002580228964320285
1;140;1;0.00025951043022596067
1;141;1;0.0002295994125696747
1;142;1;0.0003443501885784856
1;143;1;0.0003790822736223757
1;144;1;0.00038199993324655355
1;145;1;0.00039297807149294084
1;146;1;0.0002437717032141785
1;147;1;0.00030713500884483084
1;148;1;0.00036796822535963426
1;149;1;0.0003165433730516334
1;150;1;0.0002643384399719634
1;151;1;0.00029433530255999416
1;152;1;0.0003567898267748073
1;153;1;0.0002775924702112749
1;154;1;0.0003995964086645975
1;155;1;0.00035790861453222485
1;156;1;0.00035499415907346265
1;157;1;0.00036886432362070743
1;158;1;0.00020818223690798098
1;159;1;0.00030022108741363746
1;160;1;0.00039234765194753163
1;161;1;0.00020010667200694236
1;162;1;0.00020759200293715143
1;163;1;0.00023189239344481154
1;164;1;0.0003507969693935447
1;165;1;0.0002933494876673008
1;166;1;0.0003714803911751944
1;167;1;0.0003588242047995729
1;168;1;0.00026511304696104967
2;1;1;0.00039524501852408116
2;2;1;0.0002930994292580358
2;3;1;0.00036564387036480775
2;4;1;0.00037686672674476794
2;5;1;0.0002399221654817925
