;;;0
1;9;1;-0.00032880785020526684
1;9;2;-0.00032372791295350625
1;9;3;-0.0002844991822702847
1;9;4;-0.00023526878275090954
1;9;5;-0.0003963412436167017
1;9;6;-0.0003027717365909015
1;9;7;-0.00032383605353626384
1;9;8;-0.0002909071125796869
2;9;1;-0.00025043997196355264
2;9;2;-0.0002911625112646441
2;9;3;-0.0003876375287874237
2;9;4;-0.00027830566402990556
2;9;5;-0.00025382023296952706
2;9;6;-0.0003259127532458863
2;9;7;-0.0002737298488034445
2;9;8;-0.0003299680250992958
3;9;1;-0.0002754281899803077
3;9;2;-0.00039139187610560396
3;9;3;-0.0002419309101832382
3;9;4;-0.00023258476018824474
3;9;5;-0.00023281452554988152
3;9;6;-0.0003892103734855312
3;9;7;-0.0003815617636260472
3;9;8;-0.0002852685824905711
4;9;1;-0.0003220925870298054
4;9;2;-0.00025460952571676514
4;9;3;-0.0003100593438136244
4;9;4;-0.00024773752544975135
4;9;5;-0.00030446059877841194
4;9;6;-0.0002464188778745703
4;9;7;-0.0003189059110176563
4;9;8;-0.0003637101565368312
5;9;1;-0.00034653502887086547
5;9;2;-0.0002493118387236741
5;9;3;-0.00032362084042588697
5;9;4;-0.00023072901438536765
5;9;5;-0.0002833199158906579
5;9;6;-0.00039795053569640536
5;9;7;-0.0003683966489770035
5;9;8;-0.00034081052034311277
6;9;1;-0.00022750829411568373
6;9;2;-0.00039672107072527617
6;9;3;-0.00034357237742398453
6;9;4;-0.000270492039651547
6;9;5;-0.0002548874870665198
6;9;6;-0.00039300370481626113
6;9;7;-0.0003569297419979307
6;9;8;-0.00024070598444644707
7;9;1;-0.0003650774006208071
7;9;2;-0.00022869637195020194
7;9;3;-0.0003096938019425253
7;9;4;-0.0002426047194686426
7;9;5;-0.00032315410033042954
7;9;6;-0.0003936019492006275
7;9;7;-0.00030814632355395346
7;9;8;-0.00021149521044023899
8;9;1;-0.0003155093621708221
8;9;2;-0.00032587003104035244
8;9;3;-0.00030528153265912353
8;9;4;-0.00022300497313173793
8;9;5;-0.00030881973231868096
8;9;6;-0.00027191989586462404
8;9;7;-0.00027610854110343447
8;9;8;-0.000324083308300791
9;9;1;-0.0003153479523380395
9;9;2;-0.00036070878809118525
9;9;3;-0.00036568085177397287
9;9;4;-0.0003896648309468976
9;9;5;-0.0003814688428290111
9;9;6;-0.000310276292513601
9;9;7;-0.00024473402089382864
9;9;8;-0.00022482013283935785
10;9;1;-0.00023214285237475388
10;9;2;-0.00035788645238810454
10;9;3;-0.000322296318547445
10;9;4;-0.00020489236006808852
10;9;5;-0.0003374609659223658
10;9;6;-0.0002250547044491172
10;9;7;-0.00036100103467841526
10;9;8;-0.00025991014986148663
11;9;1;-0.000353729181268983
11;9;2;-0.00027752705183405095
11;9;3;-0.0003071440873135076
11;9;4;-0.0002982426487767431
11;9;5;-0.00038139995327258775
11;9;6;-0.00031795066920329765
11;9;7;-0.0002561463235539535
11;9;8;-0.0003705405026534495
12;9;1;-0.00020487593872033644
12;9;2;-0.00033351703881712895
12;9;3;-0.00029724762190848103
12;9;4;-0.0002089987650612463
12;9;5;-0.00030123333667100567
12;9;6;-0.00032477233737191683
12;9;7;-0.0003392435499482661
12;9;8;-0.00035964433763893065
13;9;1;-0.00035195954741163517
13;9;2;-0.00025352905443743536
13;9;3;-0.0002723775574914055
13;9;4;-0.0003888330830079103
13;9;5;-0.00024784352992223227
13;9;6;-0.00029730369480324425
13;9;7;-0.00031126224091318716
13;9;8;-0.0002949213978171623
14;9;1;-0.00034196909315443405
14;9;2;-0.00021935462768265412
14;9;3;-0.0003272323353693135
14;9;4;-0.0002529466973732519
14;9;5;-0.0003951145822903108
14;9;6;-0.0002674649043756884
14;9;7;-0.0002199906545175395
14;9;8;-0.000241695938052802
15;9;1;-0.00037015266513133743
15;9;2;-0.000288426955041554
15;9;3;-0.00036066045859617504
15;9;4;-0.0003161344414405394
15;9;5;-0.000276117886585895
15;9;6;-0.00030577003437802475
15;9;7;-0.00039798150929541736
15;9;8;-0.00035076359267047165
16;9;1;-0.00023924942425152697
16;9;2;-0.00032589820099462635
16;9;3;-0.0003249050432228564
16;9;4;-0.00024213290611127802
16;9;5;-0.000322643169453623
16;9;6;-0.00027048175962084045
16;9;7;-0.00034131611094422753
16;9;8;-0.0002340993958813124
17;9;1;0.0
17;9;2;-0.0002080777010113147
17;9;3;-0.00033695737792463536
17;9;4;0.0
17;9;5;-0.0003788364874336638
17;9;6;-0.0002571450127005191
17;9;7;-0.00022755835920029371
17;9;8;-0.00028149821434531557
18;9;1;0.0
18;9;2;-0.0003800714261873769
18;9;3;-0.00023260171556356598
18;9;4;0.0
18;9;5;-0.00022475431394145722
18;9;6;-0.00035323093354694434
18;9;7;-0.00021236220419879178
18;9;8;-0.0002285069256700377
19;9;1;-0.0002347758753045626
19;9;2;-0.0003797778445312239
19;9;3;-0.0002155323253562965
19;9;4;-0.0002650017022128768
19;9;5;-0.0002663391742598712
19;9;6;-0.0003945939054103668
19;9;7;-0.0003875973432128434
19;9;8;-0.0002666386302192851
20;9;1;-0.0002714538233036281
20;9;2;-0.000329528920930543
20;9;3;-0.0003787173992857382
20;9;4;-0.0002901490604452455
20;9;5;-0.0003040899836454057
20;9;6;-0.0002770591101765629
20;9;7;-0.00035165421714896034
20;9;8;-0.000223879843796936
21;9;1;-0.00027776869930910185
21;9;2;-0.00021501244951770636
21;9;3;-0.00031141617436000133
21;9;4;-0.0002331426854911385
21;9;5;-0.00028209458963318986
21;9;6;-0.0003667212709856146
21;9;7;-0.000365866159340476
21;9;8;-0.0003775979439938587
22;9;1;0.0
22;9;2;-0.00030823523914422083
22;9;3;-0.00020587056506792163
22;9;4;0.0
22;9;5;-0.00039055518841160175
22;9;6;-0.00039104689429591806
22;9;7;-0.00032673168452321353
22;9;8;-0.00020606361603417778
23;9;1;-0.00039199479323120056
23;9;2;-0.00038364727479056105
23;9;3;-0.00030047354894696443
23;9;4;-0.00029575928707319517
23;9;5;-0.0002646774139714963
23;9;6;-0.0003159607489736658
23;9;7;-0.0002991388805447081
23;9;8;-0.00022773458829812088
24;9;1;-0.00024306785487800811
24;9;2;-0.0003766993091018324
24;9;3;-0.0003981669503688128
24;9;4;-0.0003085676713060312
24;9;5;-0.0002185724108007076
24;9;6;-0.0002919542071359434
24;9;7;-0.00029285804879676915
24;9;8;-0.00022725783518574147
25;9;1;-0.0003756794499516038
25;9;2;-0.00033103688127899606
25;9;3;-0.00023379446613931446
25;9;4;-0.0002342487900937886
25;9;5;-0.00032175614966122626
25;9;6;-0.00029692186509128535
25;9;7;-0.00034728199993324657
25;9;8;-0.00034797610226627954
26;9;1;-0.00024029918894562932
26;9;2;-0.00030825152698508063
26;9;3;-0.0002638530089115851
26;9;4;-0.0002440942558659591
26;9;5;-0.00022118180301058043
26;9;6;-0.0003178932612396115
26;9;7;-0.0003888117219051434
26;9;8;-0.00029837775775174395
27;9;1;-0.00031641347084543245
27;9;2;-0.0002012086378959314
27;9;3;-0.0003588798771736591
27;9;4;-0.00021525596608924937
27;9;5;-0.00034880891826040525
27;9;6;-0.00022295290544374353
27;9;7;-0.0002940230299389206
27;9;8;-0.00020690457594873334
28;9;1;-0.00035172217215713767
28;9;2;-0.0003224363672774607
28;9;3;-0.0003628489035746471
28;9;4;-0.00023489215980775007
28;9;5;-0.00034744741497279795
28;9;6;-0.00030384379693601684
28;9;7;-0.00024148099195620974
28;9;8;-0.0003909359500684223
29;9;1;-0.0003932994225826909
29;9;2;-0.0003630729281399153
29;9;3;-0.00027618263742865725
29;9;4;-0.0002276468742698842
29;9;5;-0.0002609878174960782
29;9;6;-0.0002131828710657188
29;9;7;-0.000360497046160008
29;9;8;-0.00036224304929742004
30;9;1;-0.0002781832382096726
30;9;2;-0.0002727434998831815
30;9;3;-0.00025554420746971065
30;9;4;-0.00032645599279062783
30;9;5;-0.0003136566870264677
30;9;6;-0.00023447802142785625
30;9;7;-0.00021461326390974933
30;9;8;-0.0003472046994426087
31;9;1;-0.0002230438236373953
31;9;2;-0.00033002249591135145
31;9;3;-0.00021660411868762726
31;9;4;-0.0003098700310403525
31;9;5;-0.00023385507826841564
31;9;6;-0.0002589152565001168
31;9;7;-0.00027654857982043325
31;9;8;-0.0003597488735355963
32;9;1;-0.00031014452121090754
32;9;2;-0.00023012636427355564
32;9;3;-0.0002764728814125029
32;9;4;-0.0002793267247421648
32;9;5;-0.00029239678248389576
32;9;6;-0.0002492022295651013
32;9;7;-0.00021219718967991724
32;9;8;-0.0003191802676813191
33;9;1;-0.0003639452621741598
33;9;2;-0.0003865785521177531
33;9;3;-0.00030742725543206166
33;9;4;-0.00032823951136477423
33;9;5;-0.00039298341176863255
33;9;6;-0.000290187510430226
33;9;7;-0.00038732205200093454
33;9;8;-0.0003641339074129702
34;9;1;-0.00037507706685357636
34;9;2;-0.0003982841694202464
34;9;3;-0.00039985741463903073
34;9;4;-0.00025104529221321053
34;9;5;-0.0002375400020026034
34;9;6;-0.000245724642034645
34;9;7;-0.00034369814091652484
34;9;8;-0.00022465151363439137
35;9;1;-0.00021922445846266813
35;9;2;-0.00037693882046660666
35;9;3;-0.0002926509796068222
35;9;4;-0.00038592690497646945
35;9;5;-0.00025710677213711163
35;9;6;-0.0002579923233536932
35;9;7;-0.00027126718066820203
35;9;8;-0.00038337051500283704
36;9;1;-0.0003351958879877174
36;9;2;-0.000399213911418177
36;9;3;-0.0003704222155468776
36;9;4;-0.0003661568038449985
36;9;5;-0.00021617235739795066
36;9;6;-0.00020823096692366744
36;9;7;-0.0003820820399853143
36;9;8;-0.0003477603551283335
37;9;1;-0.0003521726244117353
37;9;2;-0.000204768332165148
37;9;3;-0.0003946302192850706
37;9;4;-0.0002189215313240546
37;9;5;-0.0002742661459897868
37;9;6;-0.00022623357030806716
37;9;7;-0.0003572138446647308
37;9;8;-0.00023325616634958782
38;9;1;-0.00024310510330095793
38;9;2;-0.00029889976970061085
38;9;3;-0.00026769133206501787
38;9;4;-0.00034955148359534067
38;9;5;-0.00020966896966055873
38;9;6;-0.0003616497446680685
38;9;7;-0.00034904202129434935
38;9;8;-0.0003809117185674711
39;9;1;-0.00021803384399719637
39;9;2;-0.0003027443676779814
39;9;3;-0.0002939327792797303
39;9;4;-0.0002687408297453356
39;9;5;-0.00022723086679349823
39;9;6;-0.00022525883648743367
39;9;7;-0.00021157157638263078
39;9;8;-0.0003590714595641
40;9;1;-0.00022751149828109877
40;9;2;-0.0003423885718100197
40;9;3;-0.0003066621274323287
40;9;4;-0.0002862342378425286
40;9;5;-0.0002814385367644605
40;9;6;-0.00039007015787190013
40;9;7;-0.0002010150529021061
40;9;8;-0.00034185401021327727
41;9;1;-0.00036136136978071493
41;9;2;-0.0002656884616668336
41;9;3;-0.00023684977136944696
41;9;4;-0.00030856219752344716
41;9;5;-0.000331291745936384
41;9;6;-0.00027429217983378397
41;9;7;-0.00020356930676546176
41;9;8;-0.00026819518707653286
42;9;1;-0.0003187557157638263
42;9;2;-0.00025232455525516504
42;9;3;-0.0002798321818363873
42;9;4;-0.00034078782417142284
42;9;5;-0.00038667681319048096
42;9;6;-0.0003549443610026368
42;9;7;-0.00022131944861653483
42;9;8;-0.00035859977971362773
43;9;1;-0.00031599332465538535
43;9;2;-0.00037590574413404095
43;9;3;-0.00036793191148493045
43;9;4;-0.0002119029404893028
43;9;5;-0.00021267047161309703
43;9;6;-0.00028453616367945
43;9;7;-0.00036130409532392113
43;9;8;-0.00020747384933747203
44;9;1;-0.0003531691198558126
44;9;2;-0.0003118862521277661
44;9;3;-0.0002763257568171957
44;9;4;-0.000284860718934615
44;9;5;-0.00022299162244250863
44;9;6;-0.00024990247321517975
44;9;7;-0.0003819238343179467
44;9;8;-0.0003473091018323821
45;9;1;-0.0003731223924435099
45;9;2;-0.0002233486198725009
45;9;3;-0.000262400987951003
45;9;4;-0.0003917691665832249
45;9;5;-0.0002365156036180368
45;9;6;-0.00020718680951904145
45;9;7;-0.00037868842829011053
45;9;8;-0.0003231435532859384
46;9;1;-0.00023931884783551954
