;;;;0
1;1;41;1;0.00037625499816428025
1;1;42;1;0.00028207042488568473
1;1;43;1;0.00031264897700343785
1;1;44;1;0.00029120723607356226
1;1;45;1;0.00025129868829478337
1;1;46;1;0.0003111598411267983
1;1;47;1;0.0002045349621174194
1;1;48;1;0.0003567272120423221
1;1;49;1;0.00031399886519141554
1;1;50;1;0.0003404165415039552
1;1;51;1;0.00023879496679016064
1;1;52;1;0.00039184032575681726
1;1;53;1;0.0002545449083808953
1;1;54;1;0.0003884359000033375
1;1;55;1;0.00024474990821401164
1;1;56;1;0.0002165245485798205
1;1;57;1;0.0002006266813524249
1;1;58;1;0.00035726497780447924
1;1;59;1;0.00030887794132372084
1;1;60;1;0.0003560020026033844
1;1;61;1;0.0003787864223490537
1;1;62;1;0.000306584960448583
1;1;63;1;0.00024807236073562275
1;1;64;1;0.00028501144821601395
1;1;65;1;0.00039074396715730453
1;1;66;1;0.0003108455659023397
1;1;67;1;0.0002825844264210139
1;1;68;1;0.0002797886585894995
1;1;69;1;0.0003308833483528588
1;1;70;1;0.0002727580521344412
1;1;71;1;0.0003653007576516136
1;1;72;1;0.0003597789125863627
1;1;73;1;0.00022040105470444915
1;1;74;1;0.00029773078335169044
1;1;75;1;0.0003166389639865159
1;1;76;1;0.0002753607689996994
1;1;77;1;0.00028934761857080874
1;1;78;1;0.00024443176128967646
1;1;79;1;0.00026590541036681023
1;1;80;1;0.0003438749040419216
1;1;81;1;0.00022388358198992012
1;1;82;1;0.00039232268615867286
1;1;83;1;0.00022195961416508113
1;1;84;1;0.00030336263809619155
1;1;85;1;0.000273027869563766
1;1;86;1;0.00037788778745702714
1;1;87;1;0.0002147145956410002
1;1;88;1;0.00029032996228430295
1;1;89;1;0.0003237327192016287
1;1;90;1;0.0002085366977070191
1;1;91;1;0.00027281238943960474
1;1;92;1;0.0003835086946363606
1;1;93;1;0.0003452707186008478
1;1;94;1;0.0003900035379326459
1;1;95;1;0.0002626888288107871
1;1;96;1;0.0003714773205166717
1;1;97;1;0.00021747124595307234
1;1;98;1;0.00029859110176562865
1;1;99;1;0.000348842027969694
1;1;100;1;0.0003050075765161378
1;1;101;1;0.0002747777444010547
1;1;102;1;0.0003156650312072362
1;1;103;1;0.00024301485264176785
1;1;104;1;0.00029868722672808017
1;1;105;1;0.0002444806248122559
1;1;106;1;0.00037326831547678646
1;1;107;1;0.000366963585995127
1;1;108;1;0.00034341804345649357
1;1;109;1;0.00022899262374420065
1;1;110;1;0.00029501485264176743
1;1;111;1;0.0003921631454223821
1;1;112;1;0.00039748726678014764
1;1;113;1;0.0003866810854110343
1;1;114;1;0.00026036714395380673
1;1;115;1;0.00023478094856646975
1;1;116;1;0.0003852656453389407
1;1;117;1;0.00036780414538900585
1;1;118;1;0.0003478369880845102
1;1;119;1;0.0003904911051033006
1;1;120;1;0.0002756962718200326
1;1;121;1;0.00020009879510029702
1;1;122;1;0.00036447021127465693
1;1;123;1;0.0002604547244751512
1;1;124;1;0.0002005318914588967
1;1;125;1;0.00024746597243082704
1;1;126;1;0.00024545402356396625
1;1;127;1;0.0003156376622943159
1;1;128;1;0.0003033563632722544
1;1;129;1;0.0003426085911685192
1;1;130;1;0.00022995040218951306
1;1;131;1;0.00023599586128633882
1;1;132;1;0.0002662143453155768
1;1;133;1;0.00033983084676746447
1;1;134;1;0.00020682901104769532
1;1;135;1;0.0002783494542905772
1;1;136;1;0.00030523680785020526
1;1;137;1;0.00024832495577584195
1;1;138;1;0.0003771771302693503
1;1;139;1;0.0002185996462067354
1;1;140;1;0.00031965915690397524
1;1;141;1;0.0003942035312573011
1;1;142;1;0.0002468085844931744
1;1;143;1;0.00027365922365742146
1;1;144;1;0.00038991101765628686
1;1;145;1;0.0003509961616768466
1;1;146;1;0.00024034097660291726
1;1;147;1;0.00020438957311171198
1;1;148;1;0.0002541526651313374
1;1;149;1;0.00037958078835819916
1;1;150;1;0.0003951343413103703
1;1;151;1;0.0002887771436200397
1;1;152;1;0.00024720603451153185
1;1;153;1;0.000393914889356163
1;1;154;1;0.0003185230132505591
1;1;155;1;0.0002895912686492439
1;1;156;1;0.00037955168385567917
1;1;157;1;0.00020008477687660624
1;1;158;1;0.0003437468709322117
1;1;159;1;0.00035707059176930003
1;1;160;1;0.00038723140082106734
1;1;161;1;0.00028217442675478125
1;1;162;1;0.0002688428290110478
1;1;163;1;0.0002964005206768798
1;1;164;1;0.0002811860752311337
1;1;165;1;0.0002622274289910215
1;1;166;1;0.00035315670371482944
1;1;167;1;0.00036782270284703444
1;1;168;1;0.0
1;2;41;1;0.0006986711911188769
1;2;42;1;0.0004640037400890189
1;2;43;1;0.00016583000509308047
1;2;44;1;0.00030746767293815536
1;2;45;1;0.0
1;2;46;1;0.00040677351942735386
1;2;47;1;0.0006128491022288367
1;2;48;1;0.00022644277997251505
1;2;49;1;0.0006631251051104203
1;2;50;1;0.0004252102157542574
1;2;51;1;0.00029352438169620506
1;2;52;1;0.0003336849904876339
1;2;53;1;0.0
1;2;54;1;0.00043256454946973976
1;2;55;1;0.0006818515070584461
1;2;56;1;0.0004309617503747571
1;2;57;1;0.000643715412975948
1;2;58;1;0.0005820097455981711
1;2;59;1;0.0003261296383051155
1;2;60;1;0.00019681963729202052
1;2;61;1;6.595164223177554e-05
1;2;62;1;0.00025340007408194347
1;2;63;1;0.00048529215165996883
1;2;64;1;0.0003786104005709697
1;2;65;1;0.000718718094596436
1;2;66;1;0.0004127062959146305
1;2;67;1;0.0003100830432123407
1;2;68;1;0.0003425336653244926
1;2;69;1;0.00016093839146847988
1;2;70;1;0.0003081882985698074
1;2;71;1;0.000692167689655393
1;2;72;1;0.00040156964553136475
1;2;73;1;0.0006737383278668368
1;2;74;1;0.0004404394559898777
1;2;75;1;0.0002839265694092096
1;2;76;1;0.0003132442510502316
1;2;77;1;0.0
1;2;78;1;0.0003046637450907137
