;;;;0
1;1;1;1;0.0002591340742965856
1;1;2;1;0.000350109675912019
1;1;3;1;0.0003409930242648777
1;1;4;1;0.0002480134841961216
1;1;5;1;0.0002099975301224926
1;1;6;1;0.00028288334835285876
1;1;7;1;0.00027413771235940056
1;1;8;1;0.0002670647842194854
1;2;1;1;0.0002200102800307066
1;2;2;1;0.0002750881479256367
1;2;3;1;0.00038642969193284607
1;2;4;1;0.0002262268949634525
1;2;5;1;0.0002776506792163146
1;2;6;1;0.000348800640833083
1;2;7;1;0.0003820152865391676
1;2;8;1;0.00020134094322619406
1;3;1;1;0.00038393765228129906
1;3;2;1;0.0003759865158038784
1;3;3;1;0.00032473001568705985
1;3;4;1;0.0003158307132605721
1;3;5;1;0.0002431239277727713
1;3;6;1;0.00031098694970127836
1;3;7;1;0.00028689469643870363
1;3;8;1;0.00032091372117085544
1;4;1;1;0.00037347938987350226
1;4;2;1;0.0002288308133907413
1;4;3;1;0.00024787503754881345
1;4;4;1;0.0003894437435332599
1;4;5;1;0.0003330850105136678
1;4;6;1;0.00026308467674643706
1;4;7;1;0.000238940355795868
1;4;8;1;0.0002633889389539735
1;5;1;1;0.0003461924501852408
1;5;2;1;0.000322852508260739
1;5;3;1;0.00029813611027669306
1;5;4;1;0.0003116914655719102
1;5;5;1;0.00034075257835185745
1;5;6;1;0.0003716607589866827
1;5;7;1;0.00021721170855445413
1;5;8;1;0.00029160295050231967
1;6;1;1;0.0003778330496311873
1;6;2;1;0.0003209477654283903
1;6;3;1;0.0002556571543005908
1;6;4;1;0.00030104776209071793
1;6;5;1;0.00020723727512432828
1;6;6;1;0.00036807930309402226
1;6;7;1;0.00024558899903207504
1;6;8;1;0.00021691745936383967
1;7;1;1;0.00022742965855612299
1;7;2;1;0.00027842114749173925
1;7;3;1;0.0002446038516738427
1;7;4;1;0.0002781792330029038
1;7;5;1;0.00031445919695604284
1;7;6;1;0.00022221527986382298
1;7;7;1;0.00033873221855078273
1;7;8;1;0.0002883954474149728
1;8;1;1;0.0002667780114148393
1;8;2;1;0.00020287920963919762
1;8;3;1;0.00021346123293615032
1;8;4;1;0.0003265239477988051
1;8;5;1;0.0002394590300724275
1;8;6;1;0.00023262534628350188
1;8;7;1;0.00031896051533660425
1;8;8;1;0.0002520385834918728
1;9;1;1;0.00037831260638830486
1;9;2;1;0.00030308574480157537
1;9;3;1;0.00035196542171489606
1;9;4;1;0.000298033710490304
1;9;5;1;0.0002000361803678115
1;9;6;1;0.0003650304061947198
1;9;7;1;0.0002765993124395047
1;9;8;1;0.0003580892493574981
1;10;1;1;0.0003690573745869631
1;10;2;1;0.00031520710256667
1;10;3;1;0.00034620927205366984
1;10;4;1;0.00024351777310503657
1;10;5;1;0.00025051980908514403
1;10;6;1;0.0003020362471212576
1;10;7;1;0.0002923688795434064
1;10;8;1;0.00021156757117586197
1;11;1;1;0.0002110392844030573
1;11;2;1;0.0003772800640833083
1;11;3;1;0.0002012516271152498
1;11;4;1;0.0003041678181636127
1;11;5;1;0.00021030072427489067
1;11;6;1;0.0002734393378058143
1;11;7;1;0.00034551490270685225
1;11;8;1;0.00031037588865525187
1;12;1;1;0.00031207262774940757
1;12;2;1;0.00025307940322419147
1;12;3;1;0.0002857457361236274
1;12;4;1;0.00023753813290611122
1;12;5;1;0.00020087206702045993
1;12;6;1;0.0003692342712192516
1;12;7;1;0.00034165935716431355
1;12;8;1;0.0002905589266045859
1;13;1;1;0.00029588144587964355
1;13;2;1;0.00022599646206735428
1;13;3;1;0.0003252887420313074
1;13;4;1;0.00035365241480591437
1;13;5;1;0.0002801764961116118
1;13;6;1;0.0003544760188244718
1;13;7;1;0.00020182931143820302
1;13;8;1;0.0003233342011281332
1;14;1;1;0.00027404826274156406
1;14;2;1;0.0003200835753145757
1;14;3;1;0.00027030913520910524
1;14;4;1;0.0002111091085077267
1;14;5;1;0.00036548873535596283
1;14;6;1;0.00020938233036280502
1;14;7;1;0.0003416059544073963
1;14;8;1;0.0003191527652615067
1;15;1;1;0.00028227629251360105
1;15;2;1;0.0003599169587129936
1;15;3;1;0.0003697282467207369
1;15;4;1;0.0003504497179666901
1;15;5;1;0.00022142718867861554
1;15;6;1;0.0002113885384332966
1;15;7;1;0.00035714629017723036
1;15;8;1;0.000297011848736691
1;16;1;1;0.0002811939521377792
1;16;2;1;0.00022558312472881412
1;16;3;1;0.0002721719568772738
1;16;4;1;0.0003241440539367845
1;16;5;1;0.00038418544107339536
1;16;6;1;0.00023743079336470746
1;16;7;1;0.0002406639297753747
1;16;8;1;0.0003886910316745101
1;17;1;1;0.00021645031874770534
1;17;2;1;0.00037682093388071163
1;17;3;1;0.00033468402256266476
1;17;4;1;0.000308127899602817
1;17;5;1;0.00039574166416341244
1;17;6;1;0.000302408731350756
1;17;7;1;0.00035483955809218653
1;17;8;1;0.00024390013684456456
1;18;1;1;0.00029946009812756584
1;18;2;1;0.0003821123460498648
1;18;3;1;0.0002906474416741764
1;18;4;1;0.0003447166649978306
1;18;5;1;0.000348328159941257
1;18;6;1;0.0003078025433062982
1;18;7;1;0.00031590828076499453
1;18;8;1;0.00021566436367277466
1;19;1;1;0.00034406261473248563
1;19;2;1;0.00026718761056039516
1;19;3;1;0.00034620967257434674
1;19;4;1;0.00035467494409398894
1;19;5;1;0.00024856540168886226
1;19;6;1;0.0003504761523313641
1;19;7;1;0.00023903634725142687
1;19;8;1;0.0002377876572878075
1;20;1;1;0.0002175946063215514
1;20;2;1;0.0002985340943226194
1;20;3;1;0.00036418156937351897
1;20;4;1;0.00039175608290778024
1;20;5;1;0.00032840999966623276
1;20;6;1;0.00021567023797603552
1;20;7;1;0.00026101211575047564
1;20;8;1;0.00027287487066519813
1;21;1;1;0.00038473468842829014
1;21;2;1;0.0003141151496946029
1;21;3;1;0.00032732725876973397
1;21;4;1;0.0002904271553018925
1;21;5;1;0.00020119502019291747
1;21;6;1;0.0002400057407963687
1;21;7;1;0.00030875885317579516
1;21;8;1;0.00022377851206568537
1;22;1;1;0.00026714141717566173
1;22;2;1;0.00021642962517939986
1;22;3;1;0.0003198914588965656
1;22;4;1;0.00030373338673609035
1;22;5;1;0.0003529014385367645
1;22;6;1;0.00025919094823270255
1;22;7;1;0.0002589235339274391
1;22;8;1;0.0002538176963385735
1;23;1;1;0.00030871452888755384
1;23;2;1;0.00022107032475551553
1;23;3;1;0.00025557571509629193
1;23;4;1;0.00039542939154233836
1;23;5;1;0.00034678829144554587
1;23;6;1;0.00028943039284403066
1;23;7;1;0.00039514368679283065
1;23;8;1;0.0003980164881011983
1;24;1;1;0.00023445545876305863
1;24;2;1;0.0002339977971362772
1;24;3;1;0.0003838802443176129
1;24;4;1;0.0003920620807049164
1;24;5;1;0.00035216514802576687
1;24;6;1;0.0003460935215780515
1;24;7;1;0.00025615660358466007
1;24;8;1;0.00023381262307666634
1;25;1;1;0.00033984993825306235
1;25;2;1;0.0003234065618637563
1;25;3;1;0.00024521437869229996
1;25;4;1;0.00029247234738493375
1;25;5;1;0.00023987437001435203
1;25;6;1;0.0003734175761823704
1;25;7;1;0.00021273095023530586
1;25;8;1;0.0003326456393311305
1;26;1;1;0.0002375422716197724
1;26;2;1;0.000215818831147158
1;26;3;1;0.00023182951169854141
1;26;4;1;0.0002488041120122826
1;26;5;1;0.0002966943693468175
1;26;6;1;0.00034017956677013454
1;26;7;1;0.0002942251593738527
1;26;8;1;0.00029201722238910593
1;27;1;1;0.00038061479923901073
1;27;2;1;0.0002249639197623577
1;27;3;1;0.0003919460632155135
1;27;4;1;0.0002151295350622476
1;27;5;1;0.00033011501618771075
1;27;6;1;0.0003908263409098494
1;27;7;1;0.0002231216581556023
1;27;8;1;0.0003128334835285871
1;28;1;1;0.00028544948432962855
1;28;2;1;0.00033209452287974364
1;28;3;1;0.0003477345882981209
1;28;4;1;0.00033640826407663297
1;28;5;1;0.00023034197790460935
1;28;6;1;0.0002549985648009078
1;28;7;1;0.00039082927806147996
1;28;8;1;0.0003813158439304429
1;29;1;1;0.00022140208938286438
1;29;2;1;0.0003413867360902506
1;29;3;1;0.00025971296018156945
1;29;4;1;0.00032858809786055206
1;29;5;1;0.00033286739427922964
1;29;6;1;0.00024471546343579994
1;29;7;1;0.00028971262641433866
1;29;8;1;0.0002007784786889623
1;30;1;1;0.00021502526617936656
1;30;2;1;0.00022688908914922726
1;30;3;1;0.00023970041053369387
1;30;4;1;0.00021539681586061883
1;30;5;1;0.0003121511298020761
1;30;6;1;0.0003807370915523515
1;30;7;1;0.00029391942859050094
1;30;8;1;0.0002819257034144387
1;31;1;1;0.00033541523981175535
1;31;2;1;0.00034209405560562073
1;31;3;1;0.0003978748372884751
1;31;4;1;0.0002971114448783419
1;31;5;1;0.000291819765695404
1;31;6;1;0.00021106518474016227
1;31;7;1;0.0003204922399118854
1;31;8;1;0.0002786354260538701
1;32;1;1;0.00038768505724108007
1;32;2;1;0.0002539458629551751
1;32;3;1;0.000290892560328427
1;32;4;1;0.0002396834551583726
1;32;5;1;0.0002092227896265145
1;32;6;1;0.0002165217449350823
1;32;7;1;0.00028424992490237304
1;32;8;1;0.0003717861219585461
1;33;1;1;0.0003516500784352992
1;33;2;1;0.0002926603250892827
1;33;3;1;0.00022843202830346123
1;33;4;1;0.0003834742498581489
1;33;5;1;0.0002303324989152565
1;33;6;1;0.00025975728446981077
1;33;7;1;0.00029044557925302897
1;33;8;1;0.00025333827308834825
1;34;1;1;0.00037098761723573987
1;34;2;1;0.00031170802042655455
1;34;3;1;0.0003880148192650446
1;34;4;1;0.0002362242915790528
1;34;5;1;0.00028734274556924
1;34;6;1;0.0003478917259103502
1;34;7;1;0.00036475057574847304
1;34;8;1;0.0002892238576816528
1;35;1;1;0.00037991842728880886
1;35;2;1;0.00037374293247888934
1;35;3;1;0.00034160715596942695
1;35;4;1;0.00021385961750275357
1;35;5;1;0.0002570854110343447
1;35;6;1;0.00030299255699075465
1;35;7;1;0.00025483034611661833
1;35;8;1;0.00028071546343579984
1;36;1;1;0.00028817783118053475
1;36;2;1;0.00039451713894729805
1;36;3;1;0.00036750175227796145
1;36;4;1;0.00024043870364807589
1;36;5;1;0.0002891058375888656
1;36;6;1;0.0002948707987049831
1;36;7;1;0.00020798691632455528
1;36;8;1;0.0002732508260738961
1;37;1;1;0.00036826260805714094
1;37;2;1;0.0003923564634024232
1;37;3;1;0.00037959987984379694
1;37;4;1;0.0003948842829011048
1;37;5;1;0.00022798264410400185
1;37;6;1;0.00022384780214278563
1;37;7;1;0.00037281732919461965
1;37;8;1;0.00032004245519174924
1;38;1;1;0.0002505587930976937
1;38;2;1;0.00021854918060144857
1;38;3;1;0.0003051209238676947
1;38;4;1;0.00026822963185474445
1;38;5;1;0.00023336163679449955
1;38;6;1;0.0002773912753245887
1;38;7;1;0.0002450828744033911
1;38;8;1;0.00031959066786822873
1;39;1;1;0.0002944895030205935
1;39;2;1;0.00037350141851073067
1;39;3;1;0.0003882624745502487
1;39;4;1;0.000319637261773639
1;39;5;1;0.00027490591101765626
1;39;6;1;0.00026505563899736326
1;39;7;1;0.00022325222789626518
1;39;8;1;0.00034010373485531193
1;40;1;1;0.0003077080204265545
1;40;2;1;0.0002689719301758954
1;40;3;1;0.0003397412636427356
1;40;4;1;0.0002943526584559928
1;40;5;1;0.00037457494743166114
1;40;6;1;0.00026311832048329497
1;40;7;1;0.00027418243716831884
1;40;8;1;0.00035468709322118757
1;41;1;1;0.0002709386202062681
1;41;2;1;0.00039770555054904715
1;41;3;1;0.0002065770835419378
1;41;4;1;0.00030329895530856795
1;41;5;1;0.00021699622843029262
1;41;6;1;0.00023633563632722546
1;41;7;1;0.000309402756917326
1;41;8;1;0.0002862657454691099
1;42;1;1;0.0
1;42;2;1;0.0
1;42;3;1;0.0
1;42;4;1;0.0
1;42;5;1;0.0
1;42;6;1;0.0
1;42;7;1;0.0
1;42;8;1;0.0
1;43;1;1;0.0
1;43;2;1;0.0
1;43;3;1;0.0
1;43;4;1;0.0
1;43;5;1;0.0
1;43;6;1;0.0
1;43;7;1;0.0
1;43;8;1;0.0
1;44;1;1;0.0
1;44;2;1;0.0
1;44;3;1;0.0
1;44;4;1;0.0
1;44;5;1;0.0
1;44;6;1;0.0
1;44;7;1;0.0
1;44;8;1;0.0
1;45;1;1;0.0
1;45;2;1;0.0
1;45;3;1;0.0
1;45;4;1;0.0
1;45;5;1;0.0
1;45;6;1;0.0
1;45;7;1;0.0
1;45;8;1;0.0
1;46;1;1;0.0
1;46;2;1;0.0
1;46;3;1;0.0
1;46;4;1;0.0
1;46;5;1;0.0
1;46;6;1;0.0
1;46;7;1;0.0
1;46;8;1;0.0
1;47;1;1;0.0
1;47;2;1;0.0
1;47;3;1;0.0
1;47;4;1;0.0
1;47;5;1;0.0
1;47;6;1;0.0
1;47;7;1;0.0
1;47;8;1;0.0
1;48;1;1;0.0
1;48;2;1;0.0
1;48;3;1;0.0
1;48;4;1;0.0
1;48;5;1;0.0
1;48;6;1;0.0
1;48;7;1;0.0
1;48;8;1;0.0
1;49;1;1;0.0002720221621441208
1;49;2;1;0.0003840025366309536
1;49;3;1;0.00022197056173024927
1;49;4;1;0.0002772769934247856
1;49;5;1;0.00039325403023931105
1;49;6;1;0.00030313394078969314
1;49;7;1;0.0003586655986115284
1;49;8;1;0.0003685702079369847
1;50;1;1;0.0
1;50;2;1;0.0
1;50;3;1;0.0
1;50;4;1;0.0
1;50;5;1;0.0
1;50;6;1;0.0
1;50;7;1;0.0
1;50;8;1;0.0
1;51;1;1;0.0
1;51;2;1;0.0
1;51;3;1;0.0
1;51;4;1;0.0
1;51;5;1;0.0
1;51;6;1;0.0
1;51;7;1;0.0
1;51;8;1;0.0
1;52;1;1;0.0
1;52;2;1;0.0
1;52;3;1;0.0
1;52;4;1;0.0
1;52;5;1;0.0
1;52;6;1;0.0
1;52;7;1;0.0
1;52;8;1;0.0
1;53;1;1;0.0
1;53;2;1;0.0
1;53;3;1;0.0
1;53;4;1;0.0
1;53;5;1;0.0
1;53;6;1;0.0
1;53;7;1;0.0
1;53;8;1;0.0
1;54;1;1;0.0
1;54;2;1;0.0
1;54;3;1;0.0
1;54;4;1;0.0
1;54;5;1;0.0
1;54;6;1;0.0
1;54;7;1;0.0
1;54;8;1;0.0
1;55;1;1;0.0
1;55;2;1;0.0
1;55;3;1;0.0
1;55;4;1;0.0
1;55;5;1;0.0
1;55;6;1;0.0
1;55;7;1;0.0
1;55;8;1;0.0
1;56;1;1;0.0
1;56;2;1;0.0
1;56;3;1;0.0
1;56;4;1;0.0
1;56;5;1;0.0
1;56;6;1;0.0
1;56;7;1;0.0
1;56;8;1;0.0
1;57;1;1;0.00035126264143386384
1;57;2;1;0.00025523634057608225
1;57;3;1;0.0003211374787223389
1;57;4;1;0.0002050863455825907
1;57;5;1;0.00025899442608724667
1;57;6;1;0.0002460984613330662
1;57;7;1;0.00036127779446613927
1;57;8;1;0.00028457474717132286
1;58;1;1;0.0
1;58;2;1;0.0
1;58;3;1;0.0
1;58;4;1;0.0
1;58;5;1;0.0
1;58;6;1;0.0
1;58;7;1;0.0
1;58;8;1;0.0
1;59;1;1;0.0
1;59;2;1;0.0
1;59;3;1;0.0
1;59;4;1;0.0
1;59;5;1;0.0
1;59;6;1;0.0
1;59;7;1;0.0
1;59;8;1;0.0
1;60;1;1;0.0
1;60;2;1;0.0
1;60;3;1;0.0
1;60;4;1;0.0
1;60;5;1;0.0
1;60;6;1;0.0
1;60;7;1;0.0
1;60;8;1;0.0
1;61;1;1;0.0
1;61;2;1;0.0
1;61;3;1;0.0
1;61;4;1;0.0
1;61;5;1;0.0
1;61;6;1;0.0
1;61;7;1;0.0
1;61;8;1;0.0
1;62;1;1;0.0
1;62;2;1;0.0
1;62;3;1;0.0
1;62;4;1;0.0
1;62;5;1;0.0
1;62;6;1;0.0
1;62;7;1;0.0
1;62;8;1;0.0
1;63;1;1;0.0
1;63;2;1;0.0
1;63;3;1;0.0
1;63;4;1;0.0
1;63;5;1;0.0
1;63;6;1;0.0
1;63;7;1;0.0
1;63;8;1;0.0
1;64;1;1;0.0
1;64;2;1;0.0
1;64;3;1;0.0
1;64;4;1;0.0
1;64;5;1;0.0
