;;;;0
1;1;1;1;0.00034352391442208204
1;1;2;1;0.0002796511464904376
1;1;3;1;0.0003710328760722273
1;1;4;1;23.970730046573554
1;1;5;1;0.0002516448716664998
1;1;6;1;0.00029384866993758553
1;1;7;1;0.00035844931744601316
1;1;8;1;0.00031462768265411704
1;2;1;1;0.00032473054971462903
1;2;2;1;0.00030491438870531695
1;2;3;1;0.0003255429391542339
1;2;4;1;23.97076070040724
1;2;5;1;0.00026565708754714464
1;2;6;1;0.0003937634925403024
1;2;7;1;0.00027213537598878547
1;2;8;1;0.00038401615433396747
1;3;1;1;0.00020017262441173527
1;3;2;1;0.00033444798237709024
1;3;3;1;0.00030747772103734855
1;3;4;1;23.97086301369863
1;3;5;1;0.00029873956142985883
1;3;6;1;0.00025623937785788193
1;3;7;1;0.00036356356596909317
1;3;8;1;0.00029352439422772303
1;4;1;1;0.00029572110410199925
1;4;2;1;0.0002902008611194553
1;4;3;1;0.0003885835586262141
1;4;4;1;23.97072953901703
1;4;5;1;0.0003292019625513167
1;4;6;1;0.00038565655351957545
1;4;7;1;0.0003986643970494977
1;4;8;1;0.00025040005340275695
1;5;1;1;0.00026149634524882346
1;5;2;1;0.0003223487867561163
1;5;3;1;0.00026041066720069425
1;5;4;1;23.97086301369863
1;5;5;1;0.0003564039918560796
1;5;6;1;0.00037265778845832915
1;5;7;1;0.0002861431861419846
1;5;8;1;0.0003604158739694937
1;6;1;1;0.00024178672273956141
1;6;2;1;0.00032853189145889657
1;6;3;1;0.00027141991255298555
1;6;4;1;23.97086352125517
1;6;5;1;0.0003128268081839725
1;6;6;1;0.0003854261206234772
1;6;7;1;0.0003514825272854711
1;6;8;1;0.00027336337238409935
1;7;1;1;0.000380320416541504
1;7;2;1;0.0002572201194886686
1;7;3;1;0.0003044934414739161
1;7;4;1;23.97086301369863
1;7;5;1;0.00021984846967724707
1;7;6;1;0.00024765408364206803
1;7;7;1;0.00022073789259370515
1;7;8;1;0.00036734594973465506
1;8;1;1;0.0003181614765862288
1;8;2;1;0.00027753946797503425
1;8;3;1;0.0002787647942325023
1;8;4;1;23.970627733282164
1;8;5;1;0.000360422816327893
1;8;6;1;0.0002468145923033277
1;8;7;1;0.0002413918093521578
1;8;8;1;0.0002116488768732686
1;9;1;1;0.0
1;9;2;1;0.0
