;;;;0
1;1;21;1;0.0
1;1;22;1;0.0
1;1;23;1;0.0
1;1;24;1;0.0
1;1;25;1;0.0
1;1;26;1;0.0
1;1;27;1;0.0
1;1;28;1;0.0
1;1;29;1;0.0
1;1;30;1;0.0
1;1;31;1;0.0
1;1;32;1;0.0
1;1;33;1;0.0
1;1;34;1;0.0
1;1;35;1;0.0
1;1;36;1;0.0
1;1;37;1;0.0
1;1;38;1;0.0
1;1;39;1;0.0
1;1;40;1;0.0
1;1;41;1;0.0
1;1;42;1;0.0
1;1;43;1;0.0
1;1;44;1;0.0
1;1;45;1;0.0
1;1;46;1;0.0
1;1;47;1;0.0
1;1;48;1;0.0
1;1;49;1;0.0
1;1;50;1;0.0
1;1;51;1;0.0
1;1;52;1;0.0
1;1;53;1;0.0
1;1;54;1;0.0
1;1;55;1;0.0
1;1;56;1;0.0
1;1;57;1;0.0
1;1;58;1;0.0
1;1;59;1;0.0
1;1;60;1;0.0
1;1;61;1;0.0
1;1;62;1;0.0
1;1;63;1;0.0
1;1;64;1;0.0
1;1;65;1;0.0
1;1;66;1;0.0
1;1;67;1;0.0
1;1;68;1;0.0
1;1;69;1;0.0
1;1;70;1;0.0
1;1;71;1;0.0
1;1;72;1;0.0
1;1;73;1;0.0
1;1;74;1;0.0
1;1;75;1;0.0
1;1;76;1;0.0
1;1;77;1;0.0
1;1;78;1;0.0
1;1;79;1;0.0
1;1;80;1;0.0
1;1;81;1;0.0
1;1;82;1;0.0
1;1;83;1;0.0
1;1;84;1;0.0
1;2;21;1;0.0
1;2;22;1;0.0
1;2;23;1;0.0
1;2;24;1;0.0
1;2;25;1;0.0
1;2;26;1;0.0
1;2;27;1;0.0
1;2;28;1;0.0
1;2;29;1;0.0
1;2;30;1;0.0
1;2;31;1;0.0
1;2;32;1;0.0
1;2;33;1;0.0
1;2;34;1;0.0
1;2;35;1;0.0
1;2;36;1;0.0
1;2;37;1;0.0
1;2;38;1;0.0
1;2;39;1;0.0
1;2;40;1;0.0
1;2;41;1;0.0
1;2;42;1;0.0
1;2;43;1;0.0
1;2;44;1;0.0
1;2;45;1;0.0
1;2;46;1;0.0
1;2;47;1;0.0
1;2;48;1;0.0
1;2;49;1;0.0
1;2;50;1;0.0
1;2;51;1;0.0
1;2;52;1;0.0
1;2;53;1;0.0
1;2;54;1;0.0
1;2;55;1;0.0
1;2;56;1;0.0
1;2;57;1;0.0
1;2;58;1;0.0
1;2;59;1;0.0
1;2;60;1;0.0
1;2;61;1;0.0
1;2;62;1;0.0
1;2;63;1;0.0
1;2;64;1;0.0
1;2;65;1;0.0
1;2;66;1;0.0
1;2;67;1;0.0
1;2;68;1;0.0
1;2;69;1;0.0
1;2;70;1;0.0
1;2;71;1;0.0
1;2;72;1;0.0
1;2;73;1;0.0
1;2;74;1;0.0
1;2;75;1;0.0
1;2;76;1;0.0
1;2;77;1;0.0
1;2;78;1;0.0
1;2;79;1;0.0
1;2;80;1;0.0
1;2;81;1;0.0
1;2;82;1;0.0
1;2;83;1;0.0
1;2;84;1;0.0
1;3;21;1;0.0
1;3;22;1;0.0
1;3;23;1;0.0
1;3;24;1;0.0
1;3;25;1;0.0
1;3;26;1;0.0
1;3;27;1;0.0
1;3;28;1;0.0
1;3;29;1;0.0
1;3;30;1;0.0
1;3;31;1;0.0
1;3;32;1;0.0
1;3;33;1;0.0
1;3;34;1;0.0
1;3;35;1;0.0
1;3;36;1;0.0
1;3;37;1;0.0
1;3;38;1;0.0
1;3;39;1;0.0
1;3;40;1;0.0
1;3;41;1;0.0
1;3;42;1;0.0
1;3;43;1;0.0
1;3;44;1;0.0
1;3;45;1;0.0
1;3;46;1;0.0
1;3;47;1;0.0
1;3;48;1;0.0
1;3;49;1;0.0
1;3;50;1;0.0
1;3;51;1;0.0
1;3;52;1;0.0
1;3;53;1;0.0
1;3;54;1;0.0
1;3;55;1;0.0
1;3;56;1;0.0
1;3;57;1;0.0
1;3;58;1;0.0
1;3;59;1;0.0
1;3;60;1;0.0
1;3;61;1;0.0
1;3;62;1;0.0
1;3;63;1;0.0
1;3;64;1;0.0
1;3;65;1;0.0
1;3;66;1;0.0
1;3;67;1;0.0
1;3;68;1;0.0
1;3;69;1;0.0
1;3;70;1;0.0
1;3;71;1;0.0
1;3;72;1;0.0
1;3;73;1;0.0
1;3;74;1;0.0
1;3;75;1;0.0
1;3;76;1;0.0
1;3;77;1;0.0
1;3;78;1;0.0
1;3;79;1;0.0
1;3;80;1;0.0
1;3;81;1;0.0
1;3;82;1;0.0
1;3;83;1;0.0
1;3;84;1;0.0
1;4;21;1;0.0
1;4;22;1;0.0
1;4;23;1;0.0
1;4;24;1;0.0
1;4;25;1;0.0
1;4;26;1;0.0
1;4;27;1;0.0
1;4;28;1;0.0
1;4;29;1;0.0
1;4;30;1;0.0
1;4;31;1;0.0
1;4;32;1;0.0
1;4;33;1;0.0
1;4;34;1;0.0
1;4;35;1;0.0
1;4;36;1;0.0
1;4;37;1;0.0
1;4;38;1;0.0
1;4;39;1;0.0
1;4;40;1;0.0
1;4;41;1;0.0
1;4;42;1;0.0
1;4;43;1;0.0
1;4;44;1;0.0
1;4;45;1;0.0
1;4;46;1;0.0
1;4;47;1;0.0
1;4;48;1;0.0
1;4;49;1;0.0
1;4;50;1;0.0
1;4;51;1;0.0
1;4;52;1;0.0
1;4;53;1;0.0
1;4;54;1;0.0
1;4;55;1;0.0
1;4;56;1;0.0
1;4;57;1;0.0
1;4;58;1;0.0
1;4;59;1;0.0
1;4;60;1;0.0
1;4;61;1;0.0
1;4;62;1;0.0
1;4;63;1;0.0
1;4;64;1;0.0
1;4;65;1;0.0
1;4;66;1;0.0
1;4;67;1;0.0
1;4;68;1;0.0
1;4;69;1;0.0
1;4;70;1;0.0
1;4;71;1;0.0
1;4;72;1;0.0
1;4;73;1;0.0
1;4;74;1;0.0
1;4;75;1;0.0
1;4;76;1;0.0
1;4;77;1;0.0
1;4;78;1;0.0
1;4;79;1;0.0
1;4;80;1;0.0
1;4;81;1;0.0
1;4;82;1;0.0
1;4;83;1;0.0
1;4;84;1;0.0
1;5;21;1;0.0
1;5;22;1;0.0
1;5;23;1;0.0
1;5;24;1;0.0
1;5;25;1;0.0
1;5;26;1;0.0
1;5;27;1;0.0
1;5;28;1;0.0
1;5;29;1;0.0
1;5;30;1;0.0
1;5;31;1;0.0
1;5;32;1;0.0
1;5;33;1;0.0
1;5;34;1;0.0
1;5;35;1;0.0
1;5;36;1;0.0
1;5;37;1;0.0
1;5;38;1;0.0
1;5;39;1;0.0
1;5;40;1;0.0
1;5;41;1;0.0
1;5;42;1;0.0
1;5;43;1;0.0
1;5;44;1;0.0
1;5;45;1;0.0
1;5;46;1;0.0
1;5;47;1;0.0
1;5;48;1;0.0
1;5;49;1;0.0
1;5;50;1;0.0
1;5;51;1;0.0
1;5;52;1;0.0
1;5;53;1;0.0
1;5;54;1;0.0
1;5;55;1;0.0
1;5;56;1;0.0
1;5;57;1;0.0
1;5;58;1;0.0
1;5;59;1;0.0
1;5;60;1;0.0
1;5;61;1;0.0
1;5;62;1;0.0
1;5;63;1;0.0
1;5;64;1;0.0
1;5;65;1;0.0
1;5;66;1;0.0
1;5;67;1;0.0
1;5;68;1;0.0
1;5;69;1;0.0
1;5;70;1;0.0
1;5;71;1;0.0
1;5;72;1;0.0
1;5;73;1;0.0
1;5;74;1;0.0
1;5;75;1;0.0
1;5;76;1;0.0
1;5;77;1;0.0
